[1] ['1', '1', '1', '1', '6'] -> ((((1 + 1) + 1) + 1) * 6)
[2] ['1', '1', '1', '1', '7'] -> (((1 + 1) + 1) * (1 + 7))
[3] ['1', '1', '1', '1', '8'] -> ((((1 * 1) + 1) + 1) * 8)
[4] ['1', '1', '1', '1', '9'] -> (((1 + 1) + 1) * (9 - 1))
[5] ['1', '1', '1', '1', '10'] -> (((1 + 1) + 10) * (1 + 1))
[6] ['1', '1', '1', '1', '11'] -> ((((1 + 1) * 11) + 1) + 1)
[7] ['1', '1', '1', '1', '12'] -> ((((1 * 1) * 1) + 1) * 12)
[8] ['1', '1', '1', '1', '13'] -> ((((1 + 1) * 13) - 1) - 1)
[9] ['1', '1', '1', '2', '4'] -> ((((1 + 1) + 1) * 2) * 4)
[10] ['1', '1', '1', '2', '5'] -> (((1 + 1) * (1 + 5)) * 2)
[11] ['1', '1', '1', '2', '6'] -> ((((1 * 1) + 1) * 2) * 6)
[12] ['1', '1', '1', '2', '7'] -> (((1 * 1) + 2) * (1 + 7))
[13] ['1', '1', '1', '2', '8'] -> ((((1 * 1) * 1) + 2) * 8)
[14] ['1', '1', '1', '2', '9'] -> ((((1 + 1) + 1) + 9) * 2)
[15] ['1', '1', '1', '10', '2'] -> ((((1 * 1) + 1) + 10) * 2)
[16] ['1', '1', '1', '11', '2'] -> ((((1 * 1) * 1) + 11) * 2)
[17] ['1', '1', '1', '12', '2'] -> ((((1 * 1) * 1) * 12) * 2)
[18] ['1', '1', '1', '13', '2'] -> ((((1 * 1) * 13) - 1) * 2)
[19] ['1', '1', '1', '3', '3'] -> (((1 + 1) * (1 + 3)) * 3)
[20] ['1', '1', '1', '3', '4'] -> ((((1 * 1) + 1) * 3) * 4)
[21] ['1', '1', '1', '3', '5'] -> ((((1 + 1) + 1) + 5) * 3)
[22] ['1', '1', '1', '3', '6'] -> ((((1 * 1) * 1) + 3) * 6)
[23] ['1', '1', '1', '3', '7'] -> ((((1 * 1) * 1) + 7) * 3)
[24] ['1', '1', '1', '3', '8'] -> ((((1 * 1) * 1) * 3) * 8)
[25] ['1', '1', '1', '3', '9'] -> ((((1 * 1) * 9) - 1) * 3)
[26] ['1', '1', '1', '10', '3'] -> ((((1 * 10) - 1) - 1) * 3)
[27] ['1', '1', '1', '11', '3'] -> ((((1 + 1) * 11) + 3) - 1)
[28] ['1', '1', '1', '12', '3'] -> ((((1 * 1) * 3) - 1) * 12)
[29] ['1', '1', '1', '13', '3'] -> ((((1 + 1) * 13) + 1) - 3)
[30] ['1', '1', '1', '4', '4'] -> ((((1 * 1) + 1) + 4) * 4)
[31] ['1', '1', '1', '4', '5'] -> ((((1 * 1) * 1) + 5) * 4)
[32] ['1', '1', '1', '4', '6'] -> ((((1 * 1) * 1) * 4) * 6)
[33] ['1', '1', '1', '4', '7'] -> ((((1 * 1) * 7) - 1) * 4)
[34] ['1', '1', '1', '4', '8'] -> ((((1 * 1) * 4) - 1) * 8)
[35] ['1', '1', '1', '4', '9'] -> ((((9 - 1) - 1) - 1) * 4)
[36] ['1', '1', '1', '10', '4'] -> ((((1 * 1) + 1) * 10) + 4)
[37] ['1', '1', '1', '11', '4'] -> (((1 + 1) * (11 - 1)) + 4)
[38] ['1', '1', '1', '12', '4'] -> ((((1 * 4) - 1) - 1) * 12)
[39] ['1', '1', '1', '13', '4'] -> (((1 + 1) * (1 + 13)) - 4)
[40] ['1', '1', '1', '5', '5'] -> ((((1 * 1) * 5) * 5) - 1)
[41] ['1', '1', '1', '5', '6'] -> ((((1 * 1) * 5) - 1) * 6)
[42] ['1', '1', '1', '5', '7'] -> ((((7 - 1) - 1) * 5) - 1)
[43] ['1', '1', '1', '5', '8'] -> ((((1 * 5) - 1) - 1) * 8)
[44] ['1', '1', '1', '5', '9'] -> ((((1 + 1) * 9) + 1) + 5)
[45] ['1', '1', '1', '10', '5'] -> ((((1 + 1) * 10) + 5) - 1)
[46] ['1', '1', '1', '12', '5'] -> ((((5 - 1) - 1) - 1) * 12)
[47] ['1', '1', '1', '13', '5'] -> ((((1 + 1) * 5) + 1) + 13)
[48] ['1', '1', '1', '6', '6'] -> ((((1 * 6) - 1) - 1) * 6)
[49] ['1', '1', '1', '6', '7'] -> ((((7 - 1) - 1) - 1) * 6)
[50] ['1', '1', '1', '6', '8'] -> ((((6 - 1) - 1) - 1) * 8)
[51] ['1', '1', '1', '6', '9'] -> ((((1 * 1) + 1) * 9) + 6)
[52] ['1', '1', '1', '10', '6'] -> ((((1 + 1) + 1) * 10) - 6)
[53] ['1', '1', '1', '11', '6'] -> ((((1 + 1) * 6) + 1) + 11)
[54] ['1', '1', '1', '12', '6'] -> ((((1 * 1) + 1) * 6) + 12)
[55] ['1', '1', '1', '13', '6'] -> ((((1 + 1) * 6) + 13) - 1)
[56] ['1', '1', '1', '7', '7'] -> (((7 * 7) - 1) / (1 + 1))
[57] ['1', '1', '1', '7', '8'] -> ((((1 + 1) * 8) + 1) + 7)
[58] ['1', '1', '1', '7', '9'] -> ((((1 + 1) * 7) + 1) + 9)
[59] ['1', '1', '1', '10', '7'] -> ((((1 * 1) + 1) * 7) + 10)
[60] ['1', '1', '1', '11', '7'] -> ((((1 + 1) * 7) + 11) - 1)
[61] ['1', '1', '1', '12', '7'] -> (((1 + 1) * (7 - 1)) + 12)
[62] ['1', '1', '1', '8', '8'] -> ((((1 * 1) + 1) * 8) + 8)
[63] ['1', '1', '1', '8', '9'] -> ((((1 + 1) * 8) + 9) - 1)
[64] ['1', '1', '1', '10', '8'] -> (((1 + 1) * (8 - 1)) + 10)
[65] ['1', '1', '1', '12', '8'] -> (1 / ((1 / 8) - (1 / 12)))
[66] ['1', '1', '1', '13', '8'] -> ((((1 + 1) + 1) + 13) + 8)
[67] ['1', '1', '1', '11', '9'] -> ((((1 + 1) + 1) * 11) - 9)
[68] ['1', '1', '1', '12', '9'] -> ((((1 + 1) + 1) + 12) + 9)
[69] ['1', '1', '1', '13', '9'] -> ((((1 * 1) + 1) + 13) + 9)
[70] ['1', '1', '1', '10', '11'] -> ((((1 + 1) + 1) + 10) + 11)
[71] ['1', '1', '1', '10', '12'] -> ((((1 * 1) + 1) + 10) + 12)
[72] ['1', '1', '1', '10', '13'] -> ((((1 * 1) * 1) + 10) + 13)
[73] ['1', '1', '1', '11', '11'] -> ((((1 * 1) + 1) + 11) + 11)
[74] ['1', '1', '1', '11', '12'] -> ((((1 * 1) * 1) + 11) + 12)
[75] ['1', '1', '1', '11', '13'] -> ((((1 * 1) * 1) * 11) + 13)
[76] ['1', '1', '1', '12', '12'] -> ((((1 * 1) * 1) * 12) + 12)
[77] ['1', '1', '1', '12', '13'] -> ((((1 * 1) * 12) + 13) - 1)
[78] ['1', '1', '1', '13', '13'] -> ((((1 * 13) + 13) - 1) - 1)
[79] ['1', '1', '2', '2', '3'] -> ((((1 + 1) * 2) * 2) * 3)
[80] ['1', '1', '2', '2', '4'] -> ((((1 * 1) + 2) * 2) * 4)
[81] ['1', '1', '2', '2', '5'] -> ((((1 * 1) + 5) * 2) * 2)
[82] ['1', '1', '2', '2', '6'] -> ((((1 * 1) * 2) * 2) * 6)
[83] ['1', '1', '2', '2', '7'] -> ((((1 * 7) - 1) * 2) * 2)
[84] ['1', '1', '2', '2', '8'] -> ((((1 * 2) * 2) - 1) * 8)
[85] ['1', '1', '2', '2', '9'] -> ((((1 * 1) + 2) + 9) * 2)
[86] ['1', '1', '10', '2', '2'] -> ((((1 * 1) * 10) + 2) * 2)
[87] ['1', '1', '11', '2', '2'] -> ((((1 * 1) * 11) * 2) + 2)
[88] ['1', '1', '12', '2', '2'] -> ((((1 * 1) + 12) * 2) - 2)
[89] ['1', '1', '13', '2', '2'] -> ((((1 * 1) * 13) * 2) - 2)
[90] ['1', '1', '2', '3', '3'] -> ((((1 * 1) + 3) * 2) * 3)
[91] ['1', '1', '2', '3', '4'] -> ((((1 * 1) * 2) * 3) * 4)
[92] ['1', '1', '2', '3', '5'] -> ((((1 * 1) + 2) + 5) * 3)
[93] ['1', '1', '2', '3', '6'] -> ((((1 * 1) * 2) + 6) * 3)
[94] ['1', '1', '2', '3', '7'] -> ((((1 * 1) + 2) * 7) + 3)
[95] ['1', '1', '2', '3', '8'] -> ((((1 * 1) + 3) + 8) * 2)
[96] ['1', '1', '2', '3', '9'] -> ((((1 * 1) * 3) + 9) * 2)
[97] ['1', '1', '10', '2', '3'] -> ((((1 * 1) * 10) - 2) * 3)
[98] ['1', '1', '11', '2', '3'] -> ((((1 * 11) * 2) + 3) - 1)
[99] ['1', '1', '12', '2', '3'] -> ((((1 * 1) + 3) * 12) / 2)
[100] ['1', '1', '13', '2', '3'] -> ((((1 * 13) * 2) + 1) - 3)
[101] ['1', '1', '2', '4', '4'] -> ((((1 * 1) * 2) + 4) * 4)
[102] ['1', '1', '2', '4', '5'] -> ((((1 * 2) + 5) - 1) * 4)
[103] ['1', '1', '2', '4', '6'] -> ((((1 * 2) - 1) * 4) * 6)
[104] ['1', '1', '2', '4', '7'] -> ((((1 * 1) + 4) + 7) * 2)
[105] ['1', '1', '2', '4', '8'] -> ((((1 * 1) * 4) + 8) * 2)
[106] ['1', '1', '2', '4', '9'] -> ((((1 * 1) + 9) * 2) + 4)
[107] ['1', '1', '10', '2', '4'] -> ((((1 * 1) * 10) * 2) + 4)
[108] ['1', '1', '11', '2', '4'] -> ((((1 * 1) + 11) * 4) / 2)
[109] ['1', '1', '12', '2', '4'] -> ((((1 * 1) * 12) * 4) / 2)
