[1] ['1', '1', '1', '1', '7'] -> (1 + 7) * (1 + (1 + 1))
[2] ['1', '1', '1', '1', '9'] -> (1 + (1 + 1)) * (9 - 1)
[3] ['1', '1', '1', '1', '16'] -> 16 * (1 + (1 / (1 + 1)))
[4] ['1', '1', '1', '2', '17'] -> (1 + (1 / 2)) * (17 - 1)
[5] ['1', '1', '1', '7', '7'] -> ((7 * 7) - 1) / (1 + 1)
[6] ['1', '1', '1', '7', '22'] -> (1 + (1 / 7)) * (22 - 1)
[7] ['1', '1', '1', '8', '12'] -> 1 / ((1 / 8) - (1 / 12))
[8] ['1', '1', '1', '8', '26'] -> (1 + 26) / (1 + (1 / 8))
[9] ['1', '1', '1', '9', '11'] -> (11 * (1 + (1 + 1))) - 9
[10] ['1', '1', '1', '9', '19'] -> 19 + ((1 + 9) / (1 + 1))
[11] ['1', '1', '1', '9', '26'] -> (1 + 26) * (1 - (1 / 9))
[12] ['1', '1', '1', '11', '21'] -> (1 + 21) * (1 + (1 / 11))
[13] ['1', '1', '1', '11', '30'] -> 30 - ((1 + 11) / (1 + 1))
[14] ['1', '1', '1', '12', '21'] -> (1 + 21) / (1 - (1 / 12))
[15] ['1', '1', '1', '12', '27'] -> (27 - 1) / (1 + (1 / 12))
[16] ['1', '1', '1', '13', '15'] -> (13 * (1 + (1 + 1))) - 15
[17] ['1', '1', '1', '13', '17'] -> 17 + ((1 + 13) / (1 + 1))
[18] ['1', '1', '1', '14', '28'] -> 28 * (1 - ((1 + 1) / 14))
[19] ['1', '1', '1', '15', '21'] -> (15 * (1 + (1 + 1))) - 21
[20] ['1', '1', '1', '15', '29'] -> 29 - (15 / (1 + (1 + 1)))
[21] ['1', '1', '1', '16', '19'] -> ((1 + 1) * (1 + 19)) - 16
[22] ['1', '1', '1', '16', '30'] -> 1 + ((16 + 30) / (1 + 1))
[23] ['1', '1', '1', '17', '27'] -> (17 * (1 + (1 + 1))) - 27
[24] ['1', '1', '1', '18', '18'] -> 18 + (18 / (1 + (1 + 1)))
[25] ['1', '1', '1', '18', '20'] -> ((1 + 1) * (1 + 20)) - 18
[26] ['1', '1', '1', '18', '22'] -> ((1 + 1) * (22 - 1)) - 18
[27] ['1', '1', '1', '18', '26'] -> (1 + (1 + 1)) * (26 - 18)
[28] ['1', '1', '1', '18', '27'] -> 27 * (1 - ((1 + 1) / 18))
[29] ['1', '1', '1', '18', '28'] -> 1 + ((18 + 28) / (1 + 1))
[30] ['1', '1', '1', '20', '21'] -> ((1 + 1) * (1 + 21)) - 20
[31] ['1', '1', '1', '20', '26'] -> 1 + ((20 + 26) / (1 + 1))
[32] ['1', '1', '1', '20', '30'] -> ((20 + 30) / (1 + 1)) - 1
[33] ['1', '1', '1', '22', '28'] -> ((22 + 28) / (1 + 1)) - 1
[34] ['1', '1', '1', '22', '30'] -> (1 + (1 + 1)) * (30 - 22)
[35] ['1', '1', '1', '26', '30'] -> ((1 + 1) * (1 + 26)) - 30
[36] ['1', '1', '1', '27', '28'] -> ((1 + 1) * (27 - 1)) - 28
[37] ['1', '1', '1', '28', '30'] -> ((1 + 1) * (28 - 1)) - 30
[38] ['1', '1', '2', '8', '25'] -> (2 + 25) / (1 + (1 / 8))
[39] ['1', '1', '4', '15', '16'] -> 16 / (1 - ((1 + 4) / 15))
[40] ['1', '1', '4', '16', '17'] -> (1 + 17) / (1 - (4 / 16))
[41] ['1', '1', '4', '27', '29'] -> ((27 + 29) / (1 + 1)) - 4
[42] ['1', '1', '5', '13', '25'] -> 5 + ((13 + 25) / (1 + 1))
[43] ['1', '1', '5', '14', '23'] -> (5 * 14) - (23 * (1 + 1))
[44] ['1', '1', '5', '16', '25'] -> ((1 + 1) * (25 - 5)) - 16
[45] ['1', '1', '6', '13', '20'] -> (1 - (1 / 13)) * (6 + 20)
[46] ['1', '1', '6', '14', '29'] -> ((1 + 1) * (29 - 14)) - 6
[47] ['1', '1', '7', '11', '23'] -> 7 + ((11 + 23) / (1 + 1))
[48] ['1', '1', '7', '22', '30'] -> ((1 + 1) * (30 - 7)) - 22
[49] ['1', '1', '8', '13', '23'] -> 8 * ((13 * (1 + 1)) - 23)
[50] ['1', '1', '8', '13', '25'] -> 8 * (1 + ((1 + 25) / 13))
[51] ['1', '1', '9', '10', '19'] -> 10 + ((9 + 19) / (1 + 1))
[52] ['1', '1', '9', '13', '13'] -> 13 + ((9 + 13) / (1 + 1))
[53] ['1', '1', '9', '18', '29'] -> 9 * (1 + ((1 + 29) / 18))
[54] ['1', '1', '10', '10', '18'] -> 10 + ((10 + 18) / (1 + 1))
[55] ['1', '1', '10', '11', '16'] -> 11 + ((10 + 16) / (1 + 1))
[56] ['1', '1', '10', '11', '28'] -> ((1 + 1) * (28 - 11)) - 10
[57] ['1', '1', '10', '19', '28'] -> 10 * (1 + (28 / (1 + 19)))
[58] ['1', '1', '11', '11', '15'] -> 11 + ((11 + 15) / (1 + 1))
[59] ['1', '1', '11', '17', '22'] -> (1 + (11 / 22)) * (17 - 1)
[60] ['1', '1', '11', '18', '27'] -> (1 + 11) / ((27 / 18) - 1)
[61] ['1', '1', '11', '20', '28'] -> (11 - 1) * (1 + (28 / 20))
[62] ['1', '1', '12', '19', '27'] -> 12 / ((27 / (19 - 1)) - 1)
[63] ['1', '1', '12', '20', '29'] -> 12 / (((1 + 29) / 20) - 1)
[64] ['1', '1', '12', '22', '30'] -> (30 * ((22 / 12) - 1)) - 1
[65] ['1', '1', '13', '14', '19'] -> 14 / ((19 / (13 - 1)) - 1)
[66] ['1', '1', '14', '15', '28'] -> (1 + 15) * (1 + (14 / 28))
[67] ['1', '1', '15', '15', '30'] -> (1 + 15) * (1 + (15 / 30))
[68] ['1', '1', '15', '16', '29'] -> 16 * (1 + (15 / (1 + 29)))
[69] ['1', '1', '16', '16', '29'] -> 16 * (16 - (29 / (1 + 1)))
[70] ['1', '3', '3', '29', '29'] -> 29 - ((1 + 29) / (3 + 3))
[71] ['1', '3', '13', '13', '30'] -> 30 - (3 * (1 + (13 / 13)))
[72] ['1', '3', '13', '17', '20'] -> 20 + ((1 + (3 * 17)) / 13)
[73] ['1', '3', '15', '25', '25'] -> (15 - 3) * (1 + (25 / 25))
[74] ['1', '3', '23', '23', '30'] -> 30 - (3 * (1 + (23 / 23)))
[75] ['1', '3', '30', '30', '30'] -> 30 - (3 * (1 + (30 / 30)))
[76] ['1', '4', '4', '4', '17'] -> (4 + (4 * 17)) / (4 - 1)
[77] ['1', '4', '10', '23', '23'] -> 4 + (10 * (1 + (23 / 23)))
[78] ['1', '4', '13', '23', '27'] -> 27 * (1 - (4 / (13 + 23)))
[79] ['1', '4', '13', '25', '29'] -> (25 + 29) / ((13 / 4) - 1)
[80] ['1', '4', '17', '28', '28'] -> 28 * ((1 / 4) + (17 / 28))
[81] ['1', '5', '5', '18', '21'] -> (21 * (1 + (5 / 5))) - 18
[82] ['1', '5', '5', '19', '22'] -> 22 + ((1 + 19) / (5 + 5))
[83] ['1', '5', '11', '11', '13'] -> (1 + (11 * 13)) / (11 - 5)
[84] ['1', '5', '11', '17', '28'] -> ((11 * (28 - 17)) - 1) / 5
[85] ['1', '5', '12', '24', '25'] -> (12 * ((25 / 5) - 1)) - 24
[86] ['1', '5', '12', '29', '29'] -> (5 + 29) / ((29 / 12) - 1)
[87] ['1', '5', '13', '13', '14'] -> 14 + (5 * (1 + (13 / 13)))
[88] ['1', '5', '14', '14', '14'] -> 14 + (5 * (1 + (14 / 14)))
[89] ['1', '5', '14', '29', '29'] -> 14 + (5 * (1 + (29 / 29)))
[90] ['1', '5', '15', '19', '19'] -> (1 + (5 * 19)) / (19 - 15)
[91] ['1', '5', '15', '23', '24'] -> ((1 + 5) * (23 - 15)) - 24
[92] ['1', '5', '15', '28', '29'] -> 5 * (1 + ((28 + 29) / 15))
[93] ['1', '5', '18', '19', '26'] -> ((1 + 5) * (26 - 19)) - 18
[94] ['1', '5', '19', '23', '27'] -> (1 + (5 * 19)) / (27 - 23)
[95] ['1', '5', '21', '24', '29'] -> ((1 + 5) * (29 - 21)) - 24
[96] ['1', '5', '22', '30', '30'] -> 22 / (1 - (5 / (30 + 30)))
[97] ['1', '6', '7', '7', '13'] -> ((13 * (6 + 7)) - 1) / 7
[98] ['1', '6', '7', '17', '17'] -> (7 * (1 + 17)) - (6 * 17)
[99] ['1', '6', '8', '23', '30'] -> (30 + (6 * 23)) / (8 - 1)
[100] ['1', '6', '9', '23', '23'] -> 6 + (9 * (1 + (23 / 23)))
[101] ['1', '6', '9', '25', '25'] -> 6 + (9 * (1 + (25 / 25)))
[102] ['1', '6', '9', '28', '28'] -> 6 + (9 * (1 + (28 / 28)))
[103] ['1', '6', '9', '29', '29'] -> 6 + (9 * (1 + (29 / 29)))
[104] ['1', '6', '10', '25', '25'] -> 6 * (((25 + 25) / 10) - 1)
[105] ['1', '6', '12', '17', '17'] -> 12 + (6 * (1 + (17 / 17)))
[106] ['1', '6', '13', '13', '27'] -> 27 - (6 / (1 + (13 / 13)))
[107] ['1', '6', '14', '14', '27'] -> 27 - (6 / (1 + (14 / 14)))
[108] ['1', '6', '15', '15', '22'] -> (6 + (15 * 22)) / (15 - 1)
[109] ['1', '6', '15', '25', '25'] -> (15 * (1 + (25 / 25))) - 6
[110] ['1', '6', '15', '29', '29'] -> (15 * (1 + (29 / 29))) - 6
[111] ['1', '6', '18', '20', '25'] -> (6 + (18 * 25)) / (20 - 1)
[112] ['1', '6', '19', '20', '26'] -> ((6 + (19 * 26)) / 20) - 1
