[1] ['1', '1', '12'] -> 12 * (1 + 1) mod 29
[2] ['1', '1', '17'] -> (1 + 1) / 17 mod 29
[3] ['1', '1', '19'] -> 19 / (1 + 1) mod 29
[4] ['1', '2', '3'] -> 1 - (2 * 3) mod 29
[5] ['1', '2', '9'] -> 9 + (1 / 2) mod 29
[6] ['1', '2', '16'] -> 2 / (1 + 16) mod 29
[7] ['1', '3', '6'] -> 6 * (1 + 3) mod 29
[8] ['1', '3', '13'] -> (1 + 13) / 3 mod 29
[9] ['1', '3', '16'] -> (1 - 16) / 3 mod 29
[10] ['1', '4', '4'] -> 4 / (1 + 4) mod 29
[11] ['1', '4', '7'] -> 4 * (7 - 1) mod 29
[12] ['1', '4', '11'] -> (4 - 1) / 11 mod 29
[13] ['1', '4', '14'] -> 14 / (4 - 1) mod 29
[14] ['1', '4', '15'] -> 15 / (1 - 4) mod 29
[15] ['1', '4', '17'] -> 17 - (1 / 4) mod 29
[16] ['1', '4', '18'] -> (1 - 4) / 18 mod 29
[17] ['1', '4', '25'] -> 4 / (1 - 25) mod 29
[18] ['1', '5', '7'] -> 1 - (5 * 7) mod 29
[19] ['1', '5', '23'] -> 23 * (1 - 5) mod 29
[20] ['1', '5', '24'] -> (1 - 5) / 24 mod 29
[21] ['1', '5', '25'] -> 1 - (5 / 25) mod 29
[22] ['1', '6', '7'] -> 1 - (7 / 6) mod 29
[23] ['1', '6', '9'] -> (6 * 9) - 1 mod 29
[24] ['1', '6', '13'] -> (6 / 13) - 1 mod 29
[25] ['1', '6', '16'] -> (1 + 6) / 16 mod 29
[26] ['1', '6', '20'] -> 20 * (1 + 6) mod 29
[27] ['1', '6', '25'] -> 25 / (1 - 6) mod 29
[28] ['1', '6', '26'] -> 6 * (1 - 26) mod 29
[29] ['1', '6', '27'] -> (1 + 27) / 6 mod 29
[30] ['1', '7', '7'] -> (1 - 7) / 7 mod 29
[31] ['1', '7', '14'] -> 7 / (1 - 14) mod 29
[32] ['1', '7', '19'] -> 7 * (1 + 19) mod 29
[33] ['1', '7', '21'] -> 7 * (21 - 1) mod 29
[34] ['1', '7', '25'] -> 25 * (1 - 7) mod 29
[35] ['1', '8', '8'] -> 1 - (8 * 8) mod 29
[36] ['1', '8', '22'] -> 22 * (1 + 8) mod 29
[37] ['1', '8', '23'] -> 23 / (8 - 1) mod 29
[38] ['1', '8', '26'] -> (26 / 8) - 1 mod 29
[39] ['1', '9', '10'] -> (9 - 1) / 10 mod 29
[40] ['1', '9', '12'] -> (1 + 12) / 9 mod 29
[41] ['1', '9', '17'] -> (1 - 17) / 9 mod 29
[42] ['1', '9', '19'] -> (1 - 9) / 19 mod 29
[43] ['1', '9', '20'] -> 1 - (9 * 20) mod 29
[44] ['1', '9', '21'] -> 9 * (1 + 21) mod 29
[45] ['1', '9', '23'] -> 9 * (23 - 1) mod 29
[46] ['1', '9', '25'] -> 1 - (25 / 9) mod 29
[47] ['1', '10', '12'] -> (10 / 12) - 1 mod 29
[48] ['1', '10', '17'] -> (10 * 17) - 1 mod 29
[49] ['1', '10', '26'] -> 10 / (1 + 26) mod 29
[50] ['1', '10', '28'] -> 10 / (28 - 1) mod 29
[51] ['1', '11', '22'] -> 11 / (22 - 1) mod 29
[52] ['1', '12', '19'] -> (12 * 19) - 1 mod 29
[53] ['1', '12', '21'] -> (12 - 1) / 21 mod 29
[54] ['1', '12', '25'] -> (1 / 25) - 12 mod 29
[55] ['1', '13', '20'] -> 1 - (20 / 13) mod 29
[56] ['1', '13', '23'] -> (23 - 1) / 13 mod 29
[57] ['1', '13', '25'] -> 1 - (13 * 25) mod 29
[58] ['1', '14', '27'] -> 14 / (1 - 27) mod 29
[59] ['1', '15', '22'] -> 22 + (1 / 15) mod 29
[60] ['1', '15', '25'] -> 15 / (1 + 25) mod 29
[61] ['1', '16', '18'] -> 16 - (1 / 18) mod 29
[62] ['1', '16', '26'] -> (16 - 1) / 26 mod 29
[63] ['1', '16', '27'] -> 27 * (1 + 16) mod 29
[64] ['1', '17', '17'] -> (1 / 17) - 17 mod 29
[65] ['1', '17', '19'] -> (19 / 17) - 1 mod 29
[66] ['1', '17', '20'] -> (17 - 1) / 20 mod 29
[67] ['1', '17', '25'] -> 17 + (1 / 25) mod 29
[68] ['1', '18', '25'] -> (1 + 25) / 18 mod 29
[69] ['1', '19', '20'] -> (1 + 20) / 19 mod 29
[70] ['1', '19', '22'] -> (22 - 1) / 19 mod 29
[71] ['1', '19', '26'] -> 26 / (19 - 1) mod 29
[72] ['1', '19', '28'] -> 19 / (1 - 28) mod 29
[73] ['1', '20', '22'] -> 20 + (1 / 22) mod 29
[74] ['1', '20', '27'] -> (1 - 20) / 27 mod 29
[75] ['1', '21', '21'] -> 1 - (21 * 21) mod 29
[76] ['1', '21', '22'] -> 22 * (1 - 21) mod 29
[77] ['1', '21', '23'] -> (1 / 21) - 23 mod 29
[78] ['1', '22', '23'] -> 1 - (22 / 23) mod 29
[79] ['1', '22', '25'] -> 25 * (1 + 22) mod 29
[80] ['1', '23', '23'] -> 23 / (1 - 23) mod 29
[81] ['1', '23', '26'] -> 23 * (26 - 1) mod 29
[82] ['1', '25', '25'] -> 25 / (25 - 1) mod 29
[83] ['2', '2', '8'] -> 2 + (2 / 8) mod 29
[84] ['2', '2', '10'] -> 2 * (2 + 10) mod 29
[85] ['2', '2', '11'] -> 2 + (2 * 11) mod 29
[86] ['2', '2', '12'] -> (2 - 12) / 2 mod 29
[87] ['2', '2', '13'] -> (2 * 13) - 2 mod 29
[88] ['2', '2', '17'] -> (2 + 17) / 2 mod 29
[89] ['2', '2', '18'] -> 2 - (2 * 18) mod 29
[90] ['2', '2', '25'] -> 25 - (2 / 2) mod 29
[91] ['2', '3', '14'] -> 2 / (3 + 14) mod 29
[92] ['2', '3', '18'] -> 18 + (2 * 3) mod 29
[93] ['2', '4', '4'] -> 4 * (2 + 4) mod 29
[94] ['2', '4', '15'] -> (4 + 15) / 2 mod 29
[95] ['2', '4', '23'] -> (23 - 4) / 2 mod 29
[96] ['2', '4', '25'] -> 4 * (2 - 25) mod 29
[97] ['2', '5', '5'] -> 5 - (2 * 5) mod 29
[98] ['2', '5', '13'] -> 2 - (5 * 13) mod 29
[99] ['2', '5', '18'] -> (2 - 5) / 18 mod 29
[100] ['2', '6', '10'] -> (2 + 6) / 10 mod 29
[101] ['2', '6', '12'] -> 12 + (2 * 6) mod 29
[102] ['2', '6', '17'] -> (2 * 6) - 17 mod 29
[103] ['2', '6', '21'] -> 21 + (6 / 2) mod 29
[104] ['2', '6', '22'] -> 6 - (22 / 2) mod 29
[105] ['2', '6', '25'] -> (25 - 6) / 2 mod 29
