[1] ['1', '1', '3'] -> (1 / 3) - 1 mod 37
[2] ['1', '1', '8'] -> 1 - (1 / 8) mod 37
[3] ['1', '1', '11'] -> 11 / (1 + 1) mod 37
[4] ['1', '1', '12'] -> 12 * (1 + 1) mod 37
[5] ['1', '1', '16'] -> 1 / (1 + 16) mod 37
[6] ['1', '1', '18'] -> 1 / (18 - 1) mod 37
[7] ['1', '1', '21'] -> 1 / (1 - 21) mod 37
[8] ['1', '1', '29'] -> 1 + (1 / 29) mod 37
[9] ['1', '1', '34'] -> (1 + 1) / 34 mod 37
[10] ['1', '2', '4'] -> 2 / (1 - 4) mod 37
[11] ['1', '2', '7'] -> 1 - (2 * 7) mod 37
[12] ['1', '2', '8'] -> 8 * (1 + 2) mod 37
[13] ['1', '2', '9'] -> 1 + (9 / 2) mod 37
[14] ['1', '2', '17'] -> (2 - 1) / 17 mod 37
[15] ['1', '2', '19'] -> 1 / (19 - 2) mod 37
[16] ['1', '2', '20'] -> (1 - 2) / 20 mod 37
[17] ['1', '2', '28'] -> 1 - (28 / 2) mod 37
[18] ['1', '2', '30'] -> 1 + (2 * 30) mod 37
[19] ['1', '2', '31'] -> (2 * 31) - 1 mod 37
[20] ['1', '2', '33'] -> 2 / (1 + 33) mod 37
[21] ['1', '3', '3'] -> (1 - 3) / 3 mod 37
[22] ['1', '3', '5'] -> 1 - (5 / 3) mod 37
[23] ['1', '3', '6'] -> 6 * (1 + 3) mod 37
[24] ['1', '3', '23'] -> 1 / (3 - 23) mod 37
[25] ['1', '3', '25'] -> 25 * (1 - 3) mod 37
[26] ['1', '3', '31'] -> (1 + 3) / 31 mod 37
[27] ['1', '3', '32'] -> 1 + (32 / 3) mod 37
[28] ['1', '3', '33'] -> (3 * 33) - 1 mod 37
[29] ['1', '4', '4'] -> (1 / 4) - 4 mod 37
[30] ['1', '4', '8'] -> 8 * (4 - 1) mod 37
[31] ['1', '4', '9'] -> 9 / (1 + 4) mod 37
[32] ['1', '4', '11'] -> (1 + 4) / 11 mod 37
[33] ['1', '4', '12'] -> (4 / 12) - 1 mod 37
[34] ['1', '4', '14'] -> (4 - 1) / 14 mod 37
[35] ['1', '4', '26'] -> (26 / 4) - 1 mod 37
[36] ['1', '4', '30'] -> 4 / (1 + 30) mod 37
[37] ['1', '4', '33'] -> 33 + (1 / 4) mod 37
[38] ['1', '4', '34'] -> (4 * 34) - 1 mod 37
[39] ['1', '4', '35'] -> 35 / (4 - 1) mod 37
[40] ['1', '5', '5'] -> (5 * 5) - 1 mod 37
[41] ['1', '5', '8'] -> (1 + 8) / 5 mod 37
[42] ['1', '5', '14'] -> (14 / 5) - 1 mod 37
[43] ['1', '5', '23'] -> (1 / 23) - 5 mod 37
[44] ['1', '5', '26'] -> 5 * (1 + 26) mod 37
[45] ['1', '5', '34'] -> 1 + (5 / 34) mod 37
[46] ['1', '5', '35'] -> 5 - (1 / 35) mod 37
[47] ['1', '6', '7'] -> (1 / 6) - 7 mod 37
[48] ['1', '6', '14'] -> 14 * (1 + 6) mod 37
[49] ['1', '6', '21'] -> (1 / 21) - 6 mod 37
[50] ['1', '6', '23'] -> 1 / (23 - 6) mod 37
[51] ['1', '6', '32'] -> (1 + 32) / 6 mod 37
[52] ['1', '7', '10'] -> 1 / (7 + 10) mod 37
[53] ['1', '7', '15'] -> 7 * (15 - 1) mod 37
[54] ['1', '7', '25'] -> (1 + 7) / 25 mod 37
[55] ['1', '7', '28'] -> (7 - 1) / 28 mod 37
[56] ['1', '7', '29'] -> (1 / 7) - 29 mod 37
[57] ['1', '7', '35'] -> 1 + (7 * 35) mod 37
[58] ['1', '8', '8'] -> (8 - 1) / 8 mod 37
[59] ['1', '8', '9'] -> 1 / (8 + 9) mod 37
[60] ['1', '8', '11'] -> 1 - (8 * 11) mod 37
[61] ['1', '8', '13'] -> 8 / (1 - 13) mod 37
[62] ['1', '8', '14'] -> 14 * (8 - 1) mod 37
[63] ['1', '8', '23'] -> 23 * (1 - 8) mod 37
[64] ['1', '8', '28'] -> 1 / (8 - 28) mod 37
[65] ['1', '8', '29'] -> (1 - 8) / 29 mod 37
[66] ['1', '8', '30'] -> 8 - (1 / 30) mod 37
[67] ['1', '8', '35'] -> 8 * (1 - 35) mod 37
[68] ['1', '8', '36'] -> 1 + (36 / 8) mod 37
[69] ['1', '9', '9'] -> (1 / 9) - 9 mod 37
[70] ['1', '9', '11'] -> (9 * 11) - 1 mod 37
[71] ['1', '9', '12'] -> (1 - 9) / 12 mod 37
[72] ['1', '9', '19'] -> 1 + (9 * 19) mod 37
[73] ['1', '9', '20'] -> 20 - (1 / 9) mod 37
[74] ['1', '9', '25'] -> (9 - 1) / 25 mod 37
[75] ['1', '9', '26'] -> 1 / (26 - 9) mod 37
[76] ['1', '9', '27'] -> (9 / 27) - 1 mod 37
[77] ['1', '9', '28'] -> 28 + (1 / 9) mod 37
[78] ['1', '9', '29'] -> 1 / (9 - 29) mod 37
[79] ['1', '9', '35'] -> 1 - (9 / 35) mod 37
[80] ['1', '10', '12'] -> (1 / 12) - 10 mod 37
[81] ['1', '10', '16'] -> 10 / (1 - 16) mod 37
[82] ['1', '10', '17'] -> (1 + 17) / 10 mod 37
[83] ['1', '10', '20'] -> (1 - 20) / 10 mod 37
[84] ['1', '10', '27'] -> 1 / (27 - 10) mod 37
[85] ['1', '10', '28'] -> (28 / 10) - 1 mod 37
[86] ['1', '11', '16'] -> (16 / 11) - 1 mod 37
[87] ['1', '11', '17'] -> 11 - (1 / 17) mod 37
[88] ['1', '11', '22'] -> (11 - 1) / 22 mod 37
[89] ['1', '11', '28'] -> 1 / (28 - 11) mod 37
[90] ['1', '11', '32'] -> 32 * (11 - 1) mod 37
[91] ['1', '12', '15'] -> 1 + (12 / 15) mod 37
[92] ['1', '12', '16'] -> 16 / (1 + 12) mod 37
[93] ['1', '12', '17'] -> 1 + (17 / 12) mod 37
[94] ['1', '12', '21'] -> 21 - (1 / 12) mod 37
[95] ['1', '12', '22'] -> 1 - (12 / 22) mod 37
[96] ['1', '12', '27'] -> 27 + (1 / 12) mod 37
[97] ['1', '12', '28'] -> (1 + 28) / 12 mod 37
[98] ['1', '12', '30'] -> (30 - 1) / 12 mod 37
[99] ['1', '12', '34'] -> 12 + (1 / 34) mod 37
[100] ['1', '13', '15'] -> (1 + 15) / 13 mod 37
[101] ['1', '13', '17'] -> (17 - 1) / 13 mod 37
[102] ['1', '13', '18'] -> (1 - 13) / 18 mod 37
[103] ['1', '13', '21'] -> 1 - (13 * 21) mod 37
[104] ['1', '13', '22'] -> (1 - 22) / 13 mod 37
[105] ['1', '13', '34'] -> 1 - (34 / 13) mod 37
[106] ['1', '14', '22'] -> 14 / (1 - 22) mod 37
[107] ['1', '14', '32'] -> 32 - (1 / 14) mod 37
[108] ['1', '14', '33'] -> (1 + 14) / 33 mod 37
[109] ['1', '14', '34'] -> 1 / (14 - 34) mod 37
[110] ['1', '14', '35'] -> (1 - 35) / 14 mod 37
[111] ['1', '15', '16'] -> (15 - 1) / 16 mod 37
[112] ['1', '15', '18'] -> (1 / 15) - 18 mod 37
[113] ['1', '15', '20'] -> 20 * (1 + 15) mod 37
[114] ['1', '15', '21'] -> (1 - 15) / 21 mod 37
[115] ['1', '15', '25'] -> 1 - (25 / 15) mod 37
[116] ['1', '15', '26'] -> (1 + 26) / 15 mod 37
[117] ['1', '15', '30'] -> 30 * (1 - 15) mod 37
[118] ['1', '15', '35'] -> 1 / (15 - 35) mod 37
[119] ['1', '16', '18'] -> 16 * (1 - 18) mod 37
[120] ['1', '16', '19'] -> 16 * (1 + 19) mod 37
[121] ['1', '16', '23'] -> 16 - (1 / 23) mod 37
[122] ['1', '16', '31'] -> 31 - (1 / 16) mod 37
[123] ['1', '16', '36'] -> 1 / (16 - 36) mod 37
[124] ['1', '17', '17'] -> 17 * (1 - 17) mod 37
[125] ['1', '17', '18'] -> (18 / 17) - 1 mod 37
[126] ['1', '17', '22'] -> 17 * (22 - 1) mod 37
[127] ['1', '17', '23'] -> 23 / (1 - 17) mod 37
[128] ['1', '17', '24'] -> (1 - 17) / 24 mod 37
[129] ['1', '17', '26'] -> 26 * (1 + 17) mod 37
[130] ['1', '17', '28'] -> (1 / 28) - 17 mod 37
[131] ['1', '18', '21'] -> 21 * (18 - 1) mod 37
[132] ['1', '18', '22'] -> 22 - (1 / 18) mod 37
[133] ['1', '18', '35'] -> 1 / (35 - 18) mod 37
[134] ['1', '19', '20'] -> (19 / 20) - 1 mod 37
[135] ['1', '19', '25'] -> 25 / (19 - 1) mod 37
[136] ['1', '19', '30'] -> 1 + (30 / 19) mod 37
[137] ['1', '19', '35'] -> 1 / (19 + 35) mod 37
[138] ['1', '20', '21'] -> 1 - (21 / 20) mod 37
[139] ['1', '20', '22'] -> 20 * (1 - 22) mod 37
[140] ['1', '20', '24'] -> (1 + 20) / 24 mod 37
[141] ['1', '20', '27'] -> (20 - 1) / 27 mod 37
[142] ['1', '20', '28'] -> 20 + (1 / 28) mod 37
[143] ['1', '20', '29'] -> (20 * 29) - 1 mod 37
[144] ['1', '20', '35'] -> (1 + 35) / 20 mod 37
[145] ['1', '21', '21'] -> 21 * (1 - 21) mod 37
[146] ['1', '21', '22'] -> (1 + 22) / 21 mod 37
[147] ['1', '21', '26'] -> (21 / 26) - 1 mod 37
