[1] ['1', '1', '5'] -> 5 / (1 + 1) mod 43
[2] ['1', '1', '8'] -> 1 / (1 + 8) mod 43
[3] ['1', '1', '10'] -> 1 / (10 - 1) mod 43
[4] ['1', '1', '12'] -> 12 * (1 + 1) mod 43
[5] ['1', '1', '15'] -> 1 + (1 / 15) mod 43
[6] ['1', '1', '18'] -> (1 + 1) / 18 mod 43
[7] ['1', '1', '28'] -> 1 - (1 / 28) mod 43
[8] ['1', '1', '31'] -> (1 / 31) - 1 mod 43
[9] ['1', '1', '35'] -> 1 / (1 - 35) mod 43
[10] ['1', '2', '2'] -> 2 + (1 / 2) mod 43
[11] ['1', '2', '4'] -> (1 + 4) / 2 mod 43
[12] ['1', '2', '6'] -> (6 - 1) / 2 mod 43
[13] ['1', '2', '8'] -> 8 * (1 + 2) mod 43
[14] ['1', '2', '9'] -> (2 - 1) / 9 mod 43
[15] ['1', '2', '10'] -> 1 - (2 * 10) mod 43
[16] ['1', '2', '17'] -> 2 / (1 + 17) mod 43
[17] ['1', '2', '29'] -> 29 / (1 + 2) mod 43
[18] ['1', '2', '30'] -> 1 + (2 / 30) mod 43
[19] ['1', '2', '32'] -> 2 * (1 - 32) mod 43
[20] ['1', '2', '33'] -> 1 + (2 * 33) mod 43
[21] ['1', '2', '36'] -> 1 / (2 - 36) mod 43
[22] ['1', '2', '39'] -> (1 - 39) / 2 mod 43
[23] ['1', '2', '40'] -> 1 - (40 / 2) mod 43
[24] ['1', '3', '9'] -> 3 * (9 - 1) mod 43
[25] ['1', '3', '15'] -> (1 - 15) / 3 mod 43
[26] ['1', '3', '18'] -> (3 - 1) / 18 mod 43
[27] ['1', '3', '25'] -> (1 - 3) / 25 mod 43
[28] ['1', '3', '30'] -> (30 - 1) / 3 mod 43
[29] ['1', '3', '31'] -> 31 * (1 - 3) mod 43
[30] ['1', '3', '32'] -> (32 / 3) - 1 mod 43
[31] ['1', '4', '7'] -> 4 * (7 - 1) mod 43
[32] ['1', '4', '9'] -> (1 + 9) / 4 mod 43
[33] ['1', '4', '11'] -> (11 - 1) / 4 mod 43
[34] ['1', '4', '15'] -> 4 - (1 / 15) mod 43
[35] ['1', '4', '26'] -> 1 - (4 / 26) mod 43
[36] ['1', '4', '30'] -> (1 / 4) - 30 mod 43
[37] ['1', '5', '5'] -> (5 * 5) - 1 mod 43
[38] ['1', '5', '6'] -> 6 * (5 - 1) mod 43
[39] ['1', '5', '9'] -> 5 - (1 / 9) mod 43
[40] ['1', '5', '21'] -> 5 * (1 + 21) mod 43
[41] ['1', '5', '26'] -> (5 / 26) - 1 mod 43
[42] ['1', '5', '32'] -> 1 + (5 / 32) mod 43
[43] ['1', '5', '35'] -> (35 - 1) / 5 mod 43
[44] ['1', '5', '36'] -> (5 - 1) / 36 mod 43
[45] ['1', '5', '37'] -> 37 * (1 - 5) mod 43
[46] ['1', '5', '41'] -> 41 + (1 / 5) mod 43
[47] ['1', '5', '42'] -> 5 / (1 - 42) mod 43
[48] ['1', '6', '10'] -> 6 / (1 + 10) mod 43
[49] ['1', '6', '16'] -> (16 - 1) / 6 mod 43
[50] ['1', '6', '20'] -> (1 + 6) / 20 mod 43
[51] ['1', '6', '22'] -> 22 * (6 - 1) mod 43
[52] ['1', '6', '28'] -> 28 * (1 + 6) mod 43
[53] ['1', '6', '32'] -> 1 - (6 * 32) mod 43
[54] ['1', '6', '41'] -> (1 - 6) / 41 mod 43
[55] ['1', '7', '9'] -> 1 - (7 * 9) mod 43
[56] ['1', '7', '15'] -> 15 / (7 - 1) mod 43
[57] ['1', '7', '21'] -> 7 / (21 - 1) mod 43
[58] ['1', '7', '22'] -> (7 * 22) - 1 mod 43
[59] ['1', '7', '34'] -> 1 + (7 * 34) mod 43
[60] ['1', '7', '40'] -> (40 - 1) / 7 mod 43
[61] ['1', '7', '41'] -> 1 / (7 - 41) mod 43
[62] ['1', '8', '8'] -> 8 - (1 / 8) mod 43
[63] ['1', '8', '9'] -> 1 - (8 / 9) mod 43
[64] ['1', '8', '21'] -> (21 - 1) / 8 mod 43
[65] ['1', '8', '23'] -> (1 - 8) / 23 mod 43
[66] ['1', '8', '34'] -> 1 + (8 / 34) mod 43
[67] ['1', '8', '35'] -> 8 + (1 / 35) mod 43
[68] ['1', '8', '38'] -> (1 + 8) / 38 mod 43
[69] ['1', '8', '40'] -> 40 + (1 / 8) mod 43
[70] ['1', '8', '41'] -> 8 * (1 - 41) mod 43
[71] ['1', '8', '42'] -> 1 / (8 - 42) mod 43
[72] ['1', '9', '10'] -> (10 / 9) - 1 mod 43
[73] ['1', '9', '21'] -> (9 / 21) - 1 mod 43
[74] ['1', '9', '25'] -> 25 / (1 + 9) mod 43
[75] ['1', '9', '30'] -> (1 / 30) - 9 mod 43
[76] ['1', '9', '35'] -> 1 + (35 / 9) mod 43
[77] ['1', '9', '36'] -> 1 + (9 * 36) mod 43
[78] ['1', '9', '39'] -> 9 / (39 - 1) mod 43
[79] ['1', '9', '40'] -> 40 * (1 - 9) mod 43
[80] ['1', '9', '41'] -> (9 * 41) - 1 mod 43
[81] ['1', '10', '12'] -> 10 * (12 - 1) mod 43
[82] ['1', '10', '17'] -> 17 * (10 - 1) mod 43
[83] ['1', '10', '21'] -> 1 + (10 / 21) mod 43
[84] ['1', '10', '22'] -> 1 - (10 / 22) mod 43
[85] ['1', '10', '32'] -> (1 / 10) - 32 mod 43
[86] ['1', '10', '37'] -> 37 - (1 / 10) mod 43
[87] ['1', '10', '38'] -> (10 - 1) / 38 mod 43
[88] ['1', '10', '41'] -> 1 + (10 * 41) mod 43
[89] ['1', '11', '11'] -> 11 * (11 - 1) mod 43
[90] ['1', '11', '16'] -> (1 / 16) - 11 mod 43
[91] ['1', '11', '17'] -> (17 / 11) - 1 mod 43
[92] ['1', '11', '18'] -> 18 / (1 - 11) mod 43
[93] ['1', '11', '22'] -> (1 + 11) / 22 mod 43
[94] ['1', '11', '23'] -> (1 / 11) - 23 mod 43
[95] ['1', '11', '25'] -> 25 / (11 - 1) mod 43
[96] ['1', '11', '28'] -> 28 - (1 / 11) mod 43
[97] ['1', '11', '32'] -> 32 * (1 - 11) mod 43
[98] ['1', '11', '33'] -> 11 - (1 / 33) mod 43
[99] ['1', '11', '37'] -> 1 - (11 * 37) mod 43
[100] ['1', '11', '39'] -> (1 - 11) / 39 mod 43
[101] ['1', '11', '40'] -> (11 / 40) - 1 mod 43
[102] ['1', '11', '41'] -> 1 / (11 + 41) mod 43
[103] ['1', '12', '14'] -> (1 - 14) / 12 mod 43
