[1] ['1', '1', '5'] -> (1 + 1) / 5 mod 59
[2] ['1', '1', '12'] -> 12 * (1 + 1) mod 59
[3] ['1', '1', '18'] -> 1 + (1 / 18) mod 59
[4] ['1', '1', '28'] -> 1 / (1 - 28) mod 59
[5] ['1', '1', '31'] -> 1 / (1 + 31) mod 59
[6] ['1', '1', '33'] -> 1 / (33 - 1) mod 59
[7] ['1', '1', '41'] -> 1 - (1 / 41) mod 59
[8] ['1', '1', '48'] -> 48 / (1 + 1) mod 59
[9] ['1', '2', '4'] -> 2 / (1 + 4) mod 59
[10] ['1', '2', '11'] -> 2 * (1 + 11) mod 59
[11] ['1', '2', '18'] -> 1 - (2 * 18) mod 59
[12] ['1', '2', '29'] -> 1 / (2 - 29) mod 59
[13] ['1', '2', '30'] -> 1 / (2 + 30) mod 59
[14] ['1', '2', '32'] -> (2 - 1) / 32 mod 59
[15] ['1', '2', '41'] -> 1 + (2 * 41) mod 59
[16] ['1', '2', '42'] -> (2 * 42) - 1 mod 59
[17] ['1', '2', '46'] -> 1 + (46 / 2) mod 59
[18] ['1', '2', '47'] -> (1 + 47) / 2 mod 59
[19] ['1', '2', '49'] -> (49 - 1) / 2 mod 59
[20] ['1', '2', '50'] -> (50 / 2) - 1 mod 59
[21] ['1', '2', '51'] -> 2 + (1 / 51) mod 59
[22] ['1', '2', '52'] -> (2 / 52) - 1 mod 59
[23] ['1', '2', '53'] -> 53 + (1 / 2) mod 59
[24] ['1', '2', '54'] -> 54 - (1 / 2) mod 59
[25] ['1', '2', '55'] -> 2 / (1 - 55) mod 59
[26] ['1', '3', '4'] -> 4 + (1 / 3) mod 59
[27] ['1', '3', '6'] -> 6 * (1 + 3) mod 59
[28] ['1', '3', '7'] -> 3 * (1 + 7) mod 59
[29] ['1', '3', '9'] -> 3 * (9 - 1) mod 59
[30] ['1', '3', '11'] -> 11 / (1 - 3) mod 59
[31] ['1', '3', '16'] -> (16 / 3) - 1 mod 59
[32] ['1', '3', '19'] -> (3 / 19) - 1 mod 59
[33] ['1', '3', '23'] -> 3 / (1 - 23) mod 59
[34] ['1', '3', '29'] -> 1 / (3 + 29) mod 59
