[1] ['1', '1', '4'] -> 1 / (1 - 4) mod 73
[2] ['1', '1', '12'] -> 12 * (1 + 1) mod 73
[3] ['1', '1', '19'] -> 1 - (1 / 19) mod 73
[4] ['1', '1', '38'] -> (1 / 38) - 1 mod 73
[5] ['1', '1', '48'] -> 48 / (1 + 1) mod 73
[6] ['1', '1', '54'] -> 1 + (1 / 54) mod 73
[7] ['1', '1', '67'] -> (1 + 1) / 67 mod 73
[8] ['1', '1', '69'] -> 1 / (1 + 69) mod 73
[9] ['1', '1', '71'] -> 1 / (71 - 1) mod 73
[10] ['1', '2', '5'] -> 1 / (2 - 5) mod 73
[11] ['1', '2', '7'] -> 2 / (1 - 7) mod 73
[12] ['1', '2', '8'] -> 8 * (1 + 2) mod 73
[13] ['1', '2', '10'] -> 2 + (1 / 10) mod 73
[14] ['1', '2', '11'] -> 2 * (1 + 11) mod 73
[15] ['1', '2', '38'] -> 1 - (2 / 38) mod 73
[16] ['1', '2', '46'] -> 1 + (46 / 2) mod 73
[17] ['1', '2', '47'] -> (1 + 47) / 2 mod 73
[18] ['1', '2', '59'] -> (1 / 59) - 2 mod 73
[19] ['1', '2', '60'] -> 60 + (1 / 2) mod 73
[20] ['1', '2', '61'] -> 61 - (1 / 2) mod 73
[21] ['1', '2', '62'] -> 2 * (1 - 62) mod 73
[22] ['1', '2', '63'] -> 2 - (1 / 63) mod 73
[23] ['1', '2', '64'] -> (1 + 2) / 64 mod 73
[24] ['1', '2', '66'] -> 2 / (1 + 66) mod 73
[25] ['1', '2', '70'] -> (2 - 1) / 70 mod 73
[26] ['1', '3', '4'] -> 1 - (4 / 3) mod 73
[27] ['1', '3', '9'] -> 3 * (9 - 1) mod 73
[28] ['1', '3', '10'] -> 3 / (1 - 10) mod 73
[29] ['1', '3', '12'] -> 12 * (3 - 1) mod 73
[30] ['1', '3', '16'] -> 1 + (3 / 16) mod 73
[31] ['1', '3', '23'] -> 23 / (1 + 3) mod 73
[32] ['1', '3', '32'] -> 1 + (3 * 32) mod 73
[33] ['1', '3', '46'] -> (1 / 46) - 3 mod 73
[34] ['1', '3', '63'] -> 3 / (1 + 63) mod 73
[35] ['1', '3', '65'] -> 3 / (65 - 1) mod 73
[36] ['1', '3', '69'] -> 1 + (69 / 3) mod 73
[37] ['1', '3', '71'] -> (1 + 71) / 3 mod 73
[38] ['1', '4', '5'] -> 4 * (1 + 5) mod 73
