[1] ['1/9', '1/6', '4/3'] -> 4/3 / (1/6 - 1/9)
[2] ['1/9', '2', '6'] -> (2 / 1/9) + 6
[3] ['2/9', '7/3', '3'] -> (3 + 7/3) / 2/9
[4] ['2/9', '8/3', '8/3'] -> (8/3 + 8/3) / 2/9
[5] ['2/9', '8/3', '8'] -> (8 - 8/3) / 2/9
[6] ['2/9', '3', '6'] -> (6 / 2/9) - 3
[7] ['1/4', '2/7', '6/7'] -> 6/7 / (2/7 - 1/4)
[8] ['1/4', '3/8', '3'] -> 3 / (3/8 - 1/4)
[9] ['1/4', '1/2', '6'] -> 6 / (1/2 - 1/4)
[10] ['1/4', '3', '3'] -> (3 + 3) / 1/4
[11] ['1/4', '3', '9'] -> (9 - 3) / 1/4
[12] ['1/4', '4', '5'] -> (5 / 1/4) + 4
[13] ['1/9', '7/3', '3'] -> (7/3 / 1/9) + 3
[14] ['1/4', '4', '7'] -> (7 / 1/4) - 4
[15] ['1/4', '4', '8'] -> (4 / 1/4) + 8
[16] ['1/4', '9/2', '6'] -> (9/2 / 1/4) + 6
[17] ['1/4', '8', '8'] -> (8 / 1/4) - 8
[18] ['1/4', '3/2', '9/2'] -> (3/2 + 9/2) / 1/4
[19] ['1/4', '1', '5'] -> (1 + 5) / 1/4
[20] ['1/4', '1', '7'] -> (7 - 1) / 1/4
[21] ['1/4', '5/8', '9'] -> 9 / (5/8 - 1/4)
[22] ['2/7', '1/2', '7'] -> (7 / 2/7) - 1/2
[23] ['2/7', '1/3', '8/7'] -> 8/7 / (1/3 - 2/7)
[24] ['1/9', '7/3', '5'] -> (5 - 7/3) / 1/9
[25] ['1/4', '2', '4'] -> (2 + 4) / 1/4
[26] ['1/4', '2', '8'] -> (8 - 2) / 1/4
[27] ['1/4', '5/2', '7/2'] -> (5/2 + 7/2) / 1/4
[28] ['2/7', '3', '6'] -> (6 / 2/7) + 3
[29] ['2/7', '8/7', '8'] -> (8 - 8/7) / 2/7
[30] ['2/7', '4', '8'] -> (8 / 2/7) - 4
[31] ['2/7', '6/7', '6'] -> (6 + 6/7) / 2/7
[32] ['1/3', '4/9', '8/3'] -> 8/3 / (4/9 - 1/3)
[33] ['1/3', '8/3', '8'] -> (1/3 + 8/3) * 8
[34] ['1/3', '3', '5'] -> (3 + 5) / 1/3
[35] ['1/9', '3', '3'] -> (3 / 1/9) - 3
[36] ['1/3', '3', '7'] -> (7 / 1/3) + 3
[37] ['1/3', '7/2', '9/2'] -> (7/2 + 9/2) / 1/3
[38] ['1/3', '4', '4'] -> (4 + 4) / 1/3
[39] ['1/3', '9/2', '5'] -> (1/3 + 5) * 9/2
[40] ['1/3', '5', '9'] -> (5 / 1/3) + 9
[41] ['1/3', '6', '6'] -> (6 / 1/3) + 6
[42] ['1/3', '2', '6'] -> (2 + 6) / 1/3
[43] ['1/3', '7/3', '9'] -> (1/3 + 7/3) * 9
[44] ['1/3', '5/8', '7'] -> 7 / (5/8 - 1/3)
[45] ['1/3', '2/3', '8'] -> 8 / (2/3 - 1/3)
[46] ['1/9', '1/6', '5/2'] -> (1/6 + 5/2) / 1/9
[47] ['3/8', '2/5', '3/5'] -> 3/5 / (2/5 - 3/8)
[48] ['3/8', '3/7', '9/7'] -> 9/7 / (3/7 - 3/8)
[49] ['1/3', '7/8', '8/9'] -> 1/3 / (8/9 - 7/8)
[50] ['1/3', '1', '7'] -> (1 + 7) / 1/3
[51] ['1/3', '1', '9'] -> (9 - 1) / 1/3
[52] ['1/3', '3/8', '1'] -> 1 / (3/8 - 1/3)
[53] ['1/3', '2/5', '8/5'] -> 8/5 / (2/5 - 1/3)
[54] ['3/8', '4/9', '5/3'] -> 5/3 / (4/9 - 3/8)
[55] ['3/8', '1/2', '3'] -> 3 / (1/2 - 3/8)
[56] ['3/8', '3/4', '9'] -> 9 / (3/4 - 3/8)
[57] ['1/9', '4/9', '8'] -> 8 / (4/9 - 1/9)
[58] ['3/8', '3', '6'] -> (3 + 6) / 3/8
[59] ['3/8', '4', '5'] -> (4 + 5) / 3/8
[60] ['3/8', '9/2', '9/2'] -> (9/2 + 9/2) / 3/8
[61] ['3/8', '6', '8'] -> (6 / 3/8) + 8
[62] ['3/8', '1', '8'] -> (1 + 8) / 3/8
[63] ['3/8', '2', '7'] -> (2 + 7) / 3/8
[64] ['3/8', '8/3', '8'] -> (8 / 3/8) + 8/3
[65] ['3/8', '5/8', '6'] -> 6 / (5/8 - 3/8)
[66] ['3/8', '2/3', '7'] -> 7 / (2/3 - 3/8)
[67] ['2/5', '4', '8'] -> (8 / 2/5) + 4
[68] ['1/9', '7/6', '3/2'] -> (3/2 + 7/6) / 1/9
[69] ['2/5', '6', '9'] -> (6 / 2/5) + 9
[70] ['2/5', '3/5', '9'] -> (3/5 + 9) / 2/5
[71] ['2/5', '3/2', '9'] -> (9 / 2/5) + 3/2
[72] ['2/5', '8/5', '8'] -> (8 + 8/5) / 2/5
[73] ['3/7', '3', '7'] -> (3 + 3/7) * 7
[74] ['3/7', '3', '9'] -> (9 / 3/7) + 3
[75] ['3/7', '9/7', '9'] -> (9 + 9/7) / 3/7
[76] ['3/7', '9/8', '8/7'] -> 3/7 / (8/7 - 9/8)
[77] ['3/7', '6/7', '7/8'] -> 3/7 / (7/8 - 6/7)
[78] ['4/9', '1/2', '4/3'] -> 4/3 / (1/2 - 4/9)
[79] ['1/9', '1/3', '7/3'] -> (1/3 + 7/3) / 1/9
[80] ['4/9', '5/9', '8/3'] -> 8/3 / (5/9 - 4/9)
[81] ['4/9', '7/9', '8'] -> 8 / (7/9 - 4/9)
[82] ['4/9', '6', '8'] -> (8 / 4/9) + 6
[83] ['1/2', '5/9', '4/3'] -> 4/3 / (5/9 - 1/2)
[84] ['4/9', '8/3', '8'] -> (8 + 8/3) / 4/9
[85] ['4/9', '5/3', '9'] -> (5/3 + 9) / 4/9
[86] ['1/2', '5/8', '3'] -> 3 / (5/8 - 1/2)
[87] ['1/2', '2/3', '4'] -> 4 / (2/3 - 1/2)
[88] ['1/2', '5/6', '8'] -> 8 / (5/6 - 1/2)
[89] ['1/2', '7/8', '9'] -> 9 / (7/8 - 1/2)
