[1] ['1', '1', '12'] -> (1 + 1) * 12
[2] ['1', '2', '72'] -> 72 / (1 + 2)
[3] ['5', '5', '25'] -> 25 - (5 / 5)
[4] ['5', '5', '23'] -> (5 / 5) + 23
[5] ['5', '5', '49'] -> 49 - (5 * 5)
[6] ['5', '5', '95'] -> (95 / 5) + 5
[7] ['5', '6', '6'] -> (5 * 6) - 6
[8] ['5', '6', '9'] -> (9 - 5) * 6
[9] ['5', '6', '54'] -> 54 - (5 * 6)
[10] ['5', '6', '90'] -> (90 / 5) + 6
[11] ['5', '7', '48'] -> 48 / (7 - 5)
[12] ['5', '7', '85'] -> (85 / 5) + 7
[13] ['5', '7', '59'] -> 59 - (5 * 7)
[14] ['5', '7', '11'] -> (5 * 7) - 11
[15] ['5', '8', '8'] -> (8 - 5) * 8
[16] ['5', '8', '16'] -> (5 * 8) - 16
[17] ['5', '8', '64'] -> 64 - (5 * 8)
[18] ['5', '8', '72'] -> 72 / (8 - 5)
[19] ['1', '3', '6'] -> (1 + 3) * 6
[20] ['5', '8', '80'] -> (80 / 5) + 8
[21] ['5', '9', '21'] -> (5 * 9) - 21
[22] ['5', '9', '69'] -> 69 - (5 * 9)
[23] ['5', '9', '75'] -> (75 / 5) + 9
[24] ['5', '9', '96'] -> 96 / (9 - 5)
[25] ['5', '10', '22'] -> (10 / 5) + 22
[26] ['5', '10', '70'] -> (70 / 5) + 10
[27] ['5', '10', '74'] -> 74 - (10 * 5)
[28] ['5', '11', '31'] -> (11 * 5) - 31
[29] ['5', '11', '65'] -> (65 / 5) + 11
[30] ['5', '11', '79'] -> 79 - (11 * 5)
[31] ['5', '12', '84'] -> 84 - (12 * 5)
[32] ['5', '12', '60'] -> (60 / 5) + 12
[33] ['5', '12', '36'] -> (12 * 5) - 36
[34] ['5', '13', '41'] -> (13 * 5) - 41
[35] ['5', '13', '55'] -> (55 / 5) + 13
[36] ['5', '13', '89'] -> 89 - (13 * 5)
[37] ['5', '14', '46'] -> (14 * 5) - 46
[38] ['5', '14', '50'] -> (50 / 5) + 14
[39] ['5', '14', '94'] -> 94 - (14 * 5)
[40] ['5', '15', '45'] -> (45 / 5) + 15
[41] ['5', '15', '21'] -> (15 / 5) + 21
[42] ['5', '15', '27'] -> 27 - (15 / 5)
[43] ['5', '15', '99'] -> 99 - (15 * 5)
[44] ['5', '15', '51'] -> (15 * 5) - 51
[45] ['5', '16', '56'] -> (16 * 5) - 56
[46] ['5', '16', '40'] -> (40 / 5) + 16
[47] ['5', '17', '35'] -> (35 / 5) + 17
[48] ['5', '17', '61'] -> (17 * 5) - 61
[49] ['5', '18', '30'] -> (30 / 5) + 18
[50] ['5', '18', '66'] -> (18 * 5) - 66
[51] ['5', '19', '25'] -> (25 / 5) + 19
[52] ['5', '19', '71'] -> (19 * 5) - 71
[53] ['5', '20', '20'] -> (20 / 5) + 20
[54] ['5', '20', '28'] -> 28 - (20 / 5)
[55] ['5', '20', '76'] -> (20 * 5) - 76
[56] ['5', '21', '99'] -> (21 + 99) / 5
[57] ['5', '21', '81'] -> (21 * 5) - 81
[58] ['5', '22', '86'] -> (22 * 5) - 86
[59] ['5', '22', '98'] -> (22 + 98) / 5
[60] ['5', '23', '91'] -> (23 * 5) - 91
[61] ['5', '23', '97'] -> (23 + 97) / 5
[62] ['5', '25', '29'] -> 29 - (25 / 5)
[63] ['5', '25', '95'] -> (25 + 95) / 5
[64] ['5', '26', '94'] -> (26 + 94) / 5
[65] ['5', '27', '93'] -> (27 + 93) / 5
[66] ['5', '28', '92'] -> (28 + 92) / 5
[67] ['5', '29', '91'] -> (29 + 91) / 5
[68] ['5', '30', '30'] -> 30 - (30 / 5)
[69] ['5', '30', '90'] -> (30 + 90) / 5
[70] ['5', '31', '89'] -> (31 + 89) / 5
[71] ['5', '31', '35'] -> 31 - (35 / 5)
[72] ['5', '32', '40'] -> 32 - (40 / 5)
[73] ['5', '32', '88'] -> (32 + 88) / 5
[74] ['5', '33', '45'] -> 33 - (45 / 5)
[75] ['5', '33', '87'] -> (33 + 87) / 5
[76] ['5', '34', '50'] -> 34 - (50 / 5)
[77] ['5', '34', '86'] -> (34 + 86) / 5
[78] ['5', '35', '55'] -> 35 - (55 / 5)
[79] ['5', '35', '85'] -> (35 + 85) / 5
[80] ['5', '36', '60'] -> 36 - (60 / 5)
[81] ['5', '36', '84'] -> (36 + 84) / 5
[82] ['5', '37', '83'] -> (37 + 83) / 5
[83] ['5', '37', '65'] -> 37 - (65 / 5)
[84] ['5', '38', '70'] -> 38 - (70 / 5)
[85] ['5', '38', '82'] -> (38 + 82) / 5
[86] ['5', '39', '75'] -> 39 - (75 / 5)
[87] ['5', '39', '81'] -> (39 + 81) / 5
[88] ['5', '41', '85'] -> 41 - (85 / 5)
[89] ['5', '41', '79'] -> (41 + 79) / 5
[90] ['5', '42', '78'] -> (42 + 78) / 5
[91] ['5', '42', '90'] -> 42 - (90 / 5)
[92] ['5', '43', '95'] -> 43 - (95 / 5)
[93] ['5', '43', '77'] -> (43 + 77) / 5
[94] ['5', '44', '76'] -> (44 + 76) / 5
[95] ['5', '45', '75'] -> (45 + 75) / 5
[96] ['5', '46', '74'] -> (46 + 74) / 5
[97] ['5', '47', '73'] -> (47 + 73) / 5
[98] ['5', '48', '72'] -> (48 + 72) / 5
[99] ['5', '49', '71'] -> (49 + 71) / 5
[100] ['5', '50', '70'] -> (50 + 70) / 5
[101] ['5', '51', '69'] -> (51 + 69) / 5
[102] ['5', '52', '68'] -> (52 + 68) / 5
[103] ['5', '53', '67'] -> (53 + 67) / 5
[104] ['5', '54', '66'] -> (54 + 66) / 5
[105] ['5', '55', '65'] -> (55 + 65) / 5
[106] ['5', '56', '64'] -> (56 + 64) / 5
[107] ['5', '57', '63'] -> (57 + 63) / 5
[108] ['5', '58', '62'] -> (58 + 62) / 5
[109] ['5', '59', '61'] -> (59 + 61) / 5
[110] ['5', '60', '60'] -> (60 + 60) / 5
[111] ['1', '3', '7'] -> (1 + 7) * 3
[112] ['6', '6', '23'] -> (6 / 6) + 23
[113] ['6', '6', '25'] -> 25 - (6 / 6)
[114] ['6', '6', '10'] -> (10 - 6) * 6
[115] ['6', '6', '60'] -> 60 - (6 * 6)
[116] ['6', '7', '66'] -> 66 - (6 * 7)
[117] ['6', '7', '18'] -> (6 * 7) - 18
[118] ['6', '8', '9'] -> (9 - 6) * 8
[119] ['6', '8', '24'] -> (6 * 8) - 24
[120] ['6', '8', '48'] -> 48 / (8 - 6)
[121] ['6', '8', '72'] -> 72 - (6 * 8)
[122] ['6', '8', '96'] -> (96 / 6) + 8
[123] ['6', '9', '13'] -> (13 - 9) * 6
[124] ['6', '9', '30'] -> (6 * 9) - 30
[125] ['6', '9', '72'] -> 72 / (9 - 6)
[126] ['6', '9', '78'] -> 78 - (6 * 9)
[127] ['6', '9', '90'] -> (90 / 6) + 9
[128] ['6', '10', '14'] -> (14 - 10) * 6
[129] ['6', '10', '36'] -> (10 * 6) - 36
[130] ['6', '10', '96'] -> 96 / (10 - 6)
[131] ['6', '11', '15'] -> (15 - 11) * 6
[132] ['6', '11', '42'] -> (11 * 6) - 42
[133] ['6', '11', '90'] -> 90 - (11 * 6)
[134] ['6', '11', '78'] -> (78 / 6) + 11
[135] ['6', '12', '16'] -> (16 - 12) * 6
[136] ['6', '12', '22'] -> (12 / 6) + 22
[137] ['6', '12', '26'] -> 26 - (12 / 6)
[138] ['6', '12', '72'] -> (72 / 6) + 12
[139] ['6', '12', '96'] -> 96 - (12 * 6)
[140] ['6', '13', '54'] -> (13 * 6) - 54
[141] ['6', '13', '66'] -> (66 / 6) + 13
[142] ['6', '14', '18'] -> (18 - 14) * 6
[143] ['6', '15', '19'] -> (19 - 15) * 6
[144] ['6', '15', '66'] -> (15 * 6) - 66
[145] ['6', '15', '54'] -> (54 / 6) + 15
[146] ['6', '16', '20'] -> (20 - 16) * 6
[147] ['6', '16', '48'] -> (48 / 6) + 16
[148] ['6', '16', '72'] -> (16 * 6) - 72
[149] ['1', '3', '9'] -> (9 - 1) * 3
[150] ['6', '17', '42'] -> (42 / 6) + 17
[151] ['6', '17', '21'] -> (21 - 17) * 6
[152] ['6', '17', '78'] -> (17 * 6) - 78
[153] ['6', '18', '84'] -> (18 * 6) - 84
[154] ['6', '18', '21'] -> (18 / 6) + 21
[155] ['6', '18', '22'] -> (22 - 18) * 6
[156] ['6', '18', '27'] -> 27 - (18 / 6)
[157] ['6', '19', '23'] -> (23 - 19) * 6
[158] ['6', '19', '90'] -> (19 * 6) - 90
[159] ['6', '19', '30'] -> (30 / 6) + 19
[160] ['6', '20', '96'] -> (20 * 6) - 96
[161] ['6', '21', '25'] -> (25 - 21) * 6
[162] ['6', '22', '26'] -> (26 - 22) * 6
[163] ['6', '23', '27'] -> (27 - 23) * 6
[164] ['6', '25', '29'] -> (29 - 25) * 6
[165] ['6', '26', '30'] -> (30 - 26) * 6
[166] ['6', '27', '31'] -> (31 - 27) * 6
[167] ['6', '28', '32'] -> (32 - 28) * 6
[168] ['6', '29', '30'] -> 29 - (30 / 6)
[169] ['6', '29', '33'] -> (33 - 29) * 6
[170] ['6', '30', '34'] -> (34 - 30) * 6
[171] ['6', '30', '36'] -> 30 - (36 / 6)
[172] ['6', '31', '35'] -> (35 - 31) * 6
[173] ['6', '31', '42'] -> 31 - (42 / 6)
[174] ['6', '32', '36'] -> (36 - 32) * 6
[175] ['6', '32', '48'] -> 32 - (48 / 6)
[176] ['6', '33', '54'] -> 33 - (54 / 6)
[177] ['6', '33', '37'] -> (37 - 33) * 6
[178] ['6', '34', '60'] -> 34 - (60 / 6)
[179] ['6', '34', '38'] -> (38 - 34) * 6
[180] ['6', '35', '66'] -> 35 - (66 / 6)
[181] ['6', '35', '39'] -> (39 - 35) * 6
[182] ['6', '36', '40'] -> (40 - 36) * 6
[183] ['6', '36', '72'] -> 36 - (72 / 6)
[184] ['6', '37', '78'] -> 37 - (78 / 6)
[185] ['6', '37', '41'] -> (41 - 37) * 6
[186] ['6', '38', '84'] -> 38 - (84 / 6)
[187] ['6', '38', '42'] -> (42 - 38) * 6
[188] ['6', '39', '90'] -> 39 - (90 / 6)
[189] ['6', '39', '43'] -> (43 - 39) * 6
[190] ['6', '40', '44'] -> (44 - 40) * 6
[191] ['6', '40', '96'] -> 40 - (96 / 6)
[192] ['6', '41', '45'] -> (45 - 41) * 6
[193] ['6', '42', '46'] -> (46 - 42) * 6
[194] ['6', '43', '47'] -> (47 - 43) * 6
[195] ['6', '44', '48'] -> (48 - 44) * 6
[196] ['6', '45', '99'] -> (45 + 99) / 6
[197] ['6', '45', '49'] -> (49 - 45) * 6
[198] ['6', '46', '50'] -> (50 - 46) * 6
[199] ['6', '46', '98'] -> (46 + 98) / 6
[200] ['6', '47', '51'] -> (51 - 47) * 6
[201] ['6', '47', '97'] -> (47 + 97) / 6
[202] ['6', '48', '52'] -> (52 - 48) * 6
[203] ['6', '48', '96'] -> (48 + 96) / 6
[204] ['6', '49', '53'] -> (53 - 49) * 6
[205] ['6', '49', '95'] -> (49 + 95) / 6
[206] ['6', '50', '54'] -> (54 - 50) * 6
