[1] ['1', '1', '12'] -> (1 + 1) * 12
[2] ['5', '6', '6'] -> (5 * 6) - 6
[3] ['5', '6', '9'] -> (9 - 5) * 6
[4] ['5', '7', '11'] -> (5 * 7) - 11
[5] ['5', '8', '8'] -> (8 - 5) * 8
[6] ['5', '8', '16'] -> (5 * 8) - 16
[7] ['1', '3', '6'] -> (1 + 3) * 6
[8] ['1', '3', '7'] -> (1 + 7) * 3
[9] ['6', '6', '10'] -> (10 - 6) * 6
[10] ['6', '7', '18'] -> (6 * 7) - 18
[11] ['6', '8', '9'] -> (9 - 6) * 8
[12] ['6', '9', '13'] -> (13 - 9) * 6
[13] ['6', '10', '14'] -> (14 - 10) * 6
[14] ['6', '11', '15'] -> (15 - 11) * 6
[15] ['6', '12', '16'] -> (16 - 12) * 6
[16] ['6', '14', '18'] -> (18 - 14) * 6
[17] ['6', '15', '19'] -> (19 - 15) * 6
[18] ['1', '3', '9'] -> (9 - 1) * 3
[19] ['1', '3', '12'] -> (3 - 1) * 12
[20] ['7', '8', '10'] -> (10 - 7) * 8
[21] ['7', '9', '12'] -> (9 - 7) * 12
[22] ['8', '8', '8'] -> 8 + 8 + 8
[23] ['8', '8', '11'] -> (11 - 8) * 8
[24] ['8', '9', '12'] -> (12 - 9) * 8
[25] ['8', '10', '12'] -> (10 - 8) * 12
[26] ['8', '10', '13'] -> (13 - 10) * 8
[27] ['8', '11', '14'] -> (14 - 11) * 8
[28] ['8', '12', '15'] -> (15 - 12) * 8
[29] ['8', '13', '16'] -> (16 - 13) * 8
[30] ['8', '14', '17'] -> (17 - 14) * 8
[31] ['8', '15', '18'] -> (18 - 15) * 8
[32] ['8', '16', '19'] -> (19 - 16) * 8
[33] ['9', '11', '12'] -> (11 - 9) * 12
[34] ['1', '4', '5'] -> (1 + 5) * 4
[35] ['10', '12', '12'] -> (12 - 10) * 12
[36] ['1', '4', '7'] -> (7 - 1) * 4
[37] ['11', '12', '13'] -> (13 - 11) * 12
[38] ['1', '4', '8'] -> (4 - 1) * 8
[39] ['12', '12', '14'] -> (14 - 12) * 12
[40] ['12', '13', '15'] -> (15 - 13) * 12
[41] ['12', '14', '16'] -> (16 - 14) * 12
[42] ['12', '15', '17'] -> (17 - 15) * 12
[43] ['2', '2', '13'] -> (13 * 2) - 2
[44] ['2', '2', '14'] -> (14 - 2) * 2
[45] ['2', '2', '10'] -> (10 + 2) * 2
[46] ['2', '2', '11'] -> (11 * 2) + 2
[47] ['2', '3', '15'] -> (15 - 3) * 2
[48] ['2', '3', '18'] -> (2 * 3) + 18
[49] ['2', '3', '6'] -> (2 + 6) * 3
[50] ['2', '3', '9'] -> (3 + 9) * 2
[51] ['2', '3', '10'] -> (10 - 2) * 3
[52] ['2', '4', '10'] -> (10 * 2) + 4
[53] ['2', '4', '14'] -> (14 * 2) - 4
[54] ['2', '4', '4'] -> (2 + 4) * 4
[55] ['2', '5', '14'] -> (2 * 5) + 14
[56] ['2', '5', '7'] -> (5 + 7) * 2
[57] ['2', '5', '8'] -> (5 - 2) * 8
[58] ['1', '2', '13'] -> (13 - 1) * 2
[59] ['1', '5', '5'] -> (5 * 5) - 1
[60] ['2', '6', '9'] -> (2 * 9) + 6
[61] ['2', '6', '12'] -> (2 * 6) + 12
[62] ['2', '6', '15'] -> (15 * 2) - 6
[63] ['2', '6', '18'] -> (18 - 6) * 2
[64] ['1', '5', '6'] -> (5 - 1) * 6
[65] ['2', '7', '10'] -> (2 * 7) + 10
[66] ['2', '8', '16'] -> (16 * 2) - 8
[67] ['2', '8', '8'] -> (2 * 8) + 8
[68] ['2', '10', '17'] -> (17 * 2) - 10
[69] ['2', '10', '19'] -> (10 / 2) + 19
[70] ['2', '14', '17'] -> (14 / 2) + 17
[71] ['2', '14', '19'] -> (19 * 2) - 14
[72] ['2', '15', '18'] -> (18 / 2) + 15
[73] ['2', '16', '16'] -> (16 / 2) + 16
[74] ['3', '3', '15'] -> (3 * 3) + 15
[75] ['3', '3', '4'] -> (3 + 3) * 4
[76] ['3', '3', '5'] -> (3 + 5) * 3
[77] ['3', '3', '7'] -> (3 * 7) + 3
[78] ['3', '3', '9'] -> (3 * 9) - 3
[79] ['3', '3', '11'] -> (11 - 3) * 3
[80] ['3', '4', '4'] -> (4 + 4) * 3
[81] ['3', '4', '9'] -> (9 - 3) * 4
[82] ['3', '5', '12'] -> (5 - 3) * 12
[83] ['3', '5', '13'] -> (13 - 5) * 3
[84] ['3', '5', '9'] -> (3 * 5) + 9
[85] ['3', '6', '6'] -> (3 * 6) + 6
[86] ['3', '6', '7'] -> (7 - 3) * 6
[87] ['3', '6', '8'] -> (6 - 3) * 8
[88] ['3', '6', '10'] -> (10 * 3) - 6
[89] ['3', '6', '14'] -> (14 - 6) * 3
[90] ['3', '7', '15'] -> (15 - 7) * 3
[91] ['3', '8', '16'] -> (16 - 8) * 3
[92] ['3', '9', '11'] -> (11 * 3) - 9
[93] ['3', '9', '17'] -> (17 - 9) * 3
[94] ['3', '10', '18'] -> (18 - 10) * 3
[95] ['3', '11', '19'] -> (19 - 11) * 3
[96] ['3', '12', '12'] -> (12 * 3) - 12
[97] ['3', '13', '15'] -> (13 * 3) - 15
[98] ['3', '14', '18'] -> (14 * 3) - 18
[99] ['3', '15', '19'] -> (15 / 3) + 19
[100] ['3', '18', '18'] -> (18 / 3) + 18
[101] ['4', '4', '10'] -> (10 - 4) * 4
[102] ['4', '4', '5'] -> (4 * 5) + 4
[103] ['4', '4', '7'] -> (4 * 7) - 4
[104] ['4', '4', '8'] -> (4 * 4) + 8
[105] ['4', '5', '11'] -> (11 - 5) * 4
[106] ['4', '6', '8'] -> (8 - 4) * 6
[107] ['4', '7', '8'] -> (7 - 4) * 8
[108] ['4', '8', '8'] -> (4 * 8) - 8
[109] ['4', '8', '14'] -> (14 - 8) * 4
[110] ['4', '9', '15'] -> (15 - 9) * 4
[111] ['4', '9', '12'] -> (4 * 9) - 12
[112] ['4', '12', '18'] -> (18 - 12) * 4
[113] ['4', '13', '19'] -> (19 - 13) * 4
[114] ['1', '2', '8'] -> (1 + 2) * 8
[115] ['1', '2', '11'] -> (1 + 11) * 2
