[1] ['1', '1', '12'] -> (1 + 1) * 12 mod 29
[2] ['1', '4', '4'] -> 4 / (1 + 4) mod 29
[3] ['2', '6', '10'] -> (2 + 6) / 10 mod 29
[4] ['2', '6', '12'] -> (2 * 6) + 12 mod 29
[5] ['2', '6', '17'] -> (2 * 6) - 17 mod 29
[6] ['2', '6', '21'] -> (6 / 2) + 21 mod 29
[7] ['2', '6', '22'] -> 6 - (22 / 2) mod 29
[8] ['2', '6', '25'] -> (25 - 6) / 2 mod 29
[9] ['2', '6', '26'] -> (2 + 26) / 6 mod 29
[10] ['2', '7', '16'] -> 16 - (2 / 7) mod 29
[11] ['2', '7', '20'] -> 2 - (20 / 7) mod 29
[12] ['2', '7', '21'] -> (2 + 21) / 7 mod 29
[13] ['1', '4', '7'] -> (7 - 1) * 4 mod 29
[14] ['2', '8', '10'] -> (10 * 8) + 2 mod 29
[15] ['2', '8', '12'] -> 8 / (12 - 2) mod 29
[16] ['2', '8', '17'] -> 17 - (2 / 8) mod 29
[17] ['2', '8', '19'] -> 2 - (19 * 8) mod 29
[18] ['2', '8', '22'] -> (8 - 2) / 22 mod 29
[19] ['2', '9', '9'] -> (2 - 9) * 9 mod 29
[20] ['2', '9', '10'] -> (10 + 9) / 2 mod 29
[21] ['2', '9', '14'] -> 14 - (9 / 2) mod 29
[22] ['2', '10', '21'] -> 2 - (10 * 21) mod 29
[23] ['2', '10', '23'] -> (2 - 23) / 10 mod 29
[24] ['1', '4', '11'] -> (4 - 1) / 11 mod 29
[25] ['2', '11', '12'] -> (12 / 2) - 11 mod 29
[26] ['2', '11', '17'] -> 17 - (11 * 2) mod 29
[27] ['2', '11', '26'] -> (26 / 2) + 11 mod 29
[28] ['2', '12', '13'] -> 12 / (13 + 2) mod 29
[29] ['2', '12', '16'] -> 12 / (2 - 16) mod 29
[30] ['2', '12', '23'] -> 12 - (2 * 23) mod 29
[31] ['2', '12', '27'] -> (12 - 2) / 27 mod 29
[32] ['2', '13', '27'] -> (13 * 2) + 27 mod 29
[33] ['2', '13', '28'] -> (13 + 28) * 2 mod 29
[34] ['2', '14', '25'] -> (14 * 2) + 25 mod 29
[35] ['1', '4', '14'] -> 14 / (4 - 1) mod 29
[36] ['2', '15', '15'] -> (15 * 15) + 2 mod 29
[37] ['2', '15', '16'] -> (2 - 15) * 16 mod 29
[38] ['2', '16', '17'] -> 17 / (16 - 2) mod 29
[39] ['2', '17', '17'] -> 17 / (2 - 17) mod 29
[40] ['2', '17', '22'] -> (17 * 22) - 2 mod 29
[41] ['2', '17', '27'] -> (17 - 27) / 2 mod 29
[42] ['2', '18', '27'] -> (18 * 27) + 2 mod 29
[43] ['2', '19', '21'] -> (19 * 21) + 2 mod 29
[44] ['2', '19', '23'] -> (23 - 2) / 19 mod 29
[45] ['2', '20', '25'] -> 2 - (20 * 25) mod 29
[46] ['1', '4', '15'] -> 15 / (1 - 4) mod 29
