[1] ['1', '1', '4'] -> 1 - (1 / 4) mod 31
[2] ['1', '1', '5'] -> (1 / 5) - 1 mod 31
[3] ['1', '1', '10'] -> 1 / (1 - 10) mod 31
[4] ['1', '1', '12'] -> 12 * (1 + 1) mod 31
[5] ['1', '1', '13'] -> (1 + 1) / 13 mod 31
[6] ['1', '1', '17'] -> 17 / (1 + 1) mod 31
[7] ['1', '1', '21'] -> 1 / (1 + 21) mod 31
[8] ['1', '1', '27'] -> 1 + (1 / 27) mod 31
[9] ['1', '2', '14'] -> 2 / (14 - 1) mod 31
[10] ['1', '2', '18'] -> (18 - 1) / 2 mod 31
[11] ['1', '2', '28'] -> (2 * 28) - 1 mod 31
[12] ['1', '3', '6'] -> 6 * (1 + 3) mod 31
[13] ['1', '3', '15'] -> (3 / 15) - 1 mod 31
[14] ['1', '3', '17'] -> 17 / (3 - 1) mod 31
[15] ['1', '3', '23'] -> (1 / 23) - 3 mod 31
[16] ['1', '3', '25'] -> 1 / (25 - 3) mod 31
[17] ['1', '3', '29'] -> (3 * 29) - 1 mod 31
[18] ['1', '4', '5'] -> 4 * (1 + 5) mod 31
[19] ['1', '4', '8'] -> 8 * (4 - 1) mod 31
[20] ['1', '4', '13'] -> 1 / (4 - 13) mod 31
[21] ['1', '4', '18'] -> 1 / (4 + 18) mod 31
[22] ['1', '4', '23'] -> 23 * (1 - 4) mod 31
[23] ['1', '4', '25'] -> 4 / (1 + 25) mod 31
[24] ['1', '4', '30'] -> 1 + (30 / 4) mod 31
[25] ['1', '5', '6'] -> 6 * (5 - 1) mod 31
[26] ['1', '5', '8'] -> (1 + 5) / 8 mod 31
[27] ['1', '5', '9'] -> 1 - (9 / 5) mod 31
[28] ['1', '5', '10'] -> 5 * (1 + 10) mod 31
[29] ['1', '5', '16'] -> 5 / (1 + 16) mod 31
[30] ['1', '5', '21'] -> 5 * (1 - 21) mod 31
[31] ['1', '5', '22'] -> 1 + (22 / 5) mod 31
[32] ['1', '6', '11'] -> 11 * (6 - 1) mod 31
[33] ['1', '6', '15'] -> 1 / (6 - 15) mod 31
[34] ['1', '6', '16'] -> 1 / (6 + 16) mod 31
[35] ['1', '6', '21'] -> (21 - 1) / 6 mod 31
[36] ['1', '6', '22'] -> 1 - (6 * 22) mod 31
[37] ['1', '6', '26'] -> (26 / 6) - 1 mod 31
[38] ['1', '6', '27'] -> 27 / (6 - 1) mod 31
[39] ['1', '7', '10'] -> 1 - (7 * 10) mod 31
[40] ['1', '7', '19'] -> (1 - 19) / 7 mod 31
[41] ['1', '7', '23'] -> (1 - 7) / 23 mod 31
[42] ['1', '7', '25'] -> 1 - (25 / 7) mod 31
[43] ['1', '7', '27'] -> 27 * (1 - 7) mod 31
[44] ['1', '7', '28'] -> 1 - (7 / 28) mod 31
[45] ['1', '8', '9'] -> (8 / 9) - 1 mod 31
[46] ['1', '8', '12'] -> (1 + 8) / 12 mod 31
[47] ['1', '8', '18'] -> 18 / (1 - 8) mod 31
[48] ['1', '8', '22'] -> 8 / (22 - 1) mod 31
[49] ['1', '8', '28'] -> 28 - (1 / 8) mod 31
[50] ['1', '9', '11'] -> 9 / (1 + 11) mod 31
[51] ['1', '9', '18'] -> 1 / (9 - 18) mod 31
[52] ['1', '9', '19'] -> 9 * (1 - 19) mod 31
[53] ['1', '9', '23'] -> 23 / (1 + 9) mod 31
[54] ['1', '9', '26'] -> 1 + (9 / 26) mod 31
[55] ['1', '9', '28'] -> 28 * (1 - 9) mod 31
[56] ['1', '10', '25'] -> (1 + 10) / 25 mod 31
[57] ['1', '10', '30'] -> 30 / (10 - 1) mod 31
[58] ['1', '11', '11'] -> 1 / (11 + 11) mod 31
[59] ['1', '11', '15'] -> (1 + 15) / 11 mod 31
[60] ['1', '11', '20'] -> 1 / (11 - 20) mod 31
[61] ['1', '11', '21'] -> 21 * (11 - 1) mod 31
[62] ['1', '11', '22'] -> (11 * 22) - 1 mod 31
[63] ['1', '11', '23'] -> 23 / (11 - 1) mod 31
[64] ['1', '12', '14'] -> 1 + (12 / 14) mod 31
[65] ['1', '12', '23'] -> (1 - 23) / 12 mod 31
[66] ['1', '12', '26'] -> 26 * (1 - 12) mod 31
[67] ['1', '12', '28'] -> 1 + (28 / 12) mod 31
[68] ['1', '12', '29'] -> (12 / 29) - 1 mod 31
[69] ['1', '12', '30'] -> 12 * (1 - 30) mod 31
[70] ['1', '13', '14'] -> 13 - (1 / 14) mod 31
[71] ['1', '13', '17'] -> 13 + (1 / 17) mod 31
[72] ['1', '13', '23'] -> 13 * (1 - 23) mod 31
[73] ['1', '13', '25'] -> 13 / (1 - 25) mod 31
[74] ['1', '13', '28'] -> 1 + (13 * 28) mod 31
[75] ['1', '13', '30'] -> (1 - 30) / 13 mod 31
[76] ['1', '14', '14'] -> 14 * (1 + 14) mod 31
[77] ['1', '14', '16'] -> 14 * (16 - 1) mod 31
[78] ['1', '14', '17'] -> 14 * (1 - 17) mod 31
[79] ['1', '14', '23'] -> 1 / (14 - 23) mod 31
[80] ['1', '14', '24'] -> (1 - 14) / 24 mod 31
[81] ['1', '14', '30'] -> 14 / (30 - 1) mod 31
[82] ['1', '15', '17'] -> 17 * (1 + 15) mod 31
[83] ['1', '15', '27'] -> 1 - (27 / 15) mod 31
[84] ['1', '16', '21'] -> 16 / (1 - 21) mod 31
[85] ['1', '16', '25'] -> 1 / (16 - 25) mod 31
[86] ['1', '16', '26'] -> 26 - (1 / 16) mod 31
[87] ['1', '16', '28'] -> (28 / 16) - 1 mod 31
[88] ['1', '16', '29'] -> 1 + (16 / 29) mod 31
[89] ['1', '17', '17'] -> 17 * (17 - 1) mod 31
