[1] ['1', '1', '17'] -> (1 / 17) - 1 mod 53
[2] ['1', '1', '41'] -> 1 / (1 + 41) mod 53
[3] ['1', '1', '43'] -> 1 / (43 - 1) mod 53
[4] ['1', '1', '48'] -> 48 / (1 + 1) mod 53
[5] ['1', '2', '3'] -> (1 / 2) - 3 mod 53
[6] ['1', '2', '6'] -> (1 - 6) / 2 mod 53
[7] ['1', '2', '8'] -> 8 * (1 + 2) mod 53
[8] ['1', '2', '15'] -> 1 - (2 * 15) mod 53
[9] ['1', '2', '19'] -> 19 / (1 + 2) mod 53
[10] ['1', '2', '20'] -> (1 + 2) / 20 mod 53
[11] ['1', '2', '34'] -> (2 / 34) - 1 mod 53
[12] ['1', '2', '38'] -> 1 + (2 * 38) mod 53
[13] ['1', '2', '39'] -> (2 * 39) - 1 mod 53
[14] ['1', '2', '40'] -> 1 / (2 + 40) mod 53
[15] ['1', '2', '41'] -> 2 + (1 / 41) mod 53
[16] ['1', '2', '44'] -> 1 / (44 - 2) mod 53
[17] ['1', '2', '47'] -> (1 + 47) / 2 mod 53
[18] ['1', '2', '49'] -> (49 - 1) / 2 mod 53
[19] ['1', '3', '7'] -> 3 * (1 + 7) mod 53
[20] ['1', '3', '10'] -> 1 - (3 * 10) mod 53
[21] ['1', '3', '12'] -> 12 * (3 - 1) mod 53
[22] ['1', '3', '18'] -> (1 + 18) / 3 mod 53
[23] ['1', '3', '34'] -> 3 / (1 - 34) mod 53
[24] ['1', '3', '35'] -> (1 - 35) / 3 mod 53
[25] ['1', '3', '39'] -> 1 / (3 + 39) mod 53
[26] ['1', '3', '41'] -> 41 * (1 - 3) mod 53
[27] ['1', '3', '42'] -> 42 - (1 / 3) mod 53
[28] ['1', '3', '45'] -> 1 / (45 - 3) mod 53
[29] ['1', '3', '46'] -> 3 * (1 - 46) mod 53
[30] ['1', '3', '47'] -> (1 / 3) - 47 mod 53
[31] ['1', '3', '51'] -> (3 / 51) - 1 mod 53
[32] ['1', '4', '5'] -> 4 * (1 + 5) mod 53
[33] ['1', '4', '7'] -> 4 * (7 - 1) mod 53
[34] ['1', '4', '10'] -> 4 / (10 - 1) mod 53
[35] ['1', '4', '16'] -> (1 / 4) - 16 mod 53
[36] ['1', '4', '36'] -> (1 / 36) - 4 mod 53
[37] ['1', '4', '38'] -> 1 / (4 + 38) mod 53
[38] ['1', '4', '42'] -> (1 + 42) / 4 mod 53
[39] ['1', '4', '44'] -> (44 - 1) / 4 mod 53
[40] ['1', '4', '47'] -> (47 / 4) - 1 mod 53
[41] ['1', '4', '48'] -> 4 * (1 - 48) mod 53
[42] ['1', '4', '51'] -> (1 + 4) / 51 mod 53
[43] ['1', '5', '5'] -> (5 * 5) - 1 mod 53
[44] ['1', '5', '8'] -> (1 / 5) - 8 mod 53
[45] ['1', '5', '10'] -> 10 / (1 - 5) mod 53
[46] ['1', '5', '11'] -> (1 / 11) - 5 mod 53
[47] ['1', '5', '13'] -> (1 + 13) / 5 mod 53
[48] ['1', '5', '15'] -> (15 - 1) / 5 mod 53
[49] ['1', '5', '16'] -> 1 / (5 - 16) mod 53
[50] ['1', '5', '27'] -> 5 * (27 - 1) mod 53
[51] ['1', '5', '32'] -> (5 / 32) - 1 mod 53
[52] ['1', '5', '37'] -> 1 / (5 + 37) mod 53
[53] ['1', '5', '38'] -> 38 / (1 + 5) mod 53
[54] ['1', '5', '39'] -> 5 - (1 / 39) mod 53
[55] ['1', '5', '43'] -> 43 / (5 - 1) mod 53
[56] ['1', '5', '45'] -> 45 + (1 / 5) mod 53
[57] ['1', '5', '50'] -> 5 / (1 + 50) mod 53
[58] ['1', '5', '52'] -> 5 / (52 - 1) mod 53
[59] ['1', '6', '9'] -> 9 / (1 + 6) mod 53
[60] ['1', '6', '11'] -> 11 * (1 + 6) mod 53
[61] ['1', '6', '13'] -> (6 * 13) - 1 mod 53
