[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[2] ['1', '2', '7'] -> (1 / 2) - 7 mod 61
[3] ['1', '7', '35'] -> 1 / (35 - 7) mod 61
[4] ['2', '46', '59'] -> (46 - 59) / 2 mod 61
[5] ['33', '33', '51'] -> (51 / 33) - 33 mod 61
[6] ['33', '33', '59'] -> 59 / (33 + 33) mod 61
[7] ['33', '33', '60'] -> (33 - 60) * 33 mod 61
[8] ['33', '34', '35'] -> (34 - 35) / 33 mod 61
[9] ['33', '34', '41'] -> (34 * 41) + 33 mod 61
[10] ['33', '34', '48'] -> 48 - (33 * 34) mod 61
[11] ['33', '34', '50'] -> (33 / 50) - 34 mod 61
[12] ['33', '34', '51'] -> (33 + 51) / 34 mod 61
[13] ['33', '34', '56'] -> (56 - 33) / 34 mod 61
[14] ['33', '34', '60'] -> (60 / 34) + 33 mod 61
[15] ['2', '46', '60'] -> (46 / 2) - 60 mod 61
[16] ['33', '35', '36'] -> (35 - 36) / 33 mod 61
[17] ['33', '35', '38'] -> 38 - (35 / 33) mod 61
[18] ['33', '35', '41'] -> 35 - (33 * 41) mod 61
[19] ['33', '35', '43'] -> (43 / 35) - 33 mod 61
[20] ['33', '35', '46'] -> 46 / (33 + 35) mod 61
[21] ['33', '35', '49'] -> (33 - 35) * 49 mod 61
[22] ['33', '35', '59'] -> (35 * 59) + 33 mod 61
[23] ['33', '35', '60'] -> (35 + 60) * 33 mod 61
[24] ['33', '36', '37'] -> (36 - 37) / 33 mod 61
[25] ['33', '36', '39'] -> (39 / 36) - 33 mod 61
[26] ['2', '47', '49'] -> (2 / 49) - 47 mod 61
[27] ['33', '36', '41'] -> (33 + 36) / 41 mod 61
[28] ['33', '36', '42'] -> (42 / 36) + 33 mod 61
[29] ['33', '36', '44'] -> (33 * 44) + 36 mod 61
[30] ['33', '36', '49'] -> (33 + 49) * 36 mod 61
[31] ['33', '36', '50'] -> 50 / (33 - 36) mod 61
[32] ['33', '36', '52'] -> (36 / 52) - 33 mod 61
[33] ['33', '36', '54'] -> (54 - 33) * 36 mod 61
[34] ['33', '36', '56'] -> (33 * 36) + 56 mod 61
[35] ['33', '36', '57'] -> (36 / 57) + 33 mod 61
[36] ['33', '36', '59'] -> (36 + 59) * 33 mod 61
[37] ['2', '47', '50'] -> 50 - (2 / 47) mod 61
[38] ['33', '36', '60'] -> 36 / (33 + 60) mod 61
[39] ['33', '37', '54'] -> 37 - (33 * 54) mod 61
[40] ['33', '37', '55'] -> (33 - 37) * 55 mod 61
[41] ['33', '37', '59'] -> (59 / 33) + 37 mod 61
[42] ['33', '37', '60'] -> (33 - 60) / 37 mod 61
