[1] ['1', '1', '12'] -> 12 * (1 + 1) mod 67
[2] ['1', '1', '13'] -> 1 / (1 + 13) mod 67
[3] ['1', '1', '15'] -> 1 / (15 - 1) mod 67
[4] ['1', '1', '28'] -> (1 + 1) / 28 mod 67
[5] ['1', '1', '32'] -> 1 - (1 / 32) mod 67
[6] ['1', '1', '35'] -> 1 + (1 / 35) mod 67
[7] ['1', '1', '48'] -> 48 / (1 + 1) mod 67
[8] ['1', '1', '54'] -> 1 / (1 - 54) mod 67
[9] ['1', '1', '59'] -> (1 / 59) - 1 mod 67
[10] ['1', '2', '5'] -> 5 / (1 + 2) mod 67
[11] ['1', '2', '8'] -> 8 * (1 + 2) mod 67
[12] ['1', '2', '10'] -> (1 / 2) - 10 mod 67
[13] ['1', '2', '11'] -> 2 * (1 + 11) mod 67
[14] ['1', '2', '13'] -> 2 * (13 - 1) mod 67
[15] ['1', '2', '14'] -> (2 - 1) / 14 mod 67
[16] ['1', '2', '16'] -> 1 / (16 - 2) mod 67
[17] ['1', '2', '20'] -> (1 - 20) / 2 mod 67
[18] ['1', '2', '29'] -> 2 / (29 - 1) mod 67
[19] ['1', '2', '40'] -> 2 / (1 - 40) mod 67
[20] ['1', '2', '47'] -> (1 + 47) / 2 mod 67
[21] ['1', '2', '50'] -> (50 / 2) - 1 mod 67
[22] ['1', '2', '51'] -> (2 / 51) - 1 mod 67
[23] ['1', '2', '53'] -> (1 - 2) / 53 mod 67
[24] ['1', '2', '55'] -> 1 / (2 - 55) mod 67
[25] ['1', '2', '56'] -> 2 * (1 - 56) mod 67
[26] ['1', '2', '57'] -> 57 + (1 / 2) mod 67
[27] ['1', '2', '58'] -> 58 - (1 / 2) mod 67
[28] ['1', '3', '4'] -> (1 + 4) / 3 mod 67
[29] ['1', '3', '7'] -> 3 * (1 + 7) mod 67
[30] ['1', '3', '9'] -> 3 * (9 - 1) mod 67
[31] ['1', '3', '11'] -> 1 / (3 + 11) mod 67
[32] ['1', '3', '12'] -> 12 * (3 - 1) mod 67
[33] ['1', '3', '16'] -> 3 + (1 / 16) mod 67
[34] ['1', '3', '17'] -> 1 / (17 - 3) mod 67
[35] ['1', '3', '19'] -> 19 / (1 - 3) mod 67
[36] ['1', '3', '30'] -> 1 + (3 * 30) mod 67
[37] ['1', '3', '37'] -> 1 - (3 * 37) mod 67
[38] ['1', '3', '38'] -> 1 + (3 / 38) mod 67
[39] ['1', '3', '39'] -> (1 - 3) / 39 mod 67
[40] ['1', '3', '48'] -> 48 / (3 - 1) mod 67
[41] ['1', '3', '51'] -> 3 - (1 / 51) mod 67
[42] ['1', '3', '53'] -> (3 * 53) - 1 mod 67
