[1] ['1', '1', '2'] -> 1 / (1 + 2) mod 71
[2] ['1', '2', '8'] -> (1 + 2) * 8 mod 71
[3] ['1', '7', '45'] -> (45 - 1) * 7 mod 71
[4] ['2', '20', '54'] -> (20 - 2) / 54 mod 71
[5] ['17', '32', '42'] -> 32 / (42 - 17) mod 71
[6] ['17', '32', '43'] -> (32 / 17) + 43 mod 71
[7] ['17', '32', '45'] -> (32 - 17) / 45 mod 71
[8] ['17', '32', '48'] -> (17 * 32) + 48 mod 71
[9] ['17', '32', '50'] -> (32 - 50) / 17 mod 71
[10] ['17', '32', '51'] -> (32 / 51) - 17 mod 71
[11] ['17', '32', '52'] -> 17 / (32 - 52) mod 71
[12] ['17', '32', '57'] -> (17 + 32) * 57 mod 71
[13] ['17', '32', '58'] -> (17 * 58) + 32 mod 71
[14] ['17', '32', '64'] -> (32 - 64) * 17 mod 71
[15] ['2', '20', '55'] -> (2 * 20) + 55 mod 71
[16] ['17', '32', '65'] -> 32 - (65 / 17) mod 71
[17] ['17', '32', '69'] -> (32 * 69) + 17 mod 71
[18] ['17', '33', '34'] -> (17 - 33) * 34 mod 71
[19] ['17', '33', '37'] -> (33 - 17) * 37 mod 71
[20] ['17', '33', '42'] -> 42 / (17 - 33) mod 71
[21] ['17', '33', '48'] -> (33 - 17) / 48 mod 71
[22] ['17', '33', '54'] -> (33 * 54) + 17 mod 71
[23] ['17', '33', '55'] -> (17 - 55) * 33 mod 71
[24] ['17', '33', '59'] -> 33 - (17 * 59) mod 71
[25] ['17', '33', '66'] -> (17 * 66) - 33 mod 71
[26] ['2', '20', '58'] -> 20 / (2 + 58) mod 71
[27] ['17', '33', '68'] -> (33 / 17) + 68 mod 71
[28] ['17', '34', '34'] -> 34 - (17 * 34) mod 71
[29] ['17', '34', '38'] -> (17 + 38) * 34 mod 71
[30] ['17', '34', '39'] -> (34 - 17) * 39 mod 71
[31] ['17', '34', '43'] -> (43 / 17) + 34 mod 71
[32] ['17', '34', '46'] -> 17 - (46 / 34) mod 71
[33] ['17', '34', '49'] -> (34 / 17) - 49 mod 71
[34] ['17', '34', '51'] -> (34 - 17) / 51 mod 71
[35] ['17', '34', '54'] -> 17 / (34 - 54) mod 71
[36] ['17', '34', '56'] -> 17 - (34 / 56) mod 71
[37] ['2', '20', '59'] -> (20 / 59) + 2 mod 71
[38] ['17', '34', '59'] -> (17 / 34) + 59 mod 71
[39] ['17', '34', '60'] -> 60 - (17 / 34) mod 71
[40] ['17', '34', '63'] -> (63 / 17) - 34 mod 71
[41] ['17', '34', '66'] -> (34 - 66) * 17 mod 71
[42] ['17', '35', '39'] -> 17 - (39 / 35) mod 71
[43] ['17', '35', '41'] -> 41 / (17 + 35) mod 71
[44] ['17', '35', '45'] -> 35 - (45 / 17) mod 71
[45] ['17', '35', '46'] -> (17 - 35) * 46 mod 71
[46] ['17', '35', '47'] -> (35 / 17) + 47 mod 71
[47] ['17', '35', '53'] -> (35 - 53) / 17 mod 71
[48] ['2', '20', '60'] -> (60 - 2) * 20 mod 71
[49] ['17', '35', '55'] -> 17 / (35 - 55) mod 71
[50] ['17', '35', '57'] -> (35 * 57) + 17 mod 71
[51] ['17', '35', '60'] -> (35 * 60) - 17 mod 71
[52] ['17', '35', '61'] -> 61 - (17 / 35) mod 71
[53] ['17', '35', '62'] -> (17 * 62) + 35 mod 71
[54] ['17', '35', '63'] -> (17 / 63) + 35 mod 71
[55] ['17', '35', '67'] -> (35 - 67) * 17 mod 71
[56] ['17', '35', '68'] -> (17 * 35) + 68 mod 71
[57] ['17', '36', '39'] -> (39 / 36) + 17 mod 71
[58] ['17', '36', '41'] -> 41 / (17 - 36) mod 71
[59] ['2', '20', '62'] -> 20 / (62 - 2) mod 71
[60] ['17', '36', '46'] -> (17 + 36) * 46 mod 71
[61] ['17', '36', '47'] -> 47 - (36 / 17) mod 71
[62] ['17', '36', '58'] -> 58 - (17 / 36) mod 71
[63] ['17', '36', '63'] -> (17 / 63) - 36 mod 71
[64] ['17', '36', '70'] -> (36 / 17) - 70 mod 71
[65] ['17', '37', '37'] -> (17 * 37) - 37 mod 71
[66] ['17', '37', '39'] -> (37 / 39) - 17 mod 71
[67] ['17', '37', '43'] -> (43 / 17) - 37 mod 71
[68] ['17', '37', '46'] -> (46 / 37) + 17 mod 71
[69] ['17', '37', '51'] -> (37 * 51) - 17 mod 71
[70] ['2', '20', '64'] -> 64 - (2 * 20) mod 71
[71] ['17', '37', '53'] -> (53 - 17) / 37 mod 71
[72] ['17', '37', '54'] -> 54 / (37 - 17) mod 71
[73] ['17', '37', '55'] -> (37 - 55) / 17 mod 71
[74] ['17', '37', '56'] -> (37 / 56) + 17 mod 71
[75] ['17', '37', '58'] -> (37 - 17) * 58 mod 71
[76] ['17', '37', '63'] -> (63 / 17) + 37 mod 71
[77] ['17', '37', '69'] -> (37 - 69) * 17 mod 71
[78] ['17', '37', '70'] -> (17 + 70) * 37 mod 71
[79] ['17', '38', '42'] -> 42 / (17 + 38) mod 71
[80] ['17', '38', '43'] -> (17 + 43) / 38 mod 71
[81] ['2', '20', '66'] -> (2 + 20) / 66 mod 71
[82] ['17', '38', '50'] -> (17 - 50) * 38 mod 71
[83] ['17', '38', '51'] -> (38 / 17) + 51 mod 71
[84] ['17', '38', '53'] -> (53 / 38) + 17 mod 71
[85] ['17', '38', '55'] -> (55 - 17) * 38 mod 71
[86] ['17', '38', '56'] -> (38 - 56) / 17 mod 71
[87] ['17', '38', '57'] -> 38 - (17 / 57) mod 71
[88] ['17', '38', '58'] -> 17 / (38 - 58) mod 71
