[1] ['1', '1', '4'] -> 1 / (1 - 4) mod 73
[2] ['1', '2', '5'] -> 1 / (2 - 5) mod 73
[3] ['1', '6', '72'] -> (72 - 1) / 6 mod 73
[4] ['2', '15', '52'] -> 2 / (15 + 52) mod 73
[5] ['16', '27', '66'] -> (16 + 66) * 27 mod 73
[6] ['16', '28', '29'] -> (29 / 16) - 28 mod 73
[7] ['16', '28', '33'] -> 16 - (28 / 33) mod 73
[8] ['16', '28', '35'] -> 35 - (16 / 28) mod 73
[9] ['16', '28', '44'] -> 44 - (28 / 16) mod 73
[10] ['16', '28', '46'] -> 28 / (16 + 46) mod 73
[11] ['16', '28', '55'] -> 28 - (16 * 55) mod 73
[12] ['16', '28', '58'] -> (16 * 58) - 28 mod 73
[13] ['16', '28', '59'] -> (16 * 28) - 59 mod 73
[14] ['16', '28', '60'] -> (16 / 28) - 60 mod 73
[15] ['2', '15', '57'] -> (2 / 57) + 15 mod 73
[16] ['16', '28', '63'] -> (28 - 63) * 16 mod 73
[17] ['16', '28', '66'] -> (66 - 28) * 16 mod 73
[18] ['16', '28', '70'] -> 16 / (28 + 70) mod 73
[19] ['16', '28', '71'] -> (16 - 28) * 71 mod 73
[20] ['16', '28', '72'] -> (16 + 72) / 28 mod 73
[21] ['16', '29', '30'] -> 29 / (16 - 30) mod 73
[22] ['16', '29', '33'] -> (29 * 33) + 16 mod 73
[23] ['16', '29', '34'] -> (29 - 16) / 34 mod 73
[24] ['16', '29', '39'] -> (16 - 29) / 39 mod 73
[25] ['16', '29', '47'] -> 29 - (16 / 47) mod 73
[26] ['2', '15', '65'] -> (15 * 65) - 2 mod 73
[27] ['16', '29', '48'] -> (48 - 29) / 16 mod 73
[28] ['16', '29', '53'] -> 53 / (16 - 29) mod 73
[29] ['16', '29', '54'] -> 16 / (54 - 29) mod 73
[30] ['16', '29', '55'] -> (55 - 16) / 29 mod 73
[31] ['16', '29', '59'] -> (16 * 59) + 29 mod 73
[32] ['16', '29', '60'] -> 16 - (60 / 29) mod 73
[33] ['16', '29', '64'] -> (29 - 64) * 16 mod 73
[34] ['16', '29', '65'] -> (65 / 29) - 16 mod 73
[35] ['16', '29', '66'] -> (66 / 16) + 29 mod 73
[36] ['16', '29', '67'] -> (67 - 29) * 16 mod 73
[37] ['2', '15', '67'] -> (15 * 2) + 67 mod 73
[38] ['16', '29', '71'] -> (16 * 29) + 71 mod 73
[39] ['16', '30', '31'] -> (30 - 16) / 31 mod 73
[40] ['16', '30', '32'] -> (32 / 30) - 16 mod 73
[41] ['16', '30', '47'] -> (16 + 47) / 30 mod 73
[42] ['16', '30', '52'] -> 16 - (52 / 30) mod 73
[43] ['16', '30', '60'] -> (30 / 16) - 60 mod 73
[44] ['16', '30', '61'] -> (61 / 16) - 30 mod 73
[45] ['16', '30', '62'] -> (30 + 62) / 16 mod 73
[46] ['16', '30', '64'] -> (16 + 30) * 64 mod 73
[47] ['16', '30', '65'] -> (30 - 65) * 16 mod 73
[48] ['2', '15', '68'] -> 68 - (15 / 2) mod 73
[49] ['16', '30', '66'] -> 66 - (16 * 30) mod 73
[50] ['16', '30', '69'] -> (16 / 30) - 69 mod 73
[51] ['16', '30', '72'] -> 30 / (72 - 16) mod 73
[52] ['16', '31', '33'] -> 33 / (16 + 31) mod 73
[53] ['16', '31', '36'] -> 31 / (16 - 36) mod 73
[54] ['16', '31', '37'] -> 31 / (16 + 37) mod 73
[55] ['16', '31', '41'] -> 41 - (16 / 31) mod 73
[56] ['16', '31', '46'] -> (16 + 46) * 31 mod 73
[57] ['16', '31', '54'] -> (31 / 16) + 54 mod 73
[58] ['16', '31', '56'] -> 16 / (56 - 31) mod 73
[59] ['2', '15', '69'] -> 2 - (15 / 69) mod 73
[60] ['16', '31', '72'] -> (72 / 31) - 16 mod 73
[61] ['16', '32', '34'] -> 32 / (16 + 34) mod 73
[62] ['16', '32', '38'] -> (32 - 16) * 38 mod 73
[63] ['16', '32', '42'] -> (16 / 42) - 32 mod 73
[64] ['16', '32', '50'] -> (16 * 32) - 50 mod 73
[65] ['16', '32', '56'] -> (32 * 56) - 16 mod 73
[66] ['16', '32', '61'] -> 61 - (16 / 32) mod 73
[67] ['16', '32', '69'] -> 16 - (32 / 69) mod 73
[68] ['16', '32', '71'] -> (16 / 71) + 32 mod 73
[69] ['16', '33', '34'] -> (16 / 33) - 34 mod 73
[70] ['2', '16', '16'] -> (16 / 2) + 16 mod 73
[71] ['16', '33', '36'] -> (36 / 16) - 33 mod 73
[72] ['16', '33', '39'] -> (16 / 33) + 39 mod 73
[73] ['16', '33', '42'] -> 33 / (16 - 42) mod 73
[74] ['16', '33', '46'] -> (16 + 46) / 33 mod 73
[75] ['16', '33', '51'] -> (16 - 33) / 51 mod 73
[76] ['16', '33', '52'] -> (52 - 33) / 16 mod 73
[77] ['16', '33', '55'] -> (16 / 55) + 33 mod 73
[78] ['16', '33', '59'] -> (33 + 59) / 16 mod 73
[79] ['16', '33', '65'] -> 16 / (33 + 65) mod 73
[80] ['16', '33', '69'] -> 33 - (16 * 69) mod 73
[81] ['2', '16', '17'] -> (17 + 2) / 16 mod 73
[82] ['16', '34', '41'] -> (34 / 41) - 16 mod 73
[83] ['16', '34', '46'] -> (46 / 34) - 16 mod 73
[84] ['16', '34', '50'] -> (34 - 16) * 50 mod 73
[85] ['16', '34', '52'] -> (52 / 16) - 34 mod 73
[86] ['16', '34', '54'] -> (16 - 34) / 54 mod 73
[87] ['16', '34', '58'] -> (34 + 58) / 16 mod 73
[88] ['16', '34', '70'] -> (16 + 70) / 34 mod 73
[89] ['16', '34', '72'] -> (72 - 34) * 16 mod 73
[90] ['16', '35', '45'] -> (16 / 45) + 35 mod 73
[91] ['16', '35', '49'] -> 49 - (35 / 16) mod 73
[92] ['2', '16', '18'] -> 16 - (2 / 18) mod 73
[93] ['16', '35', '50'] -> (35 / 50) + 16 mod 73
[94] ['16', '35', '51'] -> (16 / 51) - 35 mod 73
[95] ['16', '35', '53'] -> (53 - 16) / 35 mod 73
[96] ['16', '35', '55'] -> 55 / (16 - 35) mod 73
[97] ['16', '35', '56'] -> 56 / (16 + 35) mod 73
[98] ['16', '35', '59'] -> (16 / 35) + 59 mod 73
[99] ['16', '35', '61'] -> (61 / 35) + 16 mod 73
[100] ['16', '35', '62'] -> 62 - (16 / 35) mod 73
[101] ['16', '35', '66'] -> (16 + 35) / 66 mod 73
[102] ['16', '35', '70'] -> (35 - 70) * 16 mod 73
[103] ['2', '16', '20'] -> (2 * 20) - 16 mod 73
[104] ['16', '36', '40'] -> (36 / 16) + 40 mod 73
[105] ['16', '36', '42'] -> 42 / (36 - 16) mod 73
[106] ['16', '36', '46'] -> 36 - (46 / 16) mod 73
[107] ['16', '36', '50'] -> 36 - (16 / 50) mod 73
[108] ['16', '36', '52'] -> (36 / 52) - 16 mod 73
[109] ['16', '36', '53'] -> (53 / 36) - 16 mod 73
[110] ['16', '36', '55'] -> (55 - 36) / 16 mod 73
[111] ['16', '36', '57'] -> (36 * 57) + 16 mod 73
[112] ['16', '36', '60'] -> (16 - 36) / 60 mod 73
[113] ['16', '36', '61'] -> 16 / (61 - 36) mod 73
[114] ['1', '7', '8'] -> (1 - 8) * 7 mod 73
[115] ['2', '16', '21'] -> (21 - 2) / 16 mod 73
[116] ['16', '36', '62'] -> 16 / (36 + 62) mod 73
[117] ['16', '36', '63'] -> (16 + 36) / 63 mod 73
[118] ['16', '36', '64'] -> (16 - 64) * 36 mod 73
[119] ['16', '36', '65'] -> 65 - (16 / 36) mod 73
[120] ['16', '36', '66'] -> (36 * 66) - 16 mod 73
[121] ['16', '36', '71'] -> (36 - 71) * 16 mod 73
[122] ['16', '37', '40'] -> 40 - (37 / 16) mod 73
[123] ['16', '37', '55'] -> (37 + 55) / 16 mod 73
[124] ['16', '37', '60'] -> (16 + 37) / 60 mod 73
[125] ['16', '37', '61'] -> 16 / (37 + 61) mod 73
[126] ['2', '16', '22'] -> 2 / (16 - 22) mod 73
[127] ['16', '37', '64'] -> (64 - 16) * 37 mod 73
[128] ['16', '37', '66'] -> 66 / (37 - 16) mod 73
[129] ['16', '37', '72'] -> (37 - 72) * 16 mod 73
[130] ['16', '38', '45'] -> (16 / 45) - 38 mod 73
[131] ['16', '38', '49'] -> (38 / 16) + 49 mod 73
[132] ['16', '38', '50'] -> 16 - (38 / 50) mod 73
[133] ['16', '38', '53'] -> (16 - 53) / 38 mod 73
[134] ['16', '38', '55'] -> 55 / (16 + 38) mod 73
[135] ['16', '38', '56'] -> 56 / (16 - 38) mod 73
[136] ['16', '38', '59'] -> 59 - (16 / 38) mod 73
[137] ['2', '16', '23'] -> 16 / (2 + 23) mod 73
[138] ['16', '38', '61'] -> 16 - (61 / 38) mod 73
[139] ['16', '38', '62'] -> (16 / 38) + 62 mod 73
[140] ['16', '38', '66'] -> (16 - 38) / 66 mod 73
[141] ['16', '38', '68'] -> (68 / 16) + 38 mod 73
[142] ['16', '38', '72'] -> 72 - (38 / 16) mod 73
[143] ['16', '39', '40'] -> 39 - (16 / 40) mod 73
[144] ['16', '39', '41'] -> 41 / (39 - 16) mod 73
[145] ['16', '39', '44'] -> (16 + 44) / 39 mod 73
[146] ['16', '39', '54'] -> (16 + 39) / 54 mod 73
[147] ['16', '39', '55'] -> (39 - 16) * 55 mod 73
[148] ['2', '16', '26'] -> 2 - (16 * 26) mod 73
[149] ['16', '39', '56'] -> (39 / 16) - 56 mod 73
[150] ['16', '39', '57'] -> (16 * 39) + 57 mod 73
[151] ['16', '39', '58'] -> (58 - 39) / 16 mod 73
[152] ['16', '39', '60'] -> 39 / (16 - 60) mod 73
[153] ['16', '39', '69'] -> (16 - 39) / 69 mod 73
[154] ['16', '39', '70'] -> (16 / 39) - 70 mod 73
[155] ['16', '40', '42'] -> 40 / (42 - 16) mod 73
[156] ['16', '40', '43'] -> (16 + 43) * 40 mod 73
[157] ['16', '40', '44'] -> (40 * 44) + 16 mod 73
[158] ['16', '40', '45'] -> 16 - (45 / 40) mod 73
[159] ['2', '16', '28'] -> (28 - 16) * 2 mod 73
[160] ['16', '40', '52'] -> (40 + 52) / 16 mod 73
[161] ['16', '40', '55'] -> (16 / 55) - 40 mod 73
[162] ['16', '40', '59'] -> (59 - 40) / 16 mod 73
[163] ['16', '40', '64'] -> (16 / 40) - 64 mod 73
[164] ['16', '40', '67'] -> (67 / 40) - 16 mod 73
[165] ['16', '40', '71'] -> (40 + 71) * 16 mod 73
[166] ['16', '41', '42'] -> (16 / 42) + 41 mod 73
[167] ['16', '41', '43'] -> (41 / 43) - 16 mod 73
[168] ['16', '41', '47'] -> (41 / 16) - 47 mod 73
[169] ['16', '41', '53'] -> 41 - (53 / 16) mod 73
[170] ['2', '16', '31'] -> (16 - 2) / 31 mod 73
[171] ['16', '41', '55'] -> 16 - (41 * 55) mod 73
[172] ['16', '41', '69'] -> (41 / 69) + 16 mod 73
[173] ['16', '42', '43'] -> (16 + 43) / 42 mod 73
[174] ['16', '42', '54'] -> 54 - (42 / 16) mod 73
[175] ['16', '42', '61'] -> (61 - 42) / 16 mod 73
[176] ['16', '42', '65'] -> 42 - (16 * 65) mod 73
[177] ['16', '43', '44'] -> (16 / 43) + 44 mod 73
[178] ['16', '43', '50'] -> (50 / 16) - 43 mod 73
[179] ['16', '43', '52'] -> (52 / 43) + 16 mod 73
[180] ['16', '43', '54'] -> (43 / 54) - 16 mod 73
[181] ['2', '16', '36'] -> (2 + 36) * 16 mod 73
[182] ['16', '43', '59'] -> (59 - 16) * 43 mod 73
[183] ['16', '43', '61'] -> (61 / 16) + 43 mod 73
[184] ['16', '43', '63'] -> (43 * 63) + 16 mod 73
[185] ['16', '43', '65'] -> (43 - 16) / 65 mod 73
[186] ['16', '43', '66'] -> (16 * 43) + 66 mod 73
[187] ['16', '43', '67'] -> (16 + 67) / 43 mod 73
[188] ['16', '43', '72'] -> 43 / (16 - 72) mod 73
[189] ['16', '44', '48'] -> (44 + 48) / 16 mod 73
[190] ['16', '44', '55'] -> (16 - 55) / 44 mod 73
[191] ['16', '44', '58'] -> 58 / (16 - 44) mod 73
[192] ['2', '16', '37'] -> (2 - 37) * 16 mod 73
[193] ['16', '44', '59'] -> (16 * 59) - 44 mod 73
[194] ['16', '44', '60'] -> (60 / 44) + 16 mod 73
[195] ['16', '44', '62'] -> (44 - 16) / 62 mod 73
[196] ['16', '44', '67'] -> (44 + 67) * 16 mod 73
[197] ['16', '44', '70'] -> (44 / 16) - 70 mod 73
[198] ['16', '45', '48'] -> (48 / 45) - 16 mod 73
[199] ['16', '45', '58'] -> (16 * 58) + 45 mod 73
[200] ['16', '45', '59'] -> (45 - 16) / 59 mod 73
[201] ['16', '45', '64'] -> (64 - 45) / 16 mod 73
[202] ['16', '45', '65'] -> (45 / 65) - 16 mod 73
[203] ['2', '16', '41'] -> (16 - 41) / 2 mod 73
[204] ['16', '45', '66'] -> (45 + 66) * 16 mod 73
[205] ['16', '45', '70'] -> 16 / (70 - 45) mod 73
[206] ['16', '45', '71'] -> (16 + 45) * 71 mod 73
[207] ['16', '46', '46'] -> (46 + 46) / 16 mod 73
[208] ['16', '46', '47'] -> 46 - (16 * 47) mod 73
[209] ['16', '46', '48'] -> (16 + 48) * 46 mod 73
[210] ['16', '46', '49'] -> 16 - (46 / 49) mod 73
[211] ['16', '46', '50'] -> (16 * 50) - 46 mod 73
[212] ['16', '46', '52'] -> 16 / (46 + 52) mod 73
[213] ['16', '46', '56'] -> (46 - 16) / 56 mod 73
[214] ['2', '16', '44'] -> 44 / (16 - 2) mod 73
[215] ['16', '46', '58'] -> (46 * 58) - 16 mod 73
[216] ['16', '46', '59'] -> (16 / 59) + 46 mod 73
[217] ['16', '46', '60'] -> 46 - (60 / 16) mod 73
[218] ['16', '46', '61'] -> (46 / 16) - 61 mod 73
[219] ['16', '46', '63'] -> 63 / (46 - 16) mod 73
[220] ['16', '46', '66'] -> (16 + 66) / 46 mod 73
[221] ['16', '47', '51'] -> 16 / (47 + 51) mod 73
[222] ['16', '47', '52'] -> 52 / (16 + 47) mod 73
[223] ['16', '47', '54'] -> (16 / 47) - 54 mod 73
[224] ['16', '47', '59'] -> 59 / (16 - 47) mod 73
[225] ['1', '7', '13'] -> (7 / 13) + 1 mod 73
[226] ['2', '16', '47'] -> (16 * 47) + 2 mod 73
[227] ['16', '47', '60'] -> (60 - 16) * 47 mod 73
[228] ['16', '47', '61'] -> 47 - (16 / 61) mod 73
[229] ['16', '47', '64'] -> (47 + 64) * 16 mod 73
[230] ['16', '47', '65'] -> (16 / 65) - 47 mod 73
[231] ['16', '47', '67'] -> (16 * 67) + 47 mod 73
[232] ['16', '47', '68'] -> 68 - (47 / 16) mod 73
[233] ['16', '47', '70'] -> (70 / 16) + 47 mod 73
[234] ['16', '47', '71'] -> (16 * 47) - 71 mod 73
[235] ['16', '47', '72'] -> 16 / (72 - 47) mod 73
[236] ['16', '48', '48'] -> (16 / 48) + 48 mod 73
[237] ['2', '16', '55'] -> (2 / 55) + 16 mod 73
[238] ['16', '48', '53'] -> (53 - 16) * 48 mod 73
[239] ['16', '48', '61'] -> (48 * 61) + 16 mod 73
[240] ['16', '48', '62'] -> 62 - (16 * 48) mod 73
[241] ['16', '48', '63'] -> (48 + 63) * 16 mod 73
[242] ['16', '49', '65'] -> (16 + 65) / 49 mod 73
[243] ['16', '49', '68'] -> (68 - 49) / 16 mod 73
[244] ['16', '49', '72'] -> 72 - (16 / 49) mod 73
[245] ['16', '50', '53'] -> 50 / (16 + 53) mod 73
[246] ['16', '50', '56'] -> (50 / 56) - 16 mod 73
[247] ['16', '50', '57'] -> (16 - 57) / 50 mod 73
[248] ['2', '16', '59'] -> 2 - (16 / 59) mod 73
[249] ['16', '50', '60'] -> 60 / (16 - 50) mod 73
[250] ['16', '50', '67'] -> 16 - (50 * 67) mod 73
[251] ['16', '50', '71'] -> (16 - 71) * 50 mod 73
[252] ['16', '51', '52'] -> (51 / 52) + 16 mod 73
[253] ['16', '51', '57'] -> (51 - 16) * 57 mod 73
[254] ['16', '51', '60'] -> (51 + 60) * 16 mod 73
[255] ['16', '51', '61'] -> 51 - (16 * 61) mod 73
[256] ['16', '51', '64'] -> (16 * 64) - 51 mod 73
[257] ['16', '51', '66'] -> (51 * 66) + 16 mod 73
[258] ['16', '51', '70'] -> (70 - 51) / 16 mod 73
[259] ['2', '16', '60'] -> (60 / 16) + 2 mod 73
[260] ['16', '51', '71'] -> (51 / 16) + 71 mod 73
[261] ['16', '51', '72'] -> (72 - 16) / 51 mod 73
[262] ['16', '52', '54'] -> (16 / 54) - 52 mod 73
[263] ['16', '52', '56'] -> 16 - (52 * 56) mod 73
[264] ['16', '52', '58'] -> 58 - (16 / 52) mod 73
[265] ['16', '52', '62'] -> (16 / 62) + 52 mod 73
[266] ['16', '52', '64'] -> (16 + 64) / 52 mod 73
[267] ['16', '52', '68'] -> (16 * 52) + 68 mod 73
[268] ['16', '52', '71'] -> (71 - 52) / 16 mod 73
[269] ['16', '53', '54'] -> (16 / 53) + 54 mod 73
[270] ['2', '16', '64'] -> (64 - 16) / 2 mod 73
[271] ['16', '53', '55'] -> (16 * 55) - 53 mod 73
[272] ['16', '53', '59'] -> (59 / 53) + 16 mod 73
[273] ['16', '53', '64'] -> (64 / 16) - 53 mod 73
[274] ['16', '53', '69'] -> 69 - (16 * 53) mod 73
[275] ['16', '53', '71'] -> (53 * 71) - 16 mod 73
[276] ['16', '53', '72'] -> (72 - 53) / 16 mod 73
[277] ['16', '54', '65'] -> (16 + 54) * 65 mod 73
[278] ['16', '54', '67'] -> (67 / 54) + 16 mod 73
[279] ['16', '55', '60'] -> 60 / (55 - 16) mod 73
[280] ['16', '55', '66'] -> (16 - 66) * 55 mod 73
[281] ['2', '16', '65'] -> (16 * 2) + 65 mod 73
[282] ['16', '55', '68'] -> (55 - 16) * 68 mod 73
[283] ['16', '55', '70'] -> 55 / (70 - 16) mod 73
[284] ['16', '55', '71'] -> 16 - (71 / 55) mod 73
[285] ['16', '56', '62'] -> 62 / (16 - 56) mod 73
[286] ['16', '56', '63'] -> 16 - (63 / 56) mod 73
[287] ['16', '56', '67'] -> 56 / (67 - 16) mod 73
[288] ['16', '56', '69'] -> (16 * 56) - 69 mod 73
[289] ['16', '56', '71'] -> (16 * 71) + 56 mod 73
[290] ['16', '56', '72'] -> (72 / 16) + 56 mod 73
[291] ['16', '57', '60'] -> 60 - (16 * 57) mod 73
[292] ['2', '16', '68'] -> (16 / 68) - 2 mod 73
