[1] ['1', '1', '7'] -> (1 + 1) / 7 mod 83
[2] ['1', '1', '10'] -> (1 / 10) - 1 mod 83
[3] ['1', '1', '12'] -> 12 * (1 + 1) mod 83
[4] ['1', '1', '18'] -> 1 - (1 / 18) mod 83
[5] ['1', '1', '39'] -> 1 / (1 - 39) mod 83
[6] ['1', '1', '44'] -> 1 / (1 + 44) mod 83
[7] ['1', '1', '46'] -> 1 / (46 - 1) mod 83
[8] ['1', '1', '48'] -> 48 / (1 + 1) mod 83
[9] ['1', '1', '65'] -> 1 + (1 / 65) mod 83
[10] ['1', '2', '6'] -> 2 / (1 + 6) mod 83
[11] ['1', '2', '11'] -> 2 * (1 + 11) mod 83
[12] ['1', '2', '13'] -> 2 * (13 - 1) mod 83
[13] ['1', '2', '16'] -> (1 / 16) - 2 mod 83
[14] ['1', '2', '18'] -> (1 / 2) - 18 mod 83
[15] ['1', '2', '20'] -> (2 / 20) - 1 mod 83
[16] ['1', '2', '30'] -> 1 - (2 * 30) mod 83
[17] ['1', '2', '34'] -> 2 + (1 / 34) mod 83
[18] ['1', '2', '37'] -> 1 - (37 / 2) mod 83
[19] ['1', '2', '38'] -> (1 - 2) / 38 mod 83
[20] ['1', '2', '40'] -> 1 / (2 - 40) mod 83
[21] ['1', '2', '43'] -> 1 / (2 + 43) mod 83
[22] ['1', '2', '45'] -> (2 - 1) / 45 mod 83
[23] ['1', '2', '46'] -> 1 + (46 / 2) mod 83
[24] ['1', '2', '50'] -> (50 / 2) - 1 mod 83
[25] ['1', '2', '52'] -> (1 + 2) / 52 mod 83
[26] ['1', '2', '53'] -> 1 + (2 * 53) mod 83
[27] ['1', '2', '54'] -> (2 * 54) - 1 mod 83
[28] ['1', '2', '65'] -> 65 + (1 / 2) mod 83
[29] ['1', '2', '66'] -> 66 - (1 / 2) mod 83
[30] ['1', '2', '77'] -> 2 / (1 - 77) mod 83
[31] ['1', '3', '6'] -> 6 * (1 + 3) mod 83
[32] ['1', '3', '9'] -> 3 * (9 - 1) mod 83
[33] ['1', '3', '13'] -> 13 / (1 + 3) mod 83
[34] ['1', '3', '29'] -> 1 + (3 / 29) mod 83
[35] ['1', '3', '30'] -> (3 / 30) - 1 mod 83
[36] ['1', '3', '32'] -> 3 / (1 - 32) mod 83
[37] ['1', '3', '35'] -> 35 / (1 - 3) mod 83
[38] ['1', '3', '36'] -> (3 * 36) - 1 mod 83
[39] ['1', '3', '40'] -> (1 / 40) - 3 mod 83
[40] ['1', '3', '41'] -> 1 / (3 - 41) mod 83
[41] ['1', '3', '42'] -> 1 / (3 + 42) mod 83
[42] ['1', '3', '51'] -> 3 / (1 + 51) mod 83
[43] ['1', '3', '53'] -> 3 / (53 - 1) mod 83
[44] ['1', '3', '54'] -> 1 - (3 / 54) mod 83
[45] ['1', '3', '69'] -> 1 + (69 / 3) mod 83
[46] ['1', '3', '73'] -> (73 - 1) / 3 mod 83
[47] ['1', '3', '75'] -> (75 / 3) - 1 mod 83
[48] ['1', '4', '5'] -> 4 * (1 + 5) mod 83
[49] ['1', '4', '7'] -> 4 * (7 - 1) mod 83
[50] ['1', '4', '8'] -> 8 * (4 - 1) mod 83
[51] ['1', '4', '9'] -> 1 + (9 / 4) mod 83
[52] ['1', '4', '12'] -> (1 + 12) / 4 mod 83
[53] ['1', '4', '17'] -> (17 / 4) - 1 mod 83
[54] ['1', '4', '31'] -> (1 - 4) / 31 mod 83
[55] ['1', '4', '37'] -> 37 / (1 + 4) mod 83
[56] ['1', '4', '38'] -> 38 * (1 + 4) mod 83
[57] ['1', '4', '40'] -> (4 / 40) - 1 mod 83
[58] ['1', '4', '41'] -> 1 / (4 + 41) mod 83
[59] ['1', '4', '42'] -> 1 / (4 - 42) mod 83
[60] ['1', '4', '45'] -> 45 - (1 / 4) mod 83
[61] ['1', '4', '49'] -> 1 / (49 - 4) mod 83
[62] ['1', '4', '52'] -> (4 - 1) / 52 mod 83
[63] ['1', '4', '54'] -> 4 + (1 / 54) mod 83
[64] ['1', '4', '59'] -> (1 + 4) / 59 mod 83
[65] ['1', '4', '68'] -> 1 + (4 * 68) mod 83
[66] ['1', '4', '70'] -> 4 / (1 - 70) mod 83
[67] ['1', '4', '71'] -> (1 - 71) / 4 mod 83
[68] ['1', '4', '74'] -> 1 - (74 / 4) mod 83
[69] ['1', '4', '75'] -> 75 * (1 - 4) mod 83
[70] ['1', '4', '78'] -> 4 * (1 - 78) mod 83
[71] ['1', '4', '80'] -> (1 / 4) - 80 mod 83
[72] ['1', '5', '5'] -> (5 * 5) - 1 mod 83
[73] ['1', '5', '6'] -> 6 * (5 - 1) mod 83
[74] ['1', '5', '7'] -> 1 - (5 / 7) mod 83
[75] ['1', '5', '12'] -> 1 - (5 * 12) mod 83
[76] ['1', '5', '13'] -> 13 / (5 - 1) mod 83
[77] ['1', '5', '14'] -> (5 - 1) / 14 mod 83
[78] ['1', '5', '21'] -> (1 + 5) / 21 mod 83
[79] ['1', '5', '25'] -> 5 / (1 - 25) mod 83
[80] ['1', '5', '26'] -> (1 / 5) - 26 mod 83
[81] ['1', '5', '32'] -> 1 + (32 / 5) mod 83
[82] ['1', '5', '35'] -> 5 + (1 / 35) mod 83
[83] ['1', '5', '36'] -> (1 + 36) / 5 mod 83
[84] ['1', '5', '39'] -> 5 * (39 - 1) mod 83
[85] ['1', '5', '40'] -> 1 / (5 + 40) mod 83
[86] ['1', '5', '42'] -> (42 / 5) - 1 mod 83
[87] ['1', '5', '43'] -> 1 / (5 - 43) mod 83
[88] ['1', '5', '46'] -> 5 * (1 - 46) mod 83
[89] ['1', '5', '47'] -> (1 - 47) / 5 mod 83
[90] ['1', '5', '48'] -> 5 - (1 / 48) mod 83
[91] ['1', '5', '51'] -> 1 - (51 / 5) mod 83
[92] ['1', '5', '57'] -> 57 + (1 / 5) mod 83
[93] ['1', '5', '58'] -> 5 / (1 + 58) mod 83
[94] ['1', '5', '60'] -> 5 / (60 - 1) mod 83
[95] ['1', '5', '61'] -> 61 / (1 + 5) mod 83
[96] ['1', '5', '69'] -> (1 - 5) / 69 mod 83
[97] ['1', '5', '70'] -> 70 / (1 - 5) mod 83
[98] ['1', '5', '71'] -> 1 + (5 * 71) mod 83
[99] ['1', '5', '74'] -> 74 - (1 / 5) mod 83
[100] ['1', '5', '76'] -> 1 + (5 / 76) mod 83
[101] ['1', '5', '77'] -> 77 * (1 - 5) mod 83
[102] ['1', '6', '20'] -> 6 / (1 + 20) mod 83
[103] ['1', '6', '22'] -> 6 / (22 - 1) mod 83
[104] ['1', '6', '24'] -> (1 - 6) / 24 mod 83
[105] ['1', '6', '25'] -> 1 - (6 / 25) mod 83
[106] ['1', '6', '28'] -> 1 - (28 / 6) mod 83
[107] ['1', '6', '36'] -> (1 / 36) - 6 mod 83
