[1] ['1', '1', '12'] -> (1 + 1) * 12 base 12
[2] ['1', '3', '7'] -> (1 + 3) * 7 base 12
[3] ['2', '7', '12'] -> (2 * 7) + 12 base 12
[4] ['4', '30', '37'] -> (37 - 30) * 4 base 12
[5] ['4', '30', '64'] -> (30 + 64) / 4 base 12
[6] ['4', '30', '98'] -> (30 * 4) - 98 base 12
[7] ['4', '31', '38'] -> (38 - 31) * 4 base 12
[8] ['4', '31', '63'] -> (31 + 63) / 4 base 12
[9] ['4', '31', 'A0'] -> (31 * 4) - A0 base 12
[10] ['4', '32', '34'] -> 32 - (34 / 4) base 12
[11] ['4', '32', '39'] -> (39 - 32) * 4 base 12
[12] ['4', '32', '62'] -> (32 + 62) / 4 base 12
[13] ['4', '32', 'A4'] -> (32 * 4) - A4 base 12
[14] ['2', '7', '19'] -> (19 - 7) * 2 base 12
[15] ['4', '33', '38'] -> 33 - (38 / 4) base 12
[16] ['4', '33', '3A'] -> (3A - 33) * 4 base 12
[17] ['4', '33', '61'] -> (33 + 61) / 4 base 12
[18] ['4', '33', 'A8'] -> (33 * 4) - A8 base 12
[19] ['4', '34', '3B'] -> (3B - 34) * 4 base 12
[20] ['4', '34', '40'] -> 34 - (40 / 4) base 12
[21] ['4', '34', 'B0'] -> (34 * 4) - B0 base 12
[22] ['4', '35', '40'] -> (40 - 35) * 4 base 12
[23] ['4', '35', '44'] -> 35 - (44 / 4) base 12
[24] ['4', '35', '5B'] -> (35 + 5B) / 4 base 12
[25] ['2', '7', '41'] -> (41 + 7) / 2 base 12
[26] ['4', '35', 'B4'] -> (35 * 4) - B4 base 12
[27] ['4', '36', '41'] -> (41 - 36) * 4 base 12
[28] ['4', '36', '48'] -> 36 - (48 / 4) base 12
[29] ['4', '36', '5A'] -> (36 + 5A) / 4 base 12
[30] ['4', '36', 'B8'] -> (36 * 4) - B8 base 12
[31] ['4', '37', '42'] -> (42 - 37) * 4 base 12
[32] ['4', '37', '50'] -> 37 - (50 / 4) base 12
[33] ['4', '37', '59'] -> (37 + 59) / 4 base 12
[34] ['4', '38', '43'] -> (43 - 38) * 4 base 12
[35] ['4', '38', '54'] -> 38 - (54 / 4) base 12
[36] ['2', '7', '53'] -> (53 - 7) / 2 base 12
[37] ['4', '39', '44'] -> (44 - 39) * 4 base 12
[38] ['4', '39', '57'] -> (39 + 57) / 4 base 12
[39] ['4', '39', '58'] -> 39 - (58 / 4) base 12
[40] ['4', '3A', '45'] -> (45 - 3A) * 4 base 12
[41] ['4', '3A', '56'] -> (3A + 56) / 4 base 12
[42] ['4', '3A', '60'] -> 3A - (60 / 4) base 12
[43] ['4', '3B', '46'] -> (46 - 3B) * 4 base 12
[44] ['4', '3B', '55'] -> (3B + 55) / 4 base 12
[45] ['4', '3B', '64'] -> 3B - (64 / 4) base 12
[46] ['4', '40', '47'] -> (47 - 40) * 4 base 12
[47] ['2', '7', '5A'] -> (5A / 2) - 7 base 12
[48] ['4', '40', '54'] -> (40 + 54) / 4 base 12
[49] ['4', '41', '48'] -> (48 - 41) * 4 base 12
[50] ['4', '41', '53'] -> (41 + 53) / 4 base 12
[51] ['4', '41', '70'] -> 41 - (70 / 4) base 12
[52] ['4', '42', '49'] -> (49 - 42) * 4 base 12
[53] ['4', '42', '52'] -> (42 + 52) / 4 base 12
[54] ['4', '42', '74'] -> 42 - (74 / 4) base 12
[55] ['4', '43', '4A'] -> (4A - 43) * 4 base 12
[56] ['4', '43', '51'] -> (43 + 51) / 4 base 12
[57] ['4', '43', '78'] -> 43 - (78 / 4) base 12
[58] ['2', '7', 'B8'] -> B8 / (7 - 2) base 12
[59] ['4', '44', '4B'] -> (4B - 44) * 4 base 12
[60] ['4', '44', '50'] -> (44 + 50) / 4 base 12
[61] ['4', '44', '80'] -> 44 - (80 / 4) base 12
[62] ['4', '45', '4B'] -> (45 + 4B) / 4 base 12
[63] ['4', '45', '50'] -> (50 - 45) * 4 base 12
[64] ['4', '45', '84'] -> 45 - (84 / 4) base 12
[65] ['4', '46', '4A'] -> (46 + 4A) / 4 base 12
[66] ['4', '46', '51'] -> (51 - 46) * 4 base 12
[67] ['4', '46', '88'] -> 46 - (88 / 4) base 12
[68] ['4', '47', '49'] -> (47 + 49) / 4 base 12
[69] ['2', '8', 'A'] -> (2 * A) + 8 base 12
[70] ['4', '47', '52'] -> (52 - 47) * 4 base 12
[71] ['4', '47', '90'] -> 47 - (90 / 4) base 12
[72] ['4', '48', '48'] -> (48 + 48) / 4 base 12
[73] ['4', '48', '53'] -> (53 - 48) * 4 base 12
[74] ['4', '48', '94'] -> 48 - (94 / 4) base 12
[75] ['4', '49', '54'] -> (54 - 49) * 4 base 12
[76] ['4', '49', '98'] -> 49 - (98 / 4) base 12
[77] ['4', '4A', '55'] -> (55 - 4A) * 4 base 12
[78] ['4', '4A', 'A0'] -> 4A - (A0 / 4) base 12
[79] ['4', '4B', '56'] -> (56 - 4B) * 4 base 12
