[1] ['1', '1', '12'] -> 12 * (1 + 1) base 13
[2] ['1', '1', '48'] -> 48 / (1 + 1) base 13
[3] ['1', '2', 'A'] -> A * (1 + 2) base 13
[4] ['1', '2', '11'] -> 2 * (1 + 11) base 13
[5] ['1', '2', '13'] -> 2 * (13 - 1) base 13
[6] ['1', '2', '46'] -> 1 + (46 / 2) base 13
[7] ['1', '2', '47'] -> (1 + 47) / 2 base 13
[8] ['1', '2', '49'] -> (49 - 1) / 2 base 13
[9] ['1', '2', '4A'] -> (4A / 2) - 1 base 13
[10] ['1', '2', '6C'] -> 6C / (1 + 2) base 13
[11] ['1', '3', '9'] -> 3 * (1 + 9) base 13
[12] ['1', '3', 'B'] -> 3 * (B - 1) base 13
[13] ['1', '3', '12'] -> 12 * (3 - 1) base 13
[14] ['1', '3', '48'] -> 48 / (3 - 1) base 13
[15] ['1', '3', '69'] -> 1 + (69 / 3) base 13
[16] ['1', '3', '6B'] -> (1 + 6B) / 3 base 13
[17] ['1', '3', '70'] -> (70 - 1) / 3 base 13
[18] ['1', '3', '72'] -> (72 / 3) - 1 base 13
[19] ['1', '3', '93'] -> 93 / (1 + 3) base 13
[20] ['1', '4', '6'] -> 6 * (1 + 4) base 13
[21] ['1', '4', 'A'] -> A * (4 - 1) base 13
[22] ['1', '4', '6C'] -> 6C / (4 - 1) base 13
[23] ['1', '4', '8C'] -> 1 + (8C / 4) base 13
[24] ['1', '4', '92'] -> (1 + 92) / 4 base 13
[25] ['1', '4', '94'] -> (94 - 1) / 4 base 13
[26] ['1', '4', '97'] -> (97 / 4) - 1 base 13
[27] ['1', '4', 'B7'] -> B7 / (1 + 4) base 13
[28] ['1', '5', '5'] -> 5 * (1 + 5) base 13
[29] ['1', '5', '7'] -> 5 * (7 - 1) base 13
[30] ['1', '5', '93'] -> 93 / (5 - 1) base 13
[31] ['1', '5', 'B2'] -> 1 + (B2 / 5) base 13
[32] ['1', '5', 'B6'] -> (1 + B6) / 5 base 13
[33] ['1', '5', 'B8'] -> (B8 - 1) / 5 base 13
[34] ['1', '5', 'BC'] -> (BC / 5) - 1 base 13
[35] ['1', '6', '6'] -> 6 * (6 - 1) base 13
[36] ['1', '6', 'B7'] -> B7 / (6 - 1) base 13
[37] ['2', '2', '10'] -> 2 * (2 + 10) base 13
[38] ['2', '2', '11'] -> 2 + (2 * 11) base 13
[39] ['2', '2', '13'] -> (2 * 13) - 2 base 13
[40] ['2', '2', '14'] -> 2 * (14 - 2) base 13
[41] ['2', '2', '23'] -> 23 + (2 / 2) base 13
[42] ['2', '2', '25'] -> 25 - (2 / 2) base 13
[43] ['2', '2', '44'] -> 2 + (44 / 2) base 13
[44] ['2', '2', '46'] -> (2 + 46) / 2 base 13
[45] ['2', '2', '4A'] -> (4A - 2) / 2 base 13
[46] ['2', '2', '4C'] -> (4C / 2) - 2 base 13
[47] ['2', '3', '6'] -> 6 * (2 + 3) base 13
[48] ['2', '3', '8'] -> 3 * (2 + 8) base 13
[49] ['2', '3', '15'] -> 2 * (15 - 3) base 13
[50] ['2', '3', '1B'] -> 1B + (2 * 3) base 13
[51] ['2', '3', '2A'] -> 2A - (2 * 3) base 13
[52] ['2', '3', '42'] -> 3 + (42 / 2) base 13
[53] ['2', '3', '45'] -> (3 + 45) / 2 base 13
[54] ['2', '3', '4B'] -> (4B - 3) / 2 base 13
[55] ['2', '3', '51'] -> (51 / 2) - 3 base 13
[56] ['2', '3', '66'] -> 2 + (66 / 3) base 13
[57] ['2', '3', '6A'] -> (2 + 6A) / 3 base 13
[58] ['2', '3', '71'] -> (71 - 2) / 3 base 13
[59] ['2', '3', '75'] -> (75 / 3) - 2 base 13
[60] ['2', '3', 'B7'] -> B7 / (2 + 3) base 13
[61] ['2', '4', '5'] -> 5 * (2 + 4) base 13
[62] ['2', '4', '7'] -> 2 + (4 * 7) base 13
[63] ['2', '4', '8'] -> (4 * 8) - 2 base 13
[64] ['2', '4', 'B'] -> 2 * (4 + B) base 13
[65] ['2', '4', '10'] -> 4 + (2 * 10) base 13
[66] ['2', '4', '14'] -> (2 * 14) - 4 base 13
[67] ['2', '4', '16'] -> 2 * (16 - 4) base 13
[68] ['2', '4', '19'] -> 19 + (2 * 4) base 13
[69] ['2', '4', '2C'] -> 2C - (2 * 4) base 13
[70] ['2', '4', '40'] -> 4 + (40 / 2) base 13
[71] ['2', '4', '44'] -> (4 + 44) / 2 base 13
[72] ['2', '4', '4C'] -> (4C - 4) / 2 base 13
[73] ['2', '4', '53'] -> (53 / 2) - 4 base 13
[74] ['2', '4', '88'] -> 2 + (88 / 4) base 13
[75] ['2', '4', '91'] -> (2 + 91) / 4 base 13
[76] ['2', '4', '95'] -> (95 - 2) / 4 base 13
[77] ['2', '4', '9B'] -> (9B / 4) - 2 base 13
[78] ['2', '5', '8'] -> 5 * (8 - 2) base 13
[79] ['2', '5', '31'] -> 31 - (2 * 5) base 13
[80] ['2', '5', '3B'] -> 5 + (3B / 2) base 13
[81] ['2', '5', '43'] -> (5 + 43) / 2 base 13
[82] ['2', '5', '50'] -> (50 - 5) / 2 base 13
[83] ['2', '5', '55'] -> (55 / 2) - 5 base 13
[84] ['2', '5', '6C'] -> 6C / (5 - 2) base 13
[85] ['2', '5', 'AA'] -> 2 + (AA / 5) base 13
[86] ['2', '5', 'B5'] -> (2 + B5) / 5 base 13
[87] ['2', '5', 'B9'] -> (B9 - 2) / 5 base 13
[88] ['2', '5', 'C4'] -> (C4 / 5) - 2 base 13
[89] ['2', '6', '7'] -> 6 * (7 - 2) base 13
[90] ['2', '6', '9'] -> 2 * (6 + 9) base 13
[91] ['2', '6', 'C'] -> 6 + (2 * C) base 13
[92] ['2', '6', '18'] -> 2 * (18 - 6) base 13
[93] ['2', '6', '21'] -> 21 + (6 / 2) base 13
