5数24点(4整数[1-9]+1分数)唯一解报告
----------------------------------------
[1] ['1', '2', '4', '5', '7/9'] -> (((2 + 7/9) * (4 + 5)) - 1)
[2] ['1', '2', '4', '7', '5/9'] -> ((((2 + 7) * 5/9) + 1) * 4)
[3] ['1', '2', '5', '5', '3/7'] -> (((1 + 5) / 3/7) + (2 * 5))
[4] ['1', '2', '5', '8', '7/9'] -> ((((1 + 8) * 7/9) + 5) * 2)
[5] ['1', '1', '4', '8', '5/9'] -> ((((1 + 8) * 5/9) + 1) * 4)
[6] ['1', '1', '4', '8', '9/5'] -> ((((1 + 8) / 9/5) + 1) * 4)
[7] ['1', '1', '4', '9', '8/7'] -> ((((9 - 1) / 8/7) - 1) * 4)
[8] ['1', '1', '5', '5', '1/9'] -> (((1 / 1/9) - 5) * (1 + 5))
[9] ['1', '2', '2', '5', '8/9'] -> ((1 + 5) / ((2 / 8/9) - 2))
[10] ['1', '2', '2', '7', '4/9'] -> ((((2 / 4/9) + 7) * 2) + 1)
[11] ['1', '2', '2', '7', '5/9'] -> (((2 + 5/9) * (2 + 7)) + 1)
[12] ['1', '2', '2', '8', '5/9'] -> (8 / (2 - ((1 + 2) * 5/9)))
[13] ['1', '2', '2', '8', '7/9'] -> (8 / (((1 + 2) * 7/9) - 2))
[14] ['1', '1', '4', '4', '5/7'] -> ((((1 + 4) / 5/7) - 1) * 4)
[15] ['1', '1', '4', '4', '7/5'] -> ((((1 + 4) * 7/5) - 1) * 4)
[16] ['1', '1', '2', '8', '5/9'] -> (((1 + 8) * (2 + 5/9)) + 1)
[17] ['1', '1', '2', '8', '7/9'] -> (((1 + 8) * (2 + 7/9)) - 1)
[18] ['1', '1', '2', '9', '2/7'] -> ((((1 / 2/7) + 9) * 2) - 1)
[19] ['1', '1', '3', '3', '4/9'] -> ((((1 + 3) / 4/9) - 1) * 3)
[20] ['1', '1', '3', '3', '7/5'] -> (((3 * 3) + 1) * (1 + 7/5))
[21] ['1', '1', '3', '4', '5/7'] -> ((((1 + 4) / 5/7) + 1) * 3)
[22] ['1', '1', '3', '4', '7/5'] -> ((((1 + 4) * 7/5) + 1) * 3)
[23] ['1', '1', '3', '5', '6/7'] -> ((((1 + 5) / 6/7) + 1) * 3)
[24] ['1', '1', '3', '7', '4/9'] -> ((1 + 7) / ((3 * 4/9) - 1))
[25] ['1', '1', '3', '7', '4/5'] -> ((((3 * 7) - 1) / 4/5) - 1)
[26] ['1', '2', '8', '8', '9/7'] -> ((8 / (9/7 - 1)) - (8 / 2))
[27] ['1', '2', '9', '9', '1/7'] -> (((9 / 1/7) + 9) / (1 + 2))
[28] ['1', '2', '9', '9', '4/7'] -> (((9 / (1 - 4/7)) - 9) * 2)
[29] ['1', '1', '5', '5', '7/2'] -> (((5 + 5) * (7/2 - 1)) - 1)
[30] ['1', '1', '5', '6', '3/7'] -> (((1 + 1) * 5) + (6 / 3/7))
[31] ['1', '1', '5', '6', '8/9'] -> (((1 / (1 - 8/9)) - 5) * 6)
[32] ['1', '1', '5', '6', '8/7'] -> (1 / ((1 / 8/7) - (5 / 6)))
[33] ['1', '1', '5', '7', '8/9'] -> ((((5 - 1) * 7) - 1) * 8/9)
[34] ['1', '1', '5', '8', '2/9'] -> (8 / (((1 + 5) * 2/9) - 1))
[35] ['1', '1', '5', '9', '2/9'] -> ((((1 / 9) + 5) / 2/9) + 1)
[36] ['1', '1', '6', '6', '1/7'] -> (((6 / 1/7) + 6) / (1 + 1))
[37] ['1', '1', '6', '6', '2/7'] -> ((6 / (1 + 1)) + (6 / 2/7))
[38] ['1', '1', '6', '7', '2/9'] -> ((1 + 7) / ((2/9 * 6) - 1))
[39] ['1', '1', '6', '7', '8/9'] -> (1 / ((7 / 6) - (1 / 8/9)))
[40] ['1', '1', '6', '8', '7/9'] -> (8 / (((1 - 7/9) * 6) - 1))
[41] ['1', '1', '6', '8', '9/7'] -> (((1 + 6) * (1 + 9/7)) + 8)
[42] ['1', '1', '7', '7', '1/6'] -> (7 / ((1 / (1 + 7)) + 1/6))
[43] ['1', '3', '5', '5', '4/7'] -> ((1 + 5) / ((3 / 4/7) - 5))
[44] ['1', '3', '8', '8', '6/7'] -> ((((8 - 1) * 6/7) - 3) * 8)
[45] ['1', '3', '9', '9', '5/7'] -> (((9 * 9) + 3) * (1 - 5/7))
[46] ['1', '1', '7', '7', '5/6'] -> (1 / ((7 / (1 + 7)) - 5/6))
[47] ['1', '1', '7', '7', '7/8'] -> ((((1 + 1) * 7) + 7) / 7/8)
[48] ['1', '1', '7', '7', '8/7'] -> ((((1 + 1) * 7) + 7) * 8/7)
[49] ['1', '1', '7', '7', '5/2'] -> ((1 + 5/2) * (7 - (1 / 7)))
[50] ['1', '1', '7', '8', '7/9'] -> ((((1 / 7/9) + 1) * 7) + 8)
[51] ['1', '1', '7', '8', '6/5'] -> (1 / ((7 / 8) - (1 / 6/5)))
[52] ['1', '1', '7', '9', '6/7'] -> (((1 + 1) * 9) + (6/7 * 7))
[53] ['1', '1', '8', '8', '7/9'] -> (((1 + 7/9) * (1 + 8)) + 8)
[54] ['1', '1', '8', '8', '9/2'] -> ((((1 + 8) / 9/2) + 1) * 8)
[55] ['1', '4', '4', '4', '9/7'] -> (((4 + 4) / (9/7 - 1)) - 4)
[56] ['1', '4', '4', '5', '7/9'] -> ((((4 + 5) * 7/9) - 1) * 4)
[57] ['1', '5', '5', '5', '3/8'] -> (((5 + 5) + 5) / (1 - 3/8))
[58] ['1', '4', '7', '7', '5/9'] -> ((((7 * 7) - 4) * 5/9) - 1)
[59] ['1', '4', '7', '7', '9/5'] -> ((((7 * 7) - 4) / 9/5) - 1)
[60] ['1', '4', '4', '9', '5/7'] -> ((((9 - 4) / 5/7) - 1) * 4)
[61] ['1', '4', '4', '9', '6/7'] -> ((((9 - 1) * 4) - 4) * 6/7)
[62] ['1', '4', '5', '5', '2/9'] -> (((1 + 5) / 4) + (5 / 2/9))
[63] ['1', '1', '1', '5', '4/3'] -> ((1 + 5) / (1 - (1 / 4/3)))
[64] ['1', '1', '1', '5', '8/3'] -> ((((1 + 1) * 5) - 1) * 8/3)
[65] ['1', '1', '1', '6', '2/5'] -> ((((1 + 1) / 2/5) - 1) * 6)
[66] ['1', '1', '1', '6', '5/8'] -> (6 / (((1 + 1) * 5/8) - 1))
[67] ['1', '1', '1', '6', '8/5'] -> (6 / (((1 + 1) / 8/5) - 1))
[68] ['1', '1', '1', '6', '9/5'] -> (6 / ((1 / (9/5 - 1)) - 1))
[69] ['1', '1', '1', '7', '1/7'] -> (((7 / 1/7) - 1) / (1 + 1))
[70] ['1', '1', '1', '7', '2/7'] -> ((7 / 2/7) - (1 / (1 + 1)))
[71] ['1', '1', '1', '7', '8/5'] -> ((((1 + 1) * 7) + 1) * 8/5)
[72] ['1', '1', '1', '7', '7/2'] -> ((7 * 7/2) - (1 / (1 + 1)))
[73] ['1', '1', '1', '7', '9/2'] -> (((1 + 1) * (7 + 9/2)) + 1)
[74] ['1', '1', '1', '8', '9/2'] -> (((1 + 1) * (8 + 9/2)) - 1)
[75] ['1', '1', '1', '9', '1/5'] -> ((((1 + 1) + 1) / 1/5) + 9)
[76] ['1', '1', '1', '9', '5/7'] -> (((1 / 5/7) + 1) * (1 + 9))
[77] ['1', '1', '1', '9', '7/8'] -> (9 / (7/8 - (1 / (1 + 1))))
[78] ['1', '1', '1', '9', '5/4'] -> (9 / (1 - (5/4 / (1 + 1))))
[79] ['1', '1', '8', '9', '9/7'] -> ((((1 / 9/7) + 1) * 9) + 8)
[80] ['1', '1', '9', '9', '8/9'] -> ((((1 + 1) * 9) + 9) * 8/9)
[81] ['1', '1', '9', '9', '9/8'] -> ((((1 + 1) * 9) + 9) / 9/8)
[82] ['1', '1', '9', '9', '9/2'] -> (((9 / 9/2) + 1) * (9 - 1))
[83] ['1', '2', '2', '2', '6/7'] -> (((2 / (1 - 6/7)) - 2) * 2)
[84] ['1', '2', '2', '2', '8/7'] -> (((2 / (8/7 - 1)) - 2) * 2)
[85] ['1', '2', '2', '3', '4/5'] -> (((2 / (1 - 4/5)) - 2) * 3)
[86] ['1', '2', '2', '3', '6/5'] -> (((2 / (6/5 - 1)) - 2) * 3)
[87] ['1', '2', '2', '4', '9/7'] -> (((4 / (9/7 - 1)) - 2) * 2)
[88] ['1', '5', '6', '6', '5/7'] -> (((1 + 6) * (5 - 5/7)) - 6)
[89] ['1', '5', '6', '6', '9/8'] -> ((1 + 6) / (9/8 - (5 / 6)))
[90] ['1', '6', '6', '6', '6/7'] -> ((((6 * 6) - 1) * 6/7) - 6)
[91] ['1', '6', '6', '6', '8/5'] -> (((6 / (8/5 - 1)) - 6) * 6)
