[1] ['1', '1', '1', '1/9', '1/6'] -> ((1 + 1) / 1/9) + (1 / 1/6)
[2] ['1', '1', '1', '1/7', '5/8'] -> (((1 + 1) / 1/7) + 1) / 5/8
[3] ['1', '1', '1', '3/2', '8/5'] -> 1 / ((1 / 3/2) - (1 / 8/5))
[4] ['1', '2', '5', '5/7', '5/4'] -> (1 + 5) / (2 - (5/4 / 5/7))
[5] ['1', '2', '5', '3/4', '3/4'] -> ((5 / (1 - 3/4)) - 2) / 3/4
[6] ['1', '2', '5', '7/9', '7/9'] -> ((5 + 7/9) / (1 - 7/9)) - 2
[7] ['1', '2', '5', '5/6', '6/7'] -> ((5 / (1 - 5/6)) - 2) * 6/7
[8] ['1', '2', '6', '5/9', '7/8'] -> ((6 / 5/9) + 2) * (1 + 7/8)
[9] ['1', '2', '6', '5/8', '9/7'] -> 6 / ((2 / (1 + 9/7)) - 5/8)
[10] ['1', '2', '6', '5/7', '4/3'] -> (2 / ((1 / 5/7) - 4/3)) - 6
[11] ['1', '2', '7', '2/7', '9/4'] -> (((1 / 2) + 7) / 2/7) - 9/4
[12] ['1', '2', '7', '2/5', '7/9'] -> ((7 / 7/9) + 1) * (2 + 2/5)
[13] ['1', '2', '7', '2/5', '7/8'] -> (((7 / 7/8) + 2) / 2/5) - 1
[14] ['1', '1', '1', '8/5', '8/3'] -> 1 / (((8/3 - 1) / 8/5) - 1)
[15] ['1', '2', '7', '2/5', '9/7'] -> ((7 * 9/7) + 1) * (2 + 2/5)
[16] ['1', '2', '7', '2/5', '9/4'] -> ((1 + 9/4) * 2) + (7 / 2/5)
[17] ['1', '2', '7', '1/8', '9/5'] -> 9/5 / ((1 / (7 - 2)) - 1/8)
[18] ['1', '2', '7', '1/5', '7/9'] -> ((1 + 2) / 1/5) + (7 / 7/9)
[19] ['1', '2', '7', '2/9', '2/7'] -> (((2/7 / 2/9) + 2) * 7) + 1
[20] ['1', '2', '7', '2/9', '5/7'] -> ((7 / 5/7) + 1) * (2 + 2/9)
[21] ['1', '2', '7', '2/9', '4/5'] -> (((7 / 2/9) + 1) * 4/5) - 2
[22] ['1', '2', '7', '2/9', '8/7'] -> ((1 + 8/7) * 7) + (2 / 2/9)
[23] ['1', '2', '8', '1/9', '5/7'] -> ((8 / (1 + 5/7)) - 2) / 1/9
[24] ['1', '2', '8', '1/9', '7/5'] -> ((2 / 1/9) - 8) * (1 + 7/5)
[25] ['1', '1', '1', '9/5', '8/3'] -> 8/3 / (((1 + 1) / 9/5) - 1)
[26] ['1', '2', '8', '1/8', '5/9'] -> (((1 + 8) * 5/9) - 2) / 1/8
[27] ['1', '2', '8', '1/8', '4/5'] -> (8 / (1 - 4/5)) - (2 / 1/8)
[28] ['1', '2', '8', '1/5', '2/9'] -> 8 / ((1 / (2 - 1/5)) - 2/9)
[29] ['1', '2', '8', '1/5', '4/9'] -> ((8 / 4/9) + 2) * (1 + 1/5)
[30] ['1', '2', '8', '2/9', '5/8'] -> (((2 / 2/9) + 1) / 5/8) + 8
[31] ['1', '2', '8', '2/9', '7/5'] -> ((8 / (1 + 7/5)) + 2) / 2/9
[32] ['1', '2', '8', '1/4', '7/9'] -> 8 / (7/9 - (1 / (1/4 + 2)))
[33] ['1', '2', '8', '1/4', '7/5'] -> ((2 / (1 + 1/4)) + 7/5) * 8
[34] ['1', '2', '5', '2/5', '9/7'] -> ((5 / 2/5) - 2) * (1 + 9/7)
[35] ['1', '2', '5', '3/7', '3/4'] -> (1 + 5) / (2 - (3/4 / 3/7))
[36] ['1', '1', '1', '9/4', '8/3'] -> 8/3 / (1 - ((1 + 1) / 9/4))
[37] ['1', '2', '5', '4/9', '3/5'] -> (((2 + 5) / 3/5) - 1) / 4/9
[38] ['1', '2', '5', '4/9', '5/4'] -> (((5 / 4/9) + 5/4) * 2) - 1
[39] ['1', '2', '5', '5/9', '7/6'] -> (((5 + 7/6) * 2) + 1) / 5/9
[40] ['1', '2', '5', '5/9', '7/5'] -> (((2 / 5/9) + 7/5) * 5) - 1
[41] ['1', '2', '5', '5/9', '7/2'] -> (((5 / 5/9) + 7/2) * 2) - 1
[42] ['1', '2', '5', '4/7', '3/4'] -> ((5 / 4/7) - 3/4) * (1 + 2)
[43] ['1', '2', '5', '4/7', '7/5'] -> ((1 / 4/7) + 2) * (5 + 7/5)
[44] ['1', '2', '5', '4/7', '5/3'] -> ((5 * 5/3) + 1) * (2 + 4/7)
[45] ['1', '2', '5', '4/7', '5/2'] -> ((2 / 4/7) + 5/2) * (5 - 1)
[46] ['1', '2', '5', '3/5', '3/5'] -> (((1 + 2) * 5) - 3/5) / 3/5
[47] ['1', '1', '1', '7/2', '9/2'] -> (1 + 1 + 1) * (7/2 + 9/2)
[48] ['1', '2', '5', '3/5', '5/7'] -> (((1 + 2) / 5/7) + 3/5) * 5
[49] ['1', '2', '7', '5/8', '9/4'] -> ((1 + 9/4) * 7) + (2 * 5/8)
[50] ['1', '2', '7', '5/7', '3/4'] -> (((2 + 5/7) * 7) - 1) / 3/4
[51] ['1', '2', '7', '5/7', '7/9'] -> (((2 / 7/9) + 5/7) * 7) + 1
[52] ['1', '2', '7', '5/7', '4/5'] -> (((1 + 7) / 5/7) + 4/5) * 2
[53] ['1', '2', '7', '5/7', '4/3'] -> (((2 + 5/7) * 7) - 1) * 4/3
[54] ['1', '2', '7', '5/7', '9/4'] -> ((5/7 * 7) + 1) / (9/4 - 2)
[55] ['1', '2', '7', '7/9', '9/5'] -> (1 + 7) / ((2 / 9/5) - 7/9)
[56] ['1', '2', '7', '7/9', '5/2'] -> (((7 / 7/9) + 5/2) * 2) + 1
[57] ['1', '2', '7', '4/5', '7/2'] -> (((1 + 7) * 7/2) + 2) * 4/5
[58] ['1', '1', '2', '1/9', '2/5'] -> ((1 / 1/9) + 1) * (2 + 2/5)
[59] ['1', '2', '7', '6/7', '9/5'] -> ((1 + 9/5) * (6/7 + 7)) + 2
[60] ['1', '2', '7', '8/9', '8/7'] -> (((8/7 / 8/9) + 2) * 7) + 1
[61] ['1', '2', '7', '8/9', '5/4'] -> (((2 / 8/9) + 1) * 7) + 5/4
[62] ['1', '2', '7', '9/8', '8/5'] -> (((7 + 9/8) * 8/5) - 1) * 2
[63] ['1', '2', '7', '7/6', '7/5'] -> ((1 / 7/6) + 2) * (7 + 7/5)
[64] ['1', '2', '7', '6/5', '7/4'] -> 7 / (((1 + 7/4) / 6/5) - 2)
[65] ['1', '2', '7', '7/5', '7/4'] -> ((7 / 7/5) + 1) / (2 - 7/4)
[66] ['1', '2', '7', '8/5', '9/4'] -> ((1 + 9/4) * 7) + (2 / 8/5)
[67] ['1', '2', '8', '8/7', '9/5'] -> ((8/7 / 2) + 8) * (1 + 9/5)
[68] ['1', '2', '8', '7/6', '8/5'] -> 8 / (((2 - 7/6) * 8/5) - 1)
[69] ['1', '1', '2', '1/9', '6/7'] -> (((1 + 2) / 1/9) + 1) * 6/7
[70] ['1', '2', '8', '9/7', '9/4'] -> (((9/4 / 9/7) + 1) * 8) + 2
[71] ['1', '2', '8', '2/5', '8/9'] -> ((8 / 8/9) + 1) * (2 + 2/5)
[72] ['1', '2', '8', '4/9', '5/7'] -> 8 / ((1 / (2 - 5/7)) - 4/9)
[73] ['1', '2', '8', '5/9', '4/7'] -> ((2 * 8) - 4/7) * (1 + 5/9)
[74] ['1', '2', '8', '5/9', '7/8'] -> 8 / ((1 / (2 - 7/8)) - 5/9)
[75] ['1', '2', '8', '5/8', '7/6'] -> 8 / (((2 - 7/6) / 5/8) - 1)
[76] ['1', '2', '8', '5/7', '3/4'] -> (1 / (3/4 - 5/7)) - (8 / 2)
[77] ['1', '2', '8', '7/9', '4/5'] -> 8 / ((2 / (1 + 4/5)) - 7/9)
[78] ['1', '2', '8', '7/9', '7/4'] -> (((7/4 / 7/9) + 1) * 8) - 2
[79] ['1', '2', '8', '7/9', '5/2'] -> ((2 * 8) - 5/2) * (1 + 7/9)
[80] ['1', '1', '2', '1/9', '7/2'] -> (((1 / 1/9) + 7/2) * 2) - 1
[81] ['1', '2', '9', '4/9', '9/5'] -> (((1 + 2) / 9/5) + 9) / 4/9
[82] ['1', '2', '9', '5/9', '5/7'] -> (((5/9 / 5/7) + 2) * 9) - 1
[83] ['1', '2', '9', '5/9', '9/2'] -> (((5/9 * 9/2) + 9) * 2) + 1
[84] ['1', '2', '9', '4/7', '6/5'] -> ((2 / 4/7) - (1 / 6/5)) * 9
[85] ['1', '2', '8', '7/5', '3/2'] -> ((3/2 * 8) - 2) * (1 + 7/5)
[86] ['1', '2', '8', '7/5', '9/2'] -> ((8 / (1 + 7/5)) + 2) * 9/2
[87] ['1', '2', '9', '1/8', '1/7'] -> 9 / ((1/8 / 1/7) - (1 / 2))
[88] ['1', '2', '9', '1/7', '4/9'] -> (((9 - 1) / 1/7) - 2) * 4/9
[89] ['1', '2', '7', '4/9', '4/7'] -> (((4/7 / 4/9) + 2) * 7) + 1
[90] ['1', '2', '7', '4/9', '7/8'] -> ((7 / (1 - 7/8)) - 2) * 4/9
[91] ['1', '1', '2', '1/8', '2/7'] -> ((1 / 2/7) - (1 / 2)) / 1/8
[92] ['1', '2', '7', '4/9', '7/5'] -> ((7 / (2 - 7/5)) - 1) / 4/9
[93] ['1', '2', '7', '4/9', '7/4'] -> ((2 + 7/4) * 7) - (1 / 4/9)
[94] ['1', '2', '7', '5/9', '3/2'] -> ((2 * 7) - (1 / 3/2)) / 5/9
[95] ['1', '2', '7', '5/9', '9/4'] -> (1 + 7) / ((2 / 9/4) - 5/9)
[96] ['1', '2', '7', '3/5', '9/7'] -> (((9/7 / 3/5) + 1) * 7) + 2
[97] ['1', '2', '9', '1/7', '9/5'] -> ((1 / 1/7) + (9 / 9/5)) * 2
[98] ['1', '2', '9', '1/7', '9/4'] -> (((9 - 1) / 1/7) - 2) / 9/4
[99] ['1', '2', '9', '1/6', '5/7'] -> (((9 - 2) * 5/7) - 1) / 1/6
[100] ['1', '2', '9', '1/5', '2/7'] -> ((1 / 1/5) + 9) * (2 - 2/7)
[101] ['1', '2', '9', '2/9', '2/7'] -> (((2/9 / 2/7) + 2) * 9) - 1
[102] ['1', '1', '2', '1/8', '4/9'] -> (((1 / 4/9) + 1) / 1/8) - 2
