[1] ['1', '1', '1', '1', '7'] -> (((1 + 1) + 1) * (1 + 7))
[2] ['1', '1', '1', '1', '9'] -> (((1 + 1) + 1) * (9 - 1))
[3] ['1', '1', '1', '1', '16'] -> (((1 / (1 + 1)) + 1) * 16)
[4] ['1', '1', '1', '2', '17'] -> (((1 / 2) + 1) * (17 - 1))
[5] ['1', '1', '1', '7', '7'] -> (((7 * 7) - 1) / (1 + 1))
[6] ['1', '1', '1', '7', '22'] -> (((1 / 7) + 1) * (22 - 1))
[7] ['1', '1', '1', '8', '12'] -> (1 / ((1 / 8) - (1 / 12)))
[8] ['1', '1', '1', '26', '30'] -> (((1 + 1) * (1 + 26)) - 30)
[9] ['1', '1', '1', '27', '28'] -> (((1 + 1) * (27 - 1)) - 28)
[10] ['1', '1', '1', '28', '30'] -> (((1 + 1) * (28 - 1)) - 30)
[11] ['1', '1', '2', '8', '25'] -> ((2 + 25) / ((1 / 8) + 1))
[12] ['1', '1', '1', '8', '26'] -> ((1 + 26) / ((1 / 8) + 1))
[13] ['1', '1', '1', '9', '11'] -> ((((1 + 1) + 1) * 11) - 9)
[14] ['1', '1', '1', '9', '19'] -> (((1 + 9) / (1 + 1)) + 19)
[15] ['1', '1', '1', '9', '26'] -> ((1 + 26) * (1 - (1 / 9)))
[16] ['1', '1', '1', '20', '21'] -> (((1 + 1) * (1 + 21)) - 20)
[17] ['1', '1', '1', '20', '26'] -> (((20 + 26) / (1 + 1)) + 1)
[18] ['1', '1', '1', '20', '30'] -> (((20 + 30) / (1 + 1)) - 1)
[19] ['1', '1', '1', '22', '28'] -> (((22 + 28) / (1 + 1)) - 1)
[20] ['1', '1', '1', '22', '30'] -> (((1 + 1) + 1) * (30 - 22))
[21] ['1', '1', '1', '11', '21'] -> (((1 / 11) + 1) * (1 + 21))
[22] ['1', '1', '1', '11', '30'] -> (30 - ((1 + 11) / (1 + 1)))
[23] ['1', '1', '1', '12', '21'] -> ((1 + 21) / (1 - (1 / 12)))
[24] ['1', '1', '1', '12', '27'] -> ((27 - 1) / ((1 / 12) + 1))
[25] ['1', '1', '1', '13', '15'] -> ((((1 + 1) + 1) * 13) - 15)
[26] ['1', '1', '1', '13', '17'] -> (((1 + 13) / (1 + 1)) + 17)
[27] ['1', '1', '1', '14', '28'] -> ((1 - ((1 + 1) / 14)) * 28)
[28] ['1', '1', '1', '15', '21'] -> ((((1 + 1) + 1) * 15) - 21)
[29] ['1', '1', '1', '15', '29'] -> (29 - (15 / ((1 + 1) + 1)))
[30] ['1', '1', '1', '16', '19'] -> (((1 + 1) * (1 + 19)) - 16)
[31] ['1', '1', '4', '16', '17'] -> ((1 + 17) / (1 - (4 / 16)))
[32] ['1', '1', '6', '13', '20'] -> ((1 - (1 / 13)) * (20 + 6))
[33] ['1', '1', '4', '15', '16'] -> (16 / (1 - ((1 + 4) / 15)))
[34] ['1', '1', '4', '27', '29'] -> (((27 + 29) / (1 + 1)) - 4)
[35] ['1', '1', '1', '16', '30'] -> (((16 + 30) / (1 + 1)) + 1)
[36] ['1', '1', '1', '17', '27'] -> ((((1 + 1) + 1) * 17) - 27)
[37] ['1', '1', '1', '18', '18'] -> ((18 / ((1 + 1) + 1)) + 18)
[38] ['1', '1', '1', '18', '20'] -> (((1 + 1) * (1 + 20)) - 18)
[39] ['1', '1', '1', '18', '22'] -> (((1 + 1) * (22 - 1)) - 18)
