[3] ['1', '1', '1', '1', '16'] -> (((1 / (1 + 1)) + 1) * 16)
[4] ['1', '1', '1', '2', '17'] -> (((1 / 2) + 1) * (17 - 1))
[6] ['1', '1', '1', '7', '22'] -> (((1 / 7) + 1) * (22 - 1))
[7] ['1', '1', '1', '8', '12'] -> (1 / ((1 / 8) - (1 / 12)))
[11] ['1', '1', '2', '8', '25'] -> ((2 + 25) / ((1 / 8) + 1))
[12] ['1', '1', '1', '8', '26'] -> ((1 + 26) / ((1 / 8) + 1))
[15] ['1', '1', '1', '9', '26'] -> ((1 + 26) * (1 - (1 / 9)))
[21] ['1', '1', '1', '11', '21'] -> (((1 / 11) + 1) * (1 + 21))
[23] ['1', '1', '1', '12', '21'] -> ((1 + 21) / (1 - (1 / 12)))
[24] ['1', '1', '1', '12', '27'] -> ((27 - 1) / ((1 / 12) + 1))
[27] ['1', '1', '1', '14', '28'] -> ((1 - ((1 + 1) / 14)) * 28)
[31] ['1', '1', '4', '16', '17'] -> ((1 + 17) / (1 - (4 / 16)))
[32] ['1', '1', '6', '13', '20'] -> ((1 - (1 / 13)) * (20 + 6))
[33] ['1', '1', '4', '15', '16'] -> (16 / (1 - ((1 + 4) / 15)))
[41] ['1', '1', '1', '18', '27'] -> ((1 - ((1 + 1) / 18)) * 27)
[55] ['1', '1', '9', '18', '29'] -> ((((1 + 29) / 18) + 1) * 9)
[57] ['1', '1', '11', '20', '28'] -> (((28 / 20) + 1) * (11 - 1))
[58] ['1', '1', '10', '19', '28'] -> (((28 / (1 + 19)) + 1) * 10)
[59] ['1', '1', '13', '14', '19'] -> (14 / ((19 / (13 - 1)) - 1))
[61] ['1', '1', '15', '15', '30'] -> (((15 / 30) + 1) * (1 + 15))
[62] ['1', '1', '15', '16', '29'] -> (((15 / (1 + 29)) + 1) * 16)
[63] ['1', '1', '11', '17', '22'] -> (((11 / 22) + 1) * (17 - 1))
[64] ['1', '1', '11', '18', '27'] -> ((1 + 11) / ((27 / 18) - 1))
[65] ['1', '1', '14', '15', '28'] -> (((14 / 28) + 1) * (1 + 15))
[66] ['1', '1', '12', '19', '27'] -> (12 / ((27 / (19 - 1)) - 1))
[67] ['1', '1', '12', '20', '29'] -> (12 / (((1 + 29) / 20) - 1))
[68] ['1', '1', '12', '22', '30'] -> ((((22 / 12) - 1) * 30) - 1)
[69] ['1', '1', '16', '16', '29'] -> ((16 - (29 / (1 + 1))) * 16)
[78] ['1', '4', '17', '28', '28'] -> (((1 / 4) + (17 / 28)) * 28)
[81] ['1', '4', '13', '23', '27'] -> ((1 - (4 / (13 + 23))) * 27)
[82] ['1', '4', '13', '25', '29'] -> ((25 + 29) / ((13 / 4) - 1))
[85] ['1', '5', '12', '29', '29'] -> ((29 + 5) / ((29 / 12) - 1))
[92] ['1', '5', '15', '28', '29'] -> ((((28 + 29) / 15) + 1) * 5)
[105] ['1', '5', '22', '30', '30'] -> (22 / (1 - (5 / (30 + 30))))
[121] ['1', '7', '8', '18', '18'] -> (8 / ((7 / 18) - (1 / 18)))
[122] ['1', '7', '7', '11', '18'] -> (18 / ((7 / (11 - 7)) - 1))
[124] ['1', '7', '10', '10', '14'] -> ((((10 / 7) + 1) * 14) - 10)
[128] ['1', '7', '9', '29', '30'] -> (30 / ((9 / (29 + 7)) + 1))
[134] ['1', '6', '22', '27', '28'] -> (28 - (22 / ((27 / 6) + 1)))
[143] ['1', '7', '15', '23', '30'] -> (((15 / 30) + 1) * (23 - 7))
[149] ['1', '7', '14', '17', '18'] -> (((7 / (17 - 14)) - 1) * 18)
[150] ['1', '7', '14', '19', '19'] -> (14 / ((19 / (19 - 7)) - 1))
[157] ['1', '8', '9', '30', '30'] -> (8 / ((1 / 30) + (9 / 30)))
[164] ['1', '8', '11', '30', '30'] -> (8 / ((11 / 30) - (1 / 30)))
[165] ['1', '8', '25', '25', '26'] -> ((25 + 26) / ((25 / 8) - 1))
[170] ['1', '9', '9', '10', '18'] -> ((((9 / 18) + 1) * 10) + 9)
[174] ['1', '9', '10', '10', '18'] -> ((((10 / 18) + 1) * 9) + 10)
[182] ['1', '9', '10', '25', '27'] -> ((27 + 9) / ((25 / 10) - 1))
[190] ['1', '9', '12', '29', '30'] -> (12 / ((30 / (29 - 9)) - 1))
[194] ['1', '8', '22', '23', '23'] -> ((22 + 23) / ((23 / 8) - 1))
[226] ['1', '10', '18', '28', '29'] -> (28 / (((10 + 29) / 18) - 1))
[234] ['1', '10', '17', '19', '25'] -> ((17 + 19) / ((25 / 10) - 1))
[235] ['1', '11', '12', '12', '29'] -> (12 / (((29 - 11) / 12) - 1))
[246] ['1', '12', '12', '12', '20'] -> (12 / ((12 / (20 - 12)) - 1))
[247] ['1', '12', '12', '13', '21'] -> (12 / ((12 / (21 - 13)) - 1))
[261] ['1', '13', '13', '16', '26'] -> (16 / (1 - (13 / (13 + 26))))
[263] ['1', '13', '13', '19', '28'] -> (28 / ((13 / (19 - 13)) - 1))
[266] ['1', '14', '16', '21', '30'] -> (((1 / 14) + (30 / 21)) * 16)
[268] ['1', '14', '14', '15', '28'] -> ((15 / ((14 / 28) + 1)) + 14)
[270] ['1', '14', '15', '15', '30'] -> ((15 / ((15 / 30) + 1)) + 14)
[277] ['1', '15', '15', '21', '22'] -> (((15 / (22 - 15)) - 1) * 21)
[278] ['1', '14', '14', '14', '16'] -> (((14 / (14 + 14)) + 1) * 16)
[285] ['1', '14', '17', '23', '27'] -> (((17 / (23 - 14)) - 1) * 27)
[295] ['1', '15', '15', '15', '16'] -> (((15 / (15 + 15)) + 1) * 16)
[296] ['1', '16', '16', '19', '30'] -> (30 / ((1 / 16) + (19 / 16)))
[298] ['1', '15', '16', '26', '26'] -> (((26 / (26 - 16)) - 1) * 15)
[301] ['1', '15', '21', '21', '29'] -> (21 / ((15 / (29 - 21)) - 1))
[302] ['1', '15', '22', '23', '23'] -> (((23 / 15) - 1) * (22 + 23))
[305] ['1', '16', '17', '17', '17'] -> (((17 / (17 + 17)) + 1) * 16)
[307] ['1', '16', '18', '28', '28'] -> (((28 / (28 - 16)) - 1) * 18)
[308] ['1', '16', '19', '19', '19'] -> (((19 / (19 + 19)) + 1) * 16)
[309] ['1', '15', '30', '30', '30'] -> (30 / ((15 / (30 + 30)) + 1))
[312] ['1', '15', '17', '23', '28'] -> (((23 / 15) - 1) * (17 + 28))
[314] ['1', '15', '25', '29', '30'] -> ((15 + 29) / ((25 / 30) + 1))
