[1] ['1', '1', '1', '28', '30'] -> ((1 + 1) * (28 - 1)) - 30
[2] ['7', '13', '13', '22', '29'] -> ((29 * 7) + 13) / (22 - 13)
[3] ['7', '13', '13', '23', '23'] -> ((13 * 13) - (23 / 23)) / 7
[4] ['7', '13', '13', '25', '25'] -> ((13 * 13) - (25 / 25)) / 7
[5] ['7', '14', '15', '19', '19'] -> (((15 * 19) - 19) / 7) - 14
[6] ['7', '13', '15', '28', '28'] -> ((13 * 28) - (28 / 7)) / 15
[7] ['7', '14', '14', '22', '22'] -> (((14 * 22) + 14) / 7) - 22
[8] ['7', '14', '14', '23', '23'] -> (((23 + 23) * 7) + 14) / 14
[9] ['7', '14', '14', '25', '25'] -> (((25 + 25) * 7) - 14) / 14
[10] ['7', '14', '18', '18', '29'] -> ((18 * 29) - 18) / (14 + 7)
[11] ['7', '13', '20', '29', '29'] -> ((29 * 7) + 13) / (29 - 20)
[12] ['7', '13', '21', '21', '21'] -> ((21 * 21) - (13 * 21)) / 7
[13] ['7', '13', '21', '23', '30'] -> (((30 + 7) * 13) + 23) / 21
[14] ['7', '14', '24', '26', '30'] -> (((14 + 7) * 26) + 30) / 24
[15] ['7', '13', '23', '27', '28'] -> (((13 * 28) + 27) / 23) + 7
[16] ['7', '13', '23', '30', '30'] -> ((30 * 7) + 30) / (23 - 13)
[17] ['7', '16', '17', '18', '25'] -> (((17 * 7) + 25) / 18) + 16
[18] ['7', '15', '22', '23', '25'] -> (((25 * 7) + 23) / 22) + 15
[19] ['7', '16', '17', '17', '25'] -> ((25 - 17) * 17) - (16 * 7)
[20] ['1', '5', '22', '30', '30'] -> 22 / (1 - (5 / (30 + 30)))
[21] ['7', '17', '17', '23', '30'] -> (((23 * 30) + 7) / 17) - 17
[22] ['7', '16', '17', '22', '30'] -> ((30 - 22) * 17) - (16 * 7)
[23] ['7', '18', '18', '22', '28'] -> ((18 * 7) + 18) / (28 - 22)
[24] ['7', '18', '19', '23', '23'] -> (((23 + 7) * 19) - 18) / 23
[25] ['7', '17', '18', '25', '26'] -> ((25 * 7) + 17) / (26 - 18)
[26] ['7', '19', '21', '24', '30'] -> (((19 + 7) * 21) + 30) / 24
[27] ['1', '6', '15', '15', '22'] -> ((15 * 22) + 6) / (15 - 1)
[28] ['7', '18', '23', '30', '30'] -> (23 * 30) - ((30 + 7) * 18)
[29] ['7', '18', '24', '26', '27'] -> ((26 * 27) - (18 * 7)) / 24
[30] ['7', '20', '30', '30', '30'] -> ((30 * 7) + 30) / (30 - 20)
[31] ['7', '21', '21', '22', '30'] -> ((21 * 30) - (21 * 22)) / 7
[32] ['7', '20', '20', '25', '25'] -> (((20 * 20) + 25) / 25) + 7
[33] ['8', '8', '8', '11', '19'] -> ((8 + 8) * 11) - (19 * 8)
[34] ['8', '8', '8', '15', '23'] -> (((8 + 8) * 23) - 8) / 15
[35] ['7', '19', '25', '28', '29'] -> ((19 * 25) + 29) / (28 - 7)
[36] ['1', '6', '18', '20', '25'] -> ((18 * 25) + 6) / (20 - 1)
[37] ['8', '8', '9', '9', '17'] -> (((17 + 9) * 8) + 8) / 9
[38] ['7', '18', '25', '25', '30'] -> ((25 * 30) + 18) / (25 + 7)
[39] ['8', '8', '8', '17', '25'] -> (((8 + 8) * 25) + 8) / 17
[40] ['8', '8', '8', '19', '28'] -> (((8 + 8) * 28) + 8) / 19
[41] ['7', '22', '28', '28', '28'] -> ((28 * 28) - (22 * 28)) / 7
[42] ['7', '20', '25', '26', '30'] -> (((25 * 26) - 30) / 20) - 7
[43] ['8', '8', '11', '25', '30'] -> (8 - ((25 + 30) / 11)) * 8
[44] ['8', '8', '11', '14', '19'] -> ((14 * 8) + (19 * 8)) / 11
[45] ['8', '8', '15', '21', '23'] -> (((21 + 23) * 8) + 8) / 15
[46] ['8', '8', '14', '14', '29'] -> (((14 + 29) * 8) - 8) / 14
[47] ['8', '8', '15', '15', '29'] -> (((15 + 29) * 8) + 8) / 15
[48] ['8', '8', '15', '15', '30'] -> ((15 * 8) + (30 * 8)) / 15
[49] ['8', '8', '13', '17', '23'] -> (((17 + 23) * 8) - 8) / 13
[50] ['8', '8', '13', '18', '21'] -> ((18 * 8) + (21 * 8)) / 13
[51] ['8', '9', '9', '14', '23'] -> (((14 * 8) + 23) / 9) + 9
[52] ['8', '8', '15', '29', '30'] -> 15 / (8 - ((29 + 30) / 8))
[53] ['8', '8', '19', '27', '30'] -> ((27 * 8) + (30 * 8)) / 19
[54] ['8', '8', '17', '25', '27'] -> (((25 + 27) * 8) - 8) / 17
[55] ['8', '9', '17', '26', '26'] -> (((17 * 26) + 8) / 9) - 26
[56] ['8', '9', '14', '22', '23'] -> (((14 * 23) + 8) / 22) + 9
[57] ['8', '9', '14', '23', '23'] -> (((23 - 8) * 23) - 9) / 14
[58] ['8', '9', '14', '25', '25'] -> ((25 - 9) * 14) - (25 * 8)
[59] ['1', '6', '19', '20', '26'] -> (((19 * 26) + 6) / 20) - 1
[60] ['8', '10', '13', '13', '18'] -> (13 * 18) - ((13 + 8) * 10)
[61] ['8', '9', '19', '19', '20'] -> (((19 * 19) - 9) / 8) - 20
[62] ['8', '10', '10', '18', '19'] -> (((10 * 8) + 10) / 18) + 19
[63] ['8', '10', '13', '18', '23'] -> (((10 * 13) + 8) / 23) + 18
[64] ['8', '10', '17', '27', '27'] -> ((17 * 27) - 27) / (10 + 8)
[65] ['8', '10', '17', '17', '17'] -> (((17 * 17) - 17) / 8) - 10
[66] ['8', '10', '17', '18', '18'] -> (((18 + 8) * 17) - 10) / 18
[67] ['8', '11', '11', '19', '27'] -> ((27 - 11) * 11) - (19 * 8)
[68] ['8', '12', '12', '12', '25'] -> (((12 * 25) - 12) / 8) - 12
[69] ['8', '11', '23', '30', '30'] -> ((11 * 30) + 30) / (23 - 8)
[70] ['8', '11', '25', '30', '30'] -> (((11 + 8) * 30) + 30) / 25
[71] ['8', '11', '17', '29', '29'] -> ((17 * 29) + 11) / (29 - 8)
[72] ['8', '13', '13', '29', '30'] -> (((30 - 13) * 13) - 29) / 8
[73] ['8', '13', '13', '20', '29'] -> (((29 - 13) * 20) - 8) / 13
[74] ['8', '14', '15', '17', '17'] -> (((17 * 17) + 15) / 8) - 14
[75] ['8', '14', '14', '21', '29'] -> (((29 + 8) * 14) - 14) / 21
[76] ['8', '14', '15', '15', '23'] -> (((14 * 8) + 23) / 15) + 15
[77] ['8', '13', '25', '28', '28'] -> (((13 * 28) + 28) / 8) - 25
[78] ['8', '14', '15', '23', '23'] -> (((23 - 14) * 23) - 15) / 8
[79] ['1', '7', '8', '10', '25'] -> (((1 + 25) * 7) + 10) / 8
[80] ['8', '16', '25', '26', '30'] -> ((25 + 30) * 8) - (16 * 26)
[81] ['8', '15', '23', '26', '26'] -> ((26 - 8) * 23) - (15 * 26)
[82] ['1', '7', '7', '13', '20'] -> (((20 - 7) * 13) - 1) / 7
[83] ['8', '17', '17', '29', '30'] -> (((30 - 17) * 17) - 29) / 8
[84] ['8', '17', '17', '18', '23'] -> (((18 * 8) + 17) / 23) + 17
[85] ['8', '17', '28', '28', '29'] -> ((17 * 28) + 28) / (29 - 8)
[86] ['8', '19', '22', '22', '27'] -> (22 * 27) - ((22 + 8) * 19)
[87] ['8', '21', '22', '30', '30'] -> (((21 * 22) - 30) / 8) - 30
[88] ['8', '21', '21', '23', '28'] -> (((23 + 8) * 21) + 21) / 28
[89] ['8', '20', '20', '25', '25'] -> ((20 * 20) + (25 * 8)) / 25
[90] ['8', '20', '20', '26', '27'] -> ((26 + 27) * 8) - (20 * 20)
[91] ['8', '20', '20', '29', '30'] -> (((29 + 8) * 20) - 20) / 30
[92] ['8', '22', '25', '25', '30'] -> (25 * 30) - ((25 + 8) * 22)
[93] ['1', '7', '7', '11', '19'] -> ((19 * 7) + 11) / (7 - 1)
[94] ['9', '9', '9', '12', '23'] -> ((23 * 9) + (9 * 9)) / 12
[95] ['9', '9', '9', '18', '19'] -> (((9 * 9) + 9) / 18) + 19
[96] ['8', '23', '28', '29', '29'] -> ((29 * 29) + 23) / (28 + 8)
[97] ['9', '9', '14', '15', '29'] -> (((29 - 14) * 15) - 9) / 9
[98] ['9', '9', '15', '22', '26'] -> ((9 * 9) + 15) / (26 - 22)
[99] ['9', '9', '14', '19', '23'] -> (((19 - 9) * 23) - 14) / 9
[100] ['9', '9', '18', '20', '29'] -> (((20 + 29) * 9) - 9) / 18
[101] ['9', '9', '15', '19', '26'] -> ((26 - 19) * 15) - (9 * 9)
[102] ['9', '9', '13', '29', '30'] -> (((29 + 9) * 9) - 30) / 13
[103] ['9', '9', '14', '14', '30'] -> ((14 - 9) * 30) - (14 * 9)
[104] ['9', '9', '17', '21', '26'] -> (((26 * 9) + 21) / 17) + 9
[105] ['9', '9', '15', '25', '29'] -> ((9 * 9) + 15) / (29 - 25)
[106] ['9', '9', '17', '26', '27'] -> (((17 * 27) - 9) / 9) - 26
[107] ['9', '9', '21', '28', '28'] -> ((28 * 9) + (28 * 9)) / 21
[108] ['9', '9', '21', '21', '30'] -> (((21 * 21) + 9) / 30) + 9
[109] ['9', '9', '18', '23', '23'] -> (((18 * 23) + 9) / 9) - 23
[110] ['9', '9', '18', '23', '25'] -> ((23 * 9) + (25 * 9)) / 18
[111] ['9', '9', '18', '25', '25'] -> (((18 * 25) - 9) / 9) - 25
[112] ['9', '9', '18', '25', '26'] -> ((18 * 25) - (26 * 9)) / 9
[113] ['9', '9', '19', '19', '20'] -> (((9 * 9) + 19) / 20) + 19
[114] ['9', '10', '21', '21', '21'] -> (((21 * 21) + 9) / 10) - 21
[115] ['9', '10', '15', '24', '29'] -> (((10 + 29) * 15) - 9) / 24
[116] ['9', '10', '16', '16', '19'] -> ((19 + 9) * 10) - (16 * 16)
[117] ['9', '10', '11', '20', '21'] -> ((11 * 21) + 9) / (20 - 10)
[118] ['1', '7', '11', '13', '13'] -> ((11 * 13) + 1) / (13 - 7)
[119] ['9', '10', '17', '17', '17'] -> (((17 * 17) + 17) / 9) - 10
[120] ['9', '10', '17', '17', '19'] -> (((17 * 19) - 17) / 9) - 10
[121] ['9', '11', '15', '15', '28'] -> (((15 * 28) + 9) / 11) - 15
[122] ['9', '11', '14', '20', '26'] -> (((11 * 26) + 14) / 20) + 9
[123] ['9', '11', '17', '28', '28'] -> (((11 + 28) * 17) + 9) / 28
[124] ['9', '11', '17', '17', '28'] -> (((11 * 17) + 9) / 28) + 17
[125] ['9', '11', '17', '19', '26'] -> (((19 * 9) + 11) / 26) + 17
[126] ['9', '11', '20', '25', '25'] -> (((11 * 25) + 25) / 20) + 9
[127] ['9', '11', '20', '26', '26'] -> (((26 * 9) + 26) / 20) + 11
[128] ['1', '7', '9', '30', '30'] -> ((30 * 7) + 30) / (1 + 9)
[129] ['9', '11', '17', '26', '29'] -> (17 * 26) - ((29 + 9) * 11)
[130] ['9', '12', '19', '25', '29'] -> ((19 * 25) + 29) / (12 + 9)
[131] ['9', '13', '14', '19', '29'] -> ((29 - 14) * 13) - (19 * 9)
[132] ['9', '13', '13', '19', '27'] -> ((13 * 9) + 27) / (19 - 13)
[133] ['9', '12', '29', '30', '30'] -> ((30 * 30) + 12) / (29 + 9)
[134] ['9', '13', '15', '18', '22'] -> (((13 * 9) + 15) / 22) + 18
[135] ['9', '13', '15', '18', '29'] -> (((13 + 29) * 9) - 18) / 15
[136] ['9', '13', '19', '19', '30'] -> (((19 + 19) * 9) - 30) / 13
[137] ['1', '7', '7', '16', '17'] -> ((1 + 7) * 17) - (16 * 7)
[138] ['9', '13', '13', '25', '30'] -> (((13 + 25) * 9) - 30) / 13
[139] ['9', '13', '21', '25', '30'] -> ((21 + 25) * 9) - (13 * 30)
[140] ['9', '13', '14', '23', '23'] -> (((23 - 13) * 23) - 14) / 9
[141] ['9', '13', '23', '23', '30'] -> ((23 + 23) * 9) - (13 * 30)
[142] ['9', '13', '17', '24', '28'] -> (((17 + 28) * 13) - 9) / 24
[143] ['9', '13', '18', '18', '26'] -> (((26 - 13) * 18) - 18) / 9
[144] ['9', '14', '14', '23', '29'] -> (((29 - 14) * 23) - 9) / 14
[145] ['9', '14', '14', '19', '28'] -> (((14 * 9) + 14) / 28) + 19
[146] ['9', '14', '14', '19', '30'] -> ((19 - 14) * 30) - (14 * 9)
[147] ['9', '14', '19', '22', '24'] -> (((19 * 22) + 14) / 9) - 24
[148] ['9', '16', '16', '16', '20'] -> (((16 * 9) + 16) / 20) + 16
[149] ['9', '15', '16', '23', '29'] -> (((23 - 15) * 29) - 16) / 9
[150] ['9', '14', '23', '26', '29'] -> ((26 * 29) + 14) / (23 + 9)
[151] ['9', '17', '18', '19', '19'] -> (((19 * 19) + 17) / 9) - 18
[152] ['9', '16', '23', '23', '28'] -> ((23 - 9) * 28) - (16 * 23)
[153] ['9', '16', '21', '29', '29'] -> (((29 - 21) * 29) - 16) / 9
[154] ['1', '7', '7', '18', '18'] -> ((18 * 7) + 18) / (7 - 1)
[155] ['9', '16', '22', '22', '25'] -> (((22 * 25) - 22) / 16) - 9
[156] ['9', '16', '17', '25', '29'] -> (((25 - 17) * 29) - 16) / 9
[157] ['9', '17', '17', '25', '30'] -> (((17 + 25) * 9) + 30) / 17
[158] ['9', '18', '18', '23', '23'] -> (((23 + 23) * 9) + 18) / 18
[159] ['9', '18', '18', '25', '25'] -> (((25 + 25) * 9) - 18) / 18
[160] ['9', '18', '18', '26', '26'] -> (((18 * 26) - 18) / 9) - 26
[161] ['9', '17', '19', '23', '30'] -> (((19 + 23) * 9) + 30) / 17
[162] ['9', '18', '19', '24', '26'] -> ((18 * 19) + (26 * 9)) / 24
[163] ['9', '17', '22', '22', '30'] -> ((22 + 30) / (17 + 9)) + 22
[164] ['9', '17', '25', '25', '30'] -> (((17 * 25) + 25) / 30) + 9
[165] ['9', '17', '25', '27', '27'] -> ((25 * 27) - (17 * 27)) / 9
[166] ['9', '17', '25', '29', '30'] -> (17 * 30) - ((25 + 29) * 9)
[167] ['9', '17', '26', '26', '29'] -> (((26 + 9) * 17) + 29) / 26
[168] ['9', '19', '21', '22', '27'] -> (22 * 27) - ((21 + 9) * 19)
[169] ['9', '19', '27', '27', '27'] -> ((27 * 27) - (19 * 27)) / 9
[170] ['1', '6', '22', '29', '30'] -> (((1 + 22) * 30) + 6) / 29
[171] ['9', '20', '20', '20', '28'] -> (((20 * 20) + 20) / 28) + 9
[172] ['9', '20', '28', '28', '29'] -> (28 * 28) - ((29 + 9) * 20)
[173] ['10', '10', '10', '11', '16'] -> ((10 + 10) * 10) - (11 * 16)
[174] ['10', '10', '11', '11', '16'] -> ((10 * 11) + 10) / (16 - 11)
[175] ['10', '10', '13', '19', '22'] -> (((10 + 19) * 10) + 22) / 13
[176] ['10', '10', '13', '16', '30'] -> (((13 * 30) + 10) / 10) - 16
[177] ['9', '23', '28', '29', '29'] -> (((29 - 9) * 29) - 28) / 23
[178] ['9', '23', '29', '29', '30'] -> (((29 + 29) * 9) + 30) / 23
[179] ['10', '10', '13', '14', '21'] -> ((21 - 10) * 14) - (10 * 13)
[180] ['1', '7', '13', '13', '20'] -> (((13 * 20) - 1) / 7) - 13
[181] ['10', '10', '18', '22', '25'] -> (((18 * 25) + 10) / 10) - 22
[182] ['10', '10', '14', '18', '25'] -> (((10 * 14) + 10) / 25) + 18
[183] ['10', '10', '22', '23', '29'] -> ((10 * 29) + 22) / (23 - 10)
[184] ['10', '10', '20', '21', '27'] -> ((10 * 21) + (10 * 27)) / 20
[185] ['10', '10', '20', '23', '23'] -> (((20 * 23) + 10) / 10) - 23
[186] ['10', '10', '19', '20', '29'] -> ((10 * 19) + (10 * 29)) / 20
[187] ['1', '7', '8', '27', '27'] -> ((27 * 7) + 27) / (1 + 8)
[188] ['10', '10', '17', '27', '30'] -> ((17 * 30) - (10 * 27)) / 10
[189] ['10', '10', '17', '28', '28'] -> (((10 + 28) * 10) + 28) / 17
[190] ['10', '11', '13', '13', '27'] -> ((27 - 13) * 11) - (10 * 13)
[191] ['10', '11', '13', '21', '27'] -> (((11 + 27) * 13) + 10) / 21
[192] ['10', '11', '14', '25', '26'] -> ((14 * 25) + 10) / (26 - 11)
[193] ['10', '11', '15', '15', '28'] -> (((28 - 11) * 15) - 15) / 10
[194] ['1', '7', '11', '19', '30'] -> (((19 - 1) * 11) - 30) / 7
[195] ['10', '11', '27', '29', '29'] -> (((29 + 29) * 11) + 10) / 27
[196] ['10', '11', '18', '26', '29'] -> ((10 + 11) * 26) - (18 * 29)
[197] ['10', '11', '17', '18', '28'] -> (((11 + 28) * 10) + 18) / 17
[198] ['10', '11', '17', '19', '19'] -> (((19 + 19) * 11) - 10) / 17
[199] ['10', '11', '17', '21', '25'] -> ((25 - 10) * 17) - (11 * 21)
[200] ['1', '7', '14', '14', '14'] -> (((14 - 1) * 14) - 14) / 7
[201] ['10', '11', '17', '28', '28'] -> ((17 * 28) + 28) / (10 + 11)
[202] ['10', '11', '18', '18', '27'] -> ((18 * 27) + 18) / (10 + 11)
[203] ['10', '11', '18', '18', '29'] -> ((18 * 29) - 18) / (10 + 11)
[204] ['10', '13', '13', '18', '20'] -> (((13 + 20) * 10) - 18) / 13
[205] ['10', '13', '18', '25', '25'] -> (((25 * 25) - 13) / 18) - 10
[206] ['10', '14', '14', '16', '23'] -> (((14 + 23) * 10) + 14) / 16
[207] ['10', '13', '16', '29', '30'] -> (((13 * 30) + 16) / 29) + 10
[208] ['10', '13', '13', '23', '27'] -> (((27 - 13) * 23) - 10) / 13
[209] ['10', '13', '14', '14', '25'] -> ((25 - 14) * 14) - (10 * 13)
[210] ['10', '13', '14', '23', '25'] -> (((25 - 14) * 23) - 13) / 10
[211] ['10', '13', '17', '21', '27'] -> ((10 + 13) * 21) - (17 * 27)
[212] ['10', '13', '17', '24', '29'] -> (((17 * 29) - 13) / 10) - 24
[213] ['10', '13', '19', '28', '29'] -> ((29 - 13) * 19) - (10 * 28)
[214] ['10', '14', '14', '25', '29'] -> ((14 * 25) + 10) / (29 - 14)
[215] ['10', '13', '23', '29', '29'] -> (((29 * 29) + 10) / 23) - 13
[216] ['10', '16', '16', '16', '26'] -> (((16 * 26) - 16) / 10) - 16
[217] ['10', '16', '21', '26', '26'] -> (((26 + 26) * 10) - 16) / 21
[218] ['10', '17', '19', '19', '27'] -> (((19 * 19) + 17) / 27) + 10
[219] ['10', '17', '21', '22', '22'] -> (((21 + 22) * 10) - 22) / 17
[220] ['10', '17', '21', '25', '25'] -> (((17 * 25) + 25) / 10) - 21
[221] ['10', '17', '22', '22', '29'] -> (22 * 22) - ((17 + 29) * 10)
[222] ['10', '18', '18', '28', '28'] -> (((18 + 28) * 10) - 28) / 18
[223] ['10', '17', '26', '28', '28'] -> (((10 + 28) * 17) + 26) / 28
[224] ['10', '17', '28', '30', '30'] -> ((10 + 17) * (30 - 28)) - 30
[225] ['10', '18', '18', '18', '21'] -> ((10 * 18) + (18 * 18)) / 21
[226] ['10', '16', '23', '27', '28'] -> ((10 * 28) + (16 * 23)) / 27
[227] ['10', '19', '19', '23', '26'] -> ((19 * 19) + 23) / (26 - 10)
[228] ['10', '19', '21', '21', '30'] -> (((19 * 21) + 21) / 30) + 10
[229] ['10', '17', '25', '28', '30'] -> ((30 - 10) * 25) - (17 * 28)
[230] ['10', '18', '23', '23', '28'] -> (((23 + 23) * 10) - 28) / 18
[231] ['10', '18', '27', '27', '27'] -> (((27 - 10) * 27) - 27) / 18
[232] ['10', '19', '21', '28', '29'] -> (((28 - 19) * 29) - 21) / 10
[233] ['10', '19', '22', '22', '27'] -> (22 * 22) - ((19 + 27) * 10)
[234] ['10', '21', '28', '28', '28'] -> ((28 * 28) - (10 * 28)) / 21
[235] ['10', '22', '25', '25', '28'] -> (((25 + 25) * 10) + 28) / 22
[236] ['10', '21', '22', '25', '30'] -> ((21 * 25) + (30 / 10)) / 22
[237] ['10', '22', '23', '29', '29'] -> (((29 - 10) * 29) - 23) / 22
[238] ['1', '7', '15', '17', '23'] -> ((17 * 23) - 7) / (1 + 15)
[239] ['10', '21', '21', '22', '28'] -> ((10 * 21) + (21 * 22)) / 28
[240] ['10', '21', '21', '23', '29'] -> (((21 * 21) + 29) / 10) - 23
[241] ['10', '21', '21', '29', '30'] -> (((30 - 21) * 29) - 21) / 10
[242] ['10', '21', '22', '22', '25'] -> (22 * 22) - ((21 + 25) * 10)
[243] ['10', '22', '28', '28', '29'] -> ((10 + 28) * 22) - (28 * 29)
[244] ['10', '23', '28', '29', '29'] -> (((29 + 29) * 10) - 28) / 23
[245] ['10', '19', '28', '28', '30'] -> (28 * 28) - ((10 + 30) * 19)
[246] ['11', '11', '11', '17', '22'] -> (((17 * 22) + 11) / 11) - 11
[247] ['11', '11', '12', '18', '23'] -> ((11 * 11) + 23) / (18 - 12)
[248] ['11', '11', '11', '22', '30'] -> 30 - (((11 * 11) + 11) / 22)
[249] ['11', '11', '13', '20', '29'] -> (((11 + 20) * 11) - 29) / 13
[250] ['1', '7', '17', '17', '22'] -> ((17 * 7) + 1) / (22 - 17)
[251] ['11', '11', '14', '17', '18'] -> (((11 + 18) * 11) + 17) / 14
[252] ['11', '11', '14', '17', '25'] -> ((11 + 11) * 17) - (14 * 25)
[253] ['11', '11', '13', '17', '22'] -> (((11 * 13) + 11) / 22) + 17
[254] ['11', '11', '13', '18', '25'] -> ((11 * 13) + 25) / (18 - 11)
[255] ['11', '11', '13', '19', '22'] -> (((19 * 22) - 11) / 11) - 13
[256] ['11', '11', '13', '19', '23'] -> ((11 * 11) + 23) / (19 - 13)
[257] ['11', '11', '14', '21', '29'] -> (((14 * 29) - 21) / 11) - 11
[258] ['11', '11', '14', '15', '15'] -> (((11 * 11) + 14) / 15) + 15
[259] ['11', '11', '15', '21', '28'] -> ((28 - 11) * 15) - (11 * 21)
[260] ['11', '11', '14', '27', '29'] -> 29 - (((11 * 11) + 14) / 27)
[261] ['11', '11', '16', '19', '25'] -> ((19 - 11) * 25) - (11 * 16)
[262] ['11', '11', '16', '20', '22'] -> ((20 * 22) - (11 * 16)) / 11
[263] ['11', '11', '16', '22', '23'] -> ((11 * 11) + 23) / (22 - 16)
