[1] ['1', '1', '1', '1', '7'] -> (1 + 1 + 1) * (1 + 7)
[2] ['1', '1', '1', '28', '30'] -> ((1 + 1) * (28 - 1)) - 30
[3] ['1', '6', '13', '13', '27'] -> 27 - (6 / ((13 / 13) + 1))
[4] ['7', '13', '16', '16', '16'] -> ((16 / 16) + 7) * (16 - 13)
[5] ['7', '13', '16', '16', '23'] -> 16 / ((23 / (16 - 13)) - 7)
[6] ['7', '13', '16', '27', '27'] -> ((27 / 27) + 7) * (16 - 13)
[7] ['7', '13', '17', '17', '22'] -> (((17 / 17) + 13) / 7) + 22
[8] ['7', '13', '13', '22', '29'] -> ((29 * 7) + 13) / (22 - 13)
[9] ['7', '13', '13', '23', '23'] -> ((13 * 13) - (23 / 23)) / 7
[10] ['7', '13', '13', '25', '25'] -> ((13 * 13) - (25 / 25)) / 7
[11] ['7', '13', '22', '22', '22'] -> (((22 / 22) + 13) / 7) + 22
[12] ['7', '13', '22', '25', '25'] -> (((25 / 25) + 13) / 7) + 22
[13] ['7', '14', '15', '19', '19'] -> (((15 * 19) - 19) / 7) - 14
[14] ['1', '6', '9', '23', '23'] -> (((23 / 23) + 1) * 9) + 6
[15] ['7', '13', '15', '28', '28'] -> ((13 * 28) - (28 / 7)) / 15
[16] ['7', '14', '14', '22', '22'] -> (((14 * 22) + 14) / 7) - 22
[17] ['7', '14', '14', '22', '29'] -> (29 / ((7 / 14) + 14)) + 22
[18] ['7', '14', '14', '23', '23'] -> (((23 + 23) * 7) + 14) / 14
[19] ['7', '13', '26', '29', '29'] -> 26 - (((29 / 29) + 13) / 7)
[20] ['7', '13', '28', '28', '28'] -> ((13 / 7) - (28 / 28)) * 28
[21] ['7', '13', '28', '30', '30'] -> ((13 / 7) - (30 / 30)) * 28
[22] ['7', '13', '19', '19', '28'] -> ((13 / 7) - (19 / 19)) * 28
[23] ['7', '14', '14', '25', '25'] -> (((25 + 25) * 7) - 14) / 14
[24] ['7', '14', '19', '19', '19'] -> ((19 / 7) - (19 / 19)) * 14
[25] ['1', '6', '9', '25', '25'] -> (((25 / 25) + 1) * 9) + 6
[26] ['7', '14', '18', '18', '29'] -> ((18 * 29) - 18) / (14 + 7)
[27] ['7', '14', '19', '22', '22'] -> ((19 / 7) - (22 / 22)) * 14
[28] ['7', '14', '19', '23', '23'] -> ((19 / 7) - (23 / 23)) * 14
[29] ['7', '14', '19', '30', '30'] -> ((19 / 7) - (30 / 30)) * 14
[30] ['7', '13', '20', '29', '29'] -> ((29 * 7) + 13) / (29 - 20)
[31] ['7', '13', '21', '21', '21'] -> ((21 * 21) - (13 * 21)) / 7
[32] ['7', '13', '21', '23', '30'] -> (((30 + 7) * 13) + 23) / 21
[33] ['7', '13', '17', '28', '30'] -> 30 / ((13 / 7) - (17 / 28))
[34] ['7', '13', '18', '18', '22'] -> (((18 / 18) + 13) / 7) + 22
[35] ['7', '13', '18', '18', '28'] -> ((13 / 7) - (18 / 18)) * 28
[36] ['1', '6', '9', '28', '28'] -> (((28 / 28) + 1) * 9) + 6
[37] ['7', '14', '24', '26', '30'] -> (((14 + 7) * 26) + 30) / 24
[38] ['7', '15', '15', '21', '29'] -> ((29 / 15) - (7 / 21)) * 15
[39] ['7', '15', '15', '22', '30'] -> (15 / ((15 / 30) + 7)) + 22
[40] ['7', '15', '15', '25', '28'] -> ((15 / 15) + 7) * (28 - 25)
[41] ['7', '13', '25', '25', '28'] -> ((13 / 7) - (25 / 25)) * 28
[42] ['7', '13', '26', '26', '26'] -> 26 - (((26 / 26) + 13) / 7)
[43] ['7', '15', '18', '23', '23'] -> ((23 / 23) + 7) * (18 - 15)
[44] ['7', '15', '16', '20', '30'] -> 20 / ((16 / 15) - (7 / 30))
[45] ['7', '13', '22', '28', '28'] -> (((28 / 28) + 13) / 7) + 22
[46] ['7', '13', '22', '29', '29'] -> (((29 / 29) + 13) / 7) + 22
[47] ['1', '6', '9', '29', '29'] -> (((29 / 29) + 1) * 9) + 6
[48] ['7', '13', '23', '23', '26'] -> 26 - (((23 / 23) + 13) / 7)
[49] ['7', '13', '23', '27', '28'] -> (((13 * 28) + 27) / 23) + 7
[50] ['7', '13', '23', '30', '30'] -> ((30 * 7) + 30) / (23 - 13)
[51] ['7', '16', '17', '18', '25'] -> (((17 * 7) + 25) / 18) + 16
[52] ['7', '15', '22', '23', '25'] -> (((25 * 7) + 23) / 22) + 15
[53] ['7', '16', '16', '26', '29'] -> ((16 / 16) + 7) * (29 - 26)
[54] ['7', '16', '17', '17', '25'] -> ((25 - 17) * 17) - (16 * 7)
[55] ['7', '16', '17', '17', '26'] -> 26 - (16 / ((17 / 17) + 7))
[56] ['7', '16', '19', '23', '23'] -> ((23 / 23) + 7) * (19 - 16)
[57] ['7', '16', '19', '25', '25'] -> ((25 / 25) + 7) * (19 - 16)
[58] ['1', '5', '22', '30', '30'] -> 22 / (1 - (5 / (30 + 30)))
[59] ['7', '16', '19', '29', '29'] -> ((29 / 29) + 7) * (19 - 16)
[60] ['7', '17', '17', '23', '30'] -> (((23 * 30) + 7) / 17) - 17
[61] ['7', '16', '17', '22', '30'] -> ((30 - 22) * 17) - (16 * 7)
[62] ['7', '18', '18', '22', '28'] -> ((18 * 7) + 18) / (28 - 22)
[63] ['7', '18', '19', '23', '23'] -> (((23 + 7) * 19) - 18) / 23
[64] ['7', '17', '18', '25', '26'] -> ((25 * 7) + 17) / (26 - 18)
[65] ['7', '19', '22', '27', '27'] -> ((27 / 27) + 7) * (22 - 19)
[66] ['7', '18', '28', '29', '29'] -> 18 / ((29 / 29) - (7 / 28))
[67] ['7', '19', '19', '19', '22'] -> ((19 / 19) + 7) * (22 - 19)
[68] ['7', '19', '21', '24', '30'] -> (((19 + 7) * 21) + 30) / 24
[69] ['1', '6', '15', '15', '22'] -> ((15 * 22) + 6) / (15 - 1)
[70] ['7', '18', '23', '30', '30'] -> (23 * 30) - ((30 + 7) * 18)
[71] ['7', '18', '24', '26', '27'] -> ((26 * 27) - (18 * 7)) / 24
[72] ['7', '20', '22', '22', '23'] -> ((22 / 22) + 7) * (23 - 20)
[73] ['7', '21', '21', '26', '29'] -> ((21 / 21) + 7) * (29 - 26)
[74] ['7', '20', '23', '29', '29'] -> ((29 / 29) + 7) * (23 - 20)
[75] ['7', '20', '30', '30', '30'] -> ((30 * 7) + 30) / (30 - 20)
[76] ['7', '21', '21', '22', '30'] -> ((21 * 30) - (21 * 22)) / 7
[77] ['7', '20', '20', '20', '23'] -> ((20 / 20) + 7) * (23 - 20)
[78] ['7', '20', '20', '25', '25'] -> (((20 * 20) + 25) / 25) + 7
[79] ['7', '20', '20', '26', '29'] -> ((20 / 20) + 7) * (29 - 26)
[80] ['1', '6', '14', '14', '27'] -> 27 - (6 / ((14 / 14) + 1))
[81] ['7', '19', '19', '25', '28'] -> ((19 / 19) + 7) * (28 - 25)
[82] ['7', '19', '22', '30', '30'] -> ((30 / 30) + 7) * (22 - 19)
[83] ['7', '20', '22', '23', '30'] -> 22 / ((23 / 20) - (7 / 30))
[84] ['7', '20', '23', '23', '23'] -> ((23 / 23) + 7) * (23 - 20)
[85] ['8', '8', '8', '11', '19'] -> ((8 + 8) * 11) - (19 * 8)
[86] ['7', '27', '30', '30', '30'] -> ((30 / 30) + 7) * (30 - 27)
[87] ['8', '8', '8', '14', '21'] -> 8 / ((8 / 8) - (14 / 21))
[88] ['8', '8', '8', '15', '23'] -> (((8 + 8) * 23) - 8) / 15
[89] ['7', '22', '25', '25', '25'] -> ((25 / 25) + 7) * (25 - 22)
[90] ['7', '19', '25', '28', '29'] -> ((19 * 25) + 29) / (28 - 7)
[91] ['1', '6', '18', '20', '25'] -> ((18 * 25) + 6) / (20 - 1)
[92] ['7', '22', '22', '22', '25'] -> ((22 / 22) + 7) * (25 - 22)
[93] ['8', '8', '9', '9', '17'] -> (((17 + 9) * 8) + 8) / 9
[94] ['8', '8', '8', '21', '28'] -> 8 / ((28 / 21) - (8 / 8))
[95] ['7', '18', '25', '25', '30'] -> ((25 * 30) + 18) / (25 + 7)
[96] ['7', '18', '27', '27', '29'] -> ((29 / 27) + (7 / 27)) * 18
[97] ['8', '8', '8', '17', '25'] -> (((8 + 8) * 25) + 8) / 17
[98] ['8', '8', '8', '18', '26'] -> 26 - (18 / ((8 / 8) + 8))
[99] ['8', '8', '8', '18', '27'] -> 8 / ((8 / 8) - (18 / 27))
[100] ['8', '8', '8', '19', '28'] -> (((8 + 8) * 28) + 8) / 19
[101] ['7', '22', '25', '30', '30'] -> ((30 / 30) + 7) * (25 - 22)
[102] ['1', '6', '10', '25', '25'] -> (((25 + 25) / 10) - 1) * 6
[103] ['7', '22', '28', '28', '28'] -> ((28 * 28) - (22 * 28)) / 7
[104] ['7', '23', '23', '23', '26'] -> ((23 / 23) + 7) * (26 - 23)
[105] ['7', '23', '25', '25', '26'] -> ((25 / 25) + 7) * (26 - 23)
[106] ['7', '23', '26', '26', '26'] -> ((26 / 26) + 7) * (26 - 23)
[107] ['7', '26', '29', '29', '29'] -> ((29 / 29) + 7) * (29 - 26)
[108] ['7', '20', '25', '26', '30'] -> (((25 * 26) - 30) / 20) - 7
[109] ['8', '8', '11', '25', '30'] -> (8 - ((25 + 30) / 11)) * 8
[110] ['8', '8', '11', '14', '19'] -> ((14 * 8) + (19 * 8)) / 11
[111] ['8', '8', '11', '14', '25'] -> 8 / ((25 / (14 - 11)) - 8)
[112] ['8', '8', '13', '15', '15'] -> 8 / ((13 / 15) - (8 / 15))
[113] ['1', '1', '2', '8', '25'] -> (2 + 25) / ((1 / 8) + 1)
[114] ['1', '6', '20', '20', '27'] -> 27 - (6 / ((20 / 20) + 1))
[115] ['7', '22', '22', '27', '30'] -> ((22 / 22) + 7) * (30 - 27)
[116] ['7', '22', '23', '23', '25'] -> ((23 / 23) + 7) * (25 - 22)
[117] ['8', '8', '15', '21', '22'] -> 21 / ((22 / 8) - (15 / 8))
[118] ['8', '8', '15', '21', '23'] -> (((21 + 23) * 8) + 8) / 15
[119] ['7', '25', '26', '26', '28'] -> ((26 / 26) + 7) * (28 - 25)
[120] ['8', '8', '14', '14', '29'] -> (((14 + 29) * 8) - 8) / 14
[121] ['8', '8', '15', '15', '29'] -> (((15 + 29) * 8) + 8) / 15
[122] ['8', '8', '15', '15', '30'] -> ((15 * 8) + (30 * 8)) / 15
[123] ['8', '8', '13', '17', '23'] -> (((17 + 23) * 8) - 8) / 13
[124] ['8', '8', '13', '18', '21'] -> ((18 * 8) + (21 * 8)) / 13
[125] ['1', '6', '15', '25', '25'] -> (((25 / 25) + 1) * 15) - 6
[126] ['8', '8', '13', '20', '21'] -> 21 / ((20 / 8) - (13 / 8))
[127] ['8', '8', '17', '20', '25'] -> 8 / ((25 / (20 - 17)) - 8)
[128] ['8', '9', '9', '14', '23'] -> (((14 * 8) + 23) / 9) + 9
[129] ['8', '8', '15', '23', '28'] -> 15 / ((28 / 8) - (23 / 8))
[130] ['8', '8', '15', '29', '30'] -> 15 / (8 - ((29 + 30) / 8))
[131] ['8', '9', '9', '15', '26'] -> 26 - (((9 / 9) + 15) / 8)
[132] ['8', '9', '9', '18', '28'] -> ((28 / 9) - (8 / 18)) * 9
[133] ['8', '8', '19', '27', '28'] -> 27 / ((28 / 8) - (19 / 8))
[134] ['8', '8', '19', '27', '30'] -> ((27 * 8) + (30 * 8)) / 19
[135] ['8', '9', '11', '17', '26'] -> ((11 - 9) * (17 + 8)) - 26
[136] ['1', '6', '15', '29', '29'] -> (((29 / 29) + 1) * 15) - 6
[137] ['8', '8', '17', '25', '27'] -> (((25 + 27) * 8) - 8) / 17
[138] ['8', '8', '17', '26', '27'] -> 27 / ((26 / 8) - (17 / 8))
[139] ['8', '10', '10', '10', '11'] -> ((10 / 10) + 11) * (10 - 8)
[140] ['8', '10', '10', '11', '19'] -> ((11 / 10) + (19 / 10)) * 8
[141] ['8', '9', '17', '26', '26'] -> (((17 * 26) + 8) / 9) - 26
[142] ['8', '9', '14', '22', '23'] -> (((14 * 23) + 8) / 22) + 9
[143] ['8', '9', '14', '23', '23'] -> (((23 - 8) * 23) - 9) / 14
[144] ['8', '9', '14', '25', '25'] -> ((25 - 9) * 14) - (25 * 8)
[145] ['8', '10', '10', '27', '27'] -> 27 - (27 / ((10 / 10) + 8))
[146] ['8', '10', '11', '11', '11'] -> ((11 / 11) + 11) * (10 - 8)
[147] ['1', '6', '19', '20', '26'] -> (((19 * 26) + 6) / 20) - 1
[148] ['8', '10', '13', '13', '18'] -> (13 * 18) - ((13 + 8) * 10)
[149] ['8', '9', '18', '25', '25'] -> ((18 / 9) + (25 / 25)) * 8
[150] ['8', '9', '18', '29', '29'] -> ((18 / 9) + (29 / 29)) * 8
[151] ['8', '9', '19', '19', '20'] -> (((19 * 19) - 9) / 8) - 20
[152] ['8', '10', '11', '18', '18'] -> ((18 / 18) + 11) * (10 - 8)
[153] ['8', '10', '10', '18', '19'] -> (((10 * 8) + 10) / 18) + 19
[154] ['8', '10', '10', '18', '27'] -> 8 / ((10 / 10) - (18 / 27))
[155] ['8', '10', '15', '15', '15'] -> 8 / ((15 / 15) - (10 / 15))
[156] ['8', '10', '15', '15', '28'] -> ((28 / 15) + (8 / 15)) * 10
[157] ['8', '10', '15', '29', '29'] -> 8 / ((29 / 29) - (10 / 15))
[158] ['1', '7', '7', '7', '8'] -> (((7 + 7) / 7) + 1) * 8
[159] ['8', '10', '13', '18', '23'] -> (((10 * 13) + 8) / 23) + 18
[160] ['8', '10', '17', '27', '27'] -> ((17 * 27) - 27) / (10 + 8)
[161] ['8', '10', '17', '17', '17'] -> (((17 * 17) - 17) / 8) - 10
[162] ['8', '10', '17', '17', '19'] -> (((19 - 17) * 10) - 17) * 8
[163] ['8', '10', '17', '18', '18'] -> (((18 + 8) * 17) - 10) / 18
[164] ['8', '11', '11', '13', '14'] -> ((11 + 8) * (13 - 11)) - 14
[165] ['8', '11', '11', '14', '28'] -> ((11 / 11) + (28 / 14)) * 8
[166] ['8', '11', '11', '18', '30'] -> 30 / ((18 / 8) - (11 / 11))
[167] ['8', '11', '11', '19', '27'] -> ((27 - 11) * 11) - (19 * 8)
[168] ['8', '10', '19', '27', '27'] -> 8 / ((19 / 27) - (10 / 27))
[169] ['1', '7', '7', '8', '8'] -> (((7 / 7) + 1) * 8) + 8
[170] ['8', '12', '12', '12', '25'] -> (((12 * 25) - 12) / 8) - 12
[171] ['8', '11', '19', '22', '28'] -> ((19 / 11) + (28 / 22)) * 8
[172] ['8', '12', '13', '13', '13'] -> 13 / ((13 / 8) - (13 / 12))
[173] ['8', '11', '23', '30', '30'] -> ((11 * 30) + 30) / (23 - 8)
[174] ['8', '11', '25', '30', '30'] -> (((11 + 8) * 30) + 30) / 25
[175] ['8', '11', '17', '29', '29'] -> ((17 * 29) + 11) / (29 - 8)
[176] ['8', '12', '17', '17', '26'] -> ((26 / 17) + (8 / 17)) * 12
[177] ['8', '12', '26', '26', '26'] -> 26 / ((26 / 8) - (26 / 12))
[178] ['8', '12', '19', '19', '30'] -> ((30 / 19) + (8 / 19)) * 12
[179] ['8', '13', '13', '14', '21'] -> 8 / ((13 / 13) - (14 / 21))
[180] ['1', '6', '21', '22', '22'] -> (6 / ((22 / 22) + 1)) + 21
[181] ['8', '12', '22', '22', '22'] -> 22 / ((22 / 8) - (22 / 12))
[182] ['8', '12', '25', '25', '25'] -> 25 / ((25 / 8) - (25 / 12))
[183] ['8', '12', '23', '23', '23'] -> 23 / ((23 / 8) - (23 / 12))
[184] ['8', '13', '15', '15', '22'] -> ((15 + 8) * (15 - 13)) - 22
[185] ['8', '13', '13', '18', '30'] -> 30 / ((18 / 8) - (13 / 13))
[186] ['8', '13', '13', '27', '27'] -> 27 - (27 / ((13 / 13) + 8))
[187] ['8', '13', '13', '29', '30'] -> (((30 - 13) * 13) - 29) / 8
[188] ['8', '13', '15', '21', '28'] -> 13 / ((15 / 8) - (28 / 21))
[189] ['8', '13', '21', '23', '23'] -> (((23 - 21) * 13) - 23) * 8
[190] ['8', '13', '13', '20', '29'] -> (((29 - 13) * 20) - 8) / 13
[191] ['1', '6', '21', '23', '23'] -> (6 / ((23 / 23) + 1)) + 21
[192] ['8', '14', '15', '17', '17'] -> (((17 * 17) + 15) / 8) - 14
[193] ['8', '14', '14', '21', '29'] -> (((29 + 8) * 14) - 14) / 21
[194] ['8', '14', '18', '18', '28'] -> ((18 / 18) + (28 / 14)) * 8
[195] ['8', '14', '14', '27', '27'] -> 27 - (27 / ((14 / 14) + 8))
[196] ['8', '14', '15', '15', '23'] -> (((14 * 8) + 23) / 15) + 15
[197] ['8', '14', '19', '19', '28'] -> ((19 / 19) + (28 / 14)) * 8
[198] ['8', '13', '25', '25', '26'] -> ((25 / 25) + (26 / 13)) * 8
[199] ['8', '13', '25', '28', '28'] -> (((13 * 28) + 28) / 8) - 25
[200] ['8', '15', '15', '15', '22'] -> (((15 / 15) + 15) / 8) + 22
[201] ['8', '15', '15', '15', '26'] -> 26 - (((15 / 15) + 15) / 8)
[202] ['1', '7', '7', '26', '27'] -> 26 - ((1 + 27) / (7 + 7))
[203] ['8', '14', '15', '23', '23'] -> (((23 - 14) * 23) - 15) / 8
[204] ['8', '14', '21', '27', '27'] -> 8 / ((27 / 27) - (14 / 21))
[205] ['8', '14', '21', '29', '29'] -> 8 / ((29 / 29) - (14 / 21))
[206] ['8', '14', '27', '27', '28'] -> ((27 / 27) + (28 / 14)) * 8
[207] ['8', '15', '17', '17', '20'] -> 8 / ((20 / 15) - (17 / 17))
[208] ['8', '13', '22', '27', '27'] -> 8 / ((22 / 27) - (13 / 27))
[209] ['8', '15', '20', '22', '27'] -> (((22 - 20) * 15) - 27) * 8
[210] ['8', '16', '16', '18', '27'] -> 8 / ((16 / 16) - (18 / 27))
[211] ['8', '15', '22', '26', '26'] -> (((26 / 26) + 15) / 8) + 22
[212] ['8', '15', '22', '29', '29'] -> (((29 / 29) + 15) / 8) + 22
[213] ['1', '7', '8', '10', '25'] -> (((1 + 25) * 7) + 10) / 8
[214] ['8', '15', '21', '25', '25'] -> 21 / ((15 / 8) - (25 / 25))
[215] ['8', '15', '21', '29', '29'] -> 21 / ((15 / 8) - (29 / 29))
[216] ['8', '14', '25', '25', '28'] -> ((25 / 25) + (28 / 14)) * 8
[217] ['8', '15', '25', '27', '27'] -> (((27 - 25) * 15) - 27) * 8
[218] ['8', '16', '25', '26', '30'] -> ((25 + 30) * 8) - (16 * 26)
[219] ['8', '15', '23', '26', '26'] -> ((26 - 8) * 23) - (15 * 26)
[220] ['8', '17', '22', '22', '28'] -> ((22 + 28) / (17 + 8)) + 22
[221] ['8', '17', '18', '18', '23'] -> 8 / ((23 / 18) - (17 / 18))
[222] ['8', '18', '18', '28', '29'] -> 28 / ((29 / 18) - (8 / 18))
[223] ['8', '17', '17', '21', '30'] -> ((21 / 17) + (30 / 17)) * 8
[224] ['1', '1', '1', '8', '26'] -> (1 + 26) / ((1 / 8) + 1)
[225] ['1', '7', '7', '13', '20'] -> (((20 - 7) * 13) - 1) / 7
[226] ['8', '17', '17', '29', '30'] -> (((30 - 17) * 17) - 29) / 8
[227] ['8', '18', '23', '23', '30'] -> 30 / ((18 / 8) - (23 / 23))
[228] ['8', '18', '18', '18', '26'] -> 26 - (18 / ((18 / 18) + 8))
[229] ['8', '18', '18', '19', '25'] -> 8 / ((25 / 18) - (19 / 18))
[230] ['8', '18', '19', '19', '26'] -> 26 - (18 / ((19 / 19) + 8))
[231] ['8', '18', '19', '19', '27'] -> 8 / ((19 / 19) - (18 / 27))
[232] ['8', '17', '17', '18', '23'] -> (((18 * 8) + 17) / 23) + 17
[233] ['8', '17', '17', '18', '30'] -> 30 / ((18 / 8) - (17 / 17))
[234] ['8', '17', '17', '19', '26'] -> ((17 + 8) * (19 - 17)) - 26
[235] ['8', '18', '25', '25', '26'] -> 26 - (18 / ((25 / 25) + 8))
[236] ['1', '7', '8', '18', '18'] -> 8 / ((7 / 18) - (1 / 18))
[237] ['8', '18', '25', '25', '30'] -> 30 / ((18 / 8) - (25 / 25))
[238] ['8', '17', '27', '29', '29'] -> 27 / ((17 / 8) - (29 / 29))
[239] ['8', '17', '28', '28', '29'] -> ((17 * 28) + 28) / (29 - 8)
[240] ['8', '20', '23', '23', '30'] -> 8 / ((23 / 23) - (20 / 30))
[241] ['8', '19', '19', '20', '30'] -> 8 / ((19 / 19) - (20 / 30))
[242] ['8', '19', '22', '22', '27'] -> (22 * 27) - ((22 + 8) * 19)
[243] ['8', '21', '22', '30', '30'] -> (((21 * 22) - 30) / 8) - 30
[244] ['8', '20', '29', '29', '30'] -> 8 / ((29 / 29) - (20 / 30))
[245] ['8', '21', '21', '23', '28'] -> (((23 + 8) * 21) + 21) / 28
[246] ['8', '20', '20', '25', '25'] -> ((20 * 20) + (25 * 8)) / 25
[247] ['1', '7', '7', '11', '18'] -> 18 / ((7 / (11 - 7)) - 1)
[248] ['8', '20', '20', '26', '27'] -> ((26 + 27) * 8) - (20 * 20)
[249] ['8', '20', '20', '27', '27'] -> 27 - (27 / ((20 / 20) + 8))
[250] ['8', '20', '20', '29', '30'] -> (((29 + 8) * 20) - 20) / 30
[251] ['8', '22', '25', '25', '30'] -> (25 * 30) - ((25 + 8) * 22)
[252] ['8', '20', '27', '27', '30'] -> 8 / ((27 / 27) - (20 / 30))
[253] ['8', '22', '22', '27', '27'] -> 27 - (27 / ((22 / 22) + 8))
[254] ['8', '21', '28', '29', '29'] -> 8 / ((28 / 21) - (29 / 29))
[255] ['8', '26', '26', '27', '27'] -> 27 - (27 / ((26 / 26) + 8))
[256] ['8', '19', '29', '30', '30'] -> 8 / ((29 / 30) - (19 / 30))
[257] ['8', '20', '20', '20', '26'] -> ((20 / 8) - (26 / 20)) * 20
[258] ['1', '7', '7', '11', '19'] -> ((19 * 7) + 11) / (7 - 1)
[259] ['9', '9', '9', '12', '23'] -> ((23 * 9) + (9 * 9)) / 12
[260] ['9', '9', '9', '17', '22'] -> (((9 / 9) + 17) / 9) + 22
[261] ['9', '9', '9', '17', '26'] -> 26 - (((9 / 9) + 17) / 9)
[262] ['9', '9', '9', '18', '19'] -> (((9 * 9) + 9) / 18) + 19
[263] ['9', '9', '11', '28', '30'] -> ((9 / 9) + 11) * (30 - 28)
[264] ['9', '9', '11', '18', '26'] -> ((11 / 9) + (26 / 18)) * 9
[265] ['8', '23', '28', '29', '29'] -> ((29 * 29) + 23) / (28 + 8)
[266] ['9', '9', '9', '20', '26'] -> 26 - (20 / ((9 / 9) + 9))
[267] ['9', '9', '11', '23', '25'] -> ((9 / 9) + 11) * (25 - 23)
[268] ['9', '9', '14', '15', '29'] -> (((29 - 14) * 15) - 9) / 9
[269] ['1', '7', '10', '10', '14'] -> (((10 / 7) + 1) * 14) - 10
[270] ['9', '9', '15', '22', '26'] -> ((9 * 9) + 15) / (26 - 22)
[271] ['9', '9', '10', '22', '22'] -> (22 / ((9 / 9) + 10)) + 22
[272] ['9', '9', '10', '22', '29'] -> ((29 + 9) / (10 + 9)) + 22
[273] ['9', '9', '14', '19', '23'] -> (((19 - 9) * 23) - 14) / 9
[274] ['9', '9', '14', '22', '22'] -> ((14 + 22) / (9 + 9)) + 22
[275] ['9', '9', '18', '20', '29'] -> (((20 + 29) * 9) - 9) / 18
[276] ['9', '9', '15', '19', '26'] -> ((26 - 19) * 15) - (9 * 9)
[277] ['9', '9', '13', '29', '30'] -> (((29 + 9) * 9) - 30) / 13
[278] ['9', '9', '14', '14', '30'] -> ((14 - 9) * 30) - (14 * 9)
[279] ['9', '9', '17', '21', '26'] -> (((26 * 9) + 21) / 17) + 9
[280] ['1', '6', '25', '25', '27'] -> 27 - (6 / ((25 / 25) + 1))
[281] ['9', '9', '15', '25', '29'] -> ((9 * 9) + 15) / (29 - 25)
[282] ['9', '9', '16', '16', '18'] -> ((16 / 18) + (16 / 9)) * 9
[283] ['9', '9', '16', '18', '18'] -> ((18 / 9) - (9 / 18)) * 16
[284] ['9', '9', '17', '26', '27'] -> (((17 * 27) - 9) / 9) - 26
[285] ['9', '9', '16', '19', '25'] -> 16 / ((25 / 9) - (19 / 9))
[286] ['9', '9', '21', '28', '28'] -> ((28 * 9) + (28 * 9)) / 21
[287] ['9', '9', '16', '23', '29'] -> 16 / ((29 / 9) - (23 / 9))
[288] ['9', '9', '21', '21', '30'] -> (((21 * 21) + 9) / 30) + 9
