[1] ['1', '1', '1', '1', '7'] -> (1 + 1 + 1) * (1 + 7)
[2] ['7', '13', '16', '16', '16'] -> ((16 / 16) + 7) * (16 - 13)
[3] ['7', '14', '15', '19', '19'] -> (((15 * 19) - 19) / 7) - 14
[4] ['7', '14', '19', '19', '19'] -> ((19 / 7) - (19 / 19)) * 14
[5] ['8', '8', '8', '11', '19'] -> ((8 + 8) * 11) - (19 * 8)
[6] ['8', '8', '9', '9', '17'] -> (((17 + 9) * 8) + 8) / 9
[7] ['8', '8', '11', '14', '19'] -> ((14 * 8) + (19 * 8)) / 11
[8] ['8', '8', '13', '15', '15'] -> 8 / ((13 / 15) - (8 / 15))
[9] ['8', '10', '10', '10', '11'] -> ((10 / 10) + 11) * (10 - 8)
[10] ['8', '10', '10', '11', '19'] -> ((11 / 10) + (19 / 10)) * 8
[11] ['8', '10', '11', '11', '11'] -> ((11 / 11) + 11) * (10 - 8)
[12] ['8', '10', '13', '13', '18'] -> (13 * 18) - ((13 + 8) * 10)
[13] ['8', '10', '11', '18', '18'] -> ((18 / 18) + 11) * (10 - 8)
[14] ['8', '10', '10', '18', '19'] -> (((10 * 8) + 10) / 18) + 19
[15] ['8', '10', '15', '15', '15'] -> 8 / ((15 / 15) - (10 / 15))
[16] ['1', '7', '7', '7', '8'] -> (((7 + 7) / 7) + 1) * 8
[17] ['8', '10', '17', '17', '17'] -> (((17 * 17) - 17) / 8) - 10
[18] ['8', '10', '17', '17', '19'] -> (((19 - 17) * 10) - 17) * 8
[19] ['8', '10', '17', '18', '18'] -> (((18 + 8) * 17) - 10) / 18
[20] ['8', '11', '11', '13', '14'] -> ((11 + 8) * (13 - 11)) - 14
[21] ['1', '7', '7', '8', '8'] -> (((7 / 7) + 1) * 8) + 8
[22] ['8', '12', '13', '13', '13'] -> 13 / ((13 / 8) - (13 / 12))
[23] ['8', '14', '15', '17', '17'] -> (((17 * 17) + 15) / 8) - 14
[24] ['1', '7', '8', '18', '18'] -> 8 / ((7 / 18) - (1 / 18))
[25] ['1', '7', '7', '11', '18'] -> 18 / ((7 / (11 - 7)) - 1)
[26] ['1', '7', '7', '11', '19'] -> ((19 * 7) + 11) / (7 - 1)
[27] ['9', '9', '9', '18', '19'] -> (((9 * 9) + 9) / 18) + 19
[28] ['1', '7', '10', '10', '14'] -> (((10 / 7) + 1) * 14) - 10
[29] ['9', '9', '16', '16', '18'] -> ((16 / 18) + (16 / 9)) * 9
[30] ['9', '9', '16', '18', '18'] -> ((18 / 9) - (9 / 18)) * 16
[31] ['9', '10', '16', '16', '19'] -> ((19 + 9) * 10) - (16 * 16)
[32] ['1', '7', '11', '13', '13'] -> ((11 * 13) + 1) / (13 - 7)
[33] ['9', '10', '17', '17', '17'] -> (((17 * 17) + 17) / 9) - 10
[34] ['9', '10', '17', '17', '19'] -> (((17 * 19) - 17) / 9) - 10
[35] ['9', '11', '11', '19', '19'] -> ((19 / 19) + 11) * (11 - 9)
[36] ['9', '11', '11', '11', '11'] -> ((11 / 11) + 11) * (11 - 9)
[37] ['1', '1', '1', '9', '11'] -> ((1 + 1 + 1) * 11) - 9
[38] ['1', '7', '7', '16', '17'] -> ((1 + 7) * 17) - (16 * 7)
[39] ['9', '17', '18', '19', '19'] -> (((19 * 19) + 17) / 9) - 18
[40] ['1', '7', '7', '18', '18'] -> ((18 * 7) + 18) / (7 - 1)
[41] ['10', '10', '10', '11', '16'] -> ((10 + 10) * 10) - (11 * 16)
[42] ['10', '10', '10', '12', '16'] -> ((10 + 10) * (12 - 10)) - 16
[43] ['10', '10', '12', '13', '13'] -> ((10 / 10) + (13 / 13)) * 12
[44] ['10', '10', '11', '11', '16'] -> ((10 * 11) + 10) / (16 - 11)
[45] ['1', '1', '1', '9', '19'] -> ((1 + 9) / (1 + 1)) + 19
[46] ['10', '11', '17', '19', '19'] -> (((19 + 19) * 11) - 10) / 17
[47] ['1', '7', '14', '14', '14'] -> (((14 - 1) * 14) - 14) / 7
[48] ['1', '8', '8', '9', '9'] -> (((9 / 9) + 1) * 8) + 8
[49] ['1', '8', '8', '19', '19'] -> (((19 / 19) + 1) * 8) + 8
[50] ['1', '8', '8', '15', '15'] -> (((15 / 15) + 1) * 8) + 8
[51] ['1', '8', '8', '17', '17'] -> (((17 / 17) + 1) * 8) + 8
[52] ['11', '11', '11', '14', '16'] -> ((11 / 11) + 11) * (16 - 14)
[53] ['11', '11', '11', '15', '17'] -> ((11 / 11) + 11) * (17 - 15)
[54] ['11', '11', '12', '15', '15'] -> ((11 / 11) + (15 / 15)) * 12
[55] ['1', '7', '14', '17', '18'] -> ((7 / (17 - 14)) - 1) * 18
[56] ['11', '11', '12', '14', '14'] -> ((11 / 11) + (14 / 14)) * 12
[57] ['11', '11', '12', '19', '19'] -> ((11 / 11) + (19 / 19)) * 12
