[1676] ['1/9', '4', '5', '9'] -> (((1/9 * 9) + 5) * 4)
[1677] ['1/9', '4', '7', '9'] -> ((7 - (1/9 * 9)) * 4)
[1681] ['1/9', '5', '5', '9'] -> ((5 * 5) - (1/9 * 9))
[1682] ['1/9', '5', '6', '6'] -> ((6 / 1/9) - (5 * 6))
[1683] ['1/9', '5', '6', '9'] -> ((5 - (1/9 * 9)) * 6)
[1721] ['1/9', '1', '1', '3'] -> (((1 / 1/9) - 1) * 3)
[1722] ['1/9', '1', '1', '6'] -> (((1 + 1) / 1/9) + 6)
[1746] ['1/9', '1', '5', '6'] -> (((1 / 1/9) - 5) * 6)
[1920] ['1/9', '2', '2', '6'] -> (((2 / 1/9) - 6) * 2)
[1927] ['1/9', '2', '5', '9'] -> (((1/9 + 2) * 9) + 5)
[1928] ['1/9', '2', '6', '6'] -> (((6 / 1/9) - 6) / 2)
[1929] ['1/9', '2', '6', '7'] -> ((6 * 7) - (2 / 1/9))
[3647] ['1/8', '1', '3', '4'] -> (3 / ((1 / 4) - 1/8))
[3649] ['1/8', '1', '4', '4'] -> ((1 / 1/8) + (4 * 4))
[3652] ['1/8', '1', '6', '6'] -> (6 / (1 - (1/8 * 6)))
[3653] ['1/8', '1', '6', '7'] -> (7 / ((1 / 6) + 1/8))
[3790] ['1/8', '1', '1', '1'] -> (((1 + 1) + 1) / 1/8)
[3792] ['1/8', '1', '1', '8'] -> (((1 + 1) / 1/8) + 8)
[3945] ['1/8', '2', '5', '5'] -> (((5 / 5) + 2) / 1/8)
[3946] ['1/8', '2', '5', '7'] -> (((2 * 5) - 7) / 1/8)
[3947] ['1/8', '2', '6', '8'] -> (((6 - 2) / 1/8) - 8)
[3948] ['1/8', '2', '7', '7'] -> (((7 / 7) + 2) / 1/8)
[3949] ['1/8', '2', '9', '9'] -> (((9 / 9) + 2) / 1/8)
[4000] ['1/8', '3', '5', '9'] -> (5 / ((3 / 9) - 1/8))
[4007] ['1/8', '4', '5', '5'] -> ((4 - (5 / 5)) / 1/8)
[4008] ['1/8', '4', '7', '7'] -> ((4 - (7 / 7)) / 1/8)
[4009] ['1/8', '4', '9', '9'] -> ((4 - (9 / 9)) / 1/8)
[4011] ['1/8', '5', '5', '8'] -> ((5 * 5) - (1/8 * 8))
[4164] ['1/8', '2', '2', '2'] -> (((2 / 2) + 2) / 1/8)
[5190] ['1/7', '1', '3', '6'] -> (((1 / 1/7) - 3) * 6)
[5191] ['1/7', '1', '4', '8'] -> (((1 / 1/7) - 4) * 8)
[5219] ['1/7', '1', '1', '3'] -> (((1 / 1/7) + 1) * 3)
