[1] ['1', '1', '1', '8'] -> (((1 + 1) + 1) * 8)
[2] ['1', '1', '1', '11'] -> ((1 + 1) * (1 + 11))
[3] ['1', '1', '1', '13'] -> ((1 + 1) * (13 - 1))
[4] ['1', '1', '1', '46'] -> ((46 / (1 + 1)) + 1)
[5] ['1', '1', '1', '47'] -> ((1 + 47) / (1 + 1))
[6] ['1', '1', '1', '49'] -> ((49 - 1) / (1 + 1))
[7] ['1', '1', '2', '7'] -> ((1 + 2) * (1 + 7))
[8] ['1', '1', '2', '9'] -> ((1 + 2) * (9 - 1))
[9] ['1', '1', '2', '16'] -> (((1 / 2) + 1) * 16)
[10] ['1', '1', '2', '36'] -> (36 / ((1 / 2) + 1))
[11] ['1', '1', '2', '45'] -> (((1 + 45) / 2) + 1)
[12] ['1', '1', '3', '5'] -> ((1 + 3) * (1 + 5))
[13] ['1', '1', '3', '11'] -> ((1 + 11) * (3 - 1))
[14] ['1', '1', '3', '15'] -> ((1 + 1) * (15 - 3))
[15] ['1', '1', '3', '30'] -> (30 - ((1 + 1) * 3))
[16] ['1', '1', '3', '32'] -> (32 / ((1 / 3) + 1))
[17] ['1', '1', '3', '42'] -> ((42 / (1 + 1)) + 3)
[18] ['1', '1', '3', '45'] -> ((3 + 45) / (1 + 1))
[19] ['1', '1', '3', '47'] -> ((1 + 47) / (3 - 1))
[20] ['1', '1', '4', '10'] -> (((1 + 1) * 10) + 4)
[21] ['1', '1', '4', '14'] -> (((1 + 1) * 14) - 4)
[22] ['1', '1', '4', '40'] -> ((40 / (1 + 1)) + 4)
[23] ['1', '1', '4', '44'] -> ((4 + 44) / (1 + 1))
[24] ['1', '1', '5', '14'] -> (((1 + 1) * 5) + 14)
[25] ['1', '1', '5', '34'] -> (34 - ((1 + 1) * 5))
[26] ['1', '1', '5', '38'] -> ((38 / (1 + 1)) + 5)
[27] ['1', '1', '5', '43'] -> ((43 + 5) / (1 + 1))
[28] ['1', '1', '6', '9'] -> (((1 + 1) * 9) + 6)
[29] ['1', '1', '6', '12'] -> (((1 + 1) * 6) + 12)
[30] ['1', '1', '6', '15'] -> (((1 + 1) * 15) - 6)
[31] ['1', '1', '6', '21'] -> ((6 / (1 + 1)) + 21)
[32] ['1', '1', '6', '27'] -> (27 - (6 / (1 + 1)))
[33] ['1', '1', '6', '42'] -> ((42 + 6) / (1 + 1))
[34] ['1', '1', '7', '10'] -> (((1 + 1) * 7) + 10)
[35] ['1', '1', '7', '21'] -> (((1 / 7) + 1) * 21)
[36] ['1', '1', '7', '28'] -> ((1 - (1 / 7)) * 28)
[37] ['1', '1', '7', '34'] -> ((34 / (1 + 1)) + 7)
[38] ['1', '1', '7', '38'] -> (38 - ((1 + 1) * 7))
[39] ['1', '1', '7', '41'] -> ((41 + 7) / (1 + 1))
[40] ['1', '1', '8', '8'] -> (((1 + 1) * 8) + 8)
[41] ['1', '1', '8', '21'] -> (21 / (1 - (1 / 8)))
[42] ['1', '1', '8', '27'] -> (27 / ((1 / 8) + 1))
[43] ['1', '1', '8', '28'] -> (28 - (8 / (1 + 1)))
[44] ['1', '1', '9', '21'] -> ((1 + 1) * (21 - 9))
[45] ['1', '1', '9', '27'] -> ((1 - (1 / 9)) * 27)
[46] ['1', '1', '9', '30'] -> ((30 / (1 + 1)) + 9)
[47] ['1', '1', '9', '39'] -> ((39 + 9) / (1 + 1))
[48] ['1', '1', '9', '42'] -> (42 - ((1 + 1) * 9))
[49] ['1', '1', '10', '17'] -> (((1 + 1) * 17) - 10)
[50] ['1', '1', '10', '19'] -> ((10 / (1 + 1)) + 19)
[51] ['1', '1', '10', '22'] -> ((1 + 1) * (22 - 10))
[52] ['1', '1', '10', '28'] -> ((28 / (1 + 1)) + 10)
[53] ['1', '1', '10', '29'] -> (29 - (10 / (1 + 1)))
[54] ['1', '1', '10', '38'] -> ((10 + 38) / (1 + 1))
[55] ['1', '1', '10', '44'] -> (44 - ((1 + 1) * 10))
[56] ['1', '1', '11', '22'] -> (((1 / 11) + 1) * 22)
[57] ['1', '1', '11', '23'] -> ((1 + 1) * (23 - 11))
[58] ['1', '1', '11', '26'] -> ((26 / (1 + 1)) + 11)
[59] ['1', '1', '11', '46'] -> (46 - ((1 + 1) * 11))
[60] ['1', '1', '12', '22'] -> (22 / (1 - (1 / 12)))
[61] ['1', '1', '12', '26'] -> (26 / ((1 / 12) + 1))
[62] ['1', '1', '29', '41'] -> ((1 + 1) * (41 - 29))
[63] ['1', '1', '30', '36'] -> (((1 + 1) * 30) - 36)
[64] ['1', '1', '30', '39'] -> (39 - (30 / (1 + 1)))
[65] ['1', '1', '30', '42'] -> ((1 + 1) * (42 - 30))
[66] ['1', '1', '31', '38'] -> (((1 + 1) * 31) - 38)
[67] ['1', '1', '31', '43'] -> ((1 + 1) * (43 - 31))
[68] ['1', '1', '32', '44'] -> ((1 + 1) * (44 - 32))
[69] ['1', '1', '33', '42'] -> (((1 + 1) * 33) - 42)
[70] ['1', '1', '33', '45'] -> ((1 + 1) * (45 - 33))
[71] ['1', '1', '34', '41'] -> (41 - (34 / (1 + 1)))
[72] ['1', '1', '34', '44'] -> (((1 + 1) * 34) - 44)
[73] ['1', '1', '34', '46'] -> ((1 + 1) * (46 - 34))
[74] ['1', '1', '35', '46'] -> (((1 + 1) * 35) - 46)
[75] ['1', '1', '35', '47'] -> ((1 + 1) * (47 - 35))
[76] ['1', '1', '36', '42'] -> (42 - (36 / (1 + 1)))
[77] ['1', '1', '37', '49'] -> ((1 + 1) * (49 - 37))
[78] ['1', '1', '38', '43'] -> (43 - (38 / (1 + 1)))
[79] ['1', '1', '40', '44'] -> (44 - (40 / (1 + 1)))
[80] ['1', '1', '42', '45'] -> (45 - (42 / (1 + 1)))
[81] ['1', '1', '44', '46'] -> (46 - (44 / (1 + 1)))
[82] ['1', '1', '46', '47'] -> (47 - (46 / (1 + 1)))
[83] ['1', '1', '46', '48'] -> (1 / (1 - (46 / 48)))
[84] ['1', '1', '48', '48'] -> (48 - (48 / (1 + 1)))
[85] ['1', '2', '2', '18'] -> (((1 + 2) * 2) + 18)
[86] ['1', '2', '2', '30'] -> (30 - ((1 + 2) * 2))
[87] ['1', '2', '2', '43'] -> (((1 + 43) / 2) + 2)
[88] ['1', '2', '3', '32'] -> (32 - ((1 + 3) * 2))
[89] ['1', '2', '3', '39'] -> (((39 / 3) - 1) * 2)
[90] ['1', '2', '3', '41'] -> (((1 + 41) / 2) + 3)
[91] ['1', '2', '3', '47'] -> (((3 + 47) / 2) - 1)
[92] ['1', '2', '4', '34'] -> (34 - ((1 + 4) * 2))
[93] ['1', '2', '4', '39'] -> (((1 + 39) / 2) + 4)
[94] ['1', '2', '5', '37'] -> (((1 + 37) / 2) + 5)
[95] ['1', '2', '5', '41'] -> (((41 + 5) / 2) + 1)
[96] ['1', '2', '5', '45'] -> (((45 + 5) / 2) - 1)
[97] ['1', '2', '6', '40'] -> (((40 + 6) / 2) + 1)
[98] ['1', '2', '7', '7'] -> (((7 * 7) - 1) / 2)
[99] ['1', '2', '7', '43'] -> (((43 + 7) / 2) - 1)
[100] ['1', '2', '7', '45'] -> (45 - ((1 + 2) * 7))
[101] ['1', '1', '12', '30'] -> (30 - (12 / (1 + 1)))
[102] ['1', '1', '12', '48'] -> (48 - ((1 + 1) * 12))
[103] ['1', '1', '13', '22'] -> ((22 / (1 + 1)) + 13)
[104] ['1', '1', '13', '25'] -> ((1 + 1) * (25 - 13))
[105] ['1', '1', '13', '26'] -> ((1 - (1 / 13)) * 26)
[106] ['1', '1', '14', '17'] -> ((14 / (1 + 1)) + 17)
[107] ['1', '1', '14', '19'] -> (((1 + 1) * 19) - 14)
[108] ['1', '1', '14', '20'] -> ((20 / (1 + 1)) + 14)
[109] ['1', '1', '14', '26'] -> ((1 + 1) * (26 - 14))
[110] ['1', '1', '14', '31'] -> (31 - (14 / (1 + 1)))
[111] ['1', '1', '14', '34'] -> ((14 + 34) / (1 + 1))
[112] ['1', '1', '15', '18'] -> ((18 / (1 + 1)) + 15)
[113] ['1', '1', '15', '27'] -> ((1 + 1) * (27 - 15))
[114] ['1', '1', '15', '33'] -> ((15 + 33) / (1 + 1))
[115] ['1', '1', '16', '16'] -> ((16 / (1 + 1)) + 16)
[116] ['1', '1', '16', '20'] -> (((1 + 1) * 20) - 16)
[117] ['1', '1', '16', '28'] -> ((1 + 1) * (28 - 16))
[118] ['1', '1', '17', '29'] -> ((1 + 1) * (29 - 17))
[119] ['1', '1', '17', '31'] -> ((17 + 31) / (1 + 1))
[120] ['1', '1', '18', '21'] -> (((1 + 1) * 21) - 18)
[121] ['1', '1', '18', '33'] -> (33 - (18 / (1 + 1)))
[122] ['1', '1', '19', '29'] -> ((19 + 29) / (1 + 1))
