[1] ['1/4', '1', '4', '4'] -> ((1 + 4) / 1/4) + 4
[2] ['1/4', '1', '6', '8'] -> (8 - (1 / 1/4)) * 6
[3] ['1/4', '1', '9', '9'] -> (9 + 9) / (1 - 1/4)
[4] ['1/4', '2', '4', '9'] -> ((9 - 2) / 1/4) - 4
[5] ['1/4', '3', '3', '3'] -> ((3 * 3) - 3) / 1/4
[6] ['1/4', '3', '3', '7'] -> (7 - (3 / 3)) / 1/4
[7] ['1/4', '3', '3', '8'] -> 3 / ((3 / 8) - 1/4)
[8] ['1/4', '3', '4', '4'] -> ((3 + 4) / 1/4) - 4
[9] ['1/4', '3', '5', '9'] -> ((3 * 5) - 9) / 1/4
[10] ['1/4', '5', '5', '5'] -> ((5 / 5) + 5) / 1/4
[11] ['1/4', '5', '5', '7'] -> (7 - (5 / 5)) / 1/4
[12] ['1/4', '5', '7', '7'] -> ((7 / 7) + 5) / 1/4
[13] ['1/4', '5', '9', '9'] -> ((9 / 9) + 5) / 1/4
[14] ['1/4', '7', '7', '7'] -> (7 - (7 / 7)) / 1/4
[15] ['1/4', '7', '9', '9'] -> (7 - (9 / 9)) / 1/4
[16] ['2/7', '1', '2', '3'] -> ((2 / 2/7) + 1) * 3
[17] ['2/7', '1', '2', '4'] -> ((2 / 2/7) - 1) * 4
[18] ['2/7', '1', '2', '7'] -> (7 / 2/7) - (1 / 2)
[19] ['2/7', '1', '3', '5'] -> ((1 + 5) / 2/7) + 3
[20] ['2/7', '1', '4', '7'] -> ((1 + 7) / 2/7) - 4
[21] ['2/7', '1', '7', '7'] -> (7 - (1 / 7)) / 2/7
[22] ['2/7', '1', '7', '8'] -> ((2/7 * 7) + 1) * 8
[23] ['2/7', '2', '5', '7'] -> ((2/7 * 5) + 2) * 7
[24] ['2/7', '2', '5', '9'] -> (2 - 2/7) * (5 + 9)
[25] ['2/7', '2', '6', '6'] -> (6 / 2) + (6 / 2/7)
[26] ['2/7', '2', '6', '9'] -> ((6 / 2/7) - 9) * 2
[27] ['2/7', '2', '7', '7'] -> (2 - 2/7) * (7 + 7)
[28] ['2/7', '2', '7', '8'] -> ((2 + 2/7) * 7) + 8
[29] ['2/7', '2', '8', '8'] -> (8 / 2/7) - (8 / 2)
[30] ['2/7', '3', '3', '3'] -> ((3 + 3) / 2/7) + 3
[31] ['2/7', '3', '4', '5'] -> ((3 + 5) / 2/7) - 4
[32] ['2/7', '3', '4', '6'] -> ((4 / 2/7) - 6) * 3
[33] ['2/7', '3', '6', '9'] -> (6 / 2/7) + (9 / 3)
[34] ['2/7', '3', '9', '9'] -> ((9 * 9) + 3) * 2/7
[35] ['2/7', '4', '4', '4'] -> ((4 + 4) / 2/7) - 4
[36] ['2/7', '4', '4', '7'] -> ((2/7 * 7) + 4) * 4
[37] ['2/7', '4', '4', '8'] -> ((4 / 2/7) - 8) * 4
[38] ['2/7', '5', '7', '8'] -> (5 - (2/7 * 7)) * 8
[39] ['2/7', '5', '7', '9'] -> ((5 - 2/7) * 7) - 9
[40] ['2/7', '2', '2', '4'] -> ((4 / 2/7) - 2) * 2
[41] ['2/7', '2', '2', '5'] -> ((2 / 2/7) + 5) * 2
[42] ['2/7', '2', '3', '4'] -> ((2 + 4) / 2/7) + 3
[43] ['2/7', '2', '3', '6'] -> ((2 / 2/7) - 3) * 6
[44] ['2/7', '2', '4', '5'] -> (2 * 5) + (4 / 2/7)
[45] ['2/7', '2', '4', '6'] -> ((2 + 6) / 2/7) - 4
[46] ['1/3', '1', '4', '6'] -> 4 / (1/3 - (1 / 6))
[47] ['1/3', '3', '5', '5'] -> (5 * 5) - (1/3 * 3)
[48] ['1/3', '3', '5', '8'] -> ((1/3 + 5) * 3) + 8
[49] ['1/3', '4', '4', '7'] -> ((4 / 4) + 7) / 1/3
[50] ['1/3', '4', '5', '6'] -> ((5 - 1/3) * 6) - 4
[51] ['1/3', '4', '8', '9'] -> ((4 / 1/3) - 9) * 8
[52] ['1/3', '5', '5', '6'] -> ((5 + 5) / 1/3) - 6
[53] ['1/3', '5', '5', '7'] -> ((5 / 5) + 7) / 1/3
[54] ['1/3', '5', '5', '9'] -> (9 - (5 / 5)) / 1/3
[55] ['1/3', '7', '7', '7'] -> ((7 / 7) + 7) / 1/3
[56] ['1/3', '7', '7', '9'] -> (9 - (7 / 7)) / 1/3
[57] ['1/3', '2', '2', '5'] -> ((2 * 5) - 2) / 1/3
[58] ['1/3', '2', '2', '7'] -> ((2 / 2) + 7) / 1/3
[59] ['1/3', '2', '8', '9'] -> (9 - (2 / 1/3)) * 8
[60] ['3/8', '2', '2', '8'] -> ((2 / 2) + 8) / 3/8
[61] ['3/8', '2', '3', '3'] -> ((2 * 3) + 3) / 3/8
[62] ['3/8', '2', '3', '7'] -> 7 / ((2 / 3) - 3/8)
[63] ['3/8', '2', '5', '7'] -> ((2 * 7) - 5) / 3/8
[64] ['3/8', '2', '7', '8'] -> ((2 * 8) - 7) / 3/8
[65] ['3/8', '1', '5', '6'] -> 5 / (3/8 - (1 / 6))
[66] ['3/8', '1', '5', '8'] -> ((1 + 5) / 3/8) + 8
[67] ['3/8', '1', '7', '9'] -> ((7 * 9) + 1) * 3/8
[68] ['3/8', '1', '1', '3'] -> 1 / (3/8 - (1 / 3))
[69] ['3/8', '1', '2', '4'] -> ((2 * 4) + 1) / 3/8
[70] ['3/8', '1', '2', '5'] -> ((2 * 5) - 1) / 3/8
[71] ['3/8', '1', '3', '8'] -> 8 / (3 - (1 / 3/8))
[72] ['3/8', '1', '3', '9'] -> 1 / (3/8 - (3 / 9))
[73] ['3/8', '3', '3', '3'] -> (3 + 3 + 3) / 3/8
[74] ['3/8', '3', '3', '4'] -> ((3 * 4) - 3) / 3/8
[75] ['3/8', '3', '4', '4'] -> (3 / 3/8) + (4 * 4)
[76] ['3/8', '3', '4', '6'] -> ((3 / 3/8) - 4) * 6
[77] ['3/8', '3', '6', '7'] -> ((6 / 3) + 7) / 3/8
[78] ['3/8', '3', '6', '8'] -> ((6 / 3/8) - 8) * 3
[79] ['3/8', '4', '4', '7'] -> ((4 * 4) - 7) / 3/8
[80] ['3/8', '4', '7', '8'] -> ((8 / 4) + 7) / 3/8
[81] ['3/8', '5', '5', '8'] -> ((5 / 5) + 8) / 3/8
[82] ['3/8', '5', '7', '8'] -> ((5 + 7) / 3/8) - 8
[83] ['3/8', '6', '8', '8'] -> (6 - (3/8 * 8)) * 8
[84] ['3/8', '7', '7', '8'] -> ((7 / 7) + 8) / 3/8
[85] ['3/8', '8', '8', '8'] -> ((8 / 8) + 8) / 3/8
[86] ['2/5', '1', '2', '4'] -> ((2 / 2/5) + 1) * 4
[87] ['2/5', '1', '2', '6'] -> ((2 / 2/5) - 1) * 6
[88] ['2/5', '1', '2', '8'] -> ((2 + 8) / 2/5) - 1
[89] ['2/5', '1', '2', '9'] -> (1 + 9) * (2 + 2/5)
[90] ['2/5', '1', '3', '7'] -> ((3 + 7) / 2/5) - 1
[91] ['2/5', '1', '4', '6'] -> ((4 + 6) / 2/5) - 1
[92] ['2/5', '1', '4', '7'] -> ((1 + 7) / 2/5) + 4
[93] ['2/5', '1', '5', '9'] -> ((1 + 5) / 2/5) + 9
[94] ['2/5', '2', '2', '4'] -> ((4 / 2/5) + 2) * 2
[95] ['2/5', '2', '2', '7'] -> ((2 / 2/5) + 7) * 2
[96] ['2/5', '2', '3', '3'] -> ((2 / 2/5) + 3) * 3
[97] ['2/5', '2', '3', '4'] -> ((4 / 2/5) - 2) * 3
[98] ['2/5', '2', '3', '6'] -> ((6 / 2/5) - 3) * 2
[99] ['2/5', '2', '3', '7'] -> (2 + 2/5) * (3 + 7)
[100] ['2/5', '2', '4', '7'] -> (2 * 7) + (4 / 2/5)
[101] ['2/5', '2', '4', '9'] -> ((2 + 4) / 2/5) + 9
[102] ['2/5', '2', '5', '7'] -> ((2/5 * 7) + 2) * 5
[103] ['2/5', '2', '7', '8'] -> (2 - 2/5) * (7 + 8)
[104] ['2/5', '1', '1', '9'] -> ((1 + 9) / 2/5) - 1
