[1] ['1/9', '1/9', '1/6', '3'] -> ((1/9 / 1/9) + 3) / 1/6
[2] ['1/4', '3/8', '1/2', '4'] -> 4 / ((1/4 / 3/8) - 1/2)
[3] ['1/4', '3/8', '1/2', '7'] -> ((1/2 / 1/4) + 7) / 3/8
[4] ['1/4', '3/8', '5/9', '1'] -> 1 / (1/4 - (3/8 * 5/9))
[5] ['1/4', '3/8', '4/7', '5'] -> ((5 / 4/7) + 1/4) / 3/8
[6] ['1/4', '3/8', '3/5', '1'] -> 1 / ((1/4 / 3/5) - 3/8)
[7] ['1/4', '3/8', '5/8', '1'] -> 1 / ((1/4 / 3/8) - 5/8)
[8] ['1/4', '3/8', '5/8', '9'] -> ((5/8 * 9) + 3/8) / 1/4
[9] ['1/4', '3/8', '2/3', '5'] -> 5 / (3/8 - (1/4 * 2/3))
[10] ['1/4', '3/8', '2/3', '8'] -> (2/3 / 1/4) + (8 / 3/8)
[11] ['1/4', '3/8', '8/5', '9'] -> ((9 / 8/5) + 3/8) / 1/4
[12] ['1/4', '3/8', '5/3', '4'] -> 4 / (5/3 - (3/8 / 1/4))
[13] ['1/4', '3/8', '7/4', '2'] -> ((7/4 / 1/4) + 2) / 3/8
[14] ['1/4', '3/8', '7/4', '5'] -> ((5 * 7/4) + 1/4) / 3/8
[15] ['1/4', '3/8', '2', '9/4'] -> 2 / (1/4 - (3/8 / 9/4))
[16] ['1/9', '4/9', '7/2', '8'] -> (7/2 * 8) - (4/9 / 1/9)
[17] ['1/4', '3/8', '7/3', '5'] -> 5 / ((1/4 * 7/3) - 3/8)
[18] ['1/4', '3/8', '7/3', '8'] -> ((1/4 / 3/8) + 7/3) * 8
[19] ['1/4', '3/8', '5/2', '5'] -> ((3/8 + 5) / 1/4) + 5/2
[20] ['1/4', '3/8', '5/2', '7'] -> ((7 - 3/8) / 1/4) - 5/2
[21] ['1/4', '3/8', '5/2', '9'] -> (3/8 / 1/4) + (5/2 * 9)
[22] ['1/4', '3/8', '3', '9/2'] -> (3 / 1/4) + (9/2 / 3/8)
[23] ['1/9', '4/9', '7/2', '9'] -> ((1/9 + 9) / 4/9) + 7/2
[24] ['1/4', '3/8', '7/2', '4'] -> (7/2 / (3/8 - 1/4)) - 4
[25] ['1/4', '3/8', '7/2', '5'] -> ((7/2 / 1/4) - 5) / 3/8
[26] ['1/4', '2/5', '2/5', '5'] -> ((2/5 / 2/5) + 5) / 1/4
[27] ['1/4', '2/5', '2/5', '7'] -> (7 - (2/5 / 2/5)) / 1/4
[28] ['1/4', '2/5', '2/5', '8'] -> ((2/5 / 1/4) + 8) / 2/5
[29] ['1/4', '2/5', '1/2', '3'] -> 3 / ((1/4 / 2/5) - 1/2)
[30] ['1/4', '2/5', '1/2', '9'] -> ((1/2 + 9) / 2/5) + 1/4
[31] ['1/4', '2/5', '3/5', '8'] -> (2/5 + 8) / (3/5 - 1/4)
[32] ['1/4', '2/5', '5/8', '4'] -> ((4 / 5/8) - 2/5) / 1/4
[33] ['1/4', '2/5', '2/3', '1'] -> 1 / (2/3 - (1/4 / 2/5))
[34] ['1/4', '3/8', '3/4', '1'] -> 1 / (3/8 - (1/4 / 3/4))
[35] ['1/4', '3/8', '3/4', '2'] -> 2 / (3/4 - (1/4 / 3/8))
[36] ['1/4', '3/8', '7/9', '1'] -> 1 / ((3/8 * 7/9) - 1/4)
[37] ['1/9', '2/5', '5/6', '3'] -> (3 - (2/5 * 5/6)) / 1/9
[38] ['1/4', '3/8', '4/5', '7'] -> ((7 / 4/5) + 1/4) / 3/8
[39] ['1/4', '3/8', '6/7', '2'] -> 2 / (3/8 - (1/4 / 6/7))
[40] ['1/4', '3/8', '7/8', '5'] -> 5 / (7/8 - (1/4 / 3/8))
[41] ['1/4', '3/8', '8/9', '5'] -> ((5 / 8/9) + 3/8) / 1/4
[42] ['1/4', '3/8', '1', '9/7'] -> 1 / ((3/8 / 9/7) - 1/4)
[43] ['1/4', '3/8', '1', '4/3'] -> 1 / (3/8 - (1/4 * 4/3))
[44] ['1/4', '3/8', '1', '5/3'] -> 1 / ((1/4 * 5/3) - 3/8)
[45] ['1/4', '3/8', '1', '9/5'] -> 1 / (1/4 - (3/8 / 9/5))
[46] ['1/4', '3/8', '1', '5/2'] -> ((5/2 / 1/4) - 1) / 3/8
[47] ['1/4', '3/8', '9/8', '3'] -> ((9/8 / 3/8) + 3) / 1/4
[48] ['1/4', '3/8', '9/8', '5'] -> ((5 * 9/8) + 3/8) / 1/4
[49] ['1/4', '3/8', '7/6', '2'] -> 2 / (3/8 - (1/4 * 7/6))
[50] ['1/4', '3/8', '7/6', '8'] -> 8 / ((3/8 / 1/4) - 7/6)
[51] ['1/4', '3/8', '7/6', '9'] -> ((3/8 / 1/4) + 7/6) * 9
[52] ['1/4', '3/8', '6/5', '4'] -> 4 / (3/8 - (1/4 / 6/5))
[53] ['1/4', '3/8', '5/4', '4'] -> ((5/4 / 1/4) + 4) / 3/8
[54] ['1/4', '3/8', '5/4', '7'] -> ((5/4 * 7) + 1/4) / 3/8
[55] ['1/4', '3/8', '4/3', '6'] -> 6 / ((3/8 * 4/3) - 1/4)
[56] ['1/9', '2/5', '6/5', '5'] -> ((2/5 / 1/9) + 6/5) * 5
[57] ['1/4', '3/8', '3/2', '3'] -> ((3/2 / 1/4) + 3) / 3/8
[58] ['1/4', '3/8', '3/2', '7'] -> (7 / 1/4) - (3/2 / 3/8)
[59] ['1/4', '2/5', '3/2', '3'] -> ((3 / 2/5) - 3/2) / 1/4
[60] ['1/4', '2/5', '3/2', '6'] -> ((3/2 / 2/5) + 1/4) * 6
[61] ['1/4', '2/5', '3/2', '8'] -> ((3/2 + 8) / 2/5) + 1/4
[62] ['1/9', '2/5', '7/5', '3'] -> ((7/5 / 1/9) - 3) / 2/5
[63] ['1/4', '2/5', '8/5', '7'] -> (7 / 1/4) - (8/5 / 2/5)
[64] ['1/4', '2/5', '9/4', '6'] -> (6 / 2/5) + (9/4 / 1/4)
[65] ['1/4', '2/5', '5/2', '4'] -> ((5/2 / 2/5) - 1/4) * 4
[66] ['1/4', '2/5', '5/2', '5'] -> ((2/5 * 5/2) + 5) / 1/4
[67] ['1/4', '2/5', '5/2', '8'] -> ((2/5 / 1/4) + 8) * 5/2
[68] ['1/4', '2/5', '8/3', '4'] -> (4 / (2/5 - 1/4)) - 8/3
[69] ['1/4', '2/5', '7/2', '4'] -> (4 / 2/5) + (7/2 / 1/4)
[70] ['1/4', '2/5', '9/2', '5'] -> ((5 + 9/2) / 2/5) + 1/4
[71] ['1/4', '2/5', '9/2', '6'] -> (9/2 / (2/5 - 1/4)) - 6
[72] ['1/4', '3/7', '3/7', '5'] -> ((3/7 / 3/7) + 5) / 1/4
[73] ['1/4', '3/7', '1/2', '2'] -> 2 / ((1/4 / 3/7) - 1/2)
[74] ['1/4', '3/7', '5/8', '1'] -> 1 / (5/8 - (1/4 / 3/7))
[75] ['1/4', '2/5', '5/7', '4'] -> ((4 / 5/7) + 2/5) / 1/4
[76] ['1/4', '2/5', '3/4', '3'] -> 3 / (3/4 - (1/4 / 2/5))
[77] ['1/4', '2/5', '4/5', '4'] -> ((4/5 / 2/5) + 4) / 1/4
[78] ['1/4', '2/5', '4/5', '6'] -> 6 / ((2/5 / 4/5) - 1/4)
[79] ['1/4', '2/5', '4/5', '7'] -> ((4/5 * 7) + 2/5) / 1/4
[80] ['1/9', '2/5', '8/5', '3'] -> 8/5 / (2/5 - (1/9 * 3))
[81] ['1/4', '2/5', '5/6', '5'] -> 5 / (5/6 - (1/4 / 2/5))
[82] ['1/4', '2/5', '7/8', '9'] -> ((1/4 + 9) / 2/5) + 7/8
[83] ['1/4', '2/5', '1', '7/2'] -> ((1 / 2/5) + 7/2) / 1/4
[84] ['1/4', '2/5', '7/6', '5'] -> 2/5 / (1/4 - (7/6 / 5))
[85] ['1/4', '2/5', '7/6', '9'] -> ((7/6 / 2/5) - 1/4) * 9
[86] ['1/9', '2/5', '8/5', '6'] -> ((2/5 + 8/5) / 1/9) + 6
[87] ['1/4', '2/5', '6/5', '9'] -> (9 - (6/5 / 2/5)) / 1/4
[88] ['1/4', '2/5', '5/4', '6'] -> 6 / ((2/5 * 5/4) - 1/4)
[89] ['1/4', '2/5', '5/4', '7'] -> ((7 / 5/4) + 2/5) / 1/4
[90] ['1/4', '2/5', '5/4', '8'] -> ((8 / 5/4) - 2/5) / 1/4
[91] ['1/4', '2/5', '4/3', '5'] -> 2/5 / ((4/3 / 5) - 1/4)
