[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[2] ['2i', '2i', '4i', '4'] -> (2i - (2i * 4)) * 4i
[3] ['2i', '5i', '(1+4i)', '(6+2i)'] -> 6+2i - ((1+4i + 5i) * 2i)
[4] ['4i', '(1+4i)', '(2+2i)', '(2+2i)'] -> (4i - (1+4i * 2+2i)) * 2+2i
[5] ['4i', '(1+4i)', '(2+2i)', '(5+2i)'] -> (1+4i + 5+2i) * (2+2i - 4i)
[6] ['4i', '(1+6i)', '(3+2i)', '(3+2i)'] -> ((3+2i / 3+2i) - 1+6i) * 4i
[7] ['4i', '(1+6i)', '(3+3i)', '(3+3i)'] -> ((3+3i / 3+3i) - 1+6i) * 4i
[8] ['4i', '(1+6i)', '(3+4i)', '(3+4i)'] -> ((3+4i / 3+4i) - 1+6i) * 4i
[9] ['4i', '(1+6i)', '(3+4i)', '(6+2i)'] -> (3+4i - 1+6i) * (4i + 6+2i)
[10] ['4i', '(1+6i)', '(3+5i)', '(3+5i)'] -> ((3+5i / 3+5i) - 1+6i) * 4i
[11] ['4i', '(1+6i)', '(3+6i)', '(3+6i)'] -> ((3+6i / 3+6i) - 1+6i) * 4i
[12] ['4i', '(1+6i)', '4', '4'] -> ((4 / 4) - 1+6i) * 4i
[13] ['4i', '(1+6i)', '4', '(4+3i)'] -> (4 + 4i) * (4+3i - 1+6i)
[14] ['2i', '5i', '(1+5i)', '(4+2i)'] -> 4+2i - ((1+5i + 5i) * 2i)
[15] ['4i', '(1+6i)', '(4+i)', '(4+i)'] -> ((4+i / 4+i) - 1+6i) * 4i
[16] ['4i', '(1+6i)', '(4+2i)', '(4+2i)'] -> ((4+2i / 4+2i) - 1+6i) * 4i
[17] ['4i', '(1+6i)', '(4+3i)', '(4+3i)'] -> ((4+3i / 4+3i) - 1+6i) * 4i
[18] ['4i', '(1+6i)', '(4+4i)', '(4+4i)'] -> ((4+4i / 4+4i) - 1+6i) * 4i
[19] ['4i', '(1+6i)', '(4+5i)', '(4+5i)'] -> ((4+5i / 4+5i) - 1+6i) * 4i
[20] ['4i', '(1+6i)', '5', '5'] -> ((5 / 5) - 1+6i) * 4i
[21] ['4i', '(1+6i)', '(5+i)', '(5+i)'] -> ((5+i / 5+i) - 1+6i) * 4i
[22] ['4i', '(1+6i)', '(5+2i)', '(5+2i)'] -> ((5+2i / 5+2i) - 1+6i) * 4i
[23] ['4i', '(1+6i)', '(5+3i)', '(5+3i)'] -> ((5+3i / 5+3i) - 1+6i) * 4i
[24] ['4i', '(1+6i)', '(5+4i)', '(5+4i)'] -> ((5+4i / 5+4i) - 1+6i) * 4i
[25] ['2i', '5i', '(1+6i)', '(2+2i)'] -> 2+2i - ((1+6i + 5i) * 2i)
[26] ['4i', '(1+6i)', '6', '6'] -> ((6 / 6) - 1+6i) * 4i
[27] ['4i', '(1+6i)', '(6+i)', '(6+i)'] -> ((6+i / 6+i) - 1+6i) * 4i
[28] ['4i', '(1+6i)', '(6+2i)', '(6+2i)'] -> ((6+2i / 6+2i) - 1+6i) * 4i
[29] ['4i', '(1+6i)', '(6+3i)', '(6+3i)'] -> ((6+3i / 6+3i) - 1+6i) * 4i
[30] ['4i', '2', '2', '(6+2i)'] -> ((2 * 6+2i) - 4i) * 2
[31] ['4i', '2', '(2+i)', '(2+2i)'] -> (2 - (2+2i * 2+i)) * 4i
[32] ['4i', '2', '(2+2i)', '6'] -> ((2 * 2+2i) - 4i) * 6
[33] ['4i', '2', '(2+2i)', '(6+2i)'] -> (6+2i - (2 * 4i)) * 2+2i
[34] ['4i', '2', '(2+3i)', '4'] -> (4 - (2 * 2+3i)) * 4i
[35] ['4i', '2', '(2+4i)', '(2+5i)'] -> (2 * 2+4i) - (2+5i * 4i)
[36] ['i', '2', '(3+5i)', '(4+4i)'] -> ((3+5i / i) - 2) * 4+4i
[37] ['4i', '2', '(2+4i)', '(3+i)'] -> (2 + 2+4i) * (3+i - 4i)
[38] ['4i', '2', '(2+4i)', '(4+2i)'] -> (4+2i - (2 * 2+4i)) * 4i
[39] ['4i', '2', '(2+4i)', '(4+4i)'] -> (2 * 4+4i) - (2+4i * 4i)
[40] ['4i', '2', '(2+5i)', '(4+4i)'] -> (4+4i - (2 * 2+5i)) * 4i
[41] ['4i', '2', '(2+6i)', '(3+5i)'] -> (2 * 2+6i) - (3+5i * 4i)
[42] ['4i', '2', '(2+6i)', '(4+4i)'] -> ((2 - 4i) * 2+6i) - 4+4i
[43] ['4i', '2', '3', '(4+2i)'] -> ((2 * 4+2i) - 4i) * 3
[44] ['4i', '2', '(3+i)', '4'] -> ((3+i * 4) - 4i) * 2
[45] ['4i', '2', '(3+2i)', '4'] -> ((2 * 3+2i) - 4i) * 4
[46] ['4i', '2', '(3+2i)', '6'] -> ((6 - 4i) * 3+2i) - 2
[47] ['i', '2', '5', '(5+i)'] -> ((5 - i) * 5+i) - 2
[48] ['4i', '2', '(3+3i)', '(4+4i)'] -> (4+4i - (2 * 4i)) * 3+3i
[49] ['4i', '2', '(3+4i)', '6'] -> (2 + 6) * (3+4i - 4i)
[50] ['4i', '2', '(3+4i)', '(6+2i)'] -> (6+2i - (2 * 3+4i)) * 4i
[51] ['4i', '2', '4', '(4+i)'] -> ((2 + 4+i) * 4) - 4i
[52] ['4i', '2', '(4+2i)', '6'] -> (4+2i - (4i / 2)) * 6
[53] ['4i', '2', '(4+4i)', '(6+2i)'] -> ((6+2i / 2) - 4i) * 4+4i
[54] ['4i', '2', '(5+i)', '(5+3i)'] -> ((5+3i - 4i) * 5+i) - 2
[55] ['4i', '2', '6', '(6+i)'] -> ((6 - 2) * 6+i) - 4i
[56] ['4i', '2', '6', '(6+2i)'] -> ((6 + 6+2i) * 2) - 4i
[57] ['4i', '2', '(6+i)', '(6+i)'] -> ((6+i + 6+i) * 2) - 4i
[58] ['i', '(2+i)', '(2+3i)', '(5+4i)'] -> ((2+3i * 5+4i) + 2+i) / i
[59] ['4i', '(2+i)', '(2+2i)', '(2+2i)'] -> (2+2i - (2+i * 4i)) * 2+2i
[60] ['4i', '(2+i)', '(2+2i)', '(2+6i)'] -> ((2+2i / 2+i) - 4i) * 2+6i
[61] ['4i', '(2+i)', '(2+2i)', '(4+5i)'] -> (2+2i - 4i) * (2+i + 4+5i)
[62] ['4i', '(2+i)', '(2+3i)', '(3+i)'] -> (2+3i + 2+i) * (3+i - 4i)
[63] ['4i', '(2+i)', '(2+5i)', '(3+4i)'] -> (2+5i - (2+i * 3+4i)) * 4i
[64] ['4i', '(2+i)', '(2+5i)', '5'] -> ((5 / 2+i) - 2+5i) * 4i
[65] ['4i', '(2+i)', '(2+6i)', '(4+2i)'] -> ((4+2i / 2+i) - 2+6i) * 4i
[66] ['4i', '(2+i)', '3', '4'] -> ((2+i * 4) - 4i) * 3
[67] ['4i', '(2+i)', '(3+2i)', '(4+i)'] -> (4+i - (2+i * 3+2i)) * 4i
