[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[2] ['15', '18', '18', '19'] -> ((18 * 19) + 18) / 15
[3] ['1', '1', '14', '17'] -> (14 / (1 + 1)) + 17
[4] ['1', '1', '14', '19'] -> ((1 + 1) * 19) - 14
[5] ['2', '2', '6', '13'] -> ((13 + 2) * 2) - 6
[6] ['2', '2', '6', '15'] -> (15 - (6 / 2)) * 2
[7] ['2', '2', '7', '10'] -> ((10 / 2) + 7) * 2
[8] ['2', '2', '7', '19'] -> (19 * 2) - (2 * 7)
[9] ['2', '2', '10', '11'] -> ((11 * 2) - 10) * 2
[10] ['2', '2', '11', '11'] -> ((2 / 11) + 2) * 11
[11] ['1', '1', '15', '18'] -> (18 / (1 + 1)) + 15
[12] ['2', '2', '12', '15'] -> (15 * 2) - (12 / 2)
[13] ['2', '2', '13', '13'] -> (2 - (2 / 13)) * 13
[14] ['2', '2', '13', '14'] -> ((13 * 2) - 14) * 2
[15] ['2', '2', '15', '16'] -> ((16 + 2) / 2) + 15
[16] ['1', '1', '16', '16'] -> (16 / (1 + 1)) + 16
[17] ['2', '2', '18', '19'] -> ((19 + 2) * 2) - 18
[18] ['1', '1', '3', '5'] -> (1 + 3) * (1 + 5)
[19] ['2', '3', '4', '17'] -> ((17 - 3) * 2) - 4
[20] ['2', '3', '5', '12'] -> 12 / (3 - (5 / 2))
[21] ['2', '3', '7', '15'] -> ((15 / 3) + 7) * 2
[22] ['2', '3', '7', '19'] -> ((3 + 7) / 2) + 19
[23] ['2', '3', '8', '13'] -> ((13 + 3) * 2) - 8
[24] ['2', '3', '8', '19'] -> ((19 - 3) * 2) - 8
[25] ['2', '3', '13', '18'] -> ((13 * 2) - 18) * 3
[26] ['2', '3', '14', '17'] -> ((17 + 3) / 2) + 14
[27] ['1', '1', '3', '11'] -> (1 + 11) * (3 - 1)
[28] ['2', '2', '2', '5'] -> ((2 * 5) + 2) * 2
[29] ['2', '2', '2', '7'] -> ((2 * 7) - 2) * 2
[30] ['2', '2', '2', '9'] -> ((2 + 9) * 2) + 2
[31] ['2', '2', '2', '15'] -> ((15 - 2) * 2) - 2
[32] ['2', '2', '3', '5'] -> ((2 * 5) - 2) * 3
[33] ['2', '2', '3', '10'] -> ((10 + 3) * 2) - 2
[34] ['2', '2', '3', '15'] -> (15 * 2) - (2 * 3)
[35] ['2', '2', '4', '17'] -> ((17 - 4) * 2) - 2
[36] ['2', '2', '5', '7'] -> (2 * 5) + (2 * 7)
[37] ['2', '2', '5', '8'] -> ((5 + 8) * 2) - 2
