[1] ['1', '1', '2', '36'] -> 36 / ((1 / 2) + 1)
[2] ['1', '18', '27', '48'] -> ((27 / 18) - 1) * 48
[3] ['1', '18', '28', '39'] -> 28 / ((39 / 18) - 1)
[4] ['1', '18', '28', '49'] -> 18 / ((49 / 28) - 1)
[5] ['1', '18', '32', '42'] -> 32 / ((42 / 18) - 1)
[6] ['1', '18', '33', '48'] -> 33 / ((18 / 48) + 1)
[7] ['1', '18', '36', '36'] -> 36 / ((18 / 36) + 1)
[8] ['1', '18', '36', '45'] -> 36 / ((45 / 18) - 1)
[9] ['1', '18', '40', '48'] -> 40 / ((48 / 18) - 1)
[10] ['1', '18', '42', '42'] -> (1 - (18 / 42)) * 42
[11] ['1', '19', '19', '43'] -> ((43 / 19) - 1) * 19
[12] ['1', '15', '32', '35'] -> 32 / ((35 / 15) - 1)
[13] ['1', '15', '32', '45'] -> 32 / ((15 / 45) + 1)
[14] ['1', '15', '33', '40'] -> 33 / ((15 / 40) + 1)
[15] ['1', '15', '33', '44'] -> (1 - (15 / 33)) * 44
[16] ['1', '15', '34', '36'] -> 34 / ((15 / 36) + 1)
[17] ['1', '15', '35', '42'] -> (1 - (15 / 35)) * 42
[18] ['1', '15', '39', '39'] -> (1 - (15 / 39)) * 39
[19] ['1', '15', '40', '40'] -> 40 / ((40 / 15) - 1)
[20] ['1', '16', '16', '32'] -> ((16 / 32) + 1) * 16
[21] ['1', '16', '16', '40'] -> ((40 / 16) - 1) * 16
[22] ['1', '16', '17', '34'] -> ((17 / 34) + 1) * 16
[23] ['1', '16', '18', '30'] -> 16 / ((30 / 18) - 1)
[24] ['1', '16', '18', '36'] -> ((18 / 36) + 1) * 16
[25] ['1', '16', '18', '45'] -> ((45 / 18) - 1) * 16
[26] ['1', '16', '19', '38'] -> ((19 / 38) + 1) * 16
[27] ['1', '16', '20', '40'] -> ((20 / 40) + 1) * 16
[28] ['1', '16', '21', '35'] -> 16 / ((35 / 21) - 1)
[29] ['1', '16', '21', '42'] -> ((21 / 42) + 1) * 16
[30] ['1', '16', '22', '44'] -> ((22 / 44) + 1) * 16
[31] ['1', '16', '23', '46'] -> ((23 / 46) + 1) * 16
[32] ['1', '15', '15', '39'] -> ((39 / 15) - 1) * 15
[33] ['1', '15', '15', '40'] -> 15 / (1 - (15 / 40))
