[1] ['15', '15', '15', '23'] -> ((15 * 23) + 15) / 15
[2] ['14', '30', '34', '49'] -> ((14 * 49) + 34) / 30
[3] ['14', '30', '35', '49'] -> 30 - ((35 + 49) / 14)
[4] ['14', '30', '36', '48'] -> 30 - ((36 + 48) / 14)
[5] ['14', '30', '37', '47'] -> 30 - ((37 + 47) / 14)
[6] ['14', '30', '39', '45'] -> 30 - ((39 + 45) / 14)
[7] ['14', '30', '40', '44'] -> 30 - ((40 + 44) / 14)
[8] ['14', '30', '41', '43'] -> 30 - ((41 + 43) / 14)
[9] ['14', '30', '48', '48'] -> ((14 * 48) + 48) / 30
[10] ['14', '31', '49', '49'] -> 31 - ((49 + 49) / 14)
[11] ['15', '16', '23', '39'] -> ((15 * 23) + 39) / 16
[12] ['15', '16', '28', '36'] -> ((15 * 28) - 36) / 16
[13] ['15', '16', '36', '40'] -> (15 * 40) - (16 * 36)
[14] ['15', '16', '39', '40'] -> (16 * 39) - (15 * 40)
[15] ['15', '17', '18', '22'] -> (15 * 22) - (17 * 18)
[16] ['15', '17', '20', '20'] -> ((17 * 20) + 20) / 15
[17] ['15', '17', '33', '39'] -> (15 * 39) - (17 * 33)
[18] ['15', '17', '42', '46'] -> (17 * 42) - (15 * 46)
[19] ['15', '18', '18', '19'] -> ((18 * 19) + 18) / 15
[20] ['15', '18', '18', '21'] -> ((18 * 21) - 18) / 15
[21] ['15', '18', '19', '48'] -> ((19 - 15) * 18) - 48
[22] ['15', '18', '22', '28'] -> (15 * 28) - (18 * 22)
[23] ['15', '18', '22', '34'] -> ((15 * 34) + 18) / 22
[24] ['15', '18', '23', '26'] -> (18 * 23) - (15 * 26)
[25] ['15', '18', '23', '38'] -> ((15 * 38) - 18) / 23
[26] ['15', '18', '23', '49'] -> (23 + 49) / (18 - 15)
[27] ['15', '18', '25', '47'] -> (25 + 47) / (18 - 15)
[28] ['15', '18', '26', '42'] -> ((15 * 26) + 42) / 18
[29] ['15', '18', '27', '42'] -> ((15 * 42) + 18) / 27
[30] ['15', '18', '27', '45'] -> (27 + 45) / (18 - 15)
[31] ['15', '18', '28', '32'] -> (18 * 28) - (15 * 32)
[32] ['15', '18', '28', '44'] -> (28 + 44) / (18 - 15)
[33] ['15', '18', '28', '46'] -> ((15 * 46) - 18) / 28
[34] ['15', '18', '29', '43'] -> (29 + 43) / (18 - 15)
[35] ['15', '18', '30', '42'] -> (30 + 42) / (18 - 15)
[36] ['15', '18', '31', '41'] -> (31 + 41) / (18 - 15)
[37] ['15', '18', '32', '48'] -> ((15 * 32) - 48) / 18
[38] ['15', '18', '33', '38'] -> (18 * 33) - (15 * 38)
[39] ['15', '18', '33', '39'] -> (33 + 39) / (18 - 15)
[40] ['15', '18', '34', '38'] -> (34 + 38) / (18 - 15)
