[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[2] ['1', '1', '2', '36'] -> 36 / ((1 / 2) + 1)
[3] ['1', '2', '7', '45'] -> 45 - ((1 + 2) * 7)
[4] ['1', '18', '27', '48'] -> ((27 / 18) - 1) * 48
[5] ['14', '42', '46', '47'] -> ((47 - 42) * 14) - 46
[6] ['14', '43', '46', '48'] -> ((48 - 43) * 14) - 46
[7] ['14', '44', '46', '49'] -> ((49 - 44) * 14) - 46
[8] ['15', '15', '15', '22'] -> ((15 + 15) / 15) + 22
[9] ['15', '15', '15', '23'] -> ((15 * 23) + 15) / 15
[10] ['15', '15', '15', '26'] -> 26 - ((15 + 15) / 15)
[11] ['15', '15', '17', '33'] -> (15 + 33) / (17 - 15)
[12] ['14', '29', '29', '41'] -> 29 - ((29 + 41) / 14)
[13] ['14', '29', '30', '40'] -> 29 - ((30 + 40) / 14)
[14] ['14', '29', '31', '34'] -> (14 + 34) / (31 - 29)
[15] ['1', '18', '28', '39'] -> 28 / ((39 / 18) - 1)
[16] ['14', '29', '31', '39'] -> 29 - ((31 + 39) / 14)
[17] ['14', '29', '32', '33'] -> ((33 - 29) * 14) - 32
[18] ['14', '29', '32', '38'] -> 29 - ((32 + 38) / 14)
[19] ['14', '29', '33', '37'] -> 29 - ((33 + 37) / 14)
[20] ['14', '29', '34', '36'] -> 29 - ((34 + 36) / 14)
[21] ['14', '29', '34', '46'] -> ((34 - 29) * 14) - 46
[22] ['14', '29', '35', '35'] -> 29 - ((35 + 35) / 14)
[23] ['14', '30', '34', '49'] -> ((14 * 49) + 34) / 30
[24] ['14', '30', '35', '46'] -> ((35 - 30) * 14) - 46
[25] ['14', '30', '35', '49'] -> 30 - ((35 + 49) / 14)
[26] ['1', '18', '28', '49'] -> 18 / ((49 / 28) - 1)
[27] ['14', '30', '36', '48'] -> 30 - ((36 + 48) / 14)
[28] ['14', '30', '37', '47'] -> 30 - ((37 + 47) / 14)
[29] ['14', '30', '39', '45'] -> 30 - ((39 + 45) / 14)
[30] ['14', '30', '40', '44'] -> 30 - ((40 + 44) / 14)
[31] ['14', '30', '41', '43'] -> 30 - ((41 + 43) / 14)
[32] ['14', '30', '48', '48'] -> ((14 * 48) + 48) / 30
[33] ['14', '31', '32', '35'] -> ((35 - 31) * 14) - 32
[34] ['14', '31', '33', '34'] -> (14 + 34) / (33 - 31)
[35] ['14', '31', '36', '46'] -> ((36 - 31) * 14) - 46
[36] ['14', '31', '49', '49'] -> 31 - ((49 + 49) / 14)
[37] ['1', '18', '32', '42'] -> 32 / ((42 / 18) - 1)
[38] ['14', '32', '32', '36'] -> ((36 - 32) * 14) - 32
[39] ['14', '32', '34', '34'] -> (14 + 34) / (34 - 32)
[40] ['14', '32', '34', '38'] -> ((38 - 34) * 14) - 32
[41] ['14', '32', '35', '39'] -> ((39 - 35) * 14) - 32
[42] ['14', '32', '37', '41'] -> ((41 - 37) * 14) - 32
[43] ['14', '32', '37', '46'] -> ((37 - 32) * 14) - 46
[44] ['14', '32', '38', '42'] -> ((42 - 38) * 14) - 32
[45] ['14', '32', '39', '43'] -> ((43 - 39) * 14) - 32
[46] ['14', '32', '41', '45'] -> ((45 - 41) * 14) - 32
[47] ['14', '32', '42', '46'] -> ((46 - 42) * 14) - 32
[48] ['1', '18', '33', '48'] -> 33 / ((18 / 48) + 1)
[49] ['14', '32', '43', '47'] -> ((47 - 43) * 14) - 32
[50] ['14', '32', '45', '49'] -> ((49 - 45) * 14) - 32
[51] ['14', '33', '34', '35'] -> (14 + 34) / (35 - 33)
[52] ['14', '33', '38', '46'] -> ((38 - 33) * 14) - 46
[53] ['14', '34', '34', '36'] -> (14 + 34) / (36 - 34)
[54] ['14', '34', '36', '38'] -> (14 + 34) / (38 - 36)
[55] ['14', '34', '37', '39'] -> (14 + 34) / (39 - 37)
[56] ['14', '34', '39', '41'] -> (14 + 34) / (41 - 39)
[57] ['14', '34', '39', '46'] -> ((39 - 34) * 14) - 46
[58] ['14', '34', '40', '42'] -> (14 + 34) / (42 - 40)
[59] ['1', '18', '36', '36'] -> 36 / ((18 / 36) + 1)
[60] ['14', '34', '41', '43'] -> (14 + 34) / (43 - 41)
[61] ['14', '34', '42', '44'] -> (14 + 34) / (44 - 42)
[62] ['14', '34', '43', '45'] -> (14 + 34) / (45 - 43)
[63] ['14', '34', '44', '46'] -> (14 + 34) / (46 - 44)
[64] ['14', '34', '45', '47'] -> (14 + 34) / (47 - 45)
[65] ['14', '34', '47', '49'] -> (14 + 34) / (49 - 47)
[66] ['14', '35', '40', '46'] -> ((40 - 35) * 14) - 46
[67] ['14', '36', '41', '46'] -> ((41 - 36) * 14) - 46
[68] ['15', '16', '17', '20'] -> ((17 - 15) * 20) - 16
[69] ['15', '16', '17', '22'] -> ((15 + 17) / 16) + 22
[70] ['1', '18', '36', '45'] -> 36 / ((45 / 18) - 1)
[71] ['15', '16', '17', '26'] -> 26 - ((15 + 17) / 16)
[72] ['15', '16', '18', '33'] -> (15 + 33) / (18 - 16)
[73] ['15', '16', '19', '40'] -> ((19 - 15) * 16) - 40
[74] ['15', '16', '20', '49'] -> ((15 + 49) / 16) + 20
[75] ['15', '16', '21', '33'] -> ((15 + 33) / 16) + 21
[76] ['15', '16', '23', '39'] -> ((15 * 23) + 39) / 16
[77] ['15', '16', '27', '29'] -> 27 - ((16 + 29) / 15)
[78] ['15', '16', '28', '36'] -> ((15 * 28) - 36) / 16
[79] ['15', '16', '28', '44'] -> 28 - ((16 + 44) / 15)
[80] ['15', '16', '28', '49'] -> 28 - ((15 + 49) / 16)
[81] ['1', '18', '40', '48'] -> 40 / ((48 / 18) - 1)
[82] ['15', '16', '36', '40'] -> (15 * 40) - (16 * 36)
[83] ['15', '16', '39', '40'] -> (16 * 39) - (15 * 40)
[84] ['15', '17', '17', '31'] -> (17 + 31) / (17 - 15)
[85] ['15', '17', '18', '22'] -> (15 * 22) - (17 * 18)
[86] ['15', '17', '18', '27'] -> ((18 - 15) * 17) - 27
[87] ['15', '17', '19', '22'] -> ((15 + 19) / 17) + 22
[88] ['15', '17', '19', '26'] -> 26 - ((15 + 19) / 17)
[89] ['15', '17', '19', '29'] -> (19 + 29) / (17 - 15)
[90] ['15', '17', '19', '33'] -> (15 + 33) / (19 - 17)
[91] ['15', '17', '19', '44'] -> ((19 - 15) * 17) - 44
[92] ['1', '18', '42', '42'] -> (1 - (18 / 42)) * 42
[93] ['15', '17', '20', '20'] -> ((17 * 20) + 20) / 15
[94] ['15', '17', '20', '21'] -> ((20 - 17) * 15) - 21
[95] ['15', '17', '20', '22'] -> ((17 - 15) * 22) - 20
[96] ['15', '17', '20', '43'] -> ((17 + 43) / 15) + 20
[97] ['15', '17', '21', '27'] -> (21 + 27) / (17 - 15)
[98] ['15', '17', '22', '23'] -> ((17 - 15) * 23) - 22
[99] ['15', '17', '22', '26'] -> (22 + 26) / (17 - 15)
[100] ['15', '17', '25', '26'] -> ((17 - 15) * 25) - 26
[101] ['15', '17', '26', '28'] -> ((17 - 15) * 26) - 28
[102] ['15', '17', '27', '28'] -> 27 - ((17 + 28) / 15)
[103] ['1', '19', '19', '43'] -> ((43 / 19) - 1) * 19
[104] ['15', '17', '27', '30'] -> ((17 - 15) * 27) - 30
[105] ['15', '17', '28', '32'] -> ((17 - 15) * 28) - 32
[106] ['15', '17', '28', '43'] -> 28 - ((17 + 43) / 15)
[107] ['15', '17', '29', '34'] -> ((17 - 15) * 29) - 34
[108] ['15', '17', '30', '36'] -> ((17 - 15) * 30) - 36
[109] ['15', '17', '31', '38'] -> ((17 - 15) * 31) - 38
[110] ['15', '17', '33', '39'] -> (15 * 39) - (17 * 33)
[111] ['15', '17', '33', '42'] -> ((17 - 15) * 33) - 42
[112] ['15', '17', '34', '44'] -> ((17 - 15) * 34) - 44
[113] ['15', '17', '35', '46'] -> ((17 - 15) * 35) - 46
[114] ['1', '1', '12', '30'] -> 30 - (12 / (1 + 1))
[115] ['1', '19', '19', '48'] -> 48 / ((19 / 19) + 1)
[116] ['15', '17', '42', '46'] -> (17 * 42) - (15 * 46)
[117] ['15', '18', '18', '19'] -> ((18 * 19) + 18) / 15
[118] ['15', '18', '18', '21'] -> ((18 * 21) - 18) / 15
[119] ['15', '18', '19', '33'] -> ((18 - 15) * 19) - 33
[120] ['15', '18', '19', '48'] -> ((19 - 15) * 18) - 48
[121] ['15', '18', '20', '33'] -> (15 + 33) / (20 - 18)
[122] ['15', '18', '20', '42'] -> ((18 + 42) / 15) + 20
[123] ['15', '18', '21', '26'] -> 26 - ((15 + 21) / 18)
[124] ['15', '18', '22', '28'] -> (15 * 28) - (18 * 22)
[125] ['15', '18', '22', '34'] -> ((15 * 34) + 18) / 22
[126] ['1', '19', '21', '47'] -> (1 + 47) / (21 - 19)
[127] ['15', '18', '23', '26'] -> (18 * 23) - (15 * 26)
[128] ['15', '18', '23', '38'] -> ((15 * 38) - 18) / 23
[129] ['15', '18', '23', '49'] -> (23 + 49) / (18 - 15)
[130] ['15', '18', '25', '47'] -> (25 + 47) / (18 - 15)
[131] ['15', '18', '26', '42'] -> ((15 * 26) + 42) / 18
[132] ['15', '18', '27', '39'] -> 27 - ((15 + 39) / 18)
[133] ['15', '18', '27', '42'] -> ((15 * 42) + 18) / 27
[134] ['15', '18', '27', '45'] -> (27 + 45) / (18 - 15)
[135] ['15', '18', '28', '32'] -> (18 * 28) - (15 * 32)
[136] ['15', '18', '28', '42'] -> 28 - ((18 + 42) / 15)
[137] ['1', '19', '22', '37'] -> ((1 + 37) / 19) + 22
[138] ['15', '18', '28', '44'] -> (28 + 44) / (18 - 15)
[139] ['15', '18', '28', '46'] -> ((15 * 46) - 18) / 28
[140] ['15', '18', '29', '43'] -> (29 + 43) / (18 - 15)
[141] ['15', '18', '30', '42'] -> (30 + 42) / (18 - 15)
[142] ['15', '18', '31', '41'] -> (31 + 41) / (18 - 15)
[143] ['15', '18', '32', '48'] -> ((15 * 32) - 48) / 18
[144] ['15', '18', '33', '38'] -> (18 * 33) - (15 * 38)
[145] ['15', '18', '33', '39'] -> (33 + 39) / (18 - 15)
[146] ['15', '18', '34', '38'] -> (34 + 38) / (18 - 15)
[147] ['15', '18', '38', '44'] -> (18 * 38) - (15 * 44)
[148] ['1', '19', '22', '40'] -> (40 / (1 + 19)) + 22
[149] ['15', '18', '42', '48'] -> ((42 + 48) / 15) + 18
[150] ['15', '18', '43', '47'] -> ((43 + 47) / 15) + 18
[151] ['15', '19', '20', '20'] -> ((19 * 20) - 20) / 15
[152] ['15', '19', '20', '41'] -> ((19 + 41) / 15) + 20
[153] ['15', '19', '21', '21'] -> ((21 * 21) + 15) / 19
[154] ['15', '19', '21', '22'] -> ((22 - 19) * 15) - 21
[155] ['15', '19', '21', '26'] -> ((19 + 26) / 15) + 21
[156] ['15', '19', '21', '29'] -> ((15 * 29) + 21) / 19
[157] ['15', '19', '21', '33'] -> (15 + 33) / (21 - 19)
[158] ['15', '19', '21', '39'] -> ((19 * 21) - 39) / 15
[159] ['1', '15', '32', '35'] -> 32 / ((35 / 15) - 1)
[160] ['15', '19', '21', '42'] -> ((15 + 42) / 19) + 21
[161] ['15', '19', '26', '27'] -> 27 - ((19 + 26) / 15)
[162] ['15', '19', '27', '42'] -> 27 - ((15 + 42) / 19)
[163] ['15', '19', '27', '48'] -> ((27 + 48) / 15) + 19
[164] ['15', '19', '28', '36'] -> ((15 * 28) + 36) / 19
[165] ['15', '19', '28', '41'] -> 28 - ((19 + 41) / 15)
[166] ['15', '19', '28', '47'] -> ((28 + 47) / 15) + 19
[167] ['16', '16', '16', '22'] -> ((16 + 16) / 16) + 22
[168] ['16', '16', '16', '23'] -> ((16 * 23) + 16) / 16
[169] ['16', '16', '16', '25'] -> ((16 * 25) - 16) / 16
[170] ['1', '15', '32', '45'] -> 32 / ((15 / 45) + 1)
[171] ['16', '16', '16', '26'] -> 26 - ((16 + 16) / 16)
[172] ['16', '16', '20', '29'] -> ((16 * 29) + 16) / 20
[173] ['16', '16', '20', '31'] -> ((16 * 31) - 16) / 20
[174] ['16', '16', '20', '48'] -> ((16 + 48) / 16) + 20
[175] ['16', '16', '21', '32'] -> ((16 + 32) / 16) + 21
[176] ['16', '16', '21', '48'] -> ((16 * 21) + 48) / 16
[177] ['16', '16', '26', '32'] -> ((16 * 26) - 32) / 16
[178] ['16', '16', '26', '38'] -> ((16 * 38) + 16) / 26
[179] ['16', '16', '26', '40'] -> ((16 * 40) - 16) / 26
[180] ['15', '20', '35', '45'] -> ((15 * 35) - 45) / 20
[181] ['1', '15', '33', '40'] -> 33 / ((15 / 40) + 1)
[182] ['15', '21', '21', '31'] -> (15 * 31) - (21 * 21)
[183] ['15', '21', '21', '35'] -> ((15 * 35) - 21) / 21
[184] ['15', '21', '21', '48'] -> ((15 + 48) / 21) + 21
[185] ['15', '21', '22', '23'] -> ((22 + 23) / 15) + 21
[186] ['15', '21', '22', '25'] -> ((25 - 22) * 15) - 21
[187] ['15', '21', '23', '26'] -> ((26 - 23) * 15) - 21
[188] ['15', '21', '23', '33'] -> (15 + 33) / (23 - 21)
[189] ['15', '21', '25', '28'] -> ((28 - 25) * 15) - 21
[190] ['15', '21', '26', '43'] -> ((15 * 43) - 21) / 26
[191] ['15', '21', '28', '31'] -> ((31 - 28) * 15) - 21
[192] ['1', '15', '33', '44'] -> (1 - (15 / 33)) * 44
[193] ['15', '21', '29', '32'] -> ((32 - 29) * 15) - 21
[194] ['15', '21', '29', '39'] -> (21 * 29) - (15 * 39)
[195] ['15', '21', '31', '34'] -> ((34 - 31) * 15) - 21
[196] ['15', '21', '31', '39'] -> ((15 * 31) + 39) / 21
[197] ['15', '21', '32', '35'] -> ((35 - 32) * 15) - 21
[198] ['15', '21', '33', '36'] -> ((36 - 33) * 15) - 21
[199] ['15', '21', '34', '37'] -> ((37 - 34) * 15) - 21
[200] ['15', '23', '25', '33'] -> (15 + 33) / (25 - 23)
[201] ['15', '23', '26', '31'] -> 26 - ((15 + 31) / 23)
[202] ['15', '23', '28', '37'] -> 28 - ((23 + 37) / 15)
[203] ['1', '15', '34', '36'] -> 34 / ((15 / 36) + 1)
[204] ['15', '23', '31', '33'] -> ((23 * 33) - 15) / 31
[205] ['15', '23', '33', '39'] -> ((15 * 39) - 33) / 23
[206] ['15', '23', '34', '42'] -> ((15 * 34) + 42) / 23
[207] ['15', '23', '38', '39'] -> ((23 * 39) + 15) / 38
[208] ['15', '19', '29', '46'] -> ((29 + 46) / 15) + 19
[209] ['15', '19', '31', '44'] -> ((31 + 44) / 15) + 19
[210] ['15', '19', '32', '43'] -> ((32 + 43) / 15) + 19
[211] ['15', '19', '33', '42'] -> ((33 + 42) / 15) + 19
[212] ['15', '19', '34', '41'] -> ((34 + 41) / 15) + 19
