[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[2] ['2', '2', '7', '10'] -> ((10 / 2) + 7) * 2
[3] ['2', '2', '10', '11'] -> ((11 * 2) - 10) * 2
[4] ['2', '2', '11', '11'] -> ((2 / 11) + 2) * 11
[5] ['1', '1', '3', '5'] -> (1 + 3) * (1 + 5)
[6] ['2', '3', '5', '12'] -> 12 / (3 - (5 / 2))
[7] ['1', '1', '3', '11'] -> (1 + 11) * (3 - 1)
[8] ['2', '2', '2', '5'] -> ((2 * 5) + 2) * 2
[9] ['2', '2', '2', '7'] -> ((2 * 7) - 2) * 2
[10] ['2', '2', '2', '9'] -> ((2 + 9) * 2) + 2
[11] ['2', '2', '3', '5'] -> ((2 * 5) - 2) * 3
[12] ['2', '2', '3', '10'] -> ((10 + 3) * 2) - 2
[13] ['2', '2', '5', '7'] -> (2 * 5) + (2 * 7)
[14] ['2', '2', '5', '8'] -> ((5 + 8) * 2) - 2
[15] ['2', '4', '4', '9'] -> ((9 - 2) * 4) - 4
[16] ['2', '4', '5', '5'] -> ((5 + 5) * 2) + 4
[17] ['2', '4', '7', '7'] -> ((7 + 7) * 2) - 4
[18] ['2', '4', '10', '10'] -> ((4 / 10) + 2) * 10
[19] ['2', '4', '11', '12'] -> ((11 - 2) * 4) - 12
[20] ['1', '2', '9', '11'] -> ((1 + 2) * 11) - 9
[21] ['2', '5', '5', '8'] -> ((5 / 5) + 2) * 8
[22] ['2', '5', '5', '10'] -> (5 - (2 / 10)) * 5
[23] ['2', '5', '7', '8'] -> ((2 * 5) - 7) * 8
[24] ['2', '6', '6', '11'] -> ((6 / 6) + 11) * 2
[25] ['2', '7', '7', '10'] -> ((10 / 7) + 2) * 7
[26] ['2', '7', '8', '9'] -> ((7 + 9) * 2) - 8
[27] ['2', '8', '8', '11'] -> ((8 / 8) + 11) * 2
[28] ['2', '8', '11', '11'] -> ((11 / 11) + 2) * 8
[29] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11)
[30] ['1', '1', '4', '10'] -> ((1 + 1) * 10) + 4
[31] ['1', '4', '6', '10'] -> ((4 - 1) * 10) - 6
[32] ['1', '4', '7', '7'] -> (1 + 7) * (7 - 4)
[33] ['1', '4', '7', '11'] -> ((1 + 4) * 7) - 11
