[1] ['1', '1', '1', '4'] -> (1 + 1) / (1 + 4) mod 59
[2] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) mod 59
[3] ['1', '1', '1', '17'] -> 1 + (1 / (1 + 17)) mod 59
[4] ['1', '1', '1', '46'] -> 1 + (46 / (1 + 1)) mod 59
[5] ['1', '1', '1', '47'] -> (1 + 47) / (1 + 1) mod 59
[6] ['1', '1', '1', '49'] -> (49 - 1) / (1 + 1) mod 59
[7] ['1', '1', '1', '50'] -> (50 / (1 + 1)) - 1 mod 59
[8] ['1', '1', '1', '52'] -> ((1 + 1) / 52) - 1 mod 59
[9] ['1', '1', '1', '53'] -> 53 + (1 / (1 + 1)) mod 59
[10] ['1', '1', '1', '54'] -> 54 - (1 / (1 + 1)) mod 59
[11] ['1', '1', '1', '55'] -> (1 + 1) / (1 - 55) mod 59
[12] ['1', '1', '2', '2'] -> 1 / (2 + (1 / 2)) mod 59
[13] ['1', '1', '2', '40'] -> 1 + (2 * (1 + 40)) mod 59
[14] ['1', '1', '25', '42'] -> 1 / (25 - (1 / 42)) mod 59
[15] ['1', '1', '27', '41'] -> 1 / (1 - (27 / 41)) mod 59
[16] ['1', '1', '28', '29'] -> 28 + ((1 + 1) / 29) mod 59
[17] ['1', '1', '28', '30'] -> 28 - ((1 + 1) / 30) mod 59
[18] ['1', '1', '29', '31'] -> ((1 + 1) / 29) - 31 mod 59
[19] ['1', '1', '30', '30'] -> 1 / (30 + (1 / 30)) mod 59
[20] ['1', '1', '30', '33'] -> (1 / (30 - 1)) - 33 mod 59
[21] ['1', '1', '30', '40'] -> 1 + ((1 + 40) / 30) mod 59
[22] ['1', '1', '31', '31'] -> 1 - (31 / (1 + 31)) mod 59
[23] ['1', '1', '48', '49'] -> (1 / (1 + 49)) - 48 mod 59
[24] ['1', '2', '2', '58'] -> 1 / (2 - (58 / 2)) mod 59
[25] ['1', '3', '28', '28'] -> 28 * (3 - (1 / 28)) mod 59
[26] ['1', '5', '34', '34'] -> (1 + (34 / 34)) / 5 mod 59
[27] ['1', '6', '34', '34'] -> 34 / ((6 * 34) - 1) mod 59
[28] ['1', '11', '11', '11'] -> 11 / (1 - (11 * 11)) mod 59
[29] ['1', '19', '19', '19'] -> (1 - 19) * (19 + 19) mod 59
[30] ['1', '20', '20', '20'] -> 20 + ((1 + 20) / 20) mod 59
[31] ['1', '25', '25', '54'] -> 1 / (25 - (25 * 54)) mod 59
