[1] ['1', '1', '1', '1'] -> 1 / (1 + 1 + 1) mod 71
[2] ['1', '1', '1', '59'] -> (1 / (1 + 1)) + 59 mod 71
[3] ['1', '27', '27', '27'] -> ((1 + 27) / 27) - 27 mod 71
[4] ['1', '28', '59', '59'] -> (1 / 59) + (59 / 28) mod 71
[5] ['1', '29', '29', '66'] -> ((66 / 29) + 1) * 29 mod 71
[6] ['1', '29', '48', '70'] -> (1 - 70) / (29 + 48) mod 71
[7] ['1', '29', '61', '61'] -> ((29 + 61) * 61) + 1 mod 71
[8] ['1', '32', '32', '70'] -> (1 + 32) * (32 - 70) mod 71
[9] ['1', '33', '35', '35'] -> ((1 / 35) + 35) * 33 mod 71
[10] ['1', '35', '35', '35'] -> 35 / ((1 / 35) - 35) mod 71
[11] ['1', '35', '67', '70'] -> 1 / ((35 * 67) - 70) mod 71
[12] ['1', '36', '36', '36'] -> 36 / ((1 / 36) - 36) mod 71
[13] ['1', '1', '1', '66'] -> (1 + 1) / (1 - 66) mod 71
[14] ['1', '36', '36', '38'] -> ((1 / 36) + 36) * 38 mod 71
[15] ['1', '36', '67', '70'] -> 70 / ((36 * 67) - 1) mod 71
[16] ['1', '39', '39', '39'] -> (39 / (1 + 39)) + 39 mod 71
[17] ['1', '39', '39', '70'] -> (39 + 70) * (39 - 1) mod 71
[18] ['1', '40', '40', '40'] -> ((40 * 40) - 1) / 40 mod 71
[19] ['1', '43', '43', '43'] -> 43 - (1 / (43 + 43)) mod 71
[20] ['1', '45', '54', '54'] -> 54 / (45 - (1 / 54)) mod 71
[21] ['1', '48', '48', '66'] -> ((1 + 48) / 66) + 48 mod 71
[22] ['1', '56', '69', '70'] -> (1 / (56 + 69)) + 70 mod 71
[23] ['1', '57', '68', '70'] -> (1 / (57 + 68)) + 70 mod 71
[24] ['1', '1', '2', '19'] -> (1 / (2 - 19)) - 1 mod 71
[25] ['1', '60', '61', '61'] -> (1 - (61 * 61)) * 60 mod 71
[26] ['1', '61', '61', '61'] -> (61 + 61) / (1 - 61) mod 71
[27] ['1', '62', '62', '63'] -> (63 / (62 - 1)) - 62 mod 71
