[1] ['1', '1', '1', '7'] -> (1 + 1) / (1 - 7) mod 73
[2] ['1', '1', '1', '61'] -> 61 - (1 / (1 + 1)) mod 73
[3] ['1', '21', '50', '50'] -> 1 / ((50 * 50) - 21) mod 73
[4] ['1', '24', '34', '64'] -> ((1 - 64) * 34) - 24 mod 73
[5] ['1', '25', '53', '72'] -> (1 / 53) + (72 / 25) mod 73
[6] ['1', '27', '47', '47'] -> ((47 / 27) - 1) * 47 mod 73
[7] ['1', '32', '39', '39'] -> 1 / (39 - (32 / 39)) mod 73
[8] ['1', '33', '33', '34'] -> 33 / (1 - (33 * 34)) mod 73
[9] ['1', '33', '61', '61'] -> (61 - 33) / (1 + 61) mod 73
[10] ['1', '34', '34', '34'] -> (1 - (34 * 34)) / 34 mod 73
[11] ['1', '35', '37', '37'] -> ((1 / 35) + 37) / 37 mod 73
[12] ['1', '36', '36', '36'] -> 36 / (36 - (1 / 36)) mod 73
[13] ['1', '1', '1', '62'] -> (1 + 1) * (1 - 62) mod 73
[14] ['1', '37', '37', '37'] -> 37 / (37 - (1 / 37)) mod 73
[15] ['1', '39', '39', '39'] -> ((39 * 39) - 1) / 39 mod 73
[16] ['1', '42', '58', '58'] -> (1 + 42) * (58 + 58) mod 73
[17] ['1', '44', '44', '66'] -> 1 - ((44 + 44) / 66) mod 73
[18] ['1', '46', '46', '60'] -> (46 + 60) / (1 + 46) mod 73
[19] ['1', '46', '46', '72'] -> (72 / (46 + 46)) + 1 mod 73
[20] ['1', '49', '49', '52'] -> (1 - (49 * 52)) / 49 mod 73
[21] ['1', '50', '50', '72'] -> ((1 / 50) + 72) * 50 mod 73
[22] ['1', '50', '61', '72'] -> (1 / (50 + 61)) + 72 mod 73
[23] ['1', '52', '65', '65'] -> 52 / ((65 * 65) - 1) mod 73
[24] ['1', '1', '1', '64'] -> (1 + 1 + 1) / 64 mod 73
[25] ['1', '58', '58', '58'] -> ((58 * 58) - 1) / 58 mod 73
[26] ['1', '59', '69', '69'] -> (69 / 59) - (1 / 69) mod 73
[27] ['1', '64', '64', '65'] -> (64 + 65) * (64 - 1) mod 73
[28] ['1', '65', '65', '65'] -> 65 - (1 / (65 + 65)) mod 73
[29] ['2', '2', '2', '9'] -> ((2 + 9) * 2) + 2 mod 73
[30] ['2', '2', '2', '20'] -> ((20 / 2) + 2) * 2 mod 73
[31] ['2', '2', '2', '28'] -> ((28 / 2) - 2) * 2 mod 73
[32] ['2', '2', '2', '36'] -> 2 / ((2 / 36) - 2) mod 73
[33] ['2', '2', '2', '53'] -> (2 - (53 / 2)) * 2 mod 73
