[1] ['1', '1', '1', '8'] -> 8 * (1 + (1 + 1)) mod 89
[2] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) mod 89
[3] ['1', '1', '1', '30'] -> 1 + (1 / (1 + 30)) mod 89
[4] ['1', '1', '1', '38'] -> (1 + 1) / (1 - 38) mod 89
[5] ['1', '1', '1', '42'] -> (1 - 42) / (1 + 1) mod 89
[6] ['1', '1', '1', '43'] -> 1 - (43 / (1 + 1)) mod 89
[7] ['1', '1', '1', '46'] -> 1 + (46 / (1 + 1)) mod 89
[8] ['1', '1', '1', '47'] -> (1 + 47) / (1 + 1) mod 89
[9] ['1', '1', '1', '49'] -> (49 - 1) / (1 + 1) mod 89
[10] ['1', '1', '1', '50'] -> (50 / (1 + 1)) - 1 mod 89
[11] ['1', '1', '1', '51'] -> (1 + 1) / (1 + 51) mod 89
[12] ['1', '1', '1', '53'] -> (1 + 1) / (53 - 1) mod 89
[13] ['1', '1', '1', '62'] -> 1 + ((1 + 1) / 62) mod 89
[14] ['1', '1', '1', '69'] -> 69 - (1 / (1 + 1)) mod 89
[15] ['1', '1', '1', '72'] -> 72 / (1 + (1 + 1)) mod 89
[16] ['1', '1', '2', '3'] -> 2 - (1 / (1 + 3)) mod 89
[17] ['1', '1', '2', '9'] -> (1 + 2) * (9 - 1) mod 89
[18] ['1', '1', '2', '16'] -> 16 * (1 + (1 / 2)) mod 89
[19] ['1', '1', '2', '18'] -> (1 - 18) / (1 + 2) mod 89
[20] ['1', '1', '2', '19'] -> 1 / ((1 / 2) - 19) mod 89
[21] ['1', '1', '2', '35'] -> 1 / ((1 / 35) - 2) mod 89
[22] ['1', '1', '2', '59'] -> (1 / (59 - 2)) - 1 mod 89
[23] ['1', '1', '2', '61'] -> 1 + (2 / (1 + 61)) mod 89
[24] ['1', '1', '2', '75'] -> (75 / (1 + 2)) - 1 mod 89
[25] ['1', '1', '2', '76'] -> ((1 / 2) - 1) / 76 mod 89
[26] ['1', '1', '2', '83'] -> 83 + (1 / (1 + 2)) mod 89
[27] ['1', '1', '2', '84'] -> 2 + (1 / (1 + 84)) mod 89
[28] ['1', '1', '3', '3'] -> 1 + (3 / (1 + 3)) mod 89
[29] ['1', '1', '3', '44'] -> (3 - 44) / (1 + 1) mod 89
[30] ['1', '1', '3', '45'] -> (3 + 45) / (1 + 1) mod 89
[31] ['1', '1', '3', '60'] -> (1 / (60 - 3)) - 1 mod 89
[32] ['1', '1', '4', '25'] -> ((1 / 4) - 1) / 25 mod 89
[33] ['1', '1', '4', '38'] -> (38 * (4 - 1)) - 1 mod 89
[34] ['1', '1', '4', '57'] -> 57 * ((1 / 4) - 1) mod 89
[35] ['1', '1', '4', '58'] -> 1 + (58 * (1 + 4)) mod 89
[36] ['1', '1', '4', '64'] -> (1 - (1 / 4)) / 64 mod 89
[37] ['1', '1', '5', '9'] -> 9 + (1 / (1 + 5)) mod 89
[38] ['1', '1', '5', '12'] -> ((1 + 1) / 5) - 12 mod 89
[39] ['1', '1', '5', '25'] -> 1 + ((1 + 25) / 5) mod 89
[40] ['1', '1', '5', '56'] -> (56 - 1) / (1 + 5) mod 89
[41] ['1', '1', '5', '80'] -> (1 / (1 + 5)) - 80 mod 89
[42] ['1', '1', '5', '85'] -> (5 * (1 - 85)) - 1 mod 89
[43] ['1', '1', '5', '87'] -> (1 / (1 - 5)) - 87 mod 89
[44] ['1', '1', '6', '25'] -> 1 + (1 / (6 + 25)) mod 89
[45] ['1', '1', '6', '52'] -> 1 - (1 / (6 + 52)) mod 89
[46] ['1', '1', '7', '25'] -> 1 / ((1 / 7) - 25) mod 89
[47] ['1', '1', '7', '36'] -> 7 - (36 * (1 + 1)) mod 89
[48] ['1', '1', '7', '37'] -> 37 - ((1 + 1) / 7) mod 89
[49] ['1', '1', '7', '83'] -> 1 - (83 / (1 + 7)) mod 89
[50] ['1', '1', '8', '26'] -> (1 / (1 - 26)) - 8 mod 89
[51] ['1', '1', '8', '41'] -> (1 - (1 / 41)) / 8 mod 89
[52] ['1', '1', '8', '47'] -> (47 / (1 + 8)) - 1 mod 89
[53] ['1', '1', '9', '26'] -> (1 / (1 + 26)) - 9 mod 89
[54] ['1', '1', '9', '41'] -> (1 / (9 - 41)) - 1 mod 89
[55] ['1', '1', '9', '44'] -> 44 - ((1 + 1) / 9) mod 89
[56] ['1', '1', '9', '49'] -> 1 - (1 / (9 + 49)) mod 89
[57] ['1', '1', '10', '11'] -> 10 / (1 + (1 / 11)) mod 89
[58] ['1', '1', '10', '22'] -> (1 + 1) * (22 - 10) mod 89
[59] ['1', '1', '10', '26'] -> (1 - 10) * (1 + 26) mod 89
[60] ['1', '1', '10', '58'] -> (58 - 10) / (1 + 1) mod 89
[61] ['1', '1', '10', '78'] -> 10 / (1 - (1 / 78)) mod 89
[62] ['1', '1', '11', '30'] -> 1 / ((30 / 11) - 1) mod 89
[63] ['1', '1', '11', '66'] -> (11 * (1 + 66)) - 1 mod 89
[64] ['1', '1', '11', '80'] -> 1 - (80 / (1 + 11)) mod 89
[65] ['1', '1', '12', '56'] -> 1 / (1 - (56 / 12)) mod 89
[66] ['1', '1', '12', '58'] -> (58 / (1 + 12)) - 1 mod 89
[67] ['1', '1', '12', '63'] -> 1 / (63 + (1 / 12)) mod 89
[68] ['1', '1', '12', '64'] -> (1 + 1) / (64 - 12) mod 89
[69] ['1', '1', '13', '15'] -> 13 * (1 - (1 / 15)) mod 89
[70] ['1', '1', '13', '27'] -> (13 / (1 + 1)) - 27 mod 89
[71] ['1', '1', '13', '30'] -> (13 / (30 - 1)) - 1 mod 89
[72] ['1', '1', '13', '62'] -> 62 + (13 / (1 + 1)) mod 89
[73] ['1', '1', '14', '14'] -> ((1 / 14) - 1) / 14 mod 89
[74] ['1', '1', '14', '26'] -> (1 + 1) * (26 - 14) mod 89
[75] ['1', '1', '14', '61'] -> (61 * (1 + 14)) - 1 mod 89
[76] ['1', '1', '15', '15'] -> (1 / (1 + 15)) - 15 mod 89
[77] ['1', '1', '15', '22'] -> ((1 + 15) / 22) - 1 mod 89
[78] ['1', '1', '15', '58'] -> 58 / (1 - (1 / 15)) mod 89
[79] ['1', '1', '15', '64'] -> (64 * (1 + 1)) - 15 mod 89
[80] ['1', '1', '16', '19'] -> (19 / (16 - 1)) - 1 mod 89
[81] ['1', '1', '16', '71'] -> (1 / (16 - 1)) - 71 mod 89
[82] ['1', '1', '17', '33'] -> 1 / ((17 * 33) - 1) mod 89
[83] ['1', '1', '18', '39'] -> (1 / (18 + 39)) - 1 mod 89
[84] ['1', '1', '18', '57'] -> 1 + ((1 + 57) / 18) mod 89
[85] ['1', '1', '18', '73'] -> 18 - (1 / (1 + 73)) mod 89
[86] ['1', '1', '19', '25'] -> (1 / (1 + 19)) - 25 mod 89
[87] ['1', '1', '19', '57'] -> (1 - 19) * (1 + 57) mod 89
[88] ['1', '1', '19', '61'] -> (1 / (1 - 61)) - 19 mod 89
[89] ['1', '1', '19', '64'] -> 64 + (1 / (1 + 19)) mod 89
[90] ['1', '1', '20', '39'] -> (1 - 20) / (1 + 39) mod 89
[91] ['1', '1', '20', '48'] -> (20 - 1) / (1 + 48) mod 89
[92] ['1', '1', '20', '53'] -> (1 + 20) * (53 - 1) mod 89
[93] ['1', '1', '21', '21'] -> (21 * (1 - 21)) - 1 mod 89
[94] ['1', '1', '21', '25'] -> (1 / (21 - 1)) - 25 mod 89
[95] ['1', '1', '22', '22'] -> 1 / (22 - (1 / 22)) mod 89
[96] ['1', '1', '22', '23'] -> (23 * (1 + 1)) - 22 mod 89
[97] ['1', '1', '22', '33'] -> (1 + 22) * (33 - 1) mod 89
[98] ['1', '1', '22', '34'] -> (1 + 1) * (34 - 22) mod 89
[99] ['1', '1', '22', '55'] -> 55 - (1 / (1 + 22)) mod 89
[100] ['1', '1', '22', '57'] -> ((1 + 1) / 22) - 57 mod 89
[101] ['1', '1', '22', '67'] -> 1 / (22 + (1 / 67)) mod 89
[102] ['1', '1', '22', '68'] -> 68 - (22 * (1 + 1)) mod 89
[103] ['1', '1', '22', '71'] -> ((1 / 71) - 1) / 22 mod 89
[104] ['1', '1', '22', '72'] -> (1 - 72) / (1 + 22) mod 89
[105] ['1', '1', '23', '23'] -> 23 * (1 + (1 / 23)) mod 89
[106] ['1', '1', '23', '40'] -> ((1 + 40) / 23) - 1 mod 89
[107] ['1', '1', '23', '67'] -> 67 + (23 * (1 + 1)) mod 89
[108] ['1', '1', '23', '69'] -> (1 / (1 - 23)) - 69 mod 89
[109] ['1', '1', '23', '70'] -> 70 - (23 * (1 + 1)) mod 89
[110] ['1', '1', '25', '46'] -> (1 + 46) / (1 - 25) mod 89
[111] ['1', '1', '25', '69'] -> (69 * (1 + 1)) - 25 mod 89
[112] ['1', '1', '25', '70'] -> (1 / (1 - 70)) - 25 mod 89
[113] ['1', '1', '25', '74'] -> 74 - (25 * (1 + 1)) mod 89
[114] ['1', '1', '25', '77'] -> (1 + 1) / (77 - 25) mod 89
[115] ['1', '1', '26', '29'] -> 26 * ((1 / 29) - 1) mod 89
[116] ['1', '1', '26', '70'] -> 1 - (26 * (1 + 70)) mod 89
[117] ['1', '1', '26', '75'] -> (1 + 1) * (26 + 75) mod 89
[118] ['1', '1', '26', '77'] -> 26 / (1 - (1 / 77)) mod 89
[119] ['1', '1', '27', '34'] -> (27 / (1 + 1)) - 34 mod 89
[120] ['1', '1', '27', '55'] -> 55 + (27 / (1 + 1)) mod 89
[121] ['1', '1', '28', '29'] -> (1 / (28 + 29)) - 1 mod 89
[122] ['1', '1', '28', '34'] -> 1 / ((28 / 34) - 1) mod 89
[123] ['1', '1', '29', '63'] -> 63 * (1 - (1 / 29)) mod 89
[124] ['1', '1', '30', '30'] -> 30 - ((1 + 1) / 30) mod 89
[125] ['1', '1', '30', '46'] -> (1 - 30) / (1 + 46) mod 89
[126] ['1', '1', '30', '59'] -> 30 + ((1 + 1) / 59) mod 89
[127] ['1', '1', '30', '60'] -> (1 / (1 + 60)) - 30 mod 89
[128] ['1', '1', '30', '87'] -> (1 / (87 - 30)) - 1 mod 89
[129] ['1', '1', '31', '37'] -> 31 + (1 / (1 + 37)) mod 89
[130] ['1', '1', '31', '50'] -> 31 - (1 / (1 + 50)) mod 89
[131] ['1', '1', '31', '66'] -> (1 - (1 / 66)) / 31 mod 89
[132] ['1', '1', '31', '77'] -> (31 / (77 - 1)) - 1 mod 89
[133] ['1', '1', '31', '79'] -> (79 - 31) / (1 + 1) mod 89
[134] ['1', '1', '32', '36'] -> ((1 / 32) - 1) / 36 mod 89
[135] ['1', '1', '32', '37'] -> 1 / ((32 * 37) - 1) mod 89
[136] ['1', '1', '32', '43'] -> (32 / (1 + 43)) - 1 mod 89
[137] ['1', '1', '32', '52'] -> (52 * (1 + 32)) - 1 mod 89
[138] ['1', '1', '32', '53'] -> (1 - (1 / 32)) / 53 mod 89
[139] ['1', '1', '32', '70'] -> (1 - 32) * (1 + 70) mod 89
[140] ['1', '1', '32', '75'] -> 1 - (32 / (1 + 75)) mod 89
[141] ['1', '1', '33', '63'] -> 33 * (1 - (1 / 63)) mod 89
[142] ['1', '1', '33', '68'] -> (1 + 1) * (33 + 68) mod 89
[143] ['1', '1', '33', '77'] -> 1 / (1 - (33 / 77)) mod 89
[144] ['1', '1', '34', '43'] -> ((1 + 1) / 43) - 34 mod 89
[145] ['1', '1', '34', '54'] -> 1 / ((34 / 54) - 1) mod 89
[146] ['1', '1', '35', '36'] -> (35 / (1 + 36)) - 1 mod 89
[147] ['1', '1', '35', '43'] -> 43 + (35 * (1 + 1)) mod 89
[148] ['1', '1', '35', '45'] -> (1 + 35) / (1 + 45) mod 89
[149] ['1', '1', '35', '55'] -> 1 / ((55 / 35) - 1) mod 89
[150] ['1', '1', '36', '82'] -> 1 / ((82 / 36) - 1) mod 89
[151] ['1', '1', '37', '57'] -> (37 * (57 - 1)) - 1 mod 89
[152] ['1', '1', '37', '58'] -> (1 / (1 + 37)) - 58 mod 89
[153] ['1', '1', '37', '82'] -> 37 + ((1 + 1) / 82) mod 89
[154] ['1', '1', '37', '83'] -> 1 + (1 / (37 + 83)) mod 89
