[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8 mod 97
[2] ['1', '1', '1', '61'] -> ((1 + 1) * 61) - 1 mod 97
[3] ['1', '1', '17', '62'] -> (62 / (1 + 17)) - 1 mod 97
[4] ['6', '6', '7', '90'] -> ((90 - 7) / 6) - 6 mod 97
[5] ['6', '6', '12', '40'] -> ((12 / 40) - 6) * 6 mod 97
[6] ['6', '6', '12', '46'] -> 6 / ((12 * 46) + 6) mod 97
[7] ['6', '6', '13', '84'] -> (13 * 84) - (6 / 6) mod 97
[8] ['6', '6', '16', '36'] -> ((16 - 6) * 6) - 36 mod 97
[9] ['6', '6', '19', '50'] -> (50 * 6) - (6 / 19) mod 97
[10] ['6', '6', '22', '36'] -> ((22 - 36) / 6) - 6 mod 97
[11] ['6', '6', '28', '36'] -> 6 / ((28 / 6) + 36) mod 97
[12] ['6', '6', '35', '35'] -> 35 - (35 / (6 + 6)) mod 97
[13] ['6', '6', '37', '66'] -> (6 / 66) - (6 / 37) mod 97
[14] ['1', '1', '18', '19'] -> (1 + 19) / (18 - 1) mod 97
[15] ['6', '6', '42', '42'] -> ((6 / 6) - 42) * 42 mod 97
[16] ['6', '6', '45', '67'] -> ((67 / 6) - 45) / 6 mod 97
[17] ['6', '6', '50', '84'] -> (6 - (84 / 50)) / 6 mod 97
[18] ['6', '6', '55', '55'] -> (55 - 6) * (6 - 55) mod 97
[19] ['6', '6', '61', '81'] -> 61 - ((6 + 81) * 6) mod 97
[20] ['6', '6', '62', '96'] -> ((6 - 62) / 6) - 96 mod 97
[21] ['6', '6', '67', '67'] -> ((67 - 6) / 6) - 67 mod 97
[22] ['6', '6', '81', '81'] -> (6 / (81 + 81)) + 6 mod 97
[23] ['6', '6', '94', '94'] -> ((6 / 94) - 6) * 94 mod 97
[24] ['6', '8', '8', '61'] -> (6 - (61 * 8)) * 8 mod 97
[25] ['1', '1', '18', '28'] -> (18 - 1) / (1 + 28) mod 97
[26] ['6', '9', '9', '9'] -> (6 - (9 * 9)) / 9 mod 97
[27] ['6', '9', '43', '43'] -> 43 / ((9 / 43) + 6) mod 97
