[1] ['1', '1', '1', '11'] -> (1 + 1) * (1 + 11) base 11
[2] ['1', '1', '1', '13'] -> (1 + 1) * (13 - 1) base 11
[3] ['1', '1', '2', '9'] -> (9 * (1 + 2)) - 1 base 11
[4] ['1', '1', '2', '36'] -> 36 / (1 + (1 / 2)) base 11
[5] ['1', '1', '2', '45'] -> 1 + ((1 + 45) / 2) base 11
[6] ['1', '1', '3', '11'] -> (1 + 11) * (3 - 1) base 11
[7] ['1', '1', '3', '15'] -> (1 + 1) * (15 - 3) base 11
[8] ['1', '1', '3', '19'] -> 19 + (3 * (1 + 1)) base 11
[9] ['1', '1', '3', '2A'] -> 2A - (3 * (1 + 1)) base 11
[10] ['1', '1', '3', '42'] -> 3 + (42 / (1 + 1)) base 11
[11] ['1', '1', '3', '45'] -> (3 + 45) / (1 + 1) base 11
[12] ['1', '1', '4', '5'] -> 1 + (5 * (1 + 4)) base 11
[13] ['1', '1', '4', '10'] -> 4 + (10 * (1 + 1)) base 11
[14] ['1', '1', '4', '14'] -> (14 * (1 + 1)) - 4 base 11
[15] ['1', '1', '4', '16'] -> (1 + 1) * (16 - 4) base 11
[16] ['1', '1', '4', '17'] -> 17 + (4 * (1 + 1)) base 11
[17] ['1', '1', '4', '31'] -> 31 - (4 * (1 + 1)) base 11
[18] ['1', '1', '4', '40'] -> 4 + (40 / (1 + 1)) base 11
[19] ['1', '1', '4', '44'] -> (4 + 44) / (1 + 1) base 11
[20] ['1', '1', '5', '8'] -> (1 + 1) * (5 + 8) base 11
[21] ['1', '1', '5', '15'] -> 15 + (5 * (1 + 1)) base 11
[22] ['1', '1', '5', '17'] -> (1 + 1) * (17 - 5) base 11
[23] ['1', '1', '5', '33'] -> 33 - (5 * (1 + 1)) base 11
[24] ['1', '1', '5', '39'] -> 5 + (39 / (1 + 1)) base 11
[25] ['1', '1', '5', '43'] -> (5 + 43) / (1 + 1) base 11
[26] ['1', '1', '6', '7'] -> (1 + 1) * (6 + 7) base 11
[27] ['1', '1', '6', 'A'] -> 6 + (A * (1 + 1)) base 11
[28] ['1', '1', '6', '13'] -> 13 + (6 * (1 + 1)) base 11
[29] ['1', '1', '6', '15'] -> (15 * (1 + 1)) - 6 base 11
[30] ['1', '1', '6', '21'] -> 21 + (6 / (1 + 1)) base 11
[31] ['1', '1', '6', '27'] -> 27 - (6 / (1 + 1)) base 11
[32] ['1', '1', '6', '35'] -> 35 - (6 * (1 + 1)) base 11
[33] ['1', '1', '6', '37'] -> 6 + (37 / (1 + 1)) base 11
[34] ['1', '1', '6', '42'] -> (6 + 42) / (1 + 1) base 11
[35] ['1', '1', '7', '11'] -> 11 + (7 * (1 + 1)) base 11
[36] ['1', '1', '7', '35'] -> 7 + (35 / (1 + 1)) base 11
[37] ['1', '1', '7', '37'] -> 37 - (7 * (1 + 1)) base 11
[38] ['1', '1', '7', '41'] -> (7 + 41) / (1 + 1) base 11
[39] ['1', '1', '8', '9'] -> 8 + (9 * (1 + 1)) base 11
[40] ['1', '1', '8', 'A'] -> A + (8 * (1 + 1)) base 11
[41] ['1', '1', '8', '1A'] -> (1 + 1) * (1A - 8) base 11
[42] ['1', '1', '8', '20'] -> 20 + (8 / (1 + 1)) base 11
[43] ['1', '1', '8', '28'] -> 28 - (8 / (1 + 1)) base 11
[44] ['1', '1', '8', '39'] -> 39 - (8 * (1 + 1)) base 11
[45] ['1', '1', '8', '40'] -> (8 + 40) / (1 + 1) base 11
[46] ['1', '1', '9', '20'] -> (1 + 1) * (20 - 9) base 11
[47] ['1', '1', '9', '3A'] -> (9 + 3A) / (1 + 1) base 11
[48] ['1', '1', '9', '40'] -> 40 - (9 * (1 + 1)) base 11
[49] ['1', '1', 'A', '1A'] -> 1A + (A / (1 + 1)) base 11
[50] ['1', '1', 'A', '21'] -> (1 + 1) * (21 - A) base 11
[51] ['1', '1', 'A', '29'] -> 29 - (A / (1 + 1)) base 11
[52] ['1', '1', 'A', '2A'] -> A + (2A / (1 + 1)) base 11
[53] ['1', '1', 'A', '39'] -> (A + 39) / (1 + 1) base 11
[54] ['1', '1', 'A', '42'] -> 42 - (A * (1 + 1)) base 11
[55] ['1', '1', '10', '22'] -> (1 + 1) * (22 - 10) base 11
[56] ['1', '1', '10', '28'] -> 10 + (28 / (1 + 1)) base 11
[57] ['1', '1', '10', '38'] -> (10 + 38) / (1 + 1) base 11
[58] ['1', '1', '10', '44'] -> 44 - (10 * (1 + 1)) base 11
[59] ['1', '1', '11', '18'] -> (18 * (1 + 1)) - 11 base 11
[60] ['1', '1', '11', '19'] -> 19 + (11 / (1 + 1)) base 11
[61] ['1', '1', '11', '22'] -> 22 * (1 + (1 / 11)) base 11
[62] ['1', '1', '11', '23'] -> (1 + 1) * (23 - 11) base 11
[63] ['1', '1', '11', '26'] -> 11 + (26 / (1 + 1)) base 11
