[1] ['1', '1', '1', 'A'] -> (1 + 1 + 1) * A base 13
[2] ['1', '1', '3', '1B'] -> ((1 + 1) * 3) + 1B base 13
[3] ['1', '1', '20', '22'] -> ((1 + 1) * 22) - 20 base 13
[4] ['1', '17', '1A', '37'] -> ((1A / 37) + 1) * 17 base 13
[5] ['13', '15', '28', '37'] -> 28 - ((15 + 37) / 13) base 13
[6] ['13', '15', '29', '2C'] -> ((2C - 29) * 13) - 15 base 13
[7] ['13', '15', '29', '31'] -> ((15 - 13) * 29) - 31 base 13
[8] ['13', '15', '2A', '2A'] -> ((13 * 2A) - 2A) / 15 base 13
[9] ['13', '15', '2A', '30'] -> ((30 - 2A) * 13) - 15 base 13
[10] ['13', '15', '2A', '33'] -> ((15 - 13) * 2A) - 33 base 13
[11] ['13', '15', '2B', '31'] -> ((31 - 2B) * 13) - 15 base 13
[12] ['13', '15', '2B', '35'] -> ((15 - 13) * 2B) - 35 base 13
[13] ['13', '15', '2C', '32'] -> ((32 - 2C) * 13) - 15 base 13
[14] ['13', '15', '2C', '37'] -> ((15 - 13) * 2C) - 37 base 13
[15] ['1', '17', '1B', '31'] -> 17 / ((31 / 1B) - 1) base 13
[16] ['13', '15', '30', '39'] -> ((15 - 13) * 30) - 39 base 13
[17] ['13', '15', '31', '34'] -> ((34 - 31) * 13) - 15 base 13
[18] ['13', '15', '32', '35'] -> ((35 - 32) * 13) - 15 base 13
[19] ['13', '15', '32', '39'] -> (13 * 39) - (15 * 32) base 13
[20] ['13', '15', '34', '37'] -> ((37 - 34) * 13) - 15 base 13
[21] ['13', '15', '35', '38'] -> ((38 - 35) * 13) - 15 base 13
[22] ['13', '15', '37', '3A'] -> ((3A - 37) * 13) - 15 base 13
[23] ['13', '16', '16', '21'] -> ((16 - 13) * 16) - 21 base 13
[24] ['13', '16', '18', '27'] -> ((16 - 13) * 18) - 27 base 13
[25] ['13', '16', '18', '28'] -> ((16 * 28) - 13) / 18 base 13
[26] ['1', '17', '1B', '36'] -> ((36 / 17) - 1) * 1B base 13
[27] ['13', '16', '19', '2A'] -> ((16 - 13) * 19) - 2A base 13
[28] ['13', '16', '19', '2B'] -> ((13 * 2B) - 19) / 16 base 13
[29] ['13', '16', '1A', '30'] -> ((16 - 13) * 1A) - 30 base 13
[30] ['13', '16', '1A', '34'] -> ((16 * 1A) + 34) / 13 base 13
[31] ['13', '16', '1B', '1B'] -> ((16 * 1B) + 1B) / 13 base 13
[32] ['13', '16', '1B', '33'] -> ((16 - 13) * 1B) - 33 base 13
[33] ['13', '16', '1C', '36'] -> ((16 - 13) * 1C) - 36 base 13
[34] ['13', '16', '20', '23'] -> (16 * 20) - (13 * 23) base 13
[35] ['13', '16', '20', '28'] -> ((13 * 28) + 20) / 16 base 13
[36] ['13', '16', '20', '36'] -> ((16 + 36) / 13) + 20 base 13
[37] ['1', '17', '1B', '39'] -> ((1B / 39) + 1) * 17 base 13
[38] ['13', '16', '20', '39'] -> ((16 - 13) * 20) - 39 base 13
[39] ['13', '16', '21', '23'] -> ((16 + 23) / 13) + 21 base 13
[40] ['13', '16', '21', '27'] -> ((16 * 21) - 27) / 13 base 13
[41] ['13', '16', '21', '32'] -> ((13 + 32) / 16) + 21 base 13
[42] ['13', '16', '23', '27'] -> 27 - ((16 + 23) / 13) base 13
[43] ['13', '16', '27', '33'] -> ((13 * 27) + 33) / 16 base 13
[44] ['13', '16', '28', '36'] -> 28 - ((16 + 36) / 13) base 13
[45] ['13', '16', '2C', '38'] -> (13 * 38) - (16 * 2C) base 13
[46] ['13', '16', '32', '3A'] -> (32 + 3A) / (16 - 13) base 13
[47] ['13', '16', '34', '38'] -> (34 + 38) / (16 - 13) base 13
[48] ['1', '17', '1C', '35'] -> ((35 / 17) - 1) * 1C base 13
[49] ['13', '16', '35', '37'] -> (35 + 37) / (16 - 13) base 13
[50] ['13', '17', '17', '1A'] -> ((17 * 1A) + 17) / 13 base 13
[51] ['13', '17', '19', '1A'] -> ((19 - 17) * 1A) - 13 base 13
[52] ['13', '17', '1B', '22'] -> ((13 + 1B) / 17) + 22 base 13
[53] ['13', '17', '1B', '30'] -> ((13 * 30) - 1B) / 17 base 13
[54] ['13', '17', '20', '35'] -> ((17 + 35) / 13) + 20 base 13
[55] ['13', '17', '21', '22'] -> ((17 + 22) / 13) + 21 base 13
[56] ['13', '17', '21', '35'] -> ((13 + 35) / 17) + 21 base 13
[57] ['13', '17', '22', '27'] -> 27 - ((17 + 22) / 13) base 13
[58] ['13', '17', '27', '35'] -> 27 - ((13 + 35) / 17) base 13
[59] ['1', '17', '21', '36'] -> 17 / ((36 / 21) - 1) base 13
[60] ['13', '17', '28', '35'] -> 28 - ((17 + 35) / 13) base 13
[61] ['13', '17', '29', '31'] -> ((13 * 29) + 31) / 17 base 13
[62] ['13', '18', '18', '30'] -> ((18 * 18) + 30) / 13 base 13
[63] ['13', '18', '19', '21'] -> (18 * 19) - (13 * 21) base 13
[64] ['13', '18', '19', '2C'] -> ((13 * 2C) + 19) / 18 base 13
[65] ['13', '18', '1A', '1A'] -> ((1A - 18) * 1A) - 13 base 13
[66] ['13', '18', '1C', '36'] -> ((18 * 1C) - 36) / 13 base 13
[67] ['13', '18', '20', '22'] -> ((13 + 20) / 18) + 22 base 13
[68] ['13', '18', '20', '2A'] -> (13 * 2A) - (18 * 20) base 13
[69] ['13', '18', '20', '34'] -> ((18 + 34) / 13) + 20 base 13
[70] ['1', '17', '26', '30'] -> 26 - ((1 + 30) / 17) base 13
[71] ['13', '18', '21', '21'] -> ((18 + 21) / 13) + 21 base 13
[72] ['13', '18', '21', '38'] -> ((13 + 38) / 18) + 21 base 13
[73] ['13', '18', '27', '38'] -> 27 - ((13 + 38) / 18) base 13
[74] ['13', '18', '28', '34'] -> 28 - ((18 + 34) / 13) base 13
[75] ['13', '18', '2B', '2C'] -> ((13 * 2B) + 2C) / 18 base 13
[76] ['13', '18', '2C', '39'] -> (18 * 2C) - (13 * 39) base 13
[77] ['13', '18', '33', '33'] -> ((13 * 33) - 33) / 18 base 13
[78] ['13', '19', '1A', '20'] -> ((19 * 1A) - 20) / 13 base 13
[79] ['13', '19', '20', '21'] -> ((19 + 20) / 13) + 21 base 13
[80] ['13', '19', '20', '27'] -> 27 - ((19 + 20) / 13) base 13
[81] ['1', '17', '29', '31'] -> ((29 / 17) - 1) * 31 base 13
[82] ['13', '19', '21', '30'] -> (13 * 30) - (19 * 21) base 13
[83] ['13', '19', '22', '22'] -> ((13 + 22) / 19) + 22 base 13
[84] ['13', '19', '22', '26'] -> 26 - ((13 + 22) / 19) base 13
[85] ['13', '19', '22', '34'] -> ((13 * 34) - 22) / 19 base 13
[86] ['13', '19', '25', '34'] -> ((19 * 34) - 13) / 25 base 13
[87] ['13', '19', '29', '38'] -> ((19 * 38) + 13) / 29 base 13
[88] ['13', '19', '2A', '30'] -> ((13 * 30) + 2A) / 19 base 13
[89] ['13', '19', '2B', '3A'] -> (19 * 2B) - (13 * 3A) base 13
[90] ['13', '1A', '1A', '1C'] -> ((1C - 1A) * 1A) - 13 base 13
[91] ['13', '1A', '1B', '20'] -> ((20 - 1B) * 1A) - 13 base 13
[92] ['1', '17', '2A', '35'] -> 2A / ((35 / 17) - 1) base 13
[93] ['13', '1A', '1B', '26'] -> ((1A * 26) - 13) / 1B base 13
[94] ['13', '1A', '1C', '27'] -> 27 - ((1A + 1C) / 13) base 13
[95] ['13', '1A', '20', '32'] -> ((1A + 32) / 13) + 20 base 13
[96] ['13', '1A', '21', '23'] -> ((23 - 21) * 1A) - 13 base 13
[97] ['13', '1A', '23', '25'] -> ((25 - 23) * 1A) - 13 base 13
[98] ['13', '1A', '25', '27'] -> ((27 - 25) * 1A) - 13 base 13
[99] ['13', '1A', '26', '28'] -> ((28 - 26) * 1A) - 13 base 13
[100] ['13', '1A', '27', '29'] -> ((29 - 27) * 1A) - 13 base 13
[101] ['13', '1A', '28', '2A'] -> ((2A - 28) * 1A) - 13 base 13
[102] ['13', '1A', '28', '38'] -> (1A * 28) - (13 * 38) base 13
[103] ['1', '17', '30', '37'] -> 30 / ((37 / 17) - 1) base 13
[104] ['13', '1A', '29', '2B'] -> ((2B - 29) * 1A) - 13 base 13
[105] ['13', '1A', '2A', '2C'] -> ((2C - 2A) * 1A) - 13 base 13
[106] ['13', '1A', '2B', '30'] -> ((30 - 2B) * 1A) - 13 base 13
[107] ['13', '1A', '2C', '31'] -> ((31 - 2C) * 1A) - 13 base 13
[108] ['13', '1A', '30', '32'] -> ((32 - 30) * 1A) - 13 base 13
[109] ['13', '1A', '31', '33'] -> ((33 - 31) * 1A) - 13 base 13
[110] ['13', '1A', '32', '34'] -> ((34 - 32) * 1A) - 13 base 13
[111] ['13', '1A', '33', '35'] -> ((35 - 33) * 1A) - 13 base 13
[112] ['13', '1A', '34', '36'] -> ((36 - 34) * 1A) - 13 base 13
[113] ['13', '1A', '37', '37'] -> ((13 * 37) - 37) / 1A base 13
[114] ['1', '1', '20', '28'] -> (20 + 28) / (1 + 1) base 13
[115] ['1', '17', '31', '36'] -> 36 / ((17 / 31) + 1) base 13
[116] ['13', '1A', '38', '3A'] -> ((3A - 38) * 1A) - 13 base 13
[117] ['13', '1B', '20', '31'] -> ((1B + 31) / 13) + 20 base 13
[118] ['13', '1B', '26', '34'] -> ((13 * 34) + 26) / 1B base 13
[119] ['13', '1B', '26', '38'] -> ((13 * 38) - 26) / 1B base 13
[120] ['13', '1B', '38', '3A'] -> ((38 + 3A) / 13) + 1B base 13
[121] ['13', '1C', '20', '30'] -> ((1C + 30) / 13) + 20 base 13
[122] ['13', '1C', '22', '28'] -> ((13 + 28) / 1C) + 22 base 13
[123] ['13', '1C', '25', '3A'] -> ((25 + 3A) / 13) + 1C base 13
[124] ['13', '1C', '26', '28'] -> 26 - ((13 + 28) / 1C) base 13
[125] ['13', '1C', '26', '39'] -> ((26 + 39) / 13) + 1C base 13
[126] ['1', '17', '33', '39'] -> 33 / ((39 / 17) - 1) base 13
[127] ['13', '1C', '27', '38'] -> ((27 + 38) / 13) + 1C base 13
[128] ['13', '1C', '28', '30'] -> 28 - ((1C + 30) / 13) base 13
[129] ['13', '1C', '28', '37'] -> ((28 + 37) / 13) + 1C base 13
[130] ['13', '1C', '28', '3A'] -> ((13 * 3A) - 28) / 1C base 13
[131] ['13', '1C', '2A', '35'] -> ((2A + 35) / 13) + 1C base 13
[132] ['13', '1C', '2B', '34'] -> ((2B + 34) / 13) + 1C base 13
[133] ['13', '1C', '2C', '33'] -> ((2C + 33) / 13) + 1C base 13
[134] ['13', '1C', '30', '32'] -> ((30 + 32) / 13) + 1C base 13
[135] ['13', '1C', '35', '37'] -> ((13 * 35) + 37) / 1C base 13
[136] ['13', '20', '21', '2B'] -> ((21 + 2B) / 13) + 20 base 13
[137] ['1', '18', '18', '3A'] -> ((18 / 3A) + 1) * 18 base 13
[138] ['13', '20', '21', '33'] -> (20 * 21) - (13 * 33) base 13
[139] ['13', '20', '21', '3A'] -> ((13 * 3A) + 20) / 21 base 13
[140] ['13', '20', '22', '38'] -> ((13 * 38) + 22) / 20 base 13
[141] ['13', '20', '23', '29'] -> ((23 + 29) / 13) + 20 base 13
[142] ['13', '20', '25', '27'] -> ((25 + 27) / 13) + 20 base 13
[143] ['13', '20', '26', '26'] -> ((26 + 26) / 13) + 20 base 13
[144] ['13', '20', '29', '32'] -> ((20 * 32) - 13) / 29 base 13
[145] ['13', '20', '34', '3A'] -> ((20 * 3A) + 13) / 34 base 13
[146] ['13', '20', '35', '37'] -> ((13 * 37) + 35) / 20 base 13
[147] ['13', '21', '22', '2C'] -> ((13 + 2C) / 21) + 22 base 13
[148] ['1', '18', '22', '35'] -> (35 / (1 + 18)) + 22 base 13
[149] ['13', '21', '26', '2C'] -> 26 - ((13 + 2C) / 21) base 13
[150] ['13', '21', '28', '2B'] -> 28 - ((21 + 2B) / 13) base 13
[151] ['13', '21', '33', '39'] -> ((13 * 39) + 33) / 21 base 13
[152] ['13', '22', '22', '31'] -> ((13 + 31) / 22) + 22 base 13
[153] ['13', '22', '25', '37'] -> ((13 + 37) / 25) + 22 base 13
[154] ['13', '22', '26', '39'] -> ((13 + 39) / 26) + 22 base 13
[155] ['13', '22', '28', '2B'] -> ((22 * 2B) - 13) / 28 base 13
[156] ['13', '23', '28', '29'] -> 28 - ((23 + 29) / 13) base 13
[157] ['13', '23', '33', '35'] -> ((23 * 35) - 13) / 33 base 13
[158] ['13', '23', '36', '37'] -> ((23 * 37) + 13) / 36 base 13
[159] ['1', '18', '26', '35'] -> 26 - (35 / (1 + 18)) base 13
[160] ['13', '25', '27', '28'] -> 28 - ((25 + 27) / 13) base 13
[161] ['13', '25', '29', '3A'] -> 29 - ((25 + 3A) / 13) base 13
[162] ['13', '25', '37', '38'] -> ((25 * 37) - 13) / 38 base 13
[163] ['13', '26', '26', '39'] -> 26 - ((13 + 39) / 26) base 13
[164] ['13', '26', '29', '39'] -> 29 - ((26 + 39) / 13) base 13
[165] ['13', '26', '2B', '31'] -> ((26 * 2B) + 13) / 31 base 13
