[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[2] ['1', '1', '3', '15'] -> (1 + 1) * (15 - 3) base 16
[3] ['1', '1', '18', '1E'] -> ((1 + 1) * 1E) - 18 base 16
[4] ['1', '12', '14', '14'] -> ((14 / 14) + 1) * 12 base 16
[5] ['F', '1C', '1F', '21'] -> ((1F * 21) - F) / 1C base 16
[6] ['F', '1C', '1F', '2F'] -> ((1C + 2F) / F) + 1F base 16
[7] ['F', '1C', '20', '20'] -> ((1C + 20) / F) + 20 base 16
[8] ['F', '1C', '20', '28'] -> 28 - ((1C + 20) / F) base 16
[9] ['F', '1C', '29', '2F'] -> 29 - ((1C + 2F) / F) base 16
[10] ['F', '1D', '1F', '28'] -> 28 - ((1D + 1F) / F) base 16
[11] ['F', '1D', '1F', '2E'] -> ((1D + 2E) / F) + 1F base 16
[12] ['F', '1D', '22', '2B'] -> ((2B + F) / 1D) + 22 base 16
[13] ['F', '1D', '26', '2B'] -> 26 - ((2B + F) / 1D) base 16
[14] ['F', '1D', '29', '2E'] -> 29 - ((1D + 2E) / F) base 16
[15] ['1', '12', '14', '1C'] -> 14 / ((1C / 12) - 1) base 16
[16] ['F', '1E', '1E', '20'] -> ((1E + 1E) / F) + 20 base 16
[17] ['F', '1E', '1F', '2D'] -> ((1E + 2D) / F) + 1F base 16
[18] ['F', '1E', '26', '2D'] -> 26 - ((2D + F) / 1E) base 16
[19] ['F', '1E', '29', '2D'] -> 29 - ((1E + 2D) / F) base 16
[20] ['F', '1E', '29', '31'] -> ((29 + 31) / F) + 1E base 16
[21] ['F', '1E', '2B', '2F'] -> ((2B + 2F) / F) + 1E base 16
[22] ['F', '1E', '2C', '2E'] -> ((2C + 2E) / F) + 1E base 16
[23] ['F', '1E', '2D', '2D'] -> ((2D + 2D) / F) + 1E base 16
[24] ['F', '1F', '1F', '2C'] -> ((1F + 2C) / F) + 1F base 16
[25] ['F', '1F', '20', '2B'] -> ((20 + 2B) / F) + 1F base 16
[26] ['1', '12', '14', '1E'] -> 12 / ((1E / 14) - 1) base 16
[27] ['F', '1F', '22', '27'] -> ((1F * 27) + F) / 22 base 16
[28] ['F', '1F', '22', '2F'] -> ((2F + F) / 1F) + 22 base 16
[29] ['F', '1F', '23', '28'] -> ((23 + 28) / F) + 1F base 16
[30] ['F', '1F', '25', '26'] -> ((25 + 26) / F) + 1F base 16
[31] ['F', '1F', '26', '2F'] -> 26 - ((2F + F) / 1F) base 16
[32] ['F', '20', '29', '2B'] -> 29 - ((20 + 2B) / F) base 16
[33] ['F', '21', '26', '29'] -> ((21 * 29) + F) / 26 base 16
[34] ['F', '21', '27', '2B'] -> ((21 * 2B) - F) / 27 base 16
[35] ['F', '21', '29', '2A'] -> 29 - ((21 + 2A) / F) base 16
[36] ['F', '22', '29', '29'] -> 29 - ((22 + 29) / F) base 16
[37] ['1', '12', '15', '15'] -> ((15 / 15) + 1) * 12 base 16
[38] ['F', '23', '28', '29'] -> 29 - ((23 + 28) / F) base 16
[39] ['F', '25', '26', '29'] -> 29 - ((25 + 26) / F) base 16
[40] ['F', '27', '29', '2C'] -> ((27 * 29) - F) / 2C base 16
[41] ['F', '29', '2A', '31'] -> 2A - ((29 + 31) / F) base 16
[42] ['F', '2A', '2A', '30'] -> 2A - ((2A + 30) / F) base 16
[43] ['F', '2A', '2B', '2F'] -> 2A - ((2B + 2F) / F) base 16
