[1] ['1', '1', '1', '12'] -> 12 * (1 + (1 + 1)) base 6
[2] ['1', '1', '1', '15'] -> (1 + 1) * (1 + 15) base 6
[3] ['1', '1', '1', '21'] -> (1 + 1) * (21 - 1) base 6
[4] ['1', '1', '2', '11'] -> (1 + 2) * (1 + 11) base 6
[5] ['1', '1', '2', '13'] -> (1 + 2) * (13 - 1) base 6
[6] ['1', '1', '2', '24'] -> 24 * (1 + (1 / 2)) base 6
[7] ['1', '1', '3', '5'] -> (1 + 3) * (1 + 5) base 6
[8] ['1', '1', '3', '15'] -> (1 + 15) * (3 - 1) base 6
[9] ['1', '1', '3', '23'] -> (1 + 1) * (23 - 3) base 6
[10] ['1', '1', '3', '50'] -> 50 - (3 * (1 + 1)) base 6
[11] ['1', '1', '3', '52'] -> 52 / (1 + (1 / 3)) base 6
[12] ['1', '1', '4', '14'] -> 4 + (14 * (1 + 1)) base 6
[13] ['1', '1', '4', '22'] -> (22 * (1 + 1)) - 4 base 6
[14] ['1', '1', '5', '22'] -> 22 + (5 * (1 + 1)) base 6
[15] ['1', '1', '5', '54'] -> 54 - (5 * (1 + 1)) base 6
[16] ['1', '1', '10', '13'] -> 10 + (13 * (1 + 1)) base 6
[17] ['1', '1', '10', '20'] -> 20 + (10 * (1 + 1)) base 6
[18] ['1', '1', '10', '23'] -> (23 * (1 + 1)) - 10 base 6
[19] ['1', '1', '10', '33'] -> 33 + (10 / (1 + 1)) base 6
[20] ['1', '1', '10', '43'] -> 43 - (10 / (1 + 1)) base 6
[21] ['1', '1', '11', '14'] -> 14 + (11 * (1 + 1)) base 6
[22] ['1', '1', '11', '33'] -> 33 * (1 + (1 / 11)) base 6
[23] ['1', '1', '11', '44'] -> 44 * (1 - (1 / 11)) base 6
[24] ['1', '1', '11', '54'] -> 11 + (54 / (1 + 1)) base 6
[25] ['1', '1', '12', '12'] -> 12 + (12 * (1 + 1)) base 6
[26] ['1', '1', '12', '33'] -> 33 / (1 - (1 / 12)) base 6
[27] ['1', '1', '12', '43'] -> 43 / (1 + (1 / 12)) base 6
[28] ['1', '1', '12', '44'] -> 44 - (12 / (1 + 1)) base 6
[29] ['1', '1', '13', '33'] -> (1 + 1) * (33 - 13) base 6
[30] ['1', '1', '13', '43'] -> 43 * (1 - (1 / 13)) base 6
[31] ['1', '1', '13', '50'] -> 13 + (50 / (1 + 1)) base 6
[32] ['1', '1', '14', '25'] -> (25 * (1 + 1)) - 14 base 6
[33] ['1', '1', '14', '31'] -> 31 + (14 / (1 + 1)) base 6
[34] ['1', '1', '14', '34'] -> (1 + 1) * (34 - 14) base 6
[35] ['1', '1', '14', '44'] -> 14 + (44 / (1 + 1)) base 6
[36] ['1', '1', '14', '45'] -> 45 - (14 / (1 + 1)) base 6
[37] ['1', '1', '15', '34'] -> 34 * (1 + (1 / 15)) base 6
[38] ['1', '1', '15', '35'] -> (1 + 1) * (35 - 15) base 6
[39] ['1', '1', '15', '42'] -> 15 + (42 / (1 + 1)) base 6
[40] ['1', '1', '20', '34'] -> 34 / (1 - (1 / 20)) base 6
[41] ['1', '1', '20', '42'] -> 42 / (1 + (1 / 20)) base 6
[42] ['1', '1', '20', '50'] -> 50 - (20 / (1 + 1)) base 6
[43] ['1', '1', '21', '34'] -> 21 + (34 / (1 + 1)) base 6
[44] ['1', '1', '21', '41'] -> (1 + 1) * (41 - 21) base 6
[45] ['1', '1', '21', '42'] -> 42 * (1 - (1 / 21)) base 6
[46] ['1', '1', '22', '25'] -> 25 + (22 / (1 + 1)) base 6
[47] ['1', '1', '22', '31'] -> (31 * (1 + 1)) - 22 base 6
[48] ['1', '1', '22', '32'] -> 22 + (32 / (1 + 1)) base 6
[49] ['1', '1', '22', '42'] -> (1 + 1) * (42 - 22) base 6
[50] ['1', '1', '22', '51'] -> 51 - (22 / (1 + 1)) base 6
[51] ['1', '1', '22', '54'] -> (22 + 54) / (1 + 1) base 6
[52] ['1', '1', '23', '30'] -> 23 + (30 / (1 + 1)) base 6
[53] ['1', '1', '23', '43'] -> (1 + 1) * (43 - 23) base 6
[54] ['1', '1', '23', '53'] -> (23 + 53) / (1 + 1) base 6
[55] ['1', '1', '24', '24'] -> 24 + (24 / (1 + 1)) base 6
[56] ['1', '1', '24', '32'] -> (32 * (1 + 1)) - 24 base 6
[57] ['1', '1', '24', '44'] -> (1 + 1) * (44 - 24) base 6
[58] ['1', '1', '25', '45'] -> (1 + 1) * (45 - 25) base 6
[59] ['1', '1', '25', '51'] -> (25 + 51) / (1 + 1) base 6
