[1] ['1', '1', '1', '6'] -> (1 + 1 + 1) * 6 base 7
[2] ['1', '1', '2', '36'] -> 36 / ((1 / 2) + 1) base 7
[3] ['1', '1', '32', '44'] -> (1 + 1) * (44 - 32) base 7
[4] ['1', '30', '42', '60'] -> ((42 / 30) - 1) * 60 base 7
[5] ['20', '40', '50', '65'] -> ((20 * 65) - 40) / 50 base 7
[6] ['20', '41', '44', '55'] -> (20 + 55) / (44 - 41) base 7
[7] ['20', '41', '45', '53'] -> ((45 - 41) * 20) - 53 base 7
[8] ['20', '41', '46', '64'] -> ((20 * 46) + 64) / 41 base 7
[9] ['20', '41', '53', '55'] -> ((20 * 55) - 53) / 41 base 7
[10] ['20', '42', '43', '60'] -> ((20 * 60) - 42) / 43 base 7
[11] ['20', '42', '44', '54'] -> ((20 * 54) + 42) / 44 base 7
[12] ['20', '42', '45', '55'] -> (20 + 55) / (45 - 42) base 7
[13] ['20', '42', '46', '53'] -> ((46 - 42) * 20) - 53 base 7
[14] ['20', '42', '46', '56'] -> ((20 * 56) - 46) / 42 base 7
[15] ['1', '30', '44', '66'] -> (1 - (30 / 66)) * 44 base 7
[16] ['20', '42', '51', '51'] -> ((20 * 51) + 51) / 42 base 7
[17] ['20', '42', '54', '66'] -> ((20 * 66) + 42) / 54 base 7
[18] ['20', '43', '46', '55'] -> (20 + 55) / (46 - 43) base 7
[19] ['20', '43', '50', '53'] -> ((50 - 43) * 20) - 53 base 7
[20] ['20', '43', '52', '55'] -> ((20 * 52) + 55) / 43 base 7
[21] ['20', '44', '50', '55'] -> (20 + 55) / (50 - 44) base 7
[22] ['20', '44', '51', '53'] -> ((51 - 44) * 20) - 53 base 7
[23] ['20', '44', '53', '62'] -> ((20 * 53) + 62) / 44 base 7
[24] ['20', '44', '55', '62'] -> ((20 * 62) - 55) / 44 base 7
[25] ['20', '45', '46', '55'] -> ((20 * 55) + 46) / 45 base 7
[26] ['1', '30', '50', '63'] -> (1 - (30 / 50)) * 63 base 7
[27] ['20', '45', '54', '66'] -> ((20 * 54) + 66) / 45 base 7
[28] ['20', '46', '52', '55'] -> (20 + 55) / (52 - 46) base 7
[29] ['20', '46', '53', '53'] -> ((53 - 46) * 20) - 53 base 7
[30] ['20', '46', '53', '56'] -> ((20 * 56) + 53) / 46 base 7
[31] ['20', '46', '64', '65'] -> ((20 * 65) - 64) / 46 base 7
[32] ['20', '50', '53', '54'] -> ((54 - 50) * 20) - 53 base 7
[33] ['20', '50', '53', '55'] -> (20 + 55) / (53 - 50) base 7
[34] ['20', '50', '60', '60'] -> ((20 * 60) + 60) / 50 base 7
[35] ['20', '50', '60', '66'] -> ((20 * 66) - 60) / 50 base 7
[36] ['20', '51', '52', '63'] -> ((20 * 63) + 51) / 52 base 7
[37] ['1', '30', '50', '66'] -> 66 / ((50 / 30) + 1) base 7
[38] ['20', '51', '53', '55'] -> ((55 - 51) * 20) - 53 base 7
[39] ['20', '51', '54', '55'] -> (20 + 55) / (54 - 51) base 7
[40] ['20', '51', '61', '64'] -> ((20 * 61) + 64) / 51 base 7
[41] ['20', '52', '53', '56'] -> ((56 - 52) * 20) - 53 base 7
[42] ['20', '52', '55', '55'] -> (20 + 55) / (55 - 52) base 7
[43] ['20', '53', '53', '60'] -> ((60 - 53) * 20) - 53 base 7
[44] ['20', '53', '54', '61'] -> ((61 - 54) * 20) - 53 base 7
[45] ['20', '53', '55', '56'] -> (20 + 55) / (56 - 53) base 7
[46] ['20', '53', '55', '62'] -> ((62 - 55) * 20) - 53 base 7
[47] ['20', '53', '56', '63'] -> ((63 - 56) * 20) - 53 base 7
[48] ['1', '30', '54', '54'] -> (1 - (30 / 54)) * 54 base 7
[49] ['20', '53', '60', '64'] -> ((64 - 60) * 20) - 53 base 7
[50] ['20', '53', '61', '65'] -> ((65 - 61) * 20) - 53 base 7
[51] ['20', '53', '62', '66'] -> ((66 - 62) * 20) - 53 base 7
[52] ['20', '54', '55', '60'] -> (20 + 55) / (60 - 54) base 7
[53] ['20', '54', '62', '65'] -> ((20 * 65) + 62) / 54 base 7
[54] ['20', '55', '55', '61'] -> (20 + 55) / (61 - 55) base 7
[55] ['20', '55', '56', '62'] -> (20 + 55) / (62 - 56) base 7
[56] ['20', '55', '60', '63'] -> (20 + 55) / (63 - 60) base 7
[57] ['20', '55', '61', '64'] -> (20 + 55) / (64 - 61) base 7
[58] ['20', '55', '62', '65'] -> (20 + 55) / (65 - 62) base 7
[59] ['1', '31', '31', '51'] -> 51 / ((31 / 31) + 1) base 7
[60] ['20', '55', '63', '66'] -> (20 + 55) / (66 - 63) base 7
[61] ['20', '55', '66', '66'] -> ((20 * 66) + 66) / 55 base 7
[62] ['21', '21', '21', '22'] -> ((21 + 21) / 21) + 22 base 7
[63] ['21', '21', '21', '23'] -> ((21 * 23) + 21) / 21 base 7
[64] ['21', '21', '21', '25'] -> ((21 * 25) - 21) / 21 base 7
[65] ['21', '21', '21', '42'] -> ((21 + 42) / 21) + 21 base 7
[66] ['21', '21', '21', '63'] -> ((21 * 21) + 63) / 21 base 7
[67] ['21', '21', '22', '41'] -> ((22 + 41) / 21) + 21 base 7
[68] ['21', '21', '22', '42'] -> ((21 * 22) + 42) / 21 base 7
[69] ['21', '21', '23', '30'] -> (21 + 30) / (23 - 21) base 7
[70] ['1', '31', '31', '55'] -> ((55 / 31) - 1) * 31 base 7
[71] ['21', '21', '23', '40'] -> ((23 + 40) / 21) + 21 base 7
[72] ['21', '21', '25', '35'] -> ((25 + 35) / 21) + 21 base 7
[73] ['21', '21', '26', '32'] -> ((21 * 32) + 21) / 26 base 7
[74] ['21', '21', '26', '42'] -> ((21 * 26) - 42) / 21 base 7
[75] ['21', '21', '30', '33'] -> ((30 + 33) / 21) + 21 base 7
[76] ['21', '21', '30', '66'] -> ((21 + 66) / 30) + 21 base 7
[77] ['21', '21', '31', '32'] -> ((31 + 32) / 21) + 21 base 7
[78] ['21', '21', '31', '63'] -> 31 - ((21 + 63) / 21) base 7
[79] ['21', '21', '34', '41'] -> ((21 * 41) + 21) / 34 base 7
[80] ['21', '21', '34', '43'] -> ((21 * 43) - 21) / 34 base 7
[81] ['1', '31', '33', '50'] -> (1 + 50) / (33 - 31) base 7
[82] ['21', '21', '42', '52'] -> ((21 * 52) - 21) / 42 base 7
[83] ['21', '21', '50', '56'] -> ((21 * 56) + 21) / 50 base 7
[84] ['21', '21', '50', '61'] -> ((21 * 61) - 21) / 50 base 7
[85] ['21', '21', '55', '65'] -> ((21 * 65) + 21) / 55 base 7
[86] ['21', '22', '22', '23'] -> ((21 + 23) / 22) + 22 base 7
[87] ['21', '22', '22', '66'] -> ((21 * 22) + 66) / 22 base 7
[88] ['21', '22', '23', '23'] -> ((23 - 21) * 23) - 22 base 7
[89] ['21', '22', '23', '25'] -> ((21 + 25) / 23) + 22 base 7
[90] ['21', '22', '25', '36'] -> ((25 - 22) * 21) - 36 base 7
[91] ['21', '22', '25', '41'] -> ((25 + 41) / 22) + 21 base 7
[92] ['1', '31', '33', '53'] -> (53 / (33 - 31)) - 1 base 7
[93] ['21', '22', '25', '46'] -> ((22 * 25) - 46) / 21 base 7
[94] ['21', '22', '25', '54'] -> (21 + 54) / (25 - 22) base 7
[95] ['21', '22', '25', '56'] -> ((22 + 56) / 25) + 21 base 7
[96] ['21', '22', '25', '64'] -> ((25 - 21) * 22) - 64 base 7
[97] ['21', '22', '26', '40'] -> ((26 + 40) / 22) + 21 base 7
[98] ['21', '22', '26', '60'] -> ((26 - 22) * 21) - 60 base 7
[99] ['21', '22', '26', '62'] -> ((22 + 62) / 26) + 21 base 7
[100] ['21', '22', '30', '41'] -> 30 - ((22 + 41) / 21) base 7
[101] ['21', '22', '30', '45'] -> 30 - ((21 + 45) / 22) base 7
[102] ['21', '22', '30', '65'] -> ((22 + 65) / 30) + 21 base 7
[103] ['1', '31', '36', '62'] -> 36 / ((31 / 62) + 1) base 7
[104] ['21', '22', '31', '41'] -> ((21 + 41) / 31) + 22 base 7
[105] ['21', '22', '31', '60'] -> ((21 * 31) - 60) / 22 base 7
[106] ['21', '22', '31', '62'] -> 31 - ((22 + 62) / 21) base 7
[107] ['21', '22', '32', '34'] -> ((32 + 34) / 22) + 21 base 7
[108] ['21', '22', '32', '43'] -> ((21 + 43) / 32) + 22 base 7
[109] ['21', '22', '33', '45'] -> ((21 + 45) / 33) + 22 base 7
[110] ['21', '22', '34', '50'] -> ((21 + 50) / 34) + 22 base 7
[111] ['21', '22', '35', '52'] -> ((21 + 52) / 35) + 22 base 7
[112] ['21', '22', '36', '42'] -> (21 * 42) - (22 * 36) base 7
[113] ['21', '22', '41', '61'] -> ((21 + 61) / 41) + 22 base 7
[114] ['1', '1', '33', '45'] -> (1 + 1) * (45 - 33) base 7
[115] ['1', '31', '41', '51'] -> 41 / ((31 / 51) + 1) base 7
[116] ['21', '22', '43', '65'] -> ((21 + 65) / 43) + 22 base 7
[117] ['21', '22', '45', '46'] -> (22 * 45) - (21 * 46) base 7
[118] ['21', '22', '60', '64'] -> (21 * 64) - (22 * 60) base 7
[119] ['21', '23', '25', '55'] -> ((23 + 55) / 25) + 21 base 7
[120] ['21', '23', '26', '31'] -> ((23 - 21) * 26) - 31 base 7
[121] ['21', '23', '26', '36'] -> ((26 - 23) * 21) - 36 base 7
[122] ['21', '23', '26', '43'] -> ((26 + 43) / 23) + 21 base 7
[123] ['21', '23', '26', '54'] -> (21 + 54) / (26 - 23) base 7
[124] ['21', '23', '26', '61'] -> ((23 + 61) / 26) + 21 base 7
[125] ['21', '23', '30', '40'] -> 30 - ((23 + 40) / 21) base 7
[126] ['1', '31', '43', '62'] -> ((43 / 31) - 1) * 62 base 7
[127] ['21', '23', '30', '60'] -> ((30 - 23) * 21) - 60 base 7
[128] ['21', '23', '30', '64'] -> ((23 + 64) / 30) + 21 base 7
[129] ['21', '23', '31', '33'] -> ((21 * 31) - 33) / 23 base 7
[130] ['21', '23', '31', '35'] -> ((23 - 21) * 31) - 35 base 7
[131] ['21', '23', '31', '61'] -> 31 - ((23 + 61) / 21) base 7
[132] ['21', '23', '33', '36'] -> ((33 + 36) / 23) + 21 base 7
[133] ['21', '23', '34', '35'] -> ((34 + 35) / 23) + 21 base 7
[134] ['21', '23', '34', '44'] -> ((23 - 21) * 34) - 44 base 7
[135] ['21', '23', '35', '46'] -> ((23 - 21) * 35) - 46 base 7
[136] ['21', '23', '40', '53'] -> ((23 - 21) * 40) - 53 base 7
[137] ['1', '31', '45', '46'] -> ((46 / 31) - 1) * 45 base 7
[138] ['21', '23', '41', '55'] -> ((23 - 21) * 41) - 55 base 7
[139] ['21', '23', '43', '62'] -> ((23 - 21) * 43) - 62 base 7
[140] ['21', '23', '44', '45'] -> ((23 * 45) + 21) / 44 base 7
[141] ['21', '23', '51', '54'] -> ((23 * 54) - 21) / 51 base 7
[142] ['21', '23', '51', '60'] -> (21 * 60) - (23 * 51) base 7
[143] ['21', '23', '54', '61'] -> (23 * 54) - (21 * 61) base 7
[144] ['21', '25', '25', '53'] -> ((25 + 53) / 25) + 21 base 7
[145] ['21', '25', '26', '52'] -> ((26 + 52) / 25) + 21 base 7
[146] ['21', '25', '26', '56'] -> ((25 + 56) / 26) + 21 base 7
[147] ['21', '25', '30', '30'] -> (21 + 30) / (30 - 25) base 7
[148] ['1', '31', '45', '63'] -> 63 / ((45 / 31) + 1) base 7
[149] ['21', '25', '30', '32'] -> ((25 * 30) + 21) / 32 base 7
[150] ['21', '25', '30', '36'] -> ((21 * 30) + 36) / 25 base 7
[151] ['21', '25', '30', '60'] -> 30 - ((21 + 60) / 25) base 7
[152] ['21', '25', '30', '62'] -> ((25 + 62) / 30) + 21 base 7
[153] ['21', '25', '31', '36'] -> ((31 - 25) * 21) - 36 base 7
[154] ['21', '25', '31', '50'] -> ((31 + 50) / 25) + 21 base 7
[155] ['21', '25', '31', '54'] -> (21 + 54) / (31 - 25) base 7
[156] ['21', '25', '31', '56'] -> 31 - ((25 + 56) / 21) base 7
[157] ['21', '25', '31', '65'] -> ((25 + 65) / 31) + 21 base 7
[158] ['21', '25', '32', '46'] -> ((32 + 46) / 25) + 21 base 7
[159] ['1', '31', '55', '55'] -> (1 - (31 / 55)) * 55 base 7
[160] ['21', '25', '32', '60'] -> ((32 - 25) * 21) - 60 base 7
[161] ['21', '25', '33', '45'] -> ((33 + 45) / 25) + 21 base 7
[162] ['21', '25', '33', '66'] -> (33 + 66) / (25 - 21) base 7
[163] ['21', '25', '34', '44'] -> ((34 + 44) / 25) + 21 base 7
[164] ['21', '25', '34', '45'] -> ((21 * 34) - 45) / 25 base 7
[165] ['21', '25', '35', '43'] -> ((35 + 43) / 25) + 21 base 7
[166] ['21', '25', '35', '64'] -> (35 + 64) / (25 - 21) base 7
[167] ['21', '25', '36', '42'] -> ((36 + 42) / 25) + 21 base 7
[168] ['21', '25', '36', '45'] -> (25 * 36) - (21 * 45) base 7
[169] ['21', '25', '36', '63'] -> (36 + 63) / (25 - 21) base 7
[170] ['1', '32', '32', '51'] -> 51 / ((32 / 32) + 1) base 7
[171] ['21', '25', '40', '41'] -> ((40 + 41) / 25) + 21 base 7
[172] ['21', '25', '42', '60'] -> (42 + 60) / (25 - 21) base 7
[173] ['21', '25', '43', '56'] -> (43 + 56) / (25 - 21) base 7
[174] ['21', '25', '44', '55'] -> (44 + 55) / (25 - 21) base 7
[175] ['21', '25', '45', '46'] -> ((25 * 45) - 21) / 46 base 7
[176] ['21', '25', '45', '54'] -> (45 + 54) / (25 - 21) base 7
[177] ['21', '25', '45', '61'] -> (21 * 61) - (25 * 45) base 7
[178] ['21', '25', '46', '53'] -> (46 + 53) / (25 - 21) base 7
[179] ['21', '25', '50', '52'] -> (50 + 52) / (25 - 21) base 7
[180] ['21', '25', '54', '60'] -> ((25 * 54) + 21) / 60 base 7
[181] ['1', '32', '32', '56'] -> ((56 / 32) - 1) * 32 base 7
[182] ['21', '26', '26', '55'] -> ((26 + 55) / 26) + 21 base 7
[183] ['21', '26', '30', '31'] -> (21 + 30) / (31 - 26) base 7
[184] ['21', '26', '30', '54'] -> ((30 + 54) / 26) + 21 base 7
[185] ['21', '26', '30', '61'] -> ((26 + 61) / 30) + 21 base 7
[186] ['21', '26', '31', '41'] -> 26 - ((21 + 41) / 31) base 7
[187] ['21', '26', '31', '53'] -> ((31 + 53) / 26) + 21 base 7
[188] ['21', '26', '31', '55'] -> 31 - ((26 + 55) / 21) base 7
[189] ['21', '26', '32', '36'] -> ((32 - 26) * 21) - 36 base 7
[190] ['21', '26', '32', '43'] -> 26 - ((21 + 43) / 32) base 7
[191] ['21', '26', '32', '52'] -> ((32 + 52) / 26) + 21 base 7
[192] ['1', '32', '34', '44'] -> ((32 * 34) + 1) / 44 base 7
[193] ['21', '26', '32', '54'] -> (21 + 54) / (32 - 26) base 7
[194] ['21', '26', '33', '45'] -> 26 - ((21 + 45) / 33) base 7
[195] ['21', '26', '33', '60'] -> ((33 - 26) * 21) - 60 base 7
[196] ['21', '26', '35', '42'] -> ((21 * 35) - 42) / 26 base 7
[197] ['21', '26', '35', '46'] -> ((35 + 46) / 26) + 21 base 7
[198] ['21', '26', '35', '52'] -> 26 - ((21 + 52) / 35) base 7
[199] ['21', '26', '36', '45'] -> ((36 + 45) / 26) + 21 base 7
[200] ['21', '26', '36', '54'] -> 26 - ((21 + 54) / 36) base 7
[201] ['21', '26', '40', '44'] -> ((40 + 44) / 26) + 21 base 7
[202] ['21', '26', '41', '43'] -> ((41 + 43) / 26) + 21 base 7
[203] ['1', '32', '34', '50'] -> (1 + 50) / (34 - 32) base 7
[204] ['21', '26', '41', '61'] -> 26 - ((21 + 61) / 41) base 7
[205] ['21', '26', '43', '65'] -> 26 - ((21 + 65) / 43) base 7
[206] ['21', '26', '60', '66'] -> (60 + 66) / (26 - 21) base 7
[207] ['21', '26', '61', '65'] -> (61 + 65) / (26 - 21) base 7
[208] ['21', '26', '62', '64'] -> (62 + 64) / (26 - 21) base 7
[209] ['21', '26', '63', '63'] -> (63 + 63) / (26 - 21) base 7
[210] ['21', '30', '30', '32'] -> (21 + 30) / (32 - 30) base 7
[211] ['21', '30', '30', '66'] -> 30 - ((21 + 66) / 30) base 7
[212] ['21', '30', '31', '32'] -> 30 - ((31 + 32) / 21) base 7
[213] ['21', '30', '31', '54'] -> 31 - ((30 + 54) / 21) base 7
[214] ['1', '32', '34', '53'] -> (53 / (34 - 32)) - 1 base 7
[215] ['21', '30', '31', '56'] -> ((31 + 56) / 30) + 21 base 7
[216] ['21', '30', '31', '63'] -> ((30 + 63) / 31) + 21 base 7
[217] ['21', '30', '31', '66'] -> ((21 * 31) + 66) / 30 base 7
[218] ['21', '30', '32', '34'] -> (21 + 30) / (34 - 32) base 7
[219] ['21', '30', '32', '41'] -> ((21 * 41) - 30) / 32 base 7
[220] ['21', '30', '32', '45'] -> ((21 * 32) + 45) / 30 base 7
[221] ['21', '30', '32', '55'] -> ((32 + 55) / 30) + 21 base 7
