[98462] ['7/9', '8/7', '4', '4', '9/2'] -> ((7/9 * 9/2) * (4 - (8/7 - 4)))
[98463] ['5/6', '9/7', '9/7', '2', '4'] -> (4 / (2 - (5/6 + (9/7 / 9/7))))
[98464] ['5/7', '7/9', '3', '9/2', '8'] -> (8 + (9/2 * (3 + (5/7 * 7/9))))
[98465] ['1/5', '5/8', '1', '1', '7/4'] -> (((1 + 1) + (7/4 / 5/8)) / 1/5)
[98466] ['1/4', '7/9', '7/5', '8', '8'] -> (7/9 * (8 + (8 / (1/4 * 7/5))))
[98467] ['1/2', '5/7', '6/7', '1', '3'] -> ((6/7 + (3 / 1/2)) / (1 - 5/7))
[98468] ['1/6', '5/9', '7/8', '5', '9'] -> ((5/9 * 5) * (9 / (1/6 + 7/8)))
[98469] ['3/7', '3/4', '3', '9/2', '9'] -> ((9 / 3/7) - (3 - (9/2 / 3/4)))
[98470] ['1/5', '5/8', '1', '1', '9/4'] -> (1 + ((1 + (9/4 / 5/8)) / 1/5))
[98471] ['1/3', '3/5', '5/7', '6', '7'] -> ((3/5 - 6) + (7 / (1/3 * 5/7)))
[98472] ['1/4', '3/5', '1', '2', '9/4'] -> (1 + ((2 + (9/4 / 3/5)) / 1/4))
[98473] ['1/5', '5/8', '1', '1', '7/3'] -> (1 / ((1/5 * (1 + 7/3)) - 5/8))
[98474] ['3/7', '7/9', '7/8', '3', '9'] -> (9 / (3 - (7/8 / (3/7 * 7/9))))
[98475] ['7/9', '7/6', '9/7', '4', '4'] -> ((9/7 * 4) * (4 + (7/9 / 7/6)))
[98476] ['1/4', '3/5', '1', '2', '7/3'] -> (((1 / 3/5) + (2 + 7/3)) / 1/4)
[98477] ['4/9', '5/7', '8/3', '6', '9'] -> (8/3 / ((5/7 * (9 - 4/9)) - 6))
[98478] ['1/4', '7/9', '5/3', '8', '8'] -> (((8 / 1/4) - (5/3 * 8)) / 7/9)
[98479] ['1/3', '3/5', '7/9', '6', '7'] -> ((7/9 / 1/3) + ((6 + 7) / 3/5))
[98480] ['5/6', '9/7', '7/4', '2', '4'] -> (4 / ((9/7 / 2) - (5/6 / 7/4)))
[98481] ['5/7', '4/5', '9/8', '3', '8'] -> (((3 / (4/5 - 5/7)) - 8) / 9/8)
[98482] ['1/7', '4/5', '5/3', '8', '9'] -> (8 / ((5/3 / (1/7 / 4/5)) - 9))
[98483] ['1/5', '5/8', '1', '1', '8/3'] -> (8/3 * (1 + (1 / (1/5 * 5/8))))
[98484] ['4/9', '5/7', '7/2', '6', '9'] -> (9 / (6 - (7/2 / (4/9 / 5/7))))
[98485] ['1/4', '3/5', '1', '2', '7/2'] -> ((1 / 1/4) / (7/2 - (2 / 3/5)))
[98486] ['1/2', '5/7', '1', '5/4', '3'] -> (3 / (1 - (5/4 * (1/2 / 5/7))))
[98487] ['1/4', '4/7', '2/3', '5', '6'] -> ((1/4 + 5) * (4/7 + (2/3 * 6)))
[98488] ['1/7', '4/5', '7/4', '8', '9'] -> ((4/5 * 7/4) * (9 + (1/7 + 8)))
[98489] ['1/4', '7/9', '7/3', '8', '8'] -> ((8 / 7/9) + (8 / (1/4 * 7/3)))
[98490] ['7/9', '7/6', '7/4', '4', '4'] -> ((4 + (7/6 / 7/4)) / (7/9 / 4))
[98491] ['9/8', '9/8', '6/5', '5', '9'] -> ((6/5 * 5) * (9 / (9/8 + 9/8)))
[98492] ['1/4', '4/7', '7/9', '5', '6'] -> ((7/9 * 6) * (5 + (1/4 * 4/7)))
[98493] ['1/3', '3/5', '9/8', '6', '7'] -> (9/8 * (((6 + 7) / 3/5) - 1/3))
