[26854] ['1/7', '3/7', '1', '5/2', '5'] -> (((3/7 + 1) + (5 / 5/2)) / 1/7)
[26855] ['2/7', '3/5', '7/4', '2', '6'] -> ((2 + (6 / 3/5)) / (2/7 * 7/4))
[26856] ['2/7', '3/5', '2/3', '7', '7'] -> (2/3 + ((2/7 / 3/5) * (7 * 7)))
[26857] ['5/7', '1', '8/7', '8/5', '8'] -> (8 * (8/7 + (5/7 * (1 + 8/5))))
[26858] ['1/7', '7/8', '2', '9/2', '7'] -> (2 * ((9/2 / 7/8) - (1/7 - 7)))
[26859] ['1/3', '3/4', '8/7', '7', '9'] -> (8/7 * (((7 + 9) / 3/4) - 1/3))
[26860] ['1/6', '9/7', '7/3', '5', '5'] -> (((9/7 * 7/3) + (5 / 5)) / 1/6)
[26861] ['1/2', '7/9', '9/8', '2', '8'] -> (8 * (7/9 + ((1/2 + 2) / 9/8)))
[26862] ['4/7', '7/8', '7/5', '6', '7'] -> (7/5 / ((6 / (7 - 4/7)) - 7/8))
[26863] ['1/7', '8/9', '8/9', '2', '7'] -> (((7 / 1/7) - (8/9 / 8/9)) / 2)
[26864] ['3/8', '2/5', '3/5', '5', '7'] -> ((2/5 + (3/5 / 3/8)) * (5 + 7))
[26865] ['2/5', '3/5', '9/7', '2', '3'] -> ((9/7 + 3) * (3/5 + (2 / 2/5)))
[26866] ['4/7', '7/9', '3/2', '8', '9'] -> ((8 / (4/7 * 7/9)) + (9 / 3/2))
[26867] ['3/8', '9/7', '7/3', '4', '5'] -> (9/7 / (((5 - 4) / 7/3) - 3/8))
[26868] ['1/7', '8/9', '9/8', '2', '7'] -> (((7 / 1/7) - (8/9 * 9/8)) / 2)
[26869] ['1/7', '4/9', '5/9', '1', '5'] -> ((5 * (1 + (5/9 / 1/7))) - 4/9)
[26870] ['2/5', '3/5', '4/3', '2', '3'] -> ((3/5 + 3) * (2 / (2/5 / 4/3)))
[26871] ['3/8', '2/5', '2/3', '5', '7'] -> ((5 * (2/5 + 2/3)) + (7 / 3/8))
[26872] ['1/3', '3/4', '7/5', '7', '9'] -> (3/4 * ((7 / 7/5) + (9 / 1/3)))
[26873] ['1/2', '7/9', '5/4', '2', '8'] -> ((2 + (7/9 / 1/2)) * (8 - 5/4))
[26874] ['5/7', '1', '7/6', '5/4', '8'] -> (8 / (1 - ((5/7 * 7/6) / 5/4)))
