[35805] ['7/6', '7/6', '9/5', '2', '8'] -> (8 / ((9/5 * (2 - 7/6)) - 7/6))
[35806] ['1', '8/7', '8/5', '9/4', '3'] -> (9/4 / ((3 / (8/7 + 8/5)) - 1))
[35807] ['1/8', '1/8', '1', '5/4', '9'] -> (9 / ((1/8 / (5/4 - 1)) - 1/8))
[35808] ['5/8', '8/7', '7/6', '4', '5'] -> ((5 / (5/8 * 8/7)) / (7/6 / 4))
[35809] ['2/7', '3/5', '3/5', '5', '5'] -> (((3/5 + 5) / 2/7) - (3/5 - 5))
[35810] ['5/9', '9/7', '9/7', '5', '7'] -> ((9/7 + (5/9 * 9/7)) * (5 + 7))
[35811] ['8/7', '7/3', '9/2', '6', '7'] -> ((8/7 * 6) * ((7/3 * 9/2) - 7))
[35812] ['1/9', '7/4', '3', '3', '7/2'] -> ((3 + 3) + (7/2 / (1/9 * 7/4)))
[35813] ['4/7', '5/8', '2', '7/3', '6'] -> ((6 / (5/8 - 4/7)) / (2 * 7/3))
[35814] ['1/8', '1/8', '1', '9/7', '9'] -> (((9 / 9/7) - 1) / (1/8 + 1/8))
[35815] ['1', '8/7', '8/5', '7/3', '3'] -> ((8/5 * 7/3) * (3 * (1 + 8/7)))
[35816] ['5/9', '9/8', '8/3', '7', '9'] -> (7 / (9/8 * (5/9 - (8/3 / 9))))
[35817] ['2/7', '7/8', '6/5', '2', '7'] -> ((6/5 / (2/7 * 7/8)) * (7 - 2))
[35818] ['1/9', '7/4', '3', '3', '9/2'] -> ((9/2 * (1/9 + 3)) / (7/4 / 3))
[35819] ['2/7', '3/8', '2/5', '7', '8'] -> (7 * ((2/7 / (2/5 - 3/8)) - 8))
[35820] ['8/7', '5/2', '8/3', '6', '7'] -> ((8/7 + (5/2 / 7)) * (8/3 * 6))
[35821] ['4/7', '6/5', '2', '9/4', '3'] -> ((6/5 + 2) * (9/4 + (3 / 4/7)))
[35822] ['4/7', '5/8', '2', '9/2', '6'] -> ((9/2 + 6) / (5/8 / (2 - 4/7)))
[35823] ['1/9', '9/5', '9/4', '3', '3'] -> ((9/5 / 9/4) * (3 + (3 / 1/9)))
[35824] ['5/9', '9/8', '9/2', '7', '9'] -> ((9 * ((9/2 / 9/8) - 5/9)) - 7)
[35825] ['2/7', '3/8', '4/9', '7', '8'] -> ((8 / (2/7 * 3/8)) / (4/9 * 7))
[35826] ['5/9', '9/7', '8/5', '5', '7'] -> ((5/9 + (5 / 9/7)) * (7 - 8/5))
[35827] ['1/8', '1/7', '1/6', '1', '9'] -> (1 / ((1/6 / 1/7) - (1/8 * 9)))
[35828] ['5/9', '8/7', '8/7', '7', '9'] -> (8/7 / ((8/7 / 9) - (5/9 / 7)))
[35829] ['2/7', '3/8', '5/9', '7', '8'] -> ((8 + (7 * (2/7 / 3/8))) / 5/9)
[35830] ['1/8', '1/7', '1/5', '1', '9'] -> (9 / (1/5 * (1 + (1/8 / 1/7))))
[35831] ['7/6', '7/6', '7/6', '6', '7'] -> ((7 - (7/6 + 7/6)) / (7/6 / 6))
[35832] ['1', '8/7', '8/5', '3', '7/2'] -> ((1 + (8/7 * 7/2)) * (8/5 * 3))
[35833] ['5/8', '8/7', '5/3', '4', '5'] -> ((4 * 5) / ((5/3 / 8/7) - 5/8))
[35834] ['7/6', '6/5', '2', '9/4', '8'] -> (8 / (6/5 * (7/6 - (2 / 9/4))))
[35835] ['2/7', '3/5', '7/9', '5', '5'] -> ((5 + (5 / 7/9)) / (2/7 / 3/5))
[35836] ['8/9', '7/5', '9/2', '8', '9'] -> ((8/9 + 8) * (9 - (7/5 * 9/2)))
[35837] ['4/7', '6/5', '2', '8/3', '3'] -> ((6/5 * 3) * (2 + (8/3 / 4/7)))
[35838] ['5/9', '9/7', '9/5', '5', '7'] -> (5/9 * ((7 * (9/7 * 5)) - 9/5))
[35839] ['7/6', '7/6', '7/5', '6', '7'] -> (6 * ((7 / 7/5) - (7/6 / 7/6)))
[35840] ['2/7', '3/5', '4/5', '5', '5'] -> ((3/5 + 5) * (2/7 + (4/5 * 5)))
[35841] ['5/8', '8/7', '9/5', '4', '5'] -> (9/5 / ((4 / (8/7 * 5)) - 5/8))
[35842] ['4/7', '2/3', '6/5', '2', '6'] -> ((6 / (4/7 - (2/3 / 2))) - 6/5)
[35843] ['3/7', '3/5', '7/6', '7', '7'] -> (((7 / 3/7) + (7 / 3/5)) / 7/6)
[35844] ['1/8', '1/7', '3/8', '1', '9'] -> (3/8 / (1/8 - (1 / (1/7 + 9))))
