[53707] ['1/3', '9/7', '3/2', '3', '3'] -> ((3 + (3 / 9/7)) / (1/3 / 3/2))
[53708] ['5/6', '7/8', '8/9', '6', '9'] -> ((9 / 6) / ((5/6 / 8/9) - 7/8))
[53709] ['1/7', '7/6', '7/6', '4', '9'] -> (9 * (4 - (7/6 + (1/7 * 7/6))))
[53710] ['1/6', '1/5', '2', '2', '9/4'] -> ((2 / 1/5) / (9/4 + (1/6 - 2)))
[53711] ['2/9', '2/9', '5/8', '9', '9'] -> (9 / ((2/9 + 2/9) - (5/8 / 9)))
[53712] ['3/5', '9/5', '9/5', '5', '5'] -> ((9/5 * 5) + (5 / (3/5 / 9/5)))
[53713] ['1/3', '9/7', '5/3', '3', '3'] -> ((3 - 9/7) / (1/3 / (5/3 + 3)))
[53714] ['1/7', '1/4', '8/9', '2', '5'] -> (8/9 * ((5 / 1/7) - (2 / 1/4)))
[53715] ['4/5', '7/8', '4/3', '7', '7'] -> ((7 + (7 / 4/5)) / (7/8 / 4/3))
[53716] ['3/5', '9/5', '9/4', '5', '5'] -> (5 * ((3/5 + 5) - (9/5 / 9/4)))
[53717] ['1/7', '7/6', '7/5', '4', '9'] -> ((4 / 7/5) / ((1/7 * 9) - 7/6))
[53718] ['1/7', '7/6', '9/5', '4', '9'] -> ((7/6 * 4) * (1/7 + (9 / 9/5)))
[53719] ['1/7', '1/6', '1/6', '5', '8'] -> (8 / ((1/6 / 1/7) - (1/6 * 5)))
[53720] ['2/7', '7/9', '1', '9/8', '7'] -> ((7 - 1) / (9/8 * (2/7 * 7/9)))
[53721] ['4/5', '7/8', '5/3', '7', '7'] -> ((7 + (4/5 * 7)) / (7/8 / 5/3))
[53722] ['1/8', '2/5', '7/2', '8', '8'] -> (((8 / 1/8) + (8 / 2/5)) / 7/2)
[53723] ['1/7', '1/4', '7/5', '2', '5'] -> ((7/5 + 5) * (2 + (1/4 / 1/7)))
[53724] ['1/7', '3/5', '2', '4', '9/2'] -> ((4 / 1/7) / (9/2 - (2 / 3/5)))
[53725] ['3/8', '5/7', '6/5', '4', '8'] -> ((4 / (3/8 / 6/5)) + (8 / 5/7))
[53726] ['2/7', '1', '9/8', '9/5', '4'] -> ((1 + (4 / 2/7)) / (9/8 / 9/5))
[53727] ['4/5', '7/8', '7/4', '7', '7'] -> (((7/4 * 7) + (7 / 4/5)) / 7/8)
[53728] ['1/7', '5/8', '5/8', '2', '4'] -> ((2 + (4 / 1/7)) / (5/8 + 5/8))
[53729] ['3/8', '5/7', '5/4', '4', '8'] -> (((8 / 5/7) - 4) / (3/8 / 5/4))
[53730] ['3/5', '3/5', '7/9', '4', '7'] -> (4 * (3/5 + (7 * (3/5 / 7/9))))
[53731] ['4/5', '7/8', '9/4', '7', '7'] -> (9/4 / ((7/8 / 4/5) - (7 / 7)))
[53732] ['2/7', '1', '9/8', '7/3', '4'] -> ((1 / 7/3) / ((2/7 * 4) - 9/8))
[53733] ['1/7', '5/8', '2/3', '2', '4'] -> (((2 / 1/7) - 4) / (5/8 * 2/3))
[53734] ['1/5', '3/7', '9/7', '6', '6'] -> ((3/7 / ((9/7 / 6) - 1/5)) - 6)
[53735] ['1/7', '7/6', '4', '9/2', '9'] -> (4 * (9/2 + (9 * (1/7 * 7/6))))
[53736] ['3/5', '3/5', '5/6', '4', '7'] -> (4 * (7 - (5/6 * (3/5 + 3/5))))
[53737] ['3/8', '5/7', '4/3', '4', '8'] -> ((((8 / 3/8) - 4/3) / 5/7) - 4)
[53738] ['2/7', '7/9', '1', '6/5', '7'] -> ((7 - (1 / 7/9)) / (2/7 / 6/5))
[53739] ['4/5', '7/8', '7/3', '7', '7'] -> ((7 * 7) / ((7/3 / 4/5) - 7/8))
[53740] ['3/5', '3/5', '8/9', '4', '7'] -> (8/9 * ((4 * 7) - (3/5 / 3/5)))
[53741] ['1/6', '2/9', '5/6', '2', '2'] -> ((2 - (1/6 - 5/6)) / (2/9 / 2))
[53742] ['3/8', '5/7', '3/2', '4', '8'] -> (((3/2 + 8) / (5/7 - 3/8)) - 4)
[53743] ['1/5', '3/7', '3/2', '6', '6'] -> (3/2 * ((6 / 1/5) - (6 / 3/7)))
[53744] ['1/6', '2/9', '6/7', '2', '2'] -> (2 / ((1/6 / 6/7) - (2/9 / 2)))
[53745] ['3/8', '5/7', '8/5', '4', '8'] -> (5/7 * (8/5 + ((4 + 8) / 3/8)))
[53746] ['1/7', '5/8', '5/6', '2', '4'] -> ((4 + (2 / 1/7)) / (5/8 / 5/6))
[53747] ['4/5', '7/8', '7/2', '7', '7'] -> ((7/2 + ((7 + 7) / 4/5)) / 7/8)
[53748] ['3/5', '3/5', '3/2', '4', '7'] -> (4 * (7 - (3/5 + (3/5 / 3/2))))
[53749] ['1/7', '1/6', '4/9', '5', '8'] -> (8 / (1/7 * (5 - (4/9 / 1/6))))
[53750] ['3/5', '7/3', '7/2', '5', '5'] -> ((5 * (3/5 + 5)) / (7/2 - 7/3))
[53751] ['1/7', '6/5', '9/7', '4', '9'] -> (((4 * 9) / (1/7 + 9/7)) - 6/5)
[53752] ['3/8', '5/7', '5/3', '4', '8'] -> (8 / (5/7 - (5/3 / (3/8 + 4))))
[53753] ['4/5', '7/8', '9/2', '7', '7'] -> (7/8 + ((7 + (9/2 + 7)) / 4/5))
[53754] ['1/7', '2/7', '4/9', '2', '5'] -> (4/9 * (5 + (2 / (1/7 * 2/7))))
[53755] ['1/7', '1/6', '5/9', '5', '8'] -> ((1/7 + 5) * (8 - (5/9 / 1/6)))
[53756] ['2/9', '2/9', '6/5', '9', '9'] -> ((2/9 + (2/9 * 9)) * (6/5 * 9))
[53757] ['2/7', '1', '8/7', '9/7', '4'] -> (((1 + 9/7) + (8/7 * 4)) / 2/7)
[53758] ['1/6', '2/9', '8/7', '2', '2'] -> (8/7 * ((2 / 1/6) + (2 / 2/9)))
[53759] ['1/7', '2/7', '5/9', '2', '5'] -> (((5 / 5/9) - (1/7 + 2)) / 2/7)
[53760] ['2/9', '2/9', '5/4', '9', '9'] -> ((2/9 * 9) / (2/9 - (5/4 / 9)))
[53761] ['1/6', '2/9', '6/5', '2', '2'] -> ((2/9 + 2) * ((2 / 1/6) - 6/5))
[53762] ['3/5', '3/5', '5/2', '4', '7'] -> (4 + (5/2 * (7 + (3/5 / 3/5))))
[53763] ['5/6', '8/9', '8/5', '6', '9'] -> ((6 * 9) * ((5/6 * 8/5) - 8/9))
[53764] ['2/7', '7/9', '1', '3/2', '7'] -> ((1 + 7) / (3/2 * (2/7 * 7/9)))
[53765] ['3/8', '5/7', '5/2', '4', '8'] -> (4 + ((5/2 + 8) / (3/8 / 5/7)))
[53766] ['1/7', '1/6', '5/8', '5', '8'] -> ((5 + 8) / ((1/6 / 1/7) - 5/8))
[53767] ['1/7', '6/5', '5/3', '4', '9'] -> ((4 / 6/5) + (9 + (5/3 / 1/7)))
[53768] ['3/8', '5/7', '8/3', '4', '8'] -> ((8 / ((3/8 * 8/3) - 5/7)) - 4)
[53769] ['5/8', '5/8', '5/7', '5', '5'] -> (((5 / 5/8) + (5 / 5/7)) / 5/8)
[53770] ['1/3', '7/5', '3', '3', '7/2'] -> (7/2 * ((3 / 1/3) - (3 / 7/5)))
[53771] ['3/5', '5/8', '5/7', '4', '7'] -> ((4 + (5/7 * 7)) / (3/5 * 5/8))
[53772] ['2/9', '2/9', '7/4', '9', '9'] -> ((9 + 9) / (7/4 - (2/9 / 2/9)))
[53773] ['1/6', '2/9', '8/5', '2', '2'] -> (2 / ((2/9 / 1/6) - (2 / 8/5)))
[53774] ['3/8', '5/7', '4', '9/2', '8'] -> (((8 + (9/2 / 3/8)) / 5/7) - 4)
[53775] ['3/5', '5/8', '7/9', '4', '7'] -> ((5/8 * 4) * (3/5 + (7 / 7/9)))
[53776] ['5/6', '9/8', '8/7', '6', '9'] -> ((9 / (9/8 - 5/6)) - (8/7 * 6))
[53777] ['2/9', '2/9', '9/5', '9', '9'] -> ((2/9 + (2/9 * 9)) * (9/5 + 9))
[53778] ['1/3', '3/2', '9/5', '3', '3'] -> ((3/2 * (1/3 + 3)) * (9/5 + 3))
[53779] ['1/5', '4/9', '1/2', '6', '6'] -> (4/9 * ((6 / (1/5 * 1/2)) - 6))
[53780] ['1/7', '5/8', '9/7', '2', '4'] -> (((9/7 / 1/7) + (2 + 4)) / 5/8)
[53781] ['2/7', '7/9', '1', '9/5', '7'] -> ((7/9 + 7) * (9/5 + (2/7 + 1)))
[53782] ['1/7', '1/6', '4/5', '5', '8'] -> (((4/5 / 1/7) - (8 / 5)) / 1/6)
[53783] ['2/7', '1', '7/6', '8/5', '4'] -> ((1 + 4) * (8/5 / (2/7 * 7/6)))
[53784] ['1/7', '5/8', '4/3', '2', '4'] -> (4 / (1/7 * (2 - (5/8 * 4/3))))
[53785] ['1/6', '1/4', '3/7', '2', '2'] -> ((2 + (2 / 1/6)) / (1/4 / 3/7))
[53786] ['5/8', '5/8', '8/7', '5', '5'] -> ((5 + (5 / 8/7)) / (5/8 * 5/8))
[53787] ['1/5', '4/9', '5/8', '6', '6'] -> (4/9 * (6 + (6 / (1/5 * 5/8))))
[53788] ['1/8', '3/7', '7/5', '8', '8'] -> (8 + (7/5 * (8 + (3/7 / 1/8))))
[53789] ['2/7', '7/9', '1', '7/2', '7'] -> (((7/9 + 7) * (7/2 - 2/7)) - 1)
[53790] ['3/8', '3/4', '9/5', '4', '8'] -> ((8 - (3/4 * 4)) / (3/8 / 9/5))
[53791] ['1/3', '8/5', '9/4', '3', '3'] -> ((3 / 1/3) / (9/4 - (3 / 8/5)))
[53792] ['3/5', '5/8', '9/8', '4', '7'] -> (4 * ((3/5 * 7) + (9/8 / 5/8)))
[53793] ['1/7', '2/7', '5/3', '2', '5'] -> ((2 + (2/7 / 5)) / (1/7 / 5/3))
[53794] ['2/9', '2/9', '9/2', '9', '9'] -> ((9/2 + 9) * ((2/9 * 9) - 2/9))
[53795] ['5/8', '5/8', '7/6', '5', '5'] -> ((5 + (5 / 5/8)) / (7/6 - 5/8))
[53796] ['1/8', '3/7', '3/2', '8', '8'] -> ((8 / (1/8 * 3/2)) - (8 / 3/7))
[53797] ['2/7', '1', '7/6', '9/4', '4'] -> (((9/4 * 4) - 1) / (2/7 * 7/6))
[53798] ['3/8', '7/9', '7/9', '4', '8'] -> ((4 / (3/8 * 7/9)) + (8 / 7/9))
[53799] ['4/5', '8/9', '8/5', '7', '7'] -> (8/5 / (7 - (8/9 * (4/5 + 7))))
[53800] ['3/5', '5/8', '9/7', '4', '7'] -> ((5/8 * 4) * (3/5 + (9/7 * 7)))
[53801] ['1/7', '2/7', '2', '9/4', '5'] -> ((5 + (2 / (1/7 * 2/7))) / 9/4)
[53802] ['2/7', '1', '7/6', '8/3', '4'] -> ((8/3 / (2/7 * 7/6)) * (4 - 1))
[53803] ['5/6', '9/8', '9/5', '6', '9'] -> ((9 + (6 / 5/6)) / (9/5 - 9/8))
[53804] ['2/7', '4/5', '5/6', '1', '7'] -> (5/6 * (4/5 + ((1 + 7) / 2/7)))
[53805] ['1/7', '1/6', '6/5', '5', '8'] -> (8 * ((5 / 6/5) - (1/6 / 1/7)))
[53806] ['1/5', '4/9', '7/9', '6', '6'] -> (6 + (6 * (7/9 + (4/9 / 1/5))))
[53807] ['3/5', '5/8', '5/3', '4', '7'] -> (5/3 + ((7 + (4 / 5/8)) / 3/5))
[53808] ['1/7', '5/4', '5/4', '4', '9'] -> ((5/4 * 9) + (4 + (5/4 / 1/7)))
[53809] ['2/7', '1', '6/5', '6/5', '4'] -> (6/5 / ((6/5 / (2/7 * 4)) - 1))
[53810] ['5/8', '5/8', '7/4', '5', '5'] -> (5 + ((5/8 + 7/4) / (5/8 / 5)))
[53811] ['1/7', '5/4', '9/7', '4', '9'] -> (((4 * (9 - 5/4)) - 1/7) / 9/7)
[53812] ['2/7', '1', '6/5', '5/4', '4'] -> (5/4 * (1 + ((6/5 + 4) / 2/7)))
[53813] ['5/8', '5/8', '9/5', '5', '5'] -> ((5 * (9/5 + (5/8 * 5))) - 5/8)
[53814] ['4/5', '8/9', '9/5', '7', '7'] -> (9/5 / ((7 / 8/9) - (4/5 + 7)))
[53815] ['1/7', '5/8', '2', '5/2', '4'] -> ((2 / (1/7 * 5/8)) + (4 / 5/2))
[53816] ['1/7', '5/4', '4/3', '4', '9'] -> ((9 + (4 / (1/7 * 4/3))) / 5/4)
