[435338] ['1/4', '1/5', '7/4', '8/5', '8/9'] -> ((((7/4 / 1/4) - 8/5) / 1/5) * 8/9)
[435343] ['1/4', '1/5', '7/4', '8/5', '9/8'] -> ((((7/4 / 1/4) - 8/5) / 1/5) / 9/8)
[435346] ['1/4', '1/5', '7/4', '8/7', '9/2'] -> (9/2 / (7/4 * ((1/4 / 1/5) - 8/7)))
[435348] ['1/4', '1/5', '7/4', '8/7', '9/5'] -> (9/5 / (1/5 - ((1/4 / 7/4) / 8/7)))
[435374] ['1/4', '1/5', '7/5', '7/5', '7/8'] -> ((((7/5 / 1/4) - 7/5) / 1/5) / 7/8)
[435378] ['1/4', '1/5', '7/5', '7/5', '8/7'] -> ((((7/5 / 1/4) - 7/5) / 1/5) * 8/7)
[435404] ['1/4', '1/5', '7/5', '7/8', '9/4'] -> (9/4 / ((1/4 - (1/5 / 7/5)) * 7/8))
[435412] ['1/4', '1/5', '7/5', '7/9', '8/9'] -> ((((7/5 / 1/5) - 7/9) / 1/4) - 8/9)
[435421] ['1/4', '1/5', '7/5', '8/3', '8/9'] -> ((8/3 / (1/4 - (1/5 / 7/5))) - 8/9)
[435424] ['1/4', '1/5', '7/5', '8/3', '9/5'] -> (9/5 / (((7/5 / 8/3) - 1/4) - 1/5))
[435430] ['1/4', '1/5', '7/5', '8/5', '9/2'] -> (((8/5 / (7/5 - 1/5)) / 1/4) * 9/2)
[435433] ['1/4', '1/5', '7/5', '8/5', '9/7'] -> (9/7 / ((1/4 / 7/5) - (1/5 / 8/5)))
[435438] ['1/4', '1/5', '7/5', '8/7', '9/4'] -> ((8/7 / (1/4 - (1/5 / 7/5))) * 9/4)
[435440] ['1/4', '1/5', '7/5', '8/7', '9/7'] -> (9/7 / ((1/4 - (1/5 / 8/7)) / 7/5))
[435450] ['1/4', '1/5', '7/5', '9/2', '9/5'] -> (9/5 / ((7/5 - (1/4 * 9/2)) - 1/5))
[435463] ['1/4', '1/5', '7/6', '7/6', '7/6'] -> ((((7/6 / 1/5) + 7/6) / 1/4) / 7/6)
[435465] ['1/4', '1/5', '7/6', '7/6', '7/9'] -> ((((7/6 / 1/5) - 7/6) / 1/4) / 7/9)
[435466] ['1/4', '1/5', '7/6', '7/6', '8/3'] -> (8/3 / ((7/6 * 7/6) - (1/4 / 1/5)))
[435473] ['1/4', '1/5', '7/6', '7/6', '9/7'] -> ((((7/6 / 1/5) - 7/6) / 1/4) * 9/7)
[435528] ['1/4', '1/5', '7/6', '9/2', '9/5'] -> (9/5 / ((1/4 - (1/5 * 7/6)) * 9/2))
[435529] ['1/4', '1/5', '7/6', '9/2', '9/7'] -> (((1/4 / 7/6) + (9/2 / 1/5)) + 9/7)
[435530] ['1/4', '1/5', '7/6', '9/2', '9/8'] -> ((((7/6 / 1/5) - 1/4) * 9/2) - 9/8)
[435534] ['1/4', '1/5', '7/6', '9/4', '9/8'] -> ((9/4 / ((1/4 / 1/5) - 7/6)) / 9/8)
[435538] ['1/4', '1/5', '7/6', '9/7', '9/7'] -> (9/7 / ((1/4 + 1/5) * (9/7 - 7/6)))
[435541] ['1/4', '1/5', '7/8', '7/8', '7/8'] -> ((((7/8 / 1/5) + 7/8) / 1/4) / 7/8)
[435543] ['1/4', '1/5', '7/8', '7/8', '8/3'] -> ((1/4 + ((7/8 + 7/8) / 1/5)) * 8/3)
[435545] ['1/4', '1/5', '7/8', '7/8', '8/7'] -> ((((7/8 / 1/5) + 7/8) / 1/4) * 8/7)
[435547] ['1/4', '1/5', '7/8', '7/8', '9/2'] -> (((7/8 + 7/8) - 1/4) + (9/2 / 1/5))
[435549] ['1/4', '1/5', '7/8', '7/8', '9/5'] -> (9/5 / (((1/4 / 7/8) - 1/5) * 7/8))
[435554] ['1/4', '1/5', '7/8', '7/9', '8/5'] -> (8/5 / (((1/4 / 7/8) - 1/5) * 7/9))
[435563] ['1/4', '1/5', '7/8', '8/3', '8/5'] -> ((((1/4 + 7/8) * 8/3) / 1/5) * 8/5)
