[568363] ['1/4', '5/3', '5/8', '5/9', '8/5'] -> (8/5 / ((1/4 / 5/8) - (5/9 / 5/3)))
[568368] ['1/4', '5/3', '5/8', '5/9', '9/5'] -> (9/5 / ((1/4 / 5/9) - (5/8 / 5/3)))
[568375] ['1/4', '5/3', '5/8', '6/5', '7/4'] -> (7/4 / ((1/4 * 5/8) * (5/3 - 6/5)))
[568381] ['1/4', '5/3', '5/8', '6/5', '8/5'] -> (8/5 / ((5/3 - (1/4 / 5/8)) - 6/5))
[568384] ['1/4', '5/3', '5/8', '6/5', '9/2'] -> (((5/3 * 6/5) / (5/8 - 1/4)) * 9/2)
[568386] ['1/4', '5/3', '5/8', '6/5', '9/5'] -> (9/5 / ((5/8 / 5/3) - (1/4 * 6/5)))
[568390] ['1/4', '5/3', '5/8', '6/7', '7/2'] -> (7/2 / (((5/8 / 5/3) - 1/4) / 6/7))
[568401] ['1/4', '5/3', '5/8', '6/7', '9/2'] -> (9/2 / (((5/8 / 5/3) / 6/7) - 1/4))
[568406] ['1/4', '5/3', '5/8', '7/2', '7/2'] -> (((5/3 * (5/8 + 7/2)) / 1/4) - 7/2)
[568410] ['1/4', '5/3', '5/8', '7/2', '7/6'] -> ((7/2 / ((5/8 / 5/3) - 1/4)) / 7/6)
[568427] ['1/4', '5/3', '5/8', '7/3', '7/9'] -> ((7/3 / ((5/8 / 5/3) - 1/4)) / 7/9)
[568431] ['1/4', '5/3', '5/8', '7/3', '8/9'] -> ((((5/3 * 7/3) / 1/4) / 5/8) - 8/9)
[568435] ['1/4', '5/3', '5/8', '7/3', '9/7'] -> ((7/3 / ((5/8 / 5/3) - 1/4)) * 9/7)
[568446] ['1/4', '5/3', '5/8', '7/4', '9/2'] -> (((1/4 + 7/4) / (5/8 / 5/3)) * 9/2)
[568449] ['1/4', '5/3', '5/8', '7/4', '9/7'] -> (9/7 / (((1/4 * 5/8) / 5/3) / 7/4))
[568451] ['1/4', '5/3', '5/8', '7/5', '7/5'] -> (7/5 / ((5/3 * (1/4 + 5/8)) - 7/5))
[568456] ['1/4', '5/3', '5/8', '7/5', '8/5'] -> (8/5 / (5/3 - (7/5 / (1/4 + 5/8))))
[568478] ['1/4', '5/3', '5/8', '7/8', '8/3'] -> (((5/3 / (7/8 - 5/8)) / 1/4) - 8/3)
[568479] ['1/4', '5/3', '5/8', '7/8', '8/5'] -> (8/5 / (1/4 * (5/3 - (7/8 / 5/8))))
