[778681] ['1/6', '1/8', '3/4', '4/3', '9/8'] -> ((((3/4 / 1/6) / 1/8) / 4/3) / 9/8)
[778686] ['1/6', '1/8', '3/4', '4/5', '5/3'] -> (((3/4 * 4/5) / (1/6 - 1/8)) * 5/3)
[778688] ['1/6', '1/8', '3/4', '4/5', '5/6'] -> ((((3/4 * 4/5) / 1/6) / 1/8) * 5/6)
[778711] ['1/6', '1/8', '3/4', '4/7', '4/9'] -> ((1/6 + ((3/4 / 1/8) / 4/7)) / 4/9)
[778713] ['1/6', '1/8', '3/4', '4/7', '5/3'] -> ((3/4 / ((1/8 / 4/7) - 1/6)) * 5/3)
[778714] ['1/6', '1/8', '3/4', '4/7', '5/4'] -> (5/4 / ((1/6 + 1/8) * (3/4 - 4/7)))
[778720] ['1/6', '1/8', '3/4', '4/7', '6/7'] -> ((((3/4 * 4/7) / 1/6) / 1/8) / 6/7)
[778722] ['1/6', '1/8', '3/4', '4/7', '7/3'] -> (((3/4 * 4/7) / (1/6 - 1/8)) * 7/3)
[778725] ['1/6', '1/8', '3/4', '4/7', '7/6'] -> ((((3/4 * 4/7) / 1/6) / 1/8) * 7/6)
[778741] ['1/6', '1/8', '3/4', '4/9', '5/6'] -> (5/6 / (1/6 * ((3/4 * 4/9) - 1/8)))
[778743] ['1/6', '1/8', '3/4', '4/9', '5/8'] -> (5/8 / ((1/8 * 3/4) * (4/9 - 1/6)))
[778744] ['1/6', '1/8', '3/4', '4/9', '5/9'] -> ((((3/4 / 1/8) / 4/9) - 1/6) / 5/9)
[778749] ['1/6', '1/8', '3/4', '4/9', '7/4'] -> (7/4 / ((3/4 * (4/9 - 1/8)) - 1/6))
[778759] ['1/6', '1/8', '3/4', '4/9', '9/4'] -> (9/4 / (3/4 - ((1/6 + 1/8) / 4/9)))
[778760] ['1/6', '1/8', '3/4', '4/9', '9/5'] -> ((((3/4 / 1/8) / 4/9) - 1/6) * 9/5)
[778762] ['1/6', '1/8', '3/4', '4/9', '9/8'] -> (9/8 / (1/8 * (3/4 - (1/6 / 4/9))))
[778764] ['1/6', '1/8', '3/4', '5/2', '5/3'] -> ((((3/4 / 1/6) / 1/8) / 5/2) * 5/3)
[778765] ['1/6', '1/8', '3/4', '5/2', '5/4'] -> (5/4 / ((1/8 * (5/2 - 3/4)) - 1/6))
[778771] ['1/6', '1/8', '3/4', '5/2', '6/7'] -> (((1/6 + (5/2 / 3/4)) / 1/8) * 6/7)
[778773] ['1/6', '1/8', '3/4', '5/2', '7/3'] -> ((((3/4 / 1/6) + 5/2) / 1/8) / 7/3)
[778776] ['1/6', '1/8', '3/4', '5/2', '7/6'] -> (((1/6 + (5/2 / 3/4)) / 1/8) / 7/6)
[778779] ['1/6', '1/8', '3/4', '5/2', '8/3'] -> (((5/2 / 1/6) - (3/4 / 1/8)) * 8/3)
[778782] ['1/6', '1/8', '3/4', '5/2', '8/9'] -> ((((5/2 - 1/6) / 1/8) / 3/4) - 8/9)
[778791] ['1/6', '1/8', '3/4', '5/3', '5/7'] -> ((5/3 / ((1/6 / 3/4) - 1/8)) / 5/7)
[778792] ['1/6', '1/8', '3/4', '5/3', '5/8'] -> (5/8 / (((1/6 * 1/8) * 3/4) * 5/3))
[778799] ['1/6', '1/8', '3/4', '5/3', '7/5'] -> ((5/3 / ((1/6 / 3/4) - 1/8)) * 7/5)
[778808] ['1/6', '1/8', '3/4', '5/3', '9/4'] -> (9/4 / (1/8 * ((5/3 - 1/6) - 3/4)))
[778813] ['1/6', '1/8', '3/4', '5/4', '5/6'] -> ((((3/4 / 1/6) / 1/8) / 5/4) * 5/6)
[778831] ['1/6', '1/8', '3/4', '5/4', '9/4'] -> ((((5/4 / 1/6) - 3/4) / 1/8) / 9/4)
[778838] ['1/6', '1/8', '3/4', '5/6', '5/9'] -> ((((3/4 / 1/6) / 1/8) / 5/6) * 5/9)
[778849] ['1/6', '1/8', '3/4', '5/6', '8/5'] -> (((3/4 * 5/6) / (1/6 - 1/8)) * 8/5)
[778852] ['1/6', '1/8', '3/4', '5/6', '9/2'] -> (((1/6 + (3/4 / 1/8)) - 5/6) * 9/2)
[778854] ['1/6', '1/8', '3/4', '5/6', '9/5'] -> ((((3/4 / 1/6) / 1/8) / 5/6) / 9/5)
[778856] ['1/6', '1/8', '3/4', '5/6', '9/8'] -> (9/8 / (3/4 * (1/6 - (1/8 * 5/6))))
[778862] ['1/6', '1/8', '3/4', '5/7', '7/2'] -> (((5/7 / (3/4 - 1/8)) / 1/6) * 7/2)
