[820735] ['1/6', '2/7', '5/3', '6/7', '7/2'] -> (7/2 / (1/6 / ((5/3 * 6/7) - 2/7)))
[820736] ['1/6', '2/7', '5/3', '6/7', '7/3'] -> (((2/7 + (5/3 * 6/7)) / 1/6) * 7/3)
[820739] ['1/6', '2/7', '5/3', '6/7', '7/6'] -> (((5/3 + (6/7 / 2/7)) / 1/6) / 7/6)
[820742] ['1/6', '2/7', '5/3', '6/7', '8/3'] -> ((1/6 + ((5/3 + 6/7) / 2/7)) * 8/3)
[820744] ['1/6', '2/7', '5/3', '6/7', '8/7'] -> (8/7 / (2/7 - ((1/6 * 5/3) * 6/7)))
[820753] ['1/6', '2/7', '5/3', '7/2', '7/4'] -> (((5/3 / 1/6) + (7/2 / 2/7)) + 7/4)
[820765] ['1/6', '2/7', '5/3', '7/2', '9/7'] -> (9/7 / (2/7 / ((1/6 + 5/3) + 7/2)))
[820769] ['1/6', '2/7', '5/3', '7/3', '7/5'] -> (((5/3 + 7/3) / (2/7 - 1/6)) / 7/5)
[820771] ['1/6', '2/7', '5/3', '7/3', '7/8'] -> ((((5/3 / 2/7) - 7/3) / 1/6) / 7/8)
[820773] ['1/6', '2/7', '5/3', '7/3', '8/3'] -> (8/3 / (((2/7 / 1/6) - 5/3) * 7/3))
[820774] ['1/6', '2/7', '5/3', '7/3', '8/5'] -> ((((5/3 / 1/6) / 2/7) / 7/3) * 8/5)
[820778] ['1/6', '2/7', '5/3', '7/3', '9/4'] -> (((5/3 / 1/6) + (2/7 * 7/3)) * 9/4)
[820779] ['1/6', '2/7', '5/3', '7/3', '9/5'] -> ((5/3 * ((7/3 / 2/7) - 1/6)) * 9/5)
[820784] ['1/6', '2/7', '5/3', '7/4', '7/6'] -> (((2/7 / (7/4 - 5/3)) / 1/6) * 7/6)
[820787] ['1/6', '2/7', '5/3', '7/4', '8/3'] -> (8/3 / (1/6 * ((5/3 / 7/4) - 2/7)))
[820796] ['1/6', '2/7', '5/3', '7/5', '7/5'] -> ((((5/3 / 1/6) / 2/7) - 7/5) / 7/5)
[820800] ['1/6', '2/7', '5/3', '7/5', '8/3'] -> (8/3 / (((1/6 * 2/7) * 5/3) * 7/5))
[820801] ['1/6', '2/7', '5/3', '7/5', '8/5'] -> (8/5 / (((2/7 / 1/6) - 5/3) * 7/5))
[820816] ['1/6', '2/7', '5/3', '7/6', '9/2'] -> (((5/3 - (1/6 / 7/6)) / 2/7) * 9/2)
