[1105573] ['1/8', '3/5', '4/3', '6/5', '9/8'] -> (9/8 / (((1/8 * 3/5) / 4/3) / 6/5))
[1105574] ['1/8', '3/5', '4/3', '6/7', '6/7'] -> (6/7 / ((1/8 * 3/5) * (4/3 - 6/7)))
[1105607] ['1/8', '3/5', '4/3', '7/3', '7/3'] -> (7/3 / (((1/8 + 4/3) / 3/5) - 7/3))
[1105609] ['1/8', '3/5', '4/3', '7/3', '7/5'] -> (7/5 / ((1/8 + 4/3) - (3/5 * 7/3)))
[1105623] ['1/8', '3/5', '4/3', '7/4', '7/5'] -> (7/5 / (((3/5 + 4/3) - 1/8) - 7/4))
[1105627] ['1/8', '3/5', '4/3', '7/4', '8/3'] -> (8/3 / ((4/3 / (1/8 + 7/4)) - 3/5))
[1105643] ['1/8', '3/5', '4/3', '7/5', '8/9'] -> ((((4/3 * 7/5) / 1/8) / 3/5) - 8/9)
[1105648] ['1/8', '3/5', '4/3', '7/5', '9/8'] -> (9/8 / ((1/8 / (3/5 + 7/5)) / 4/3))
[1105656] ['1/8', '3/5', '4/3', '7/6', '9/2'] -> (9/2 / ((1/8 * 3/5) * (4/3 + 7/6)))
[1105658] ['1/8', '3/5', '4/3', '7/6', '9/5'] -> ((((7/6 / 1/8) - 4/3) / 3/5) * 9/5)
[1105662] ['1/8', '3/5', '4/3', '7/8', '7/9'] -> ((((4/3 / 3/5) + 7/8) / 1/8) - 7/9)
[1105674] ['1/8', '3/5', '4/3', '7/9', '8/5'] -> (8/5 / (3/5 - (7/9 / (1/8 + 4/3))))
[1105675] ['1/8', '3/5', '4/3', '7/9', '8/7'] -> ((((4/3 / 1/8) / 3/5) / 7/9) + 8/7)
[1105682] ['1/8', '3/5', '4/3', '8/3', '8/3'] -> ((((8/3 / 1/8) / 3/5) / 4/3) - 8/3)
[1105685] ['1/8', '3/5', '4/3', '8/3', '8/9'] -> ((((8/3 / 3/5) - 4/3) / 1/8) - 8/9)
[1105694] ['1/8', '3/5', '4/3', '8/5', '9/2'] -> ((4/3 / ((3/5 / 8/5) - 1/8)) * 9/2)
[1105697] ['1/8', '3/5', '4/3', '8/5', '9/7'] -> (9/7 / (1/8 / ((4/3 + 8/5) - 3/5)))
[1105706] ['1/8', '3/5', '4/3', '8/9', '8/9'] -> ((((4/3 / 3/5) + 8/9) / 1/8) - 8/9)
[1105714] ['1/8', '3/5', '4/3', '9/2', '9/5'] -> ((((4/3 * 9/2) - 3/5) / 1/8) / 9/5)
[1105718] ['1/8', '3/5', '4/3', '9/4', '9/5'] -> (9/5 / (((3/5 / 4/3) / 9/4) - 1/8))
[1105729] ['1/8', '3/5', '4/5', '4/5', '4/9'] -> ((4/5 / ((4/5 - 1/8) - 3/5)) / 4/9)
[1105736] ['1/8', '3/5', '4/5', '4/5', '5/9'] -> ((((4/5 / 1/8) / 3/5) / 4/5) / 5/9)
[1105737] ['1/8', '3/5', '4/5', '4/5', '6/5'] -> ((6/5 / 1/8) / ((4/5 / 4/5) - 3/5))
[1105749] ['1/8', '3/5', '4/5', '4/5', '8/9'] -> ((((4/5 + 4/5) / 1/8) / 3/5) / 8/9)
[1105751] ['1/8', '3/5', '4/5', '4/5', '9/4'] -> ((4/5 / ((4/5 - 1/8) - 3/5)) * 9/4)
[1105754] ['1/8', '3/5', '4/5', '4/5', '9/8'] -> ((((4/5 + 4/5) / 1/8) / 3/5) * 9/8)
[1105771] ['1/8', '3/5', '4/5', '4/7', '7/8'] -> (((3/5 / (4/5 - 4/7)) / 1/8) / 7/8)
[1105783] ['1/8', '3/5', '4/5', '4/9', '5/2'] -> ((((4/5 / 4/9) - 3/5) / 1/8) * 5/2)
[1105784] ['1/8', '3/5', '4/5', '4/9', '5/3'] -> (5/3 / (((3/5 - 4/9) / 4/5) - 1/8))
[1105785] ['1/8', '3/5', '4/5', '4/9', '5/4'] -> (((3/5 + (4/5 / 4/9)) / 1/8) * 5/4)
[1105788] ['1/8', '3/5', '4/5', '4/9', '5/8'] -> ((3/5 + ((4/5 / 1/8) / 4/9)) / 5/8)
[1105808] ['1/8', '3/5', '4/5', '5/2', '5/2'] -> ((((3/5 * 4/5) * 5/2) / 1/8) * 5/2)
[1105809] ['1/8', '3/5', '4/5', '5/2', '5/3'] -> ((((5/2 - 3/5) / 1/8) - 4/5) * 5/3)
[1105813] ['1/8', '3/5', '4/5', '5/2', '5/8'] -> ((((3/5 * 5/2) / 1/8) / 4/5) / 5/8)
[1105816] ['1/8', '3/5', '4/5', '5/2', '6/7'] -> ((((3/5 + 4/5) * 5/2) / 1/8) * 6/7)
[1105817] ['1/8', '3/5', '4/5', '5/2', '7/2'] -> (7/2 / (1/8 * (5/2 - (4/5 / 3/5))))
[1105819] ['1/8', '3/5', '4/5', '5/2', '7/4'] -> (((3/5 + (5/2 / 1/8)) / 4/5) - 7/4)
[1105821] ['1/8', '3/5', '4/5', '5/2', '7/6'] -> ((((3/5 + 4/5) * 5/2) / 1/8) / 7/6)
[1105824] ['1/8', '3/5', '4/5', '5/2', '8/3'] -> ((((4/5 * 5/2) / 1/8) / 3/5) - 8/3)
[1105825] ['1/8', '3/5', '4/5', '5/2', '8/5'] -> ((((3/5 * 5/2) / 1/8) / 4/5) * 8/5)
[1105827] ['1/8', '3/5', '4/5', '5/2', '8/9'] -> ((3/5 + ((4/5 + 5/2) / 1/8)) * 8/9)
[1105832] ['1/8', '3/5', '4/5', '5/2', '9/8'] -> ((3/5 + ((4/5 + 5/2) / 1/8)) / 9/8)
[1105833] ['1/8', '3/5', '4/5', '5/3', '5/3'] -> (((4/5 + (3/5 * 5/3)) / 1/8) * 5/3)
[1105848] ['1/8', '3/5', '4/5', '5/3', '8/3'] -> ((((4/5 / 1/8) / 3/5) - 5/3) * 8/3)
[1105852] ['1/8', '3/5', '4/5', '5/3', '9/2'] -> (((3/5 + (4/5 / 1/8)) - 5/3) * 9/2)
[1105853] ['1/8', '3/5', '4/5', '5/3', '9/4'] -> ((((5/3 - 3/5) / 1/8) / 4/5) * 9/4)
