[1147419] ['1/8', '5/8', '5/8', '7/4', '8/5'] -> (((5/8 / 5/8) + (7/4 / 1/8)) * 8/5)
[1147423] ['1/8', '5/8', '5/8', '7/4', '9/4'] -> ((9/4 / 1/8) / (7/4 - (5/8 / 5/8)))
[1147426] ['1/8', '5/8', '5/8', '7/4', '9/8'] -> ((1/8 + 7/4) / ((5/8 * 9/8) - 5/8))
[1147435] ['1/8', '5/8', '5/8', '7/5', '9/2'] -> ((9/2 / 1/8) / (5/8 + (5/8 * 7/5)))
[1147437] ['1/8', '5/8', '5/8', '7/5', '9/5'] -> (9/5 / (((5/8 - 1/8) * 7/5) - 5/8))
[1147438] ['1/8', '5/8', '5/8', '7/5', '9/7'] -> (9/7 / ((5/8 - (5/8 / 7/5)) - 1/8))
[1147455] ['1/8', '5/8', '5/8', '7/8', '8/5'] -> ((((5/8 / 5/8) + 7/8) / 1/8) * 8/5)
[1147471] ['1/8', '5/8', '5/8', '7/9', '9/7'] -> (9/7 / (((5/8 / 7/9) - 1/8) - 5/8))
[1147474] ['1/8', '5/8', '5/8', '8/3', '8/5'] -> ((((5/8 / 1/8) + 5/8) * 8/3) * 8/5)
[1147477] ['1/8', '5/8', '5/8', '8/3', '9/2'] -> ((((5/8 / 1/8) / 5/8) - 8/3) * 9/2)
[1147478] ['1/8', '5/8', '5/8', '8/3', '9/4'] -> ((((5/8 / 1/8) / 5/8) + 8/3) * 9/4)
[1147479] ['1/8', '5/8', '5/8', '8/3', '9/5'] -> (((8/3 - (5/8 / 5/8)) / 1/8) * 9/5)
[1147487] ['1/8', '5/8', '5/8', '8/5', '9/5'] -> ((9/5 / 1/8) / (8/5 - (5/8 / 5/8)))
[1147489] ['1/8', '5/8', '5/8', '8/5', '9/8'] -> ((9/8 / 1/8) / ((5/8 * 8/5) - 5/8))
[1147496] ['1/8', '5/8', '5/8', '8/7', '9/8'] -> (9/8 / ((1/8 + (5/8 / 8/7)) - 5/8))
[1147502] ['1/8', '5/8', '5/8', '8/9', '9/8'] -> (9/8 / ((1/8 + 5/8) - (5/8 / 8/9)))
