[1197886] ['1/9', '2/9', '4/3', '7/4', '7/8'] -> (((4/3 * 7/4) / (2/9 - 1/9)) / 7/8)
[1197887] ['1/9', '2/9', '4/3', '7/4', '7/9'] -> ((((4/3 / 1/9) / 2/9) / 7/4) * 7/9)
[1197890] ['1/9', '2/9', '4/3', '7/4', '8/7'] -> (((4/3 * 7/4) / (2/9 - 1/9)) * 8/7)
[1197892] ['1/9', '2/9', '4/3', '7/4', '9/2'] -> ((4/3 / ((2/9 / 1/9) - 7/4)) * 9/2)
[1197893] ['1/9', '2/9', '4/3', '7/4', '9/4'] -> (((4/3 / 2/9) + (7/4 / 1/9)) + 9/4)
[1197895] ['1/9', '2/9', '4/3', '7/4', '9/7'] -> ((((4/3 / 1/9) / 2/9) / 7/4) / 9/7)
[1197898] ['1/9', '2/9', '4/3', '7/5', '7/6'] -> ((4/3 / ((2/9 / 7/5) - 1/9)) / 7/6)
[1197911] ['1/9', '2/9', '4/3', '7/6', '7/8'] -> ((7/6 / ((2/9 / 4/3) - 1/9)) / 7/8)
[1197915] ['1/9', '2/9', '4/3', '7/6', '8/7'] -> ((7/6 / ((2/9 / 4/3) - 1/9)) * 8/7)
[1197916] ['1/9', '2/9', '4/3', '7/6', '8/9'] -> (8/9 / ((2/9 / 4/3) - (1/9 * 7/6)))
[1197918] ['1/9', '2/9', '4/3', '7/6', '9/4'] -> (((2/9 / 4/3) + (7/6 / 1/9)) * 9/4)
[1197929] ['1/9', '2/9', '4/3', '7/8', '9/4'] -> ((4/3 / (2/9 - (1/9 * 7/8))) * 9/4)
[1197936] ['1/9', '2/9', '4/3', '7/9', '8/7'] -> ((((2/9 + 4/3) + 7/9) / 1/9) * 8/7)
[1197937] ['1/9', '2/9', '4/3', '7/9', '8/9'] -> (8/9 / (1/9 * ((4/3 - 2/9) - 7/9)))
[1197951] ['1/9', '2/9', '4/3', '8/3', '9/8'] -> (9/8 / (1/9 / (8/3 - (2/9 * 4/3))))
[1197954] ['1/9', '2/9', '4/3', '8/5', '8/9'] -> (8/9 / (4/3 * ((2/9 / 8/5) - 1/9)))
[1197963] ['1/9', '2/9', '4/3', '8/7', '9/4'] -> ((4/3 / (2/9 - (1/9 / 8/7))) * 9/4)
[1197968] ['1/9', '2/9', '4/3', '8/9', '9/2'] -> (((8/9 - (2/9 * 4/3)) / 1/9) * 9/2)
[1197970] ['1/9', '2/9', '4/3', '8/9', '9/5'] -> (((2/9 + 8/9) / (1/9 / 4/3)) * 9/5)
[1197972] ['1/9', '2/9', '4/3', '8/9', '9/8'] -> ((((8/9 / 1/9) / 2/9) / 4/3) / 9/8)
[1197974] ['1/9', '2/9', '4/3', '9/2', '9/4'] -> (((4/3 * 9/2) / (2/9 - 1/9)) / 9/4)
[1197981] ['1/9', '2/9', '4/3', '9/4', '9/8'] -> (((4/3 * 9/4) / (2/9 - 1/9)) / 9/8)
[1197982] ['1/9', '2/9', '4/3', '9/5', '9/5'] -> (((4/3 / 2/9) + (9/5 / 1/9)) + 9/5)
[1197988] ['1/9', '2/9', '4/5', '4/5', '4/5'] -> ((4/5 + 4/5) / ((2/9 * 4/5) - 1/9))
[1197991] ['1/9', '2/9', '4/5', '4/5', '5/2'] -> ((4/5 * 5/2) / (2/9 - (1/9 / 4/5)))
[1197992] ['1/9', '2/9', '4/5', '4/5', '5/3'] -> (((4/5 + 4/5) / (2/9 - 1/9)) * 5/3)
[1197993] ['1/9', '2/9', '4/5', '4/5', '5/4'] -> ((4/5 + 4/5) / ((2/9 / 5/4) - 1/9))
[1197994] ['1/9', '2/9', '4/5', '4/5', '5/6'] -> ((((4/5 / 1/9) - 4/5) / 2/9) * 5/6)
[1197995] ['1/9', '2/9', '4/5', '4/5', '5/7'] -> ((4/5 + 4/5) / (2/9 - (1/9 / 5/7)))
[1197997] ['1/9', '2/9', '4/5', '4/5', '5/9'] -> (((4/5 / 1/9) + 4/5) / (5/9 - 2/9))
[1198003] ['1/9', '2/9', '4/5', '4/5', '7/5'] -> ((4/5 + 4/5) / (2/9 - (1/9 * 7/5)))
[1198004] ['1/9', '2/9', '4/5', '4/5', '7/6'] -> (7/6 / (2/9 - ((1/9 / 4/5) / 4/5)))
[1198008] ['1/9', '2/9', '4/5', '4/5', '8/5'] -> ((8/5 / 4/5) / (2/9 - (1/9 / 4/5)))
[1198021] ['1/9', '2/9', '4/5', '4/7', '5/6'] -> ((4/5 / (2/9 - (1/9 / 4/7))) * 5/6)
[1198025] ['1/9', '2/9', '4/5', '4/7', '6/5'] -> ((4/5 / (2/9 - (1/9 / 4/7))) / 6/5)
[1198027] ['1/9', '2/9', '4/5', '4/7', '7/2'] -> (7/2 / ((2/9 - (1/9 / 4/5)) / 4/7))
[1198035] ['1/9', '2/9', '4/5', '4/7', '8/5'] -> (8/5 / (2/9 - ((1/9 * 4/5) / 4/7)))
[1198040] ['1/9', '2/9', '4/5', '4/7', '9/5'] -> (9/5 / (((1/9 / 2/9) / 4/7) - 4/5))
[1198041] ['1/9', '2/9', '4/5', '4/7', '9/7'] -> (9/7 / (((1/9 / 2/9) / 4/5) - 4/7))
[1198043] ['1/9', '2/9', '4/5', '4/9', '4/9'] -> ((4/9 / 1/9) / (4/9 - (2/9 / 4/5)))
[1198047] ['1/9', '2/9', '4/5', '4/9', '5/6'] -> ((4/5 / ((1/9 / 4/9) - 2/9)) * 5/6)
[1198061] ['1/9', '2/9', '4/5', '4/9', '8/5'] -> (8/5 / ((4/5 * (4/9 - 2/9)) - 1/9))
[1198064] ['1/9', '2/9', '4/5', '4/9', '9/2'] -> ((4/9 / (2/9 - (1/9 / 4/5))) * 9/2)
[1198070] ['1/9', '2/9', '4/5', '5/2', '5/3'] -> ((4/5 / ((1/9 * 5/2) - 2/9)) * 5/3)
[1198071] ['1/9', '2/9', '4/5', '5/2', '5/4'] -> ((5/2 / (2/9 - (1/9 / 4/5))) / 5/4)
[1198074] ['1/9', '2/9', '4/5', '5/2', '5/8'] -> ((5/2 / ((2/9 / 4/5) - 1/9)) / 5/8)
[1198086] ['1/9', '2/9', '4/5', '5/2', '8/5'] -> ((5/2 / ((2/9 / 4/5) - 1/9)) * 8/5)
[1198096] ['1/9', '2/9', '4/5', '5/3', '5/6'] -> ((5/3 / (2/9 - (1/9 / 4/5))) / 5/6)
[1198100] ['1/9', '2/9', '4/5', '5/3', '6/5'] -> ((5/3 / (2/9 - (1/9 / 4/5))) * 6/5)
[1198110] ['1/9', '2/9', '4/5', '5/3', '8/5'] -> (8/5 / (5/3 - ((2/9 * 4/5) / 1/9)))
[1198121] ['1/9', '2/9', '4/5', '5/4', '5/8'] -> ((5/4 / (2/9 - (1/9 / 4/5))) / 5/8)
