[1308107] ['2/3', '3/2', '5/3', '7/9', '8/9'] -> (8/9 / (7/9 - ((2/3 * 5/3) / 3/2)))
[1308138] ['2/3', '3/2', '5/3', '8/9', '9/2'] -> ((3/2 + ((5/3 + 8/9) / 2/3)) * 9/2)
[1308172] ['2/3', '3/2', '5/4', '5/4', '8/3'] -> ((5/4 + 5/4) / (2/3 - (3/2 / 8/3)))
[1308177] ['2/3', '3/2', '5/4', '5/4', '9/4'] -> ((2/3 * 9/4) / ((5/4 * 5/4) - 3/2))
[1308187] ['2/3', '3/2', '5/4', '5/6', '7/2'] -> ((3/2 + 7/2) / (5/4 * (5/6 - 2/3)))
[1308188] ['2/3', '3/2', '5/4', '5/6', '7/3'] -> (7/3 / (((2/3 + 5/4) * 5/6) - 3/2))
[1308198] ['2/3', '3/2', '5/4', '5/6', '9/2'] -> ((3/2 + 9/2) / ((2/3 + 5/6) - 5/4))
[1308200] ['2/3', '3/2', '5/4', '5/6', '9/5'] -> (9/5 / ((5/4 / 2/3) - (3/2 / 5/6)))
[1308206] ['2/3', '3/2', '5/4', '5/7', '6/5'] -> (((3/2 / (5/7 - 2/3)) / 5/4) - 6/5)
[1308228] ['2/3', '3/2', '5/4', '5/8', '7/2'] -> (7/2 / (2/3 - ((5/4 * 5/8) / 3/2)))
[1308235] ['2/3', '3/2', '5/4', '5/8', '8/3'] -> ((3/2 * 8/3) / (2/3 - (5/8 / 5/4)))
[1308239] ['2/3', '3/2', '5/4', '5/8', '9/2'] -> (((5/4 / (2/3 - 5/8)) - 3/2) - 9/2)
[1308260] ['2/3', '3/2', '5/4', '5/9', '9/5'] -> (9/5 / (3/2 * (5/4 - (2/3 / 5/9))))
[1308266] ['2/3', '3/2', '5/4', '6/5', '7/3'] -> (7/3 / (((2/3 + 5/4) / 6/5) - 3/2))
[1308284] ['2/3', '3/2', '5/4', '6/7', '7/4'] -> ((3/2 / ((6/7 / 2/3) - 5/4)) / 7/4)
[1308286] ['2/3', '3/2', '5/4', '6/7', '7/6'] -> ((2/3 / (6/7 - (5/4 / 3/2))) / 7/6)
[1308288] ['2/3', '3/2', '5/4', '6/7', '7/9'] -> ((2/3 / ((3/2 * 6/7) - 5/4)) / 7/9)
[1308305] ['2/3', '3/2', '5/4', '7/2', '8/3'] -> (((3/2 * 7/2) / (5/4 - 2/3)) * 8/3)
[1308309] ['2/3', '3/2', '5/4', '7/2', '9/2'] -> (((2/3 * (3/2 + 5/4)) + 7/2) * 9/2)
[1308311] ['2/3', '3/2', '5/4', '7/2', '9/5'] -> (((7/2 / (3/2 - 5/4)) - 2/3) * 9/5)
[1308321] ['2/3', '3/2', '5/4', '7/3', '8/5'] -> ((5/4 / (7/3 - (3/2 / 2/3))) * 8/5)
[1308335] ['2/3', '3/2', '5/4', '7/4', '8/5'] -> ((8/5 / 2/3) / (3/2 - (7/4 / 5/4)))
