[1737601] ['3/4', '6/7', '7/6', '9/5', '9/5'] -> (9/5 / (((3/4 + 6/7) * 7/6) - 9/5))
[1737607] ['3/4', '6/7', '7/8', '7/8', '7/8'] -> ((3/4 / (7/8 + 7/8)) / (7/8 - 6/7))
[1737623] ['3/4', '6/7', '7/8', '7/9', '9/2'] -> (((6/7 * 7/9) / (7/8 - 3/4)) * 9/2)
[1737624] ['3/4', '6/7', '7/8', '7/9', '9/4'] -> (9/4 / (7/8 * ((3/4 / 7/9) - 6/7)))
[1737631] ['3/4', '6/7', '7/8', '8/3', '8/9'] -> (((8/3 / (7/8 - 3/4)) / 6/7) - 8/9)
[1737640] ['3/4', '6/7', '7/8', '8/5', '9/2'] -> (9/2 / (7/8 * (3/4 - (6/7 / 8/5))))
[1737641] ['3/4', '6/7', '7/8', '8/5', '9/4'] -> (((3/4 / (7/8 - 6/7)) / 8/5) - 9/4)
[1737653] ['3/4', '6/7', '7/8', '8/9', '9/2'] -> (9/2 / (7/8 * ((6/7 / 8/9) - 3/4)))
[1737656] ['3/4', '6/7', '7/8', '8/9', '9/7'] -> ((6/7 / ((7/8 * 8/9) - 3/4)) / 9/7)
[1737659] ['3/4', '6/7', '7/8', '9/2', '9/4'] -> (9/4 / ((7/8 - 6/7) * (3/4 + 9/2)))
[1737661] ['3/4', '6/7', '7/8', '9/2', '9/7'] -> (((6/7 * 9/2) / (7/8 - 3/4)) / 9/7)
[1737667] ['3/4', '6/7', '7/8', '9/5', '9/5'] -> (9/5 / ((7/8 * (9/5 - 6/7)) - 3/4))
[1737673] ['3/4', '6/7', '7/9', '7/9', '7/9'] -> (6/7 / ((7/9 / 7/9) - (3/4 / 7/9)))
[1737674] ['3/4', '6/7', '7/9', '7/9', '8/3'] -> (8/3 / (((6/7 * 7/9) / 3/4) - 7/9))
[1737686] ['3/4', '6/7', '7/9', '8/3', '8/9'] -> ((8/3 / ((3/4 / 7/9) - 6/7)) - 8/9)
[1737687] ['3/4', '6/7', '7/9', '8/3', '9/2'] -> ((((8/3 / 3/4) / 6/7) / 7/9) * 9/2)
[1737693] ['3/4', '6/7', '7/9', '8/5', '8/7'] -> (8/7 / ((3/4 * 7/9) - (6/7 / 8/5)))
[1737703] ['3/4', '6/7', '7/9', '8/7', '9/4'] -> ((8/7 / ((3/4 / 7/9) - 6/7)) * 9/4)
[1737720] ['3/4', '6/7', '7/9', '9/4', '9/7'] -> (9/7 / ((6/7 * (7/9 - 3/4)) * 9/4))
[1737733] ['3/4', '6/7', '8/3', '8/3', '9/4'] -> ((8/3 * 8/3) * (3/4 + (9/4 / 6/7)))
[1737742] ['3/4', '6/7', '8/3', '8/5', '9/5'] -> (9/5 / (((3/4 + 8/5) / 6/7) - 8/3))
[1737743] ['3/4', '6/7', '8/3', '8/5', '9/7'] -> (9/7 / ((6/7 / (8/3 - 8/5)) - 3/4))
[1737752] ['3/4', '6/7', '8/3', '8/9', '8/9'] -> (8/9 / (8/3 * (8/9 - (3/4 / 6/7))))
[1737753] ['3/4', '6/7', '8/3', '8/9', '9/2'] -> ((((8/3 / 6/7) + 8/9) / 3/4) * 9/2)
[1737761] ['3/4', '6/7', '8/3', '9/2', '9/7'] -> (9/7 / (((3/4 * 6/7) / 8/3) / 9/2))
[1737778] ['3/4', '6/7', '8/5', '8/5', '9/5'] -> (((8/5 / (6/7 - 3/4)) - 8/5) * 9/5)
[1737783] ['3/4', '6/7', '8/5', '8/7', '9/2'] -> ((8/7 / (3/4 - (6/7 / 8/5))) * 9/2)
[1737795] ['3/4', '6/7', '8/5', '9/2', '9/4'] -> (((9/2 / (6/7 - 3/4)) / 8/5) - 9/4)
[1737800] ['3/4', '6/7', '8/5', '9/4', '9/5'] -> (9/5 / (6/7 * ((3/4 * 9/4) - 8/5)))
[1737810] ['3/4', '6/7', '8/7', '8/7', '8/9'] -> (((8/7 + 8/7) / (6/7 - 3/4)) / 8/9)
[1737811] ['3/4', '6/7', '8/7', '8/7', '9/2'] -> (((8/7 / (8/7 - 6/7)) / 3/4) * 9/2)
[1737815] ['3/4', '6/7', '8/7', '8/7', '9/8'] -> (((8/7 + 8/7) / (6/7 - 3/4)) * 9/8)
[1737817] ['3/4', '6/7', '8/7', '8/9', '9/2'] -> ((8/7 / ((6/7 / 8/9) - 3/4)) * 9/2)
