[1992828] ['4/9', '5/9', '5/9', '7/9', '8/5'] -> (8/5 / (((4/9 * 7/9) / 5/9) - 5/9))
[1992829] ['4/9', '5/9', '5/9', '7/9', '8/7'] -> (8/7 / (4/9 - ((5/9 * 5/9) / 7/9)))
[1992857] ['4/9', '5/9', '5/9', '8/7', '9/5'] -> ((5/9 * 9/5) / ((5/9 / 8/7) - 4/9))
[1992866] ['4/9', '5/9', '5/9', '9/2', '9/2'] -> ((5/9 / 4/9) + ((5/9 + 9/2) * 9/2))
[1992888] ['4/9', '5/9', '6/5', '6/5', '7/8'] -> ((6/5 / 6/5) / ((5/9 * 7/8) - 4/9))
[1992892] ['4/9', '5/9', '6/5', '6/5', '8/7'] -> ((6/5 / 6/5) / ((5/9 / 8/7) - 4/9))
[1992895] ['4/9', '5/9', '6/5', '6/5', '9/4'] -> ((6/5 / (5/9 - (4/9 * 6/5))) / 9/4)
[1992903] ['4/9', '5/9', '6/5', '6/7', '7/5'] -> (7/5 / (((5/9 / 4/9) - 6/5) / 6/7))
[1992905] ['4/9', '5/9', '6/5', '6/7', '7/8'] -> ((6/5 / (6/7 - (4/9 / 5/9))) / 7/8)
[1992908] ['4/9', '5/9', '6/5', '6/7', '8/5'] -> (8/5 / (((4/9 * 6/5) / 6/7) - 5/9))
[1992923] ['4/9', '5/9', '6/5', '7/2', '8/3'] -> (((6/5 / 4/9) + (7/2 / 5/9)) * 8/3)
[1992928] ['4/9', '5/9', '6/5', '7/2', '9/4'] -> (((7/2 / (5/9 - 4/9)) / 6/5) - 9/4)
[1992951] ['4/9', '5/9', '6/5', '7/4', '7/9'] -> (7/9 / (((5/9 / 6/5) - 4/9) * 7/4))
[1992952] ['4/9', '5/9', '6/5', '7/4', '8/3'] -> (8/3 / ((4/9 * 7/4) - (5/9 * 6/5)))
[1992962] ['4/9', '5/9', '6/5', '7/5', '7/6'] -> ((7/5 / ((5/9 / 4/9) - 6/5)) / 7/6)
[1992968] ['4/9', '5/9', '6/5', '7/5', '8/9'] -> (8/9 / (5/9 - ((4/9 * 7/5) / 6/5)))
[1992978] ['4/9', '5/9', '6/5', '7/6', '8/5'] -> (8/5 / (((4/9 * 6/5) * 7/6) - 5/9))
[1992979] ['4/9', '5/9', '6/5', '7/6', '8/7'] -> (8/7 / (4/9 - ((5/9 / 6/5) / 7/6)))
[1992987] ['4/9', '5/9', '6/5', '7/8', '7/9'] -> (7/9 / ((4/9 + (5/9 / 6/5)) - 7/8))
[1992998] ['4/9', '5/9', '6/5', '7/9', '8/3'] -> (8/3 / (7/9 - ((4/9 / 5/9) / 6/5)))
[1992999] ['4/9', '5/9', '6/5', '7/9', '8/5'] -> (8/5 / ((4/9 + 5/9) - (6/5 * 7/9)))
[1993007] ['4/9', '5/9', '6/5', '8/3', '8/3'] -> ((((8/3 / 4/9) / 5/9) / 6/5) * 8/3)
[1993013] ['4/9', '5/9', '6/5', '8/3', '9/5'] -> ((8/3 / ((6/5 - 4/9) - 5/9)) * 9/5)
[1993016] ['4/9', '5/9', '6/5', '8/5', '8/5'] -> (8/5 / ((4/9 * 8/5) - (6/5 - 5/9)))
[1993018] ['4/9', '5/9', '6/5', '8/5', '8/9'] -> (8/9 / (((4/9 * 8/5) / 6/5) - 5/9))
[1993034] ['4/9', '5/9', '6/5', '8/9', '9/5'] -> (9/5 / (6/5 - ((4/9 + 5/9) / 8/9)))
[1993037] ['4/9', '5/9', '6/5', '9/2', '9/2'] -> ((((4/9 + 5/9) / 6/5) + 9/2) * 9/2)
[1993048] ['4/9', '5/9', '6/5', '9/5', '9/8'] -> (((6/5 + 9/5) / (5/9 - 4/9)) / 9/8)
[1993053] ['4/9', '5/9', '6/7', '6/7', '7/2'] -> (((6/7 / (5/9 - 4/9)) - 6/7) * 7/2)
[1993061] ['4/9', '5/9', '6/7', '6/7', '8/5'] -> ((6/7 / (6/7 - (4/9 / 5/9))) * 8/5)
[1993062] ['4/9', '5/9', '6/7', '6/7', '8/7'] -> ((6/7 / 6/7) / ((5/9 / 8/7) - 4/9))
[1993063] ['4/9', '5/9', '6/7', '6/7', '8/9'] -> ((6/7 * 8/9) / ((5/9 * 6/7) - 4/9))
[1993068] ['4/9', '5/9', '6/7', '6/7', '9/8'] -> ((6/7 / ((5/9 * 6/7) - 4/9)) / 9/8)
[1993076] ['4/9', '5/9', '6/7', '7/2', '8/3'] -> (8/3 / (((5/9 * 6/7) - 4/9) * 7/2))
[1993079] ['4/9', '5/9', '6/7', '7/2', '8/9'] -> (((6/7 * 7/2) / (5/9 - 4/9)) * 8/9)
[1993080] ['4/9', '5/9', '6/7', '7/2', '9/2'] -> (((5/9 / 4/9) + (7/2 / 6/7)) * 9/2)
[1993084] ['4/9', '5/9', '6/7', '7/2', '9/8'] -> (((6/7 * 7/2) / (5/9 - 4/9)) / 9/8)
[1993091] ['4/9', '5/9', '6/7', '7/3', '8/3'] -> (8/3 / ((6/7 - (4/9 / 7/3)) - 5/9))
[1993105] ['4/9', '5/9', '6/7', '7/4', '8/3'] -> (8/3 / (((4/9 * 6/7) * 7/4) - 5/9))
[1993107] ['4/9', '5/9', '6/7', '7/4', '8/7'] -> (8/7 / ((6/7 - (4/9 / 7/4)) - 5/9))
[1993114] ['4/9', '5/9', '6/7', '7/5', '7/5'] -> (7/5 / (((5/9 / 4/9) / 6/7) - 7/5))
[1993131] ['4/9', '5/9', '6/7', '7/6', '8/5'] -> (8/5 / ((6/7 - (4/9 / 5/9)) * 7/6))
[1993138] ['4/9', '5/9', '6/7', '7/6', '9/8'] -> ((6/7 / ((5/9 / 7/6) - 4/9)) / 9/8)
[1993144] ['4/9', '5/9', '6/7', '7/8', '8/9'] -> (8/9 / (((4/9 / 6/7) / 7/8) - 5/9))
[1993153] ['4/9', '5/9', '6/7', '7/9', '8/7'] -> ((7/9 / (5/9 - (4/9 / 6/7))) * 8/7)
