[146280] ['1/2', '3/2', '3/2', '6/7', '7/8'] -> ((3/2 / ((6/7 / 3/2) - 1/2)) / 7/8)
[146291] ['1/2', '3/2', '3/2', '7/2', '7/2'] -> ((3/2 + (3/2 * (7/2 + 7/2))) / 1/2)
[146293] ['1/2', '3/2', '3/2', '7/2', '7/4'] -> ((1/2 + 7/2) * (3/2 / (7/4 - 3/2)))
[146297] ['1/2', '3/2', '3/2', '7/2', '7/9'] -> ((3/2 + (3/2 / 7/9)) / (1/2 / 7/2))
[146299] ['1/2', '3/2', '3/2', '7/2', '8/5'] -> (((3/2 * (3/2 + 7/2)) / 1/2) * 8/5)
[146301] ['1/2', '3/2', '3/2', '7/2', '8/9'] -> ((1/2 + 7/2) / (3/2 - (3/2 * 8/9)))
[146304] ['1/2', '3/2', '3/2', '7/2', '9/5'] -> ((3/2 + 7/2) * ((3/2 / 1/2) + 9/5))
[146305] ['1/2', '3/2', '3/2', '7/2', '9/7'] -> ((3/2 + (3/2 * 9/7)) / (1/2 / 7/2))
[146311] ['1/2', '3/2', '3/2', '7/3', '7/8'] -> ((3/2 + 3/2) / (1/2 - (7/8 / 7/3)))
[146313] ['1/2', '3/2', '3/2', '7/3', '8/3'] -> ((1/2 * 8/3) / ((7/3 / 3/2) - 3/2))
[146321] ['1/2', '3/2', '3/2', '7/3', '9/8'] -> ((3/2 / 3/2) / ((1/2 * 7/3) - 9/8))
[146329] ['1/2', '3/2', '3/2', '7/4', '8/7'] -> ((1/2 * 3/2) / ((7/4 / 8/7) - 3/2))
[146349] ['1/2', '3/2', '3/2', '7/6', '7/6'] -> (3/2 / (1/2 - (7/6 / (3/2 + 7/6))))
[146355] ['1/2', '3/2', '3/2', '7/6', '8/9'] -> ((3/2 + 7/6) / ((3/2 - 1/2) - 8/9))
[146357] ['1/2', '3/2', '3/2', '7/6', '9/4'] -> ((3/2 / (7/6 - (1/2 * 9/4))) / 3/2)
[146361] ['1/2', '3/2', '3/2', '7/8', '7/8'] -> (3/2 / ((1/2 + 7/8) - (3/2 * 7/8)))
[146363] ['1/2', '3/2', '3/2', '7/8', '8/3'] -> (8/3 / (1/2 - ((7/8 / 3/2) / 3/2)))
[146376] ['1/2', '3/2', '3/2', '7/9', '8/9'] -> ((3/2 * 8/9) / ((7/9 / 1/2) - 3/2))
[146377] ['1/2', '3/2', '3/2', '7/9', '9/2'] -> (((3/2 + (3/2 * 7/9)) / 1/2) * 9/2)
[146378] ['1/2', '3/2', '3/2', '7/9', '9/4'] -> ((3/2 / (7/9 - (1/2 * 3/2))) / 9/4)
[146381] ['1/2', '3/2', '3/2', '7/9', '9/8'] -> ((3/2 / ((7/9 / 1/2) - 3/2)) / 9/8)
[146391] ['1/2', '3/2', '3/2', '8/5', '8/5'] -> (8/5 / ((1/2 + (8/5 / 3/2)) - 3/2))
[146399] ['1/2', '3/2', '3/2', '8/7', '8/7'] -> (3/2 / (3/2 - ((1/2 + 8/7) / 8/7)))
[146402] ['1/2', '3/2', '3/2', '8/7', '9/4'] -> ((9/4 / 1/2) / (3/2 - (3/2 / 8/7)))
[146404] ['1/2', '3/2', '3/2', '8/7', '9/7'] -> (8/7 / (((1/2 + 3/2) / 3/2) - 9/7))
[146406] ['1/2', '3/2', '3/2', '8/9', '8/9'] -> (3/2 / (((1/2 + 8/9) / 8/9) - 3/2))
[146423] ['1/2', '3/2', '3/2', '9/5', '9/8'] -> ((3/2 + 3/2) / ((9/8 / 9/5) - 1/2))
[146426] ['1/2', '3/2', '3/2', '9/8', '9/8'] -> (3/2 / (((3/2 * 9/8) - 1/2) - 9/8))
[146427] ['1/2', '3/2', '3/4', '3/4', '3/4'] -> ((3/2 / (3/4 - (1/2 / 3/4))) / 3/4)
[146428] ['1/2', '3/2', '3/4', '3/4', '3/5'] -> ((3/2 / ((1/2 / 3/5) - 3/4)) / 3/4)
[146433] ['1/2', '3/2', '3/4', '3/4', '4/7'] -> (3/2 / (((3/4 / 4/7) - 1/2) - 3/4))
[146437] ['1/2', '3/2', '3/4', '3/4', '5/4'] -> (3/2 / ((1/2 * 5/4) - (3/4 * 3/4)))
[146438] ['1/2', '3/2', '3/4', '3/4', '5/6'] -> ((3/2 / (3/4 - (3/4 * 5/6))) / 1/2)
[146441] ['1/2', '3/2', '3/4', '3/4', '5/9'] -> ((3/2 / (1/2 - (3/4 * 5/9))) / 3/4)
[146442] ['1/2', '3/2', '3/4', '3/4', '6/5'] -> ((3/2 / (3/4 - (3/4 / 6/5))) / 1/2)
[146443] ['1/2', '3/2', '3/4', '3/4', '6/7'] -> ((3/2 / ((3/4 / 6/7) - 3/4)) / 1/2)
[146446] ['1/2', '3/2', '3/4', '3/4', '7/4'] -> (3/2 / (((3/4 * 7/4) - 1/2) - 3/4))
[146454] ['1/2', '3/2', '3/4', '3/4', '8/9'] -> ((1/2 + 3/2) / (3/4 - (3/4 * 8/9)))
[146456] ['1/2', '3/2', '3/4', '3/4', '9/4'] -> ((9/4 / ((3/4 * 3/4) - 1/2)) / 3/2)
[146457] ['1/2', '3/2', '3/4', '3/4', '9/5'] -> ((3/2 / (1/2 - (3/4 / 9/5))) / 3/4)
[146463] ['1/2', '3/2', '3/4', '3/5', '4/3'] -> ((3/2 * 4/3) / ((1/2 / 3/5) - 3/4))
