[2054536] ['5/6', '5/6', '7/4', '9/2', '9/4'] -> ((9/2 / ((7/4 - 5/6) - 5/6)) / 9/4)
[2054543] ['5/6', '5/6', '7/4', '9/4', '9/8'] -> ((9/4 / ((7/4 - 5/6) - 5/6)) / 9/8)
[2054552] ['5/6', '5/6', '7/5', '7/5', '7/8'] -> (7/5 / (((5/6 + 5/6) * 7/8) - 7/5))
[2054556] ['5/6', '5/6', '7/5', '7/5', '8/7'] -> (7/5 / (((5/6 + 5/6) / 8/7) - 7/5))
[2054576] ['5/6', '5/6', '7/5', '7/8', '7/9'] -> (((5/6 * 7/5) / 7/8) / (5/6 - 7/9))
[2054580] ['5/6', '5/6', '7/5', '7/8', '8/9'] -> (((5/6 * 7/5) / 7/8) / (8/9 - 5/6))
[2054581] ['5/6', '5/6', '7/5', '7/8', '9/2'] -> (9/2 / (((5/6 * 7/5) * 7/8) - 5/6))
[2054589] ['5/6', '5/6', '7/5', '7/9', '8/7'] -> (((5/6 * 7/5) / (5/6 - 7/9)) * 8/7)
[2054600] ['5/6', '5/6', '7/5', '8/3', '9/2'] -> (((5/6 + (5/6 * 7/5)) * 8/3) * 9/2)
[2054605] ['5/6', '5/6', '7/5', '8/5', '8/5'] -> ((8/5 / 5/6) / ((7/5 / 5/6) - 8/5))
[2054606] ['5/6', '5/6', '7/5', '8/5', '8/7'] -> ((7/5 * 8/7) / ((5/6 + 5/6) - 8/5))
[2054612] ['5/6', '5/6', '7/5', '8/5', '9/8'] -> ((7/5 + 8/5) / (9/8 - (5/6 / 5/6)))
[2054613] ['5/6', '5/6', '7/5', '8/7', '8/7'] -> (8/7 / (((5/6 + 5/6) / 7/5) - 8/7))
[2054614] ['5/6', '5/6', '7/5', '8/7', '8/9'] -> (((5/6 * 7/5) * 8/7) / (8/9 - 5/6))
[2054615] ['5/6', '5/6', '7/5', '8/7', '9/2'] -> (9/2 / (((5/6 * 7/5) / 8/7) - 5/6))
[2054635] ['5/6', '5/6', '7/5', '9/5', '9/5'] -> ((7/5 + 9/5) / ((9/5 - 5/6) - 5/6))
[2054642] ['5/6', '5/6', '7/6', '7/6', '7/8'] -> ((5/6 + 7/6) / (5/6 - (7/8 / 7/6)))
[2054647] ['5/6', '5/6', '7/6', '7/6', '8/9'] -> ((5/6 + 7/6) / ((5/6 * 7/6) - 8/9))
