[194261] ['1/2', '5/2', '8/7', '9/4', '9/4'] -> (9/4 / (5/2 - ((1/2 + 9/4) / 8/7)))
[194300] ['1/2', '5/2', '9/2', '9/4', '9/8'] -> ((((5/2 * 9/2) + 9/4) / 1/2) / 9/8)
[194303] ['1/2', '5/2', '9/2', '9/5', '9/8'] -> ((5/2 * ((9/2 / 1/2) + 9/5)) / 9/8)
[194324] ['1/2', '5/2', '9/7', '9/7', '9/8'] -> (((1/2 + 5/2) * 9/7) / (9/7 - 9/8))
[194326] ['1/2', '5/2', '9/8', '9/8', '9/8'] -> ((1/2 + 5/2) / (9/8 - (9/8 / 9/8)))
[194337] ['1/2', '5/3', '5/3', '5/3', '7/4'] -> (((5/3 / (7/4 - 5/3)) / 1/2) / 5/3)
[194340] ['1/2', '5/3', '5/3', '5/3', '7/8'] -> ((5/3 / (7/8 - (1/2 * 5/3))) / 5/3)
[194346] ['1/2', '5/3', '5/3', '5/3', '9/2'] -> ((((5/3 / 5/3) + 5/3) * 9/2) / 1/2)
[194350] ['1/2', '5/3', '5/3', '5/3', '9/8'] -> ((5/3 / ((5/3 - 1/2) - 9/8)) / 5/3)
[194354] ['1/2', '5/3', '5/3', '5/4', '5/8'] -> ((5/3 + (5/3 / 5/4)) / (5/8 - 1/2))
[194355] ['1/2', '5/3', '5/3', '5/4', '5/9'] -> ((5/3 + 5/3) / (5/4 - (5/9 / 1/2)))
[194362] ['1/2', '5/3', '5/3', '5/4', '7/6'] -> (((5/3 / 1/2) / 5/3) / (5/4 - 7/6))
[194364] ['1/2', '5/3', '5/3', '5/4', '7/9'] -> ((5/3 / 5/4) / ((1/2 * 5/3) - 7/9))
[194366] ['1/2', '5/3', '5/3', '5/4', '8/5'] -> (8/5 / (((1/2 + 5/3) / 5/4) - 5/3))
[194368] ['1/2', '5/3', '5/3', '5/4', '8/9'] -> ((5/3 / 5/4) / (8/9 - (1/2 * 5/3)))
[194369] ['1/2', '5/3', '5/3', '5/4', '9/2'] -> ((((5/3 + 5/3) / 1/2) / 5/4) * 9/2)
[194385] ['1/2', '5/3', '5/3', '5/6', '7/8'] -> ((5/3 / ((7/8 / 1/2) - 5/3)) / 5/6)
[194392] ['1/2', '5/3', '5/3', '5/6', '9/4'] -> ((5/3 / ((9/4 - 1/2) - 5/3)) / 5/6)
[194418] ['1/2', '5/3', '5/3', '5/8', '5/9'] -> ((5/3 / (1/2 - (5/8 / 5/3))) / 5/9)
[194421] ['1/2', '5/3', '5/3', '5/8', '7/2'] -> ((5/3 + (5/3 * 7/2)) / (1/2 * 5/8))
[194427] ['1/2', '5/3', '5/3', '5/8', '7/9'] -> ((5/3 / 5/8) / (5/3 - (7/9 / 1/2)))
[194428] ['1/2', '5/3', '5/3', '5/8', '8/3'] -> (((5/3 + 5/3) / (5/8 - 1/2)) - 8/3)
[194431] ['1/2', '5/3', '5/3', '5/8', '8/9'] -> ((5/3 / 5/8) / ((8/9 / 1/2) - 5/3))
[194432] ['1/2', '5/3', '5/3', '5/8', '9/2'] -> ((9/2 / 1/2) / ((5/3 / 5/3) - 5/8))
[194433] ['1/2', '5/3', '5/3', '5/8', '9/4'] -> ((((5/3 + 5/3) / 1/2) / 5/8) * 9/4)
[194458] ['1/2', '5/3', '5/3', '6/5', '7/2'] -> ((5/3 * 6/5) / ((1/2 * 7/2) - 5/3))
[194469] ['1/2', '5/3', '5/3', '6/5', '9/2'] -> (((5/3 / 1/2) + (5/3 * 6/5)) * 9/2)
[194470] ['1/2', '5/3', '5/3', '6/5', '9/4'] -> ((5/3 * 6/5) / ((9/4 - 1/2) - 5/3))
[194491] ['1/2', '5/3', '5/3', '7/2', '7/2'] -> ((1/2 + 7/2) / ((7/2 - 5/3) - 5/3))
[194492] ['1/2', '5/3', '5/3', '7/2', '7/3'] -> ((5/3 + 7/3) / (7/2 - (5/3 / 1/2)))
[194495] ['1/2', '5/3', '5/3', '7/2', '7/6'] -> ((1/2 + 7/2) / (7/6 - (5/3 / 5/3)))
[194507] ['1/2', '5/3', '5/3', '7/3', '7/3'] -> ((5/3 + 7/3) / ((7/3 - 1/2) - 5/3))
[194512] ['1/2', '5/3', '5/3', '7/3', '7/9'] -> ((5/3 * (5/3 + 7/3)) / (7/9 - 1/2))
[194519] ['1/2', '5/3', '5/3', '7/3', '9/5'] -> (((5/3 * (5/3 + 7/3)) / 1/2) * 9/5)
[194524] ['1/2', '5/3', '5/3', '7/4', '7/6'] -> (((1/2 * 5/3) + 7/6) / (7/4 - 5/3))
[194552] ['1/2', '5/3', '5/3', '7/6', '8/3'] -> ((((5/3 + 5/3) + 7/6) / 1/2) * 8/3)
[194567] ['1/2', '5/3', '5/3', '7/8', '9/2'] -> ((1/2 + 9/2) / (5/3 - (5/3 * 7/8)))
[194574] ['1/2', '5/3', '5/3', '7/9', '8/5'] -> ((5/3 * 8/5) / (5/3 - (7/9 / 1/2)))
[194595] ['1/2', '5/3', '5/3', '8/5', '9/4'] -> ((((5/3 + 5/3) * 8/5) / 1/2) * 9/4)
[194601] ['1/2', '5/3', '5/3', '8/7', '9/2'] -> ((1/2 + 9/2) / (5/3 - (5/3 / 8/7)))
[194607] ['1/2', '5/3', '5/3', '8/9', '9/2'] -> ((1/2 + 9/2) / ((5/3 / 8/9) - 5/3))
[194613] ['1/2', '5/3', '5/3', '9/2', '9/4'] -> ((((5/3 + 9/2) / 1/2) - 5/3) * 9/4)
[194616] ['1/2', '5/3', '5/3', '9/2', '9/8'] -> (((5/3 + 5/3) * 9/2) / (9/8 - 1/2))
[194621] ['1/2', '5/3', '5/3', '9/5', '9/5'] -> (((5/3 + 5/3) / 1/2) * (9/5 + 9/5))
[194627] ['1/2', '5/3', '5/4', '5/4', '5/4'] -> ((5/4 / (5/3 - (5/4 * 5/4))) / 1/2)
[194631] ['1/2', '5/3', '5/4', '5/4', '5/9'] -> ((5/3 / 5/4) / (1/2 - (5/9 / 5/4)))
[194639] ['1/2', '5/3', '5/4', '5/4', '7/8'] -> ((5/4 / 5/4) / (7/8 - (1/2 * 5/3)))
[194641] ['1/2', '5/3', '5/4', '5/4', '8/3'] -> ((5/4 / 5/3) / (1/2 - (5/4 / 8/3)))
[194642] ['1/2', '5/3', '5/4', '5/4', '8/5'] -> ((5/4 * 8/5) / ((1/2 + 5/4) - 5/3))
[194645] ['1/2', '5/3', '5/4', '5/4', '9/2'] -> (((5/3 + (5/4 / 5/4)) / 1/2) * 9/2)
[194646] ['1/2', '5/3', '5/4', '5/4', '9/4'] -> ((5/3 / 5/4) / ((5/4 / 9/4) - 1/2))
[194649] ['1/2', '5/3', '5/4', '5/4', '9/8'] -> ((5/4 / 5/4) / ((5/3 - 1/2) - 9/8))
[194654] ['1/2', '5/3', '5/4', '5/6', '6/5'] -> ((5/3 * 6/5) / ((1/2 + 5/6) - 5/4))
[194656] ['1/2', '5/3', '5/4', '5/6', '7/2'] -> ((1/2 + 7/2) / (5/3 - (5/4 / 5/6)))
[194657] ['1/2', '5/3', '5/4', '5/6', '7/3'] -> ((5/3 + 7/3) / ((5/6 / 5/4) - 1/2))
[194658] ['1/2', '5/3', '5/4', '5/6', '7/4'] -> ((1/2 + (5/4 / 5/6)) / (7/4 - 5/3))
[194672] ['1/2', '5/3', '5/4', '5/7', '5/7'] -> ((5/7 / 1/2) / (5/4 - (5/3 * 5/7)))
[194675] ['1/2', '5/3', '5/4', '5/7', '6/5'] -> (6/5 / ((5/4 / 5/3) - (1/2 / 5/7)))
[194676] ['1/2', '5/3', '5/4', '5/7', '6/7'] -> (6/7 / (((5/4 * 5/7) / 5/3) - 1/2))
[194683] ['1/2', '5/3', '5/4', '5/7', '7/9'] -> ((5/3 / (5/7 - (1/2 * 5/4))) / 7/9)
[194686] ['1/2', '5/3', '5/4', '5/7', '8/7'] -> (8/7 / (5/7 - ((1/2 * 5/3) / 5/4)))
[194691] ['1/2', '5/3', '5/4', '5/7', '9/7'] -> ((5/3 / (5/7 - (1/2 * 5/4))) * 9/7)
[194694] ['1/2', '5/3', '5/4', '5/8', '5/9'] -> ((5/3 / ((5/4 - 1/2) - 5/8)) / 5/9)
[194695] ['1/2', '5/3', '5/4', '5/8', '6/5'] -> (6/5 / ((1/2 / 5/8) - (5/4 / 5/3)))
[194709] ['1/2', '5/3', '5/4', '5/8', '9/4'] -> (((5/3 / (5/8 - 1/2)) / 5/4) * 9/4)
[194710] ['1/2', '5/3', '5/4', '5/8', '9/5'] -> ((5/3 * 9/5) / ((5/4 - 1/2) - 5/8))
[194717] ['1/2', '5/3', '5/4', '5/9', '7/3'] -> (7/3 / (1/2 * ((5/4 / 5/3) - 5/9)))
[194723] ['1/2', '5/3', '5/4', '5/9', '8/3'] -> (8/3 / (((1/2 * 5/3) / 5/4) - 5/9))
[194724] ['1/2', '5/3', '5/4', '5/9', '8/5'] -> (8/5 / ((1/2 / 5/4) - (5/9 / 5/3)))
[194752] ['1/2', '5/3', '5/4', '6/7', '7/3'] -> ((6/7 / ((1/2 + 5/4) - 5/3)) * 7/3)
[194758] ['1/2', '5/3', '5/4', '6/7', '8/3'] -> (8/3 / (((5/3 - 1/2) / 6/7) - 5/4))
[194763] ['1/2', '5/3', '5/4', '6/7', '9/4'] -> ((5/4 / ((6/7 / 1/2) - 5/3)) - 9/4)
[194765] ['1/2', '5/3', '5/4', '6/7', '9/7'] -> (9/7 / (1/2 * (6/7 - (5/4 / 5/3))))
[194769] ['1/2', '5/3', '5/4', '7/2', '7/4'] -> ((7/2 / ((1/2 + 5/4) - 5/3)) / 7/4)
[194775] ['1/2', '5/3', '5/4', '7/2', '8/5'] -> ((5/4 / ((1/2 * 7/2) - 5/3)) * 8/5)
[194786] ['1/2', '5/3', '5/4', '7/3', '7/6'] -> ((7/3 / ((1/2 + 5/4) - 5/3)) / 7/6)
[194795] ['1/2', '5/3', '5/4', '7/3', '9/5'] -> (9/5 / (1/2 * ((7/3 / 5/3) - 5/4)))
[194825] ['1/2', '5/3', '5/4', '7/6', '7/6'] -> (((1/2 * 5/3) + 7/6) / (5/4 - 7/6))
[194834] ['1/2', '5/3', '5/4', '7/6', '9/5'] -> (9/5 / ((7/6 / 5/3) - (1/2 * 5/4)))
[194840] ['1/2', '5/3', '5/4', '7/8', '8/5'] -> ((5/4 / ((7/8 / 1/2) - 5/3)) * 8/5)
[194849] ['1/2', '5/3', '5/4', '7/9', '8/3'] -> (8/3 / (7/9 - ((1/2 * 5/3) / 5/4)))
[194850] ['1/2', '5/3', '5/4', '7/9', '8/5'] -> (8/5 / ((7/9 / 5/3) - (1/2 / 5/4)))
[194859] ['1/2', '5/3', '5/4', '8/3', '8/5'] -> (8/5 / (((8/3 - 1/2) / 5/4) - 5/3))
[194862] ['1/2', '5/3', '5/4', '8/3', '9/2'] -> ((((5/3 / 1/2) / 5/4) + 8/3) * 9/2)
[194863] ['1/2', '5/3', '5/4', '8/3', '9/4'] -> ((8/3 / ((5/4 / 5/3) - 1/2)) * 9/4)
[194870] ['1/2', '5/3', '5/4', '8/5', '9/2'] -> (((5/3 / 1/2) + (5/4 * 8/5)) * 9/2)
[194871] ['1/2', '5/3', '5/4', '8/5', '9/4'] -> (((1/2 + 5/4) / (5/3 - 8/5)) - 9/4)
[194883] ['1/2', '5/3', '5/4', '8/9', '9/2'] -> (9/2 / ((5/4 / 5/3) - (1/2 / 8/9)))
[194884] ['1/2', '5/3', '5/4', '8/9', '9/4'] -> ((8/9 / ((1/2 + 5/4) - 5/3)) * 9/4)
[194890] ['1/2', '5/3', '5/4', '9/2', '9/5'] -> ((5/4 * (5/3 + (9/2 / 1/2))) * 9/5)
[194894] ['1/2', '5/3', '5/4', '9/4', '9/5'] -> ((5/3 / (5/4 - (1/2 * 9/4))) * 9/5)
[194896] ['1/2', '5/3', '5/4', '9/4', '9/8'] -> ((9/4 / ((1/2 + 5/4) - 5/3)) / 9/8)
[194903] ['1/2', '5/3', '5/6', '5/6', '5/6'] -> ((5/3 / (5/6 - (5/6 * 5/6))) / 1/2)
[194913] ['1/2', '5/3', '5/6', '5/6', '7/6'] -> ((5/3 / ((5/6 * 7/6) - 5/6)) / 1/2)
[194920] ['1/2', '5/3', '5/6', '5/6', '9/2'] -> (((5/3 + (5/6 / 5/6)) / 1/2) * 9/2)
[194924] ['1/2', '5/3', '5/6', '5/6', '9/8'] -> ((5/6 / 5/6) / ((5/3 - 1/2) - 9/8))
[194929] ['1/2', '5/3', '5/6', '5/7', '6/7'] -> (((5/3 / (5/6 - 5/7)) / 1/2) * 6/7)
[194934] ['1/2', '5/3', '5/6', '5/7', '7/6'] -> (((5/3 / (5/6 - 5/7)) / 1/2) / 7/6)
[194939] ['1/2', '5/3', '5/6', '5/7', '8/7'] -> (8/7 / (((5/7 / 1/2) / 5/6) - 5/3))
[194946] ['1/2', '5/3', '5/6', '5/8', '5/8'] -> ((5/3 + (5/6 / 5/8)) / (5/8 - 1/2))
[194970] ['1/2', '5/3', '5/6', '5/9', '7/3'] -> ((5/3 + 7/3) / ((5/9 / 5/6) - 1/2))
[194971] ['1/2', '5/3', '5/6', '5/9', '7/4'] -> ((1/2 + (5/6 / 5/9)) / (7/4 - 5/3))
[194982] ['1/2', '5/3', '5/6', '5/9', '9/5'] -> (((5/6 / (5/9 - 1/2)) - 5/3) * 9/5)
[194998] ['1/2', '5/3', '5/6', '6/5', '9/2'] -> (((5/3 + (5/6 * 6/5)) / 1/2) * 9/2)
[195009] ['1/2', '5/3', '5/6', '6/7', '7/8'] -> ((1/2 / ((5/6 + 6/7) - 5/3)) / 7/8)
[195011] ['1/2', '5/3', '5/6', '6/7', '8/3'] -> (8/3 / (5/3 - ((1/2 + 5/6) / 6/7)))
[195013] ['1/2', '5/3', '5/6', '6/7', '8/7'] -> ((1/2 / ((5/6 + 6/7) - 5/3)) * 8/7)
[195020] ['1/2', '5/3', '5/6', '7/2', '7/2'] -> (((5/3 + 5/6) + 7/2) * (1/2 + 7/2))
[195027] ['1/2', '5/3', '5/6', '7/2', '8/3'] -> (((5/3 / 5/6) + (7/2 / 1/2)) * 8/3)
[195033] ['1/2', '5/3', '5/6', '7/2', '9/5'] -> (((5/6 + (5/3 * 7/2)) / 1/2) * 9/5)
[195042] ['1/2', '5/3', '5/6', '7/3', '8/3'] -> (8/3 / (7/3 - (5/3 * (1/2 + 5/6))))
[195053] ['1/2', '5/3', '5/6', '7/4', '7/6'] -> ((1/2 + 7/6) / (5/6 * (7/4 - 5/3)))
[195056] ['1/2', '5/3', '5/6', '7/4', '8/3'] -> (8/3 / ((1/2 + 5/6) * (7/4 - 5/3)))
[195057] ['1/2', '5/3', '5/6', '7/4', '8/5'] -> (8/5 / ((1/2 + 5/3) - (7/4 / 5/6)))
[195060] ['1/2', '5/3', '5/6', '7/4', '9/2'] -> ((1/2 + 9/2) / (5/3 - (5/6 * 7/4)))
[195070] ['1/2', '5/3', '5/6', '7/5', '8/5'] -> (8/5 / (((5/6 + 7/5) - 1/2) - 5/3))
[195082] ['1/2', '5/3', '5/6', '7/6', '8/5'] -> ((8/5 / 1/2) / (5/6 - (7/6 / 5/3)))
